//Sentences
"I want to speak a little bit on what I would like to see in the budget for the future.", "Jag vill säga några ord om hur jag skulle vilja att budgeten såg ut i framtiden."
"I phoned the head of unit a number of times to clarify what took place, but neither the director in question, nor members of his staff agreed to speak with me.", "Jag ringde upp enhetschefen ett antal gånger för att få klarhet i vad som försiggick, men varken direktören i fråga eller någon av hans medarbetare ville tala med mig."
"Five Members had already asked to speak and you had spoken on the previous report.", "Fem ledamöter har redan begärt ordet och ni yttrade er om det förra betänkandet."
"It is a great honour to speak before you today and I thank you for your invitation.", "Det är en stor ära att få tala till er i dag och jag vill tacka för er inbjudan."
"Mr President, I shall now speak to you as Pat Cox, the father of a Catholic family.", "Herr talman! Jag kommer nu att tala till er som Pat Cox, fadern i en katolsk familj."
"I allowed you to speak, but you were not actually entitled to your contribution.", "Jag har låtit er tala, men egentligen hade ni inte rätt till ert inlägg."
"Therefore, coming from Limousin, I could speak to you about 'white veal'.", "Eftersom jag kommer från Limousin skulle jag kunna tala med er om ”vitt kalvkött”."
"I am asking the Presidency for permission to speak, but you are not giving it to me.", "Jag har bett talmannen om att få tillåtelse att tala men inte fått det."
"I am now going to speak to you about the of this European Council: the financial perspective.", "Jag ska nu övergå till att tala om Europeiska rådets huvudnummer: budgetplanen."
"It is not often I get up to speak, so you will have to allow me some self-indulgence.", "Det är inte ofta jag reser mig för att tala, så jag ber er att ha lite överseende med mig."
"This issue is another about which I have already had the opportunity to speak to you here.", "Även detta är en fråga som jag redan har haft tillfälle att ta upp med er."
"When you hear him speak now you are convinced that he never read it.", "När man nu hör honom tala vet man med säkerhet att han aldrig läst den."
"And I would have let you speak if you had made such a request.", "Jag skulle också ha tillåtit er att tala, om ni hade väckt en ordningsfråga."
"I would also like to thank you for giving me this opportunity to speak to you.", "Jag vill också tacka för denna möjlighet att tala inför er."
"Mr President, I have asked to speak because you have already turned your attention to the agenda.", "Herr talman! Jag har begärt ordet eftersom ni nu redan börjar med föredragningslistan."
"Based on that achievement, I shall speak to you in Dutch today.", "Med utgångspunkt i den landvinningen skall jag i dag tala nederländska."
"I speak to you today at a time of great hope for my country and for its European destiny.", "Jag talar till er i dag vid en tidpunkt när mitt land känner stort hopp inför sitt europeiska öde."
"Mr Schulz, can I presume that Mrs d'Ancona does not wish to speak, as you have expressed her request?", "Schulz, jag antar att Ancona inte önskar yttra sig, eftersom ni framförde hennes önskan."
"(SV) Mr President, it is an unexpected but welcome honour to be able to speak to you here this evening.", "Herr talman! Det är en oväntad men ändå välkommen ära att få tala till er här i kväll."
"Your Eminence, it was a pleasure to be able to speak to you this morning.", "Ers Eminens, det var ett nöje att få tala med er i morse."
"I hope that I will soon be able to speak to you in more depth.", "Jag hoppas att jag snart får tillfälle att tala med er lite närmare."
"I do not have time to continue but, if you like, I could speak to you about them in another context.", "Jag har inte tid att fortsätta, men om ni vill kan jag tala med er om dem vid något annat tillfälle."
"You have no direct access to your personal data stored in the Your Europe database.", "Du har inte direkt tillgång till de personuppgifter som lagrats i Ditt Europas databas."
"In text format databases, data is stored as unformatted ASCII files.", "Om en databas finns i textformat har informationen sparats som oformaterade ASCII-filer."
"We must avoid data being stored and therefore we need a rather rigorous level of control.", "Vi måste undvika att uppgifter lagras och därför behöver vi en tämligen rigorös kontrollnivå."
"That data is stored and passed onto the next government.", "Uppgifterna lagras tillsammans. De kommer att lämnas vidare till nästa regering."
"The user data (tables, indexes) and the SQL catalog (Schema info) will be stored in the Data Devspaces.", "Där lagras användardata (tabeller, index) och SQL-katalogen (Schema Information)."
"In my view it is an invasion of privacy if traffic data are stored for longer than necessary.", "I mina ögon är det en kränkning av privatlivet om trafikuppgifter lagras längre än nödvändigt."
"In this case, default formatting is formatting, which refers to the internally stored data.", "Standardformateringarna är i det här fallet sådana som hänför sig till den interna lagringen av data."
"Is the Council prepared to examine whether data stored for longer than three months are really being used?", "Är rådet berett att undersöka om uppgifter som lagrats i mer än tre månader verkligen används?"
"Sentencing data is stored in national criminal registers.", "Uppgifter om domarna förvaras i nationella straffregister."
"Click 'Skip' to skip the login process and use profile data stored from your previous session.", "Klicka på Hoppa över för att hoppa över påloggningen och använda de profildata som lagrats från den tidigare sessionen."
"You have no direct access to the stored data.", "Du har inte någon direkt tillgång till lagrade uppgifter."
"In my opinion and in the view of my group, the proposal on the retention of stored and processed data is not the right tool for the job.", "Jag och min grupp anser att förslaget om lagring av uppgifter inte är rätt instrument för att klara av saken."
"How long will the data be stored?", "Hur länge kommer uppgifterna att lagras?"
"Secondly, there is a serious problem with regard to the security of stored data and the protection of the owner's identity.", "För det andra finns det ett allvarligt problem i fråga om säkerheten för lagrade uppgifter och skyddet av innehavarens identitet."
"This is the case when it comes to the length of time in which the data are stored and the possibilities for our fellow EU citizens to lodge an appeal.", "Detta är fallet när det gäller hur länge uppgifter lagras samt EU-medborgarnas möjlighet att överklaga."
"If you sign out of Chrome and stop syncing, the data stored on your tablet and in your Google Account will remain in place.", "Om du loggar ut från Chrome och avbryter synkroniseringen kommer data som sparats på pekdatorn och i ditt Google-konto att ligga kvar."
"To an overwhelming extent, most of the personal data stored in the present-day SIS relates to people who have been refused entry into the EU.", "I överväldigande utsträckning avser de personuppgifter som är lagrade i dagens SIS människor som vägrats inresa i EU."
"The Commission’s proposal on the retention of stored and processed data could contribute to the pursuit of that aim, but not in its present form.", "Kommissionens förslag om lagring av uppgifter kan bidra till att man når detta mål, men inte i dess nuvarande form."
"The Commission’ s proposal on the retention of stored and processed data could contribute to the pursuit of that aim, but not in its present form.", "Kommissionens förslag om lagring av uppgifter kan bidra till att man når detta mål, men inte i dess nuvarande form."
"In addition, all tax administrations would be allowed direct access to electronically stored data on tax payers in other Member States.", "Vidare skulle alla skattemyndigheter ges direkt tillgång till elektroniskt lagrade uppgifter om skattebetalare i andra medlemsstater."
"By making great sacrifices, it achieved absolute success straight away in 2002.", "Genom att göra stora uppoffringar nådde den omedelbart stora framgångar år 2002."
"Let us go beyond our national selfishness which is leading straight into disaster.", "Låt oss se bortom vår nationella själviskhet som leder oss rakt mot katastrofen."
"Last Wednesday the minister was unable to give me a straight answer to my question.", "Förra onsdagen var ministern inte i stånd att ge mig ett klart svar på min fråga."
"I do apologise for the inconvenience but I would like to have a straight answer.", "Jag ber om ursäkt för olägenheten, men jag skulle vilja ha ett ärligt svar."
"I should like to ask you straight up: exactly what changes are you working on?", "Jag vill fråga er helt konkret: Vilka ändringar i fördraget strävar ni efter?"
"In the Austrian education system, you would be given a straight fail for this report.", "I det österrikiska utbildningssystemet skulle ert betänkande underkännas rakt av."
"But that, of course, brings me straight to the Council, Mr President-in-Office.", "Men detta för mig naturligtvis raka vägen till rådet, herr rådsordförande."
"Therefore, those who have been granted speaking time can now begin straight away.", "Följaktligen kan de som tilldelats talartid genast inleda sina anföranden."
"When we think of something better, I will be there straight away to give it my support.", "När vi kommer på något bättre kommer jag genast att vara där för att stödja det."
"Thank you very much, and I wish you much continued success in the home straight.", "Tack så mycket, och jag önskar er fortsatt lycka till under slutsträckan."
"(DE) Madam President, I will go straight to the Commissioner for clarification.", "(DE) Fru talman! Jag vänder mig direkt till kommissionsledamoten för ett förtydligande."
"On the contrary, they got straight to work, ready to start again from scratch.", "I stället gick de direkt tillbaka till arbetet, redo att börja om igen från ingenting."
"Let me get one thing straight: we did not forget blind people in this legislation.", "Låt mig göra en sak klar: vi glömde inte bort de blinda i lagstiftningen."
"(FR) Madam President, since I only have one minute I will get straight to the point.", "(FR) Fru talman! Eftersom jag bara har en minut på mig går jag rakt på sak."
"That cannot be right and I hope the Commission can put matters straight tonight.", "Det kan inte vara rätt och jag hoppas att kommissionen kan lägga saker tillrätta i kväll."
"I would like to point out straight away that there is practically no difference.", "Jag kan på en gång säga att det praktiskt taget inte är någon skillnad."
"Now, when I tell you to go, you run like hell straight to the base of this chimney!", "När jag säger till, springer du av bara helvete till foten av skorstenen."
"But, none of you fear that this straight fortune may drive us all to destruction.", "Är ingen rädd att denna stora förmögenhet...... att föra oss i fördärv?"
"We must be proud of this statement, and must ensure that it is introduced straight away.", "Vi ska vara stolta över denna märkning och se till att den införs omedelbart."
"So we came straight to the key issue: was it to be a recommendation or a directive?", "Så vi kommer rakt till nyckelfrågan: Skall det bli en rekommendation eller ett direktiv?"
"When the EU needs clear and stringent budget rules, France and Germany hesitate.", "När EU behöver tydliga och strikta budgetregler tvekar Frankrike och Tyskland."
"I call for more stringent, EU-wide rules, particularly with regard to transport.", "Jag efterlyser strängare regler i hela EU, särskilt när det gäller transport."
"We have to bring in the most stringent rules and we have to make them work.", "Vi måste tillämpa de mest strikta bestämmelser och vi måste få dem att fungera."
"It is therefore high time for stringent rules to be adopted and, above all, respected.", "Det är därför hög tid att anta dessa stränga regler och framför allt respektera dem."
"Economic governance requires harsh, immediate action and stringent rules that are binding.", "Ekonomisk styrning kräver stränga och omedelbara åtgärder och bindande regler."
"However, this requires an exemption from the stringent EU competition rules in agriculture.", "Detta kräver dock ett undantag från EU:s stränga konkurrensregler inom jordbruket."
"Parliament should equip itself with far more stringent rules of procedure and abide by them.", "Parlamentet bör anta mycket strängare förfarandemässiga regler och följa dessa."
"- (SV) More stringent rules for incineration plants are highly desirable.", ". Att skärpa reglerna för förbränningsanläggningar är i hög grad önskvärt."
"The more stringent monitoring rules will contribute to this regulation’s effectiveness.", "De skärpta kontrollbestämmelserna kommer att bidra till att göra denna förordning effektiv."
"The more stringent monitoring rules will contribute to this regulation’ s effectiveness.", "De skärpta kontrollbestämmelserna kommer att bidra till att göra denna förordning effektiv."
"More stringent rules for incineration plants are highly desirable.", "Att skärpa reglerna för förbränningsanläggningar är i hög grad önskvärt."
"However, the EU could take the lead and set the standard by demanding more stringent rules.", "EU skulle dock kunna ta ledningen och sätta en ny standard genom att kräva striktare regler."
"In the EU, we have very stringent rules on the individual identification and traceability of cattle.", "I EU har vi mycket stränga regler för enskild identifiering och spårbarhet av nötkreatur."
"The labelling of wine is already subject to a very stringent set of rules.", "Märkningen av vin styrs redan av väldigt stränga lagar."
"The Structural Funds should be subject to stringent financial rules.", "Strukturfonderna bör underkastas kraftiga finansiella regler."
"It is important to note that Member States can, of course, introduce more stringent national rules.", "Det är viktigt att notera att medlemsstaterna givetvis kan införa strängare nationella regler."
"Should we not be looking for a more stringent application of the rules in terms of the management of PCBs?", "Bör vi inte eftersträva en strängare tillämpning av bestämmelserna om hanteringen av PCB?"
"A proposal by the Commission is now needed quickly in the interests of more stringent compliance with the rules.", "Nu behövs ett snabbt förslag från kommissionen för tuffare efterlevnad av reglerna."
"The EU's environmental policy must be developed by means of more stringent minimum rules and environmental charges.", "EU: s miljöpolitik bör byggas ut genom skärpta minimiregler och miljöavgifter."
"The EU's environmental policy must be developed by means of more stringent minimum rules and environmental charges.", "EU:s miljöpolitik bör byggas ut genom skärpta minimiregler och miljöavgifter."
"The USA has been politically strong enough to remove the Common European Policy.", "USA har varit politiskt starkt nog att avskaffa den gemensamma europeiska politiken."
"When the political will is strong enough, Europe can move forward quickly and effectively.", "När den politiska viljan är stark nog kan EU göra snabba och effektiva framsteg."
"Our democracy is also strong enough to enable its expedients to be discussed openly.", "Vår demokrati är också tillräckligt stark för att medlen skall kunna diskuteras öppet."
"These suspicions were strong enough to allow legal proceedings to be initiated.", "Dessa misstankar var tillräckligt starka för att rättsliga åtgärder skulle kunna inledas."
"All Member States must be strong and confident enough to accept criticism.", "Alla medlemsstater måste vara starka och självsäkra nog att ta emot kritik."
"There are no words strong enough to express our sorrow and condemnation.", "Det finns inga ord som är nog starka för att uttrycka vår sorg och vårt fördömande."
"With us, you will be strong enough to do that; we will be right behind you.", "Tillsammans med oss kommer ni att vara stark nog att göra det, vi kommer att stötta er."
"I built a bunker in the basement strong enough to withstand the blast.", "Jag har byggt en bunker i källaren som är stark nog att klara smällen."
"No individual EU country is strong enough to go it alone in world trade.", "Inget EU-land är tillräckligt starkt för att kunna slå sig fram på världsmarknaden på egen hand."
"We ourselves protected our industries until they were strong enough to compete internationally.", "Vi har själva skyddat vår industri tills den var stark nog att konkurrera internationellt."
"President Lukashenko thought he was strong enough to cancel the visit of Mrs Ferrero-Waldner.", "President Lukasjenko ansåg att han var mäktig nog att ställa in Benita Ferrero-Waldners besök."
"If not, are we strong enough to get them to change their minds?", "Om inte, är vi så pass starka att vi kan få dem att ändra uppfattning?"
"Are you sure he's strong and brave enough to pass the tests you planned?", "Är du säker på att han klarar testerna som du föreskrivit?"
"All Member States must, by their very nature, be strong and confident enough to accept criticism.", "Alla medlemsstater måste vara tillräckligt starka och trygga i sig själva för att tåla kritik."
"With us, you will be strong enough to do that; we will be right behind you.", "I den resolutionen finns de skäl som kommer att ligga till grund för vår bedömning av era kommande förslag."
"We are still strong enough to carry everyone else' s burdens.", "Man har alltid tillräckligt med krafter för att utstå andras ont."
"We are still strong enough to carry everyone else's burdens.", "Man har alltid tillräckligt med krafter för att utstå andras ont."
"My own European ideal is strong enough for European democracy to be a true democracy.", "Mitt eget europeiska ideal är tillräckligt starkt för att den europeiska demokratin ska vara en sann demokrati."
"It even needs to be strong enough to drag all the regional economies onto the path towards new growth.", "Det måste också vara starkt nog att leda in alla regionala ekonomier på vägen mot ny tillväxt."
"I hope that we will be strong enough to reach conclusions which tally with the Commission's proposal.", "Om vissa förändringar görs är jag rädd att budgetens struktur kommer att bli sämre än den är nu."
"After all, what does the motor industry do in the case of services, of supply contracts?", "Hur gör bilindustrin med tjänster, med materialtillverkningsuppdrag?"
"The problem could initially be solved with supply contracts.", "Problemet skulle till en början kunna lösas med leveranskontrakt."
"Public service, public supply and public work contracts - water, energy, transport and telecommunications markets", "Offentlig upphandling av tjänster, varor och arbeten - Vatten, energi, transport- och telekommunikationssektorerna"
"Subject: Award procedures for public works, public supply, and public service contracts in the field of defence and security", "Angående: Offentlig upphandling av byggentreprenader, varor och tjänster inom försvars- och säkerhetsområdet"
"It contains other provisions that are also incompatible with the directive on public works, supply and services contracts.", "Den innehåller andra bestämmelser som också är oförenliga med direktivet om byggentreprenader, varor och tjänster."
"This legislation cannot be expanded or altered by means of directives whose scope should be limited to works, supply and service contracts.", "Dessa bestämmelser kan inte utvidgas eller modifieras via direktiv som handlar om upphandling av varor och tjänster."
"Article 22a places companies under obligation, in the case of distance contracts, to supply their goods to customers in any Member State.", "Artikel 22a innebär att företag är skyldiga att vid distansavtal leverera sina varor till konsumenter i en annan medlemsstat."
"Russia wants long-term supply contracts so that it can focus on investing in equipment to guarantee its own energy supply.", "Ryssland vill ha långsiktiga leveranskontrakt så att landet kan satsa på att investera i utrustning för att säkra sin egen energiförsörjning."
"Liberalisation of the market makes it impossible in practice to finance new investment by means of long-term supply contracts.", "Liberaliseringen av marknaden gör att det i praktiken blir omöjligt att finansiera nya energiinvesteringar med långsiktiga leveransavtal."
"This could well be the case if the purchasing obligations in beer supply contracts are defined by generic name, rather than by brand name.", "Det skulle kunna vara fallet om avnämarförpliktelsen i bryggerikontrakt definieras i termer typer av öl i stället för termer av märkesnamn."
"The best security policy will be for the EU to participate in investment in Russia's gas resources in exchange for long-term supply contracts.", "Den bästa säkerhetspolitiken är för EU:s del att delta i investeringar i Rysslands gasresurser i utbyte mot långsiktiga försörjningskontrakt."
"The best security policy will be for the EU to participate in investment in Russia's gas resources in exchange for long-term supply contracts.", "Den bästa säkerhetspolitiken är för EU: s del att delta i investeringar i Rysslands gasresurser i utbyte mot långsiktiga försörjningskontrakt."
"Is it to be done on the basis of ‘first come, first served’, or is there to be preferential treatment for those who already have longer-standing contracts to supply?", "Skall det avgöras på grundval av ”först till kvarn” eller skall de som redan har mer långvariga leveransavtal favoriseras?"
"In order to combat excessive price fluctuations, the bulk of the hop crop in the EU is sold by means of multiannual supply contracts.", "För att motverka extrema prisutslag är den övervägande delen av den skördemängd som produceras i Europeiska unionen fastställd genom fleråriga leveransavtal."
"The market runs on too short a time scale, and that is why measures need to be taken by the Member States to guarantee long-term supply contracts.", "Marknaden handlar för kortsiktigt och det är därför som medlemsstaterna behöver vidta åtgärder för att garantera långsiktiga försörjningskontrakt."
"Recording market principles in writing may provide a good basis during the negotiation of future long-term gas supply contracts as well.", "Genom att sätta marknadsprinciperna på pränt kan man kanske skapa en god grund under förhandlingarna om framtida långsiktiga kontrakt för gasleveranser också."
"The examination of consumer protection issues is therefore extremely important, particularly when consumers sign digital content supply contracts.", "Undersökningen av konsumentskyddsfrågor är därför extremt viktig, i synnerhet när konsumenter undertecknar avtal om tillhandahållande av digitalt innehåll."
"Long term supply contracts are safeguarded and measures relating to public service obligations are recognized, in particular with regard to distribution.", "De långsiktiga försörjningskontrakten skyddas och bestämmelserna om skyldigheterna att erbjuda allmännyttiga tjänster erkänns, särskilt för distributionen."
"A few weeks ago, Prime Minister Putin made it clear to us that Russia may again violate its gas-supply contracts with EU Member States.", "För några veckor sedan gjorde premiärminister Vladimir Putin klart för oss att Ryssland återigen kan komma att bryta mot de gasleveransavtal som landet har med EU-medlemsstaterna."
"In future, the price of ore is to be traded on the London Metal Exchange instead of price security being ensured, as was previously the case, by means of long-term supply contracts.", "Hittills har långsiktiga leveransavtal sörjt för en stabil prisutveckling, men i framtiden noteras malmpriserna på London Metal Exchange."
"This should bring us one step closer to a more sustainable transport system.", "Detta bör föra oss ett steg närmare ett mer hållbart transportsystem."
"I am thinking in particular of what we can do to achieve a more sustainable transport system.", "Jag tänker framför allt på vad vi kan göra för att åstadkomma ett hållbarare transportsystem."
"It is, however, an important part of a solution to bring about a more sustainable transport system.", "Det är emellertid en viktig del av en lösning för att skapa ett mer hållbart transportsystem."
"It is a challenge that must be met, however, if Europe is to have a balanced and sustainable transport system.", "Det är en utmaning som dock måste antas om Europa skall få ett väl avvägt och hållbart transportsystem."
"It will also strengthen co-modality and hence contribute towards an efficient and sustainable transport system.", "Det kommer också att förstärka intermodalitet och därmed bidra till ett effektivt och hållbart transportsystem."
"Mr President, I do not doubt that everybody wants to have a well-planned and sustainable transport system as the backbone of Europe.", "Herr talman! Jag tror att alla vill att Europas ryggrad skall vara ett välplanerat och hållbart transportsystem."
"Member States agree that the Community must help the candidate countries in their endeavours for a sustainable transport system.", "Medlemsstaterna håller med om att gemenskapen måste hjälpa kandidatländerna i sina försök att få ett hållbart transportsystem."
"The implementation thereof should mean a step in the direction of a sustainable transport system, and, of course, that is what Parliament wants.", "Om det genomförs så innebär det ett steg i riktning mot ett hållbart transportsystem och det är ju vad vi i parlamentet vill."
"These are large-scale projects that aim to create a balance between the various modes of transport and to contribute towards a sustainable transport system in the EU.", "Detta är storskaliga projekt som syftar till att skapa balans mellan olika transportsätt och bidra till ett hållbart transportsystem inom EU."
"Our ultimate transport policy objective is to have a sustainable transport system which allows sustainable mobility in the long term.", "En tredje och sista punkt: Vårt övergripande transportpolitiska mål är ett hållbart transportsystem, som på sikt möjliggör en godtagbar rörlighet."
"The revitalisation of rail transport in the European Union makes an important contribution towards a sustainable transport system and towards the creation of the single European market.", "Återupplivandet av järnvägstransporterna i Europeiska unionen är ett viktigt bidrag till ett hållbart transportsystem och skapandet av den inre marknaden i Europa."
"Mr President, Commissioner, we are dealing today with the Marco Polo programme, aimed at reducing traffic congestion and contributing to a more effective and sustainable transport system.", "Herr talman, fru kommissionär! Vi behandlar i dag Marco Polo-programmet, som syftar till att minska vägtrafikstockningar och bidra till ett effektivt och hållbart transportsystem."
"Nor, for safety’s sake, can the Ombudsman obtain any documents he might request.", "För säkerhets skull kan inte heller ombudsmannen begära att få ut några handlingar."
"Therefore, for the sake of consistency, the Commission can accept this amendment.", "Kommissionen kan därför, för konsekvensens skull, godta detta ändringsförslag."
"I wish to see this for the sake of us all, particularly the citizens in the region.", "Jag hoppas på detta för allas vår skull, och särskilt för medborgarna i regionen."
"Our institutions must strengthen one another for the sake of the European project.", "Våra institutioner måste stärka varandra för det europeiska projektets skull."
"I urge you to do this for the sake of the quality of European wine production.", "Jag uppmanar er att göra detta för den europeiska vinproduktionens kvalitet."
"For the sake of a few hundred Scottish sheep, there is a huge loophole in legislation.", "För några hundra skotska fårs skull blir det ett stort kryphål i lagstiftningen."
"Okay, Iet's just say, for argument's sake...... that they're trying to build a nuke.", "Okej låt oss bara säga för sakens skull...... att de försöker bygga kärnvapen."
"For Europe's sake I wish that I could be optimistic, but unfortunately I cannot.", "För Europas skull önskar jag att jag kunde känna optimism, men det kan jag tyvärr inte."
"Indeed, we need good and transparent patent legislation for the sake of employment.", "Vi behöver faktiskt en bra och öppen patentlagstiftning för sysselsättningens skull."
"This political ambition is not superfluous; it is not for appearances' sake.", "Denna politiska ambition är inte överflödig, den är inte bara för syns skull."
"Let us have some determined action for the sake of all the people of Zimbabwe.", "Låt oss fastställa något slags ingripande av hänsyn till folket i Zimbabwe."
"For God's sake, do not let us also fish the poor to the brink of catastrophe too.", "Låt oss för guds skull inte fiska även de fattiga till katastrofens brant!"
"For the sake of operational efficiency, I ask the House to support our Amendment 10.", "För att öka den operativa effektiviteten ber jag kammaren stödja ändringsförslag 10."
"It is for the sake of these aptly mentioned principles that I voted against this text.", "Det är på grund av dessa nämnda principer som jag röstade emot den här texten."
"Could this be seen as a lack of objectivity for the sake of political correctness?", "Skall man däri se en brist på objektivitet i det politiskt korrektas namn?"
"That needs to be done for the sake of the overwhelming majority of European citizens.", "Det måste vi göra för en övervägande majoritet av de europeiska medborgarnas skull."
"I am, in fact, against the idea of harmonization for harmonization's sake.", "Jag vill nämligen inte ha någon harmonisering för harmoniseringens egen skull."
"For the sake of transparency this classification should be reconsidered in the future.", "För genomblickbarhetens skull bör denna klassificering förändras i framtiden."
"We must, and indeed we can, seize that opportunity together for the sake of Europe.", "Vi måste, ja vi kan gemensamt utnyttja den möjligheten i Europas intresse!"
"Not for the sake of legislating, because we do more than enough of that.", "Det gäller inte frågan om att lagstifta, för vi lagstiftar mer än vad som behövs."
