//Sentences
"Why have not endocrine disruptors been banned?", "Varför har ämnen som förorsakar endokrina störningar inte förbjudits?"
"(RO) Mr President, between 50 and 125 million European citizens are affected by energy poverty.", "(RO) Herr talman! Mellan 50 och 125 miljoner européer lider av energifattigdom."
"The need for clear definitions across the European Union on energy poverty is also important.", "Behovet av klara definitioner i hela EU om energifattigdom är också viktigt."
"We need to address employment, income aspects and energy poverty.", "Vi måste ta itu med sysselsättningen, inkomstfrågorna och energifattigdomen."
"Mention was made several times of the issue of poverty, or rather energy poverty.", "Flera gånger nämndes fattigdom, eller snarare energifattigdom."
"There is also a link between energy efficiency and energy poverty.", "Det finns också en koppling mellan energieffektivitet och energifattigdom."
"Now economic poverty, information poverty and energy poverty are all hitting the same people.", "Nu drabbar ekonomisk fattigdom, informationsfattigdom och energifattigdom samma människor."
"I am particularly glad that the new package also devotes attention to the question of energy poverty.", "Det är särskilt roligt att det nya paketet också tar upp frågan om energifattigdom."
"This will cause new poverty, poverty that will be known as energy poverty.", "Detta kommer att medföra en ny fattigdom, en energifattigdom."
"A two-speed Europe on energy will not solve energy poverty or inefficiency.", "Ett Europa med två hastigheter på energiområdet skulle inte lösa energifattigdom eller ineffektivitet."
"I must issue a warning about social discontent in relation to the creation of energy poverty.", "Jag måste utfärda en varning om socialt missnöje när det gäller uppkomsten av energifattigdom."
"There is above all a need to define 'energy poverty'.", "Det finns framför allt ett behov av att definiera ”energifattigdom”."
"Only one country in Europe has a definition of energy poverty.", "Endast ett land i Europa har definierat energifattigdom."
"I am also convinced that the Member States should compile action plans to combat energy poverty.", "Jag är också övertygad om att medlemsstaterna bör göra upp handlingsplaner för att bekämpa energifattigdomen."
"Unlike for example in Great Britain, at home, in Estonia, the term 'energy poverty' is very strange.", "Till skillnad från i exempelvis Storbritannien är termen ”energifattigdom” hemma i Estland mycket främmande."
"They also have to promote social measures aimed at combating energy poverty in low-income households.", "Medlemsstaterna behöver också främja sociala åtgärder för att bekämpa energifattigdomen i låginkomsthushåll."
"We want to see energy poverty as a part of this debate.", "Vi vill att energifattigdomen blir en del av debatten."
"More efficient energy use may reduce the burden on the most vulnerable consumers and eradicate energy poverty.", "Större energieffektivitet kan minska bördan för de mest utsatta konsumenterna och utplåna energifattigdomen."
"My second comment is that we are seeing a trend on the energy price market that is leading to energy poverty in Europe.", "Min andra punkt är att vi ser en trend på energiprismarknaden som leder till energifattigdom i Europa."
"The consequences of energy poverty are disastrous.", "Konsekvenserna av energifattigdom är förödande."
"It is also concerned about energy poverty.", "I betänkandet uttrycks även oro över energifattigdomen."
"(DE) Mr President, every victim is of course equally important, and so I welcome this inquiry.", "(DE) Herr talman! Varje offer är givetvis lika viktigt och jag välkomnar därför denna undersökning."
"Indeed, the fact that we are not doing so is equally disgraceful.", "Varför talar vi - och det är lika skamligt - egentligen inte om de människor som skadats av kemin?"
"However, the secular powers must be equally involved so that the Egyptians will have a genuine election in this revolution for freedom.", "De sekulära krafterna måste emellertid vara lika engagerade, så att egyptierna får ett verkligt val i denna revolution för friheten."
"The selection of projects is important to us, project monitoring equally so; that is why the comitology procedure is so significant and important.", "Urvalet av projekt är viktigt för oss, liksom övervakningen av dem. Därför är kommittéförfarandet så framträdande och viktigt."
"The proposal that coming budgets should be multiannual budgets is equally important, so that they can be in line with the multiannual financial framework.", "Även förslaget att kommande budgetar bör vara fleråriga är viktigt för att de ska kunna följa den fleråriga budgetramen."
"It may be true that Mr Howitt may be wrong, as may the NGOs, but is it not equally true that so might the Commission?", "Det kan tänkas att Howitt har fel, likaväl som det är möjligt att de icke-statliga organisationerna har fel, men är det uteslutet att även kommissionen kan ha fel?"
"If we are successful with employment, and equally so several months later with monetary union, confidence will have once again become a European virtue.", "Om vi lyckas med sysselsättningstoppmötet och några månader senare med den monetära unionen kommer förtroende att åter vara en europeisk dygd."
"That is why the issue of Europe’s future is so central to this programme – but equally so is that of Europe’s past.", "Jag vill att fler Eurovisionsevenemang ska sändas i tv. En Eurovisionsschlagerfestival per år räcker inte för att ge medborgarna en bestående inblick i mångfalden på denna kontinent."
"As a result, this issue must also be taken into account and measures defined which can be applied equally to everyone so that governments do not have any excuse.", "Därför måste man ta med detta problem i beräkningen och utarbeta åtgärder som kan tillämpas lika för alla så att regeringarna inte längre har någon ursäkt."
"That is the board that will meet in public and will make its opinions equally public so the citizens of Europe can see what it recommends.", "Med andra ord en styrelse som kommer att sammanträda offentligt och som även kommer att offentliggöra sina yttranden så att den europeiska allmänheten kan se vad den rekommenderar."
"I would add in respect of my own report that it is quite exemplary and I hope that the message that we in Parliament send out tomorrow will be equally so.", "Med hänsyn till mitt eget betänkande vill jag tillägga att det är ganska föredömligt, och jag hoppas att det budskap som vi i parlamentet sänder ut i morgon också kommer att vara det."
"Secondly, I would like to thank the President and, equally, Mrs Fontaine for so ably conducting this vote on the budget and making it slightly easier.", "För det andra vill jag tacka, och gratulera, fru Fontaine, de närvarande undantagna - som vi säger på kastilianska - för att på ett ypperligt sätt ha lett och underlättat denna budgetomröstning."
"By preparing the way, we must make it clear to people that EMU involves bringing together equally sound currencies, so that we can pay all over the European Union with equally sound money.", "Här måste vi genom förberedelserna klargöra att valutaunionen faktiskt är ett samgående mellan lika goda valutor, så att man överallt i Europeiska unionen kan betala med lika bra pengar."
"Nothing will be imposed on them that contravenes their national legislation on ethical matters.", "Inget kommer att påtvingas medlemsstaterna i strid mot deras nationella lagstiftning om etik."
"When they go shopping, they want answers to questions concerning ethical, ecological and social matters.", "Man vill ha svar på frågor som gäller etiska, ekologiska och sociala aspekter när man går och handlar."
"The amendment to the decree now being discussed will allow for broader scope for intervention in ethical matters of agriculture.", "Den förändring av förordningen som nu behandlas ger anledning att även i vidare mening ta upp etiska frågor inom jordbruket."
"Not only is no in-depth thought given to this risk but also the report avoids the issue, maintaining instead that ethical matters are unconnected with patent law.", "Detta är en fara som inte beaktas i betänkandet utan tvärtom undviker man att behandla det och hävdar istället att de etiska problemen inte är intressanta för patenträtten."
"A declaration of the Slovak parliament, adopted as early as January 2002, emphasises in this respect the sovereignty of the Member States of the European Union in cultural and ethical matters.", "Det slovakiska parlamentet gjorde så tidigt som i januari 2002 ett uttalande som i detta hänseende betonar respekten för EU-medlemsstaternas suveränitet i kulturella och etiska frågor."
"A declaration of the Slovak parliament, adopted as early as January 2002, emphasises in this respect the sovereignty of the Member States of the European Union in cultural and ethical matters.", "Det slovakiska parlamentet gjorde så tidigt som i januari 2002 ett uttalande som i detta hänseende betonar respekten för EU-medlemsstaternas suveränitet i kulturella och etiska frågor."
"This includes development of evaluation methods and the utilization of the results of these evaluations.", "Detta omfattar både utveckling av utvärderingsmetoder samt nyttiggörande av resultaten från dessa utvärderingar."
"In addition, several peer evaluation methods have been established for matters connected with organised crime and terrorism.", "Dessutom har flera metoder för inbördes utvärdering inrättats för frågor om organiserad brottslighet och terrorism."
"The Supervisor will deal with sensitive personal data, relating for example to health methods and evaluation of staff.", "Tillsynsmannen kommer att hantera känsliga personuppgifter, till exempel om hälso- och sjukvårdssystem och personalutvärderingar."
"The Supervisor will deal with sensitive personal data, relating for example to health methods and evaluation of staff.", "Jag är fullt medveten om att det finns begränsningar när det gäller hur pengarna kan användas, den rättsliga grunden och så vidare."
"Even if there are marked structural differences between regions, this should not stop us from looking for common evaluation methods and indicators.", "Även om de olika regionerna skiljer sig starkt åt, bör vi fortsätta sökandet efter gemensamma utvärderingsmetoder och värderingsskalor."
"Helping each other by perfecting evaluation methods between the different countries, an exchange of good practice, of course we can but approve.", "Att våra olika länder gemensamt hjälps åt för att utarbeta bedömningsmetoder, och utbyter användbara erfarenheter är naturligtvis något vi inte kan annat än stödja."
"Quality Technology and Management holds a seminar every Friday from 12:00 to 12:30.", "Kvalitetsteknik håller en seminarieserie varje fredag mellan 12.00-12.30."
"And, even more seriously, it appears that this incident may well be repeated every Friday.", "Och allvarligare är att det riskerar att upprepas strängt taget varje fredag."
"I said the opposite, and you know I am always here every Friday to give them the value they deserve.", "Tvärtom, och ni vet att jag alltid är här varje fredag och ger dem det värde de förtjänar."
"Every Friday the inhabitants of Bil'in carry out non-violent and imaginative protests.", "Varje fredag genomför invånarna i Bil’in fredliga protestaktioner på ett konstruktivt och uppfinningsrikt sätt."
"But I am one of the people who took the initiative and I am still here, just as I am here every Friday.", "Jag tillhör initiativtagarna, och jag är fortfarande här, på samma sätt som jag är här varje fredag."
"I am particularly happy to have him here every Friday, dignifying our sittings.", "Jag vill personligen uttrycka min tillfredsställelse över hans närvaro här på fredagarna, vilket ger dignitet åt denna session."
"I am not criticizing the President who has our complete support every Friday morning that he is in the Chair.", "Jag kritiserar dock inte ordföranden, som har vårt fulla stöd varje fredag morgon han utför sitt ordförandeskap."
"Seminars are held in the meeting room F 664F every Friday at 14:15 (unless other is specified in Seminar schedule).", "Seminars are held in the meeting room F 664F every Friday at 14:15 (unless other is specified in Seminar schedule)."
"Every Friday morning I was at the gift shop.", "Varje fredagmorgon var jag i presentbutiken."
"I have taken part in every Friday session for 21 years, even when I had another job and was not a delegate.", "Sedan 21 år tillbaka har jag deltagit i varje fredagssession, även redan då jag hade en annan funktion och ännu inte var ledamot."
"Patrolling every Friday at night.", "Patrullerar varje fredag vid kvällen."
"Patrolling every Friday at 8.", "Patrullerar varje fredag klockan 8."
"This action, the quorum action, will continue, not only today, but every Friday in Strasbourg, until we have achieved our goal.", "Denna aktion, beslutförhetsaktionen, kommer att fortsätta, inte bara i dag, utan varje fredag i Strasbourg tills vi har uppnått vårt mål."
"Every Friday night at 8.", "Varje fredag kväll vid 8."
"Mr Hallam, I do not know about you, but from my point of view as President, I must say that I am very satisfied with this and every Friday.", "Herr Hallam! Jag vet inte vad ni avser, men från detta ordförandeskap måste jag säga att, åtminstone jag känner mig mycket tillfredsställd över denna och alla andra fredagar."
"I know I do this every Friday before I put the lights out, but this Friday has a special significance: it is the final July part-session of this legislature.", "Det är klart, jag gör detta varje fredag innan ljuset släcks, men denna fredag har det en speciell betydelse: det är det sista plenarsammanträdet i juli månad under denna mandatperiod."
"Ladies and gentlemen, once again I have the pleasant task, as I do every Friday before putting out the lights, of thanking Parliament's services for their cooperation.", "Ärade ledamöter, återigen tillkommer mig denna behagliga uppgift som jag har varje fredag, innan vi släcker ljuset, det vill säga, att tacka sammanträdestjänsten för dess samarbete."
"He expressed his regret that the resolution failed to criticise the Georgian President.", "Han beklagade att den georgiska presidenten inte hade kritiserats i resolutionen."
"You subsequently issued a press release in which you expressed your regret about this.", "Därefter har ni gått ut med ett pressmeddelande där ni säger att ni beklagar detta."
"Ronald Schranz expressed regret at the inconvenience which had arisen for passengers.", "Ronald Schranz beklagade de olägenheter som passagerarna hade fått."
"I expressed our deep regret at the subsequent loss of life.", "Jag uttryckte vårt djupa beklagande över dem som sedermera omkom."
"The spring Council expressed its regret that efforts by the Secretary-General had failed.", "Vid sitt vårmöte beklagade rådet det faktum att generalsekreterarens ansträngningar inte haft någon framgång."
"France expressed its regret and disapproval at the time.", "Frankrike uttryckte sitt beklagande och missnöje när det hände."
"You also expressed regret about the text that is there.", "Ni beklagade också den aktuella texten."
"We discussed the situation in Kenya back in June and expressed our regret at how violent the situation there was.", "Redan i juli talade vi om situationen i Kenya, och uttryckte vårt beklagande över hur våldsamma förhållandena där är."
"I share the regret expressed in the resolution over the decoupling of candidate status from the right to open negotiations.", "Jag delar det beklagande som står i resolutionen om att statusen som kandidatland frikopplats från rätten att inleda förhandlingar."
"He has on occasions expressed regret when there have been deaths and he has always justified ETA’s terrorist actions.", "Vid några tillfällen har han uttryckt sitt beklagande när det har förekommit dödsfall och han har alltid försvarat ETA:s terroristaktioner."
"Mr President, when you were in Poland you expressed regret at the lack of contact between the institutions of Europe and its citizens.", "– Herr talman! När ni var i Polen beklagade ni den bristande kontakten mellan EU:s institutioner och dess medborgare."
"He has on occasions expressed regret when there have been deaths and he has always justified ETA’ s terrorist actions.", "Vid några tillfällen har han uttryckt sitt beklagande när det har förekommit dödsfall och han har alltid försvarat ETA: s terroristaktioner."
"Madam President, Mr Juncker expressed his regret at having to give up being President-in-Office of the Council after only six months.", "– Fru talman! Jean-Claude Juncker beklagade att han var tvungen att lämna ordförandeskapet för rådet efter endast sex månader."
"We also share the regret expressed by the committee that the level of investment in rail infrastructure remains insufficient in many Member States.", "Vi delar också utskottets beklagande att investeringsnivån i järnvägsinfrastruktur fortfarande är otillräcklig i många medlemsstater."
"The shock and regret expressed by the European Parliament on the attacks on civilians and impeded access to humanitarian assistance do not suffice.", "Den chock och det beklagande som Europaparlamentet ger uttryck för när det gäller attackerna på civilbefolkningen och hindrad tillgång till humanitärt stöd räcker inte."
"In February 2004, Parliament adopted a report that expressed regret that, despite some progress, Romania still had not completely satisfied the Copenhagen criteria.", ". – I februari 2004 antog parlamentet ett betänkande där man beklagade att Rumänien, trots vissa framsteg, fortfarande inte helt hade uppfyllt Köpenhamnskriterierna."
"I also share the regret expressed in Mr Brok's report and in the resolution over the unilateral declaration made by Turkey when signing the Additional Protocol to the Ankara Agreement.", "Jag stöder även att man i Elmar Broks betänkande och i resolutionen beklagar den ensidiga förklaring som Turkiet gjorde vid undertecknandet av tilläggsprotokollet till Ankaraavtalet."
"I fully agree with the statement issued by the EU leaders when they expressed their deep regret at the failure of the American Senate to ratify the Comprehensive Nuclear Test Ban Treaty.", "Jag är helt överens med EU:s stats- och regeringschefers uttalande i vilket de djupt beklagade misslyckandet av Förenta staternas senat att ratificera det totala provstoppsavtalet."
"I also share the regret expressed in Mr Brok's report and in the resolution over the unilateral declaration made by Turkey when signing the Additional Protocol to the Ankara Agreement.", "Jag stöder även att man i Elmar Broks betänkande och i resolutionen beklagar den ensidiga förklaring som Turkiet gjorde vid undertecknandet av tilläggsprotokollet till Ankaraavtalet."
"I fully agree with the statement issued by the EU leaders when they expressed their deep regret at the failure of the American Senate to ratify the Comprehensive Nuclear Test Ban Treaty.", "Jag är helt överens med EU: s stats- och regeringschefers uttalande i vilket de djupt beklagade misslyckandet av Förenta staternas senat att ratificera det totala provstoppsavtalet."
"Mrs Kadenbach, for example, has referred to its essential contribution to social convergence.", "Karin Kadenbach hänvisade t.ex. till bankens stora bidrag till social konvergens."
"They should enjoy autonomy so that they are able to make their essential contribution to Europe's development.", "Deras avgörande bidrag till EU:s utveckling kan säkerställas om de får en oberoende ställning."
"And, in my view, this is the essential contribution that this report makes: it looks to the future.", "Detta är, enligt min mening, den viktiga aspekt som detta betänkande bidrar med, en blinkning mot framtiden."
"I want to hear Parliament’s proposals, as they will be an essential contribution to our joint thinking.", "Jag vill höra parlamentets förslag eftersom de kommer att vara ett viktigt bidrag till vårt gemensamma tänkesätt."
"I want to hear Parliament’ s proposals, as they will be an essential contribution to our joint thinking.", "Jag vill höra parlamentets förslag eftersom de kommer att vara ett viktigt bidrag till vårt gemensamma tänkesätt."
"INSPIRE is making an essential contribution to this.", "INSPIRE är ett betydelsefullt bidrag till detta."
"Modern industrial policy in Europe is a quite essential and indispensable contribution to the improvement of employment opportunities.", "Jag ser inte heller någon motsättning mellan konkurrenspolitik och sysselsättningspolitik."
"This is the essential contribution of this report.", "Däri ligger betänkandets huvudsakliga bidrag."
"I would also stress the essential contribution of the European Anti-Fraud Office to reducing these figures.", "Jag vill även belysa det viktiga bidraget från Europeiska byrån för bedrägeribekämpning till att siffrorna har minskat."
"The modernisation of the European customs environment is an essential contribution to attaining the objectives of the Lisbon Strategy.", "Moderniseringen av EU:s tullsystem är ett viktigt bidrag för att Lissabonmålen ska kunna uppnås."
"In many regions of the world, women make an essential contribution to the most worthy societal structures of humanity.", "I många regioner i världen lämnar kvinnorna ett väsentligt bidrag till mänsklighetens mest värdefulla samhällsstrukturer."
"Modern industrial policy in Europe is a quite essential and indispensable contribution to the improvement of employment opportunities.", "Modern europeisk industripolitik är ytterst viktig och nödvändig för att förbättra sysselsättningsmöjligheterna."
"We have to do away with fiscal discrimination as part of European mobility policy and as an essential contribution to integration.", "Vi måste undanröja skattediskriminering i en anda av europeisk rörlighet. Det är ett viktigt bidrag till integrationen."
"An essential contribution to this is the cross-border regulations and protection systems that make life difficult for criminals.", "Ett väsentligt bidrag till detta är gränsöverskridande bestämmelser och skyddssystem som gör livet surt för brottslingar."
"To this extent, we are sure that logistics will make an increasingly essential contribution to achieving the Lisbon goals.", "I detta avseende är vi säkra på att logistiken kommer att utgöra ett alltmer väsentligt bidrag när det gäller att nå Lissabonmålen."
"They have an essential contribution to make in building confidence in Europe's goals on the part of the public, of enterprises and employees.", "Instrumenten är viktiga för förtroendet bland medborgarna, företagen och dem som arbetar för de europeiska målen."
"EUFOR, of course, is an essential contribution by the EU to the protection of the civil population in eastern Chad and to regional stabilisation.", "EUFOR är naturligtvis ett avgörande bidrag från EU för att skydda civilbefolkningen i östra Tchad och stabilisera regionen."
"I would like to highlight the essential contribution that the European Parliament has made to the four texts that make up this second rail package.", "Vi är klara med ett paket, men det är också sant att vi ännu inte är klara med att ge järnvägen dess nödvändiga uppsving."
"Where vehicles are concerned, it should be emphasised that modern e-safety technology can make a quite essential contribution to improving road safety.", "Beträffande fordonen bör det understrykas att modern e-säkerhetsteknik i hög grad kan bidra till högre trafiksäkerhet."
"I genuinely believe that Mrs Hoff's report is a fine example of the essential contribution that the European Parliament makes to the work of the institutions.", "Jag anser att Hoffs betänkande är ett viktigt bidrag till institutionernas arbete från Europaparlamentets sida."
