//Sentences
"WK: Yeah, I want to build another one -- to pump water and irrigation for crops.", "WK: Ja, jag vill bygga ett till - för att pumpa vatten och bevattna - bevattning för odlingar."
"The WMD strategy underlines the EU’ s particular commitment to the Treaty on the Non-proliferation of Nuclear Weapons – NPT.", "EU anser att allt vårt arbete skall syfta till att bevara och stärka detta grundläggande instrument för internationell fred och säkerhet."
"On the subject of WMD, we attach enormous importance to combating proliferation and to strengthening the security of component materials.", "I fråga om massförstörelsevapen fäster vi oerhörd vikt vid att bekämpa spridningen och förstärka säkerheten för beståndsdelarna."
"Controlling the export of dual-use goods is a key for the non-proliferation of arms, including weapons of mass destruction (WMD).", "Kontroll av export av produkter med dubbla användningsområden är av avgörande betydelse för att stoppa spridningen av vapen, även massförstörelsevapen."
"The prospect of any further proliferation of weapons and materials of mass destruction (WMD) continues to pose a serious threat to international peace and security.", "Risken för ytterligare spridning av massförstörelsevapen fortsätter att utgöra ett allvarligt hot mot den internationella freden och säkerheten."
"The WMD strategy emphasises the EU’s commitment to strengthening export control policies and practices within its borders and beyond, in coordination with partners.", "Strategin för massförstörelsevapen betonar EU:s engagemang för att stärka regler och praxis för exportkontroller inom sina gränser och utanför dem, i partnersamarbete."
"If Europe wants to be a serious partner alongside the United States in the fight against terrorism and the spread of WMD, then it must work more closely with our American friends.", "Det investeras för lite i utbildning och forskning i Europa för att vi skall kunna bli den konkurrenskraftiga kunskapsekonomi som vi så desperat strävar efter att bli."
"I will detonate the WMDs which I have given to terrorists all around the globe.", "detonerar jag vapnen som jag gett till terrorister över hela världen."
"The WMDs are located in a secret bunker 20 yards east of this building.", "Vapnen finns i en hemlig bunker tio meter öster om denna byggnad."
"I know and so are the triggers to WMDs poised all around the globle", "Det är också avtryckarna till vapen över hela världen!"
"But now somebody has supplied the terrorists with WMDs.", "Nu har någon försett terroristerna med massförstörelsevapen."
"That's when I trigger all the WMDs to go up at the same time.", "Det är då jag detonerar alla vapen samtidigt."
"WP4: Sustainable, integrated energy supply and sewerage systems in cold climates,", "WP4: Hållbara, integrerade energiförsörjnings- och VA-system i kallt klimat,"
"Entering wp directly in the Commands window has the same effect.", "Du kan också infoga p-funktionen direkt genom att ange wp i kommandofönstret."
"WP2: Attractive low energy in cold climates (including indoor environment),", "WP2: Attraktiva lågenergihus i kallt klimat (inkl innemiljö),"
"WP5: Attractive and sustainable urban development in cold climates,", "WP5: Attraktiv och hållbar stadsutveckling i kallt klimat,"
"WP6: Innovation and knowledge transfer process", "WP6: Innovations- och kunskapsöverföringsprocessen"
"WP3: Attractive outdoor environment in a cold climate,", "WP3: Attraktiv utemiljö i kallt klimat,"
"WP1: Project Management", "WP1: Projektledning"
"Boeing's complaint against Airbus in the WTO is making it look like a bad loser.", "Boeings klagomål mot Airbus i WTO gör att Boeing framstår som en dålig förlorare."
"This system has the advantage of being authorised under the GATT-WTO agreements.", "Fördelen med det systemet är att det är godkänt inom ramen för GATT/WTO -avtalen."
"- the WTO, which satisfactorily promotes the efficient distribution of resources;", "- WTO, som på ett tillfredsställande sätt verkar för en effektiv resursfördelning,"
"This system has the advantage of being authorised under the GATT-WTO agreements.", "Fördelen med det systemet är att det är godkänt inom ramen för GATT / WTO -avtalen."
"Preparations for the next WTO Conference of Ministers should also be on the agenda.", "Även förberedelserna för nästa WTO-ministermöte hör obetingat till dagordningen."
"It is naturally fundamental to the WTO talks that they should be transparent.", "Det är en naturlig utgångspunkt att WTO-förhandlingarna måste bygga på öppenhet."
"However, one giant leap for the EU does not make one small step for the WTO.", "Men ett stort steg framåt för EU innebär emellertid inte ett litet steg för WTO."
"It is clear that the WTO must be reformed, that we must go further with the WTO.", "Det framstår som helt klart att WTO måste reformeras, att vi måste gå vidare med WTO."
"Indeed, they can only be implemented if the legal conditions comply with WTO rules.", "De kan faktiskt bara införas om de juridiska villkoren uppfyller WTO:s regler."
"(FR) The issue of water services will not be raised at the WTO meeting in Cancun.", "(FR) Frågan om vattentjänster kommer inte att tas upp vid WTO:s möte i Cancún."
"It continues to be strictly related in time to the conclusion of the WTO procedure.", "Den fortsätter att vara tidsmässigt beroende av resultatet av WTO-förfarandet."
"Mr President, Mr President-designate, just a few words on the WTO and agriculture.", "Herr ordförande, herr kommissionsordförande! Några ord om WTO och jordbruket."
"We must support the Commission in its demand for respect for the WTO rules.", "Kommissionen bör stödjas i sina krav om att WTO: s bestämmelser skall uppfyllas."
"That brings me on to a really fundamental issue, that of the WTO and Russia.", "Detta leder mig fram till en verkligt viktig fråga, dvs. den om WTO och Ryssland."
"It is just about the only agreement that the WTO members managed to reach in Cancún.", "Det var faktiskt det enda avtal som WTO: s medlemmar lyckades enas om i Cancún."
"For a free trade agreement, Russian accession to the WTO is a prerequisite.", "Att Ryssland är med i WTO är en nödvändig förutsättning för ett frihandelsavtal."
"The developing countries reversed the traditional power relations within the WTO.", "Utvecklingsländerna återställde de traditionella maktförhållandena inom WTO."
"This compromise became the basis for the subsequent request for a WTO waiver.", "Kompromissen låg till grund för den efterföljande begäran om ett WTO-undantag."
"I would also note your comment in relation to the non-agriculture side of the WTO.", "Jag noterar också er synpunkt när det gäller den del av WTO som inte rör jordbruket."
"Will environmental and climate change considerations be part of any new WTO package?", "Kommer miljö- och klimatöverväganden att ingå i ett eventuellt nytt WTO-paket?"
"I am not really sure whether WWF counts them amongst its friends.", "Jag är inte riktigt säker på att Världsnaturfonden betraktar dem som sina vänner."
"They are not an endangered species - even the WWF says so.", "De är inte en utrotningshotad art - det säger till och med Världsnaturfonden."
"A recent WWF report highlighting the problems in Angola makes for interesting reading.", "En färsk rapport från Världsnaturfonden som sätter strålkastarljuset på problemen i Angola är en intressant läsning."
"Like WWF, Oxfam and some others, I strongly believe that they do not constitute ‘sustainable development’.", "Liksom WWF, Oxfam och andra organisationer tror jag absolut inte att detta är något vi skulle kalla för ”hållbar utveckling”."
"We have had advice from the WWF and from the NGOs on the ground, and I have also sought an opinion from the FAO.", "Vi har tagit emot råd från WWF och från de icke-statliga organisationerna på plats och jag har också begärt ett yttrande från FAO."
"However, I do not agree with one spokesman for WWF, who recently denounced the final outcome of REACH as a disgrace.", "Jag håller dock inte med den talesman för Världsnaturfonden som nyligen avfärdade det slutliga resultatet av Reach som skamligt."
"Like WWF, Oxfam and some others, I strongly believe that they do not constitute ‘ sustainable development’.", "Jag är rädd att dessa fiskeavtal med tredjeländer är den mest motbjudande blandningen av europeisk girighet och dålig afrikansk statlig korruption."
"One of ways put forward in FAO and WWF discussions has been that this matter should be taken up by the World Trade Organization.", "Ett av de sätt som föreslagits i diskussionerna med FAO och WWF är att denna fråga bör tas upp av Världshandelsorganisationen."
"I know that NGOs, such as WWF, work closely with the Indian Government to help with tiger conservation work.", "Jag vet att NGO: erna, som t.ex. Världsnaturfonden (WWF), arbetar nära samman med den indiska regeringen för att hjälpa till i arbetet med att bevara tigern."
"It was never repeated in any peer-reviewed study and was only used by the WWF in their report in 2005, which the IPCC blindly trusted.", "Påståendet har aldrig förekommit i någon publicerad studie och endast använts av WWF i deras rapport från 2005, som IPCC litade blint på."
"In Scotland, the Scottish Fishermen's Federation and the WWF have joined forces and suggested a better way of working.", "I Skottland har Scottish Fishermen's Federation (Skotska yrkesfiskarförbundet) och Världsnaturfonden (WWF) förenat sig och föreslagit ett bättre arbetssätt."
"The WWF reports that, according to Italian, French and Spanish customs authorities, illegal bluefin fishing and landings of small fish are on the increase.", "Enligt SCRS-undersökningen har denna bestämmelse om 6,4 kg tillämpats bristfälligt när det gäller fisket i östra Atlanten och Medelhavet."
"WWF-Hellas.", "WWF-Hellas."
"Before I went to Canada, Friends of the Earth Europe, WWF and Transport and Environment gave me questions to ask the Albertan Government regarding the oil sands.", "Innan jag åkte till Kanada fick jag frågor om tjärsand från Jordens vänner Europa, WWF och Transport och miljö att ställa till Albertas regering."
"We are likewise convinced that the protocol on responsible fisheries, proposed by the WWF, would be a solution, but not all countries accept it.", "Vi är dessutom övertygade om att WWF: s förslag om ett protokoll för ett ansvarsfullt fiske skulle kunna vara en lösning, men ett sådant protokoll accepteras inte av alla länder."
"Some have become a sort of political conscience - and I am thinking here particularly of Greenpeace or the WWF - and so carry out a public function.", "Några har tack vare sin kvalitet - jag skulle här speciellt vilja nämna Greenpeace eller WWF - blivit ett sorts politiskt samvete och fyller på så sätt även en offentlig funktion."
"The WWF reports that, according to Italian, French and Spanish customs authorities, illegal bluefin fishing and landings of small fish are on the increase.", "Världsnaturfonden rapporterar att det illegala fisket av den blåfenade tonfisken och landningen av mindre fiskar, enligt de italienska, franska och spanska tullmyndigheterna, håller på att öka."
"I invite my fellow Members to visit the exhibition devoted to buildings of this sort - net zero buildings - which is being held in the European Parliament, organised jointly with the WWF.", "Jag uppmanar mina ledamotskolleger att besöka den utställning om dessa nollenergibyggnader som organiserats i Europaparlamentet i samarbete med Världsnaturfonden."
"Has the Commission studied the preliminary plan for the Vigo WWTP?", "Har kommissionen analyserat förstudien till avloppsreningsverket i Vigo?"
"A major substrate for biogas production in Sweden and worldwide is the sludge produced at various waste water treatment plants (WWTP).", "Ett substrat för biogasproduktion som finns i stor mängd i Sverige och övriga världen är det slam som produceras vid olika vattenreningsverk."
"Now there are plans to build a new WWTP on the same site, with a new outlet in the estuary.", "Mot bakgrund av detta planerar man att bygga ett nytt avloppsreningsverk på samma plats, med ett nytt utlopp i flodmynningen och utan ett lämpligt reningssystem för industriavloppsvatten."
"The Galician Regional Government and Vigo City Council are planning to build a new wastewater treatment plant (WWTP) in Vigo, to replace the previous one built with Community funding 12 years ago.", "Galiciens regering och kommunledningen i Vigo planerar att bygga ett nytt avloppsreningsverk i Vigo."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision These dates might be changed and information on possible changes will be available on www…", "webben."
"more_vert open_in_new Link to TED warning Request revision He went to New York; he went to Chicago; he went to Jacksonville; he went to Los Angeles.", "expand_more Han åkte till New York, till Chicago, han åkte till Jacksonville, till Los Angeles."
"more_vert open_in_new Link to European Parliament warning Request revision This has led to the deregulation and liberalisation of one sector after another.", "expand_more På område efter område drivs därför kraven på avreglering och på liberalisering."
"more_vert open_in_new Link to European Parliament warning Request revision Special attention must be paid to lifelong learning and adult education.", "expand_more Särskild uppmärksamhet måste ges åt livslångt lärande och åt vuxenutbildning."
"more_vert open_in_new Link to TED warning Request revision So is that possible, to change our way of being, to transform one's mind?", "expand_more Är det möjligt, att ändra vårt sätt att vara, att förändra vårt sätt att tänka?"
"more_vert open_in_new Link to statmt.org warning Request revision A knife may be used to slice our daily bread but it may also be used to kill.", "expand_more En kniv kan användas för att skära upp vårt dagliga bröd men också för att döda."
"TRR in Östergötland AB Contact information: Britt Skau, Regionschef www.trr.se", "TRR Trygghetsrådet Kontaktperson: Britt Skau, Regionschef www.trr.se"
"The municipality of Finspång Contact information: Stig Karlsson, Personalchef www.finspong.se", "Finspångs kommun Kontaktperson: Stig Karlsson, Personalchef www.finspong.se"
"The East Sweden Regional council Contact information: Peder Rehnström, VD www.ostsam.se", "Regionförbundet Östsam Kontaktperson: Joakim Kärnborg, Regiondirektör www.ostsam.se"
"The municipality of Motala Contact information: Jan Holmberg, Utvecklingschef www.motala.se", "Motala kommun Kontaktperson: Jan Holmberg, Utvecklingschef www.motala.se"
"The municipality of Linköping Contact information: Maria Kreese, Personaldirektör www.linkoping.se", "Linköpings kommun Kontaktperson: Maria Kreese, Personaldirektör www.linkoping.se"
"Siemens Industrial Turbomachinery Inc Contact information: Jan-Erik Rydén, VD www.sit-ab.se", "Siemens Industrial Turbomachinery AB Kontaktperson: Jan-Olof Greek, VD www.sit-ab.se"
"The county council of Östergötland Contact information: Mats Uddin, Personaldirektör www.lio.se", "Landstinget i Östergötland Kontaktperson: Mats Uddin, Personaldirektör www.lio.se"
"Further information about the project can be found at www.protage.eu", "Further information about the project can be found at www.protage.eu"
"The National Insurance Office Contact information: Bruno Berglund, HR-staben www.forsakringskassan.se", "Försäkringskassan Kontaktperson: Louise Olliver, HR-staben www.forsakringskassan.se"
"The Swedish Municipal Workers' Union Contact information: Yvonne Stolt, Dristriktsombudsman www.kommunal.se", "Kommunal Kontaktperson: Eva Fornefors, Dristriktsombudsman www.kommunal.se"
"Swedfund, www.swedfund.seSwedfund is Sweden’s venture capital company for investments in developing countries.", "SwedfundSwedfund är Sveriges riskkapitalbolag för investeringar i utvecklingsländer."
"For the last three years a single person has been running a website called www.bankovnipoplatky.com.", "Under de senaste tre åren har en ensam person drivit en webbplats kallad www.bankovnipoplatky.com."
"The municipality of Norrköping Contact information: Per-Olov Strandberg, Personaldirektör www.norrkoping.se", "Norrköpings kommun Kontaktperson: Per-Olov Strandberg, Personaldirektör www.norrkoping.se"
"Industrial Competence Inc Contact information: Katarina Nyhammar, HR Manager www.industrikompetens.se", "Industrikompetens AB Kontaktperson: Karl Eldebo, Projektledare kompetens www.industrikompetens.se"
"Servername www.mysite.comServeralias mysite.com...", "Servernamn www.minwebbplats.comServeralias minwebbplats.com..."
"and www.sample.com represent multiple root domains.", "Om din webbplats har flera underdomäner läser du följande:"
"Visitors from www.ltu.se are not counted.", "Statistik över webbplatsens besökare och aktivitet. Besök från www.ltu.se räknas inte in i statistiken."
"The conference is arranged by Linnaeus Centre HEAD, www.headcentre.seLast", "en internationell konferens i Linköping - Second International Conference on Cognitive Hearing Science for Communication, CHSCOM 2013."
"The citizens’ initiative www. oneseat. eu continues.", "Medborgarinitiativet www.oneseat.eu fortsätter."
"This article explains how to track across completely separate domains, like www.example.com and www.mysite.com.", "I den här artikeln beskrivs hur du spårar över helt åtskilda domäner, t.ex. www.example.com och www.mysite.com."
"I hope that this answer has reassured Mr van der Waal.", "Jag tror att jag därmed har kunnat lätta på van der Waals bekymmer, det hoppas jag åtminstone."
"The Waal and the Rhine are not exactly raging torrents, and there are rarely heavy storms in the summer.", "Waal och Rhen är inte några vilda floder och på sommaren förväntas oftast inte några hårda stormar."
"Thank you Frans de Waal, wherever you are, I love you and I'd give anything to meet you.", "vilken inte ger något användbart svar."
"Mr van der Waal said that it could be too administrative and there might be problems for competitiveness.", "Herr van der Waal sade att det kunde bli alltför betungande administrativt sett och att det kunde bli konkurrensproblem."
"Question No 34 by Leen van der Waal (H-0117/97)", "Fråga nr 34 från Leen van der Waal (H-0117/97):"
"Mr President, I should like to say that the Group of the Party of European Socialists does of course support Mr van der Waal's proposals.", "Herr ordförande, jag vill framföra att Europeiska socialdemokratiska partiets grupp naturligtvis stöder van der Waals förslag."
"Thank you, Mr van der Waal.", "Tack så mycket, van der Waal."
"Through the report by my colleague Mr van der Waal, our parliamentary committee is asking the European Commission to define the term 'developing nation' .", "Vårt parlamentsutskott, genom min kollega Van der Waals betänkande, begär att kommissionen skall definiera begreppet "utvecklingsländer "."
"Through the report by my colleague Mr van der Waal, our parliamentary committee is asking the European Commission to define the term 'developing nation '.", "Vårt parlamentsutskott, genom min kollega Van der Waals betänkande, begär att kommissionen skall definiera begreppet " utvecklingsländer "."
"Finally a point which my colleague Leen van der Waal has already emphasized in the discussion of the Pradier report on illegal and harmful material on the Internet.", "Till sist en punkt som min gamla kollega Leen van der Waal redan underströk under behandlingen av betänkandet-Pradier om olagligt och skadligt innehåll på Internet."
"Through tax concessions, as Mr van der Waal said, but on the other hand we must also realize that our schools of maritime navigation have to stay open, for foreigners too.", "Van der Waal har redan sagt det, med skattemässiga fördelar, men å andra sidan måste vi också inse att sjöfartsskolorna måste fortsätta att vara öppna, även för utlänningar."
"One of the paragraphs that has been raised in the course of the debate was raised by Mr van der Waal, who asked whether the Commission agrees with Paragraph 35 of the report from Parliament.", "Ett av de stycken som har tagits upp under debatten, togs upp av herr van der Waal, som frågade om kommissionen håller med om punkt 35 i parlamentets betänkande."
