//Sentences
"It is almost like real life and yet there are some important differences.", "Det är nästan som i det riktiga livet, och ändå finns det viktiga skillnader."
"Y' all be trying to keep the black man down and string him out on that shit.", "Ni försöker hålla den svarte mannen nere med den skiten."
"Check this box if you want to display the Y axis as a line with subdivisions.", "Markera den här rutan om Y-axeln ska visas som linje med indelningsmärken."
"Check this box and enter the desired Y axis title in the respective text field.", "Om du aktiverar den här rutan, kan du skriva in den önskade rubriken för Y-axeln i textfältet."
"Specify in which position to display the values along the y axis.", "Här anger Du den position utmed axeln där ursprunget för de visade värdena ska ligga."
"If you want to display gridlines extending from the y axis, click here.", "Om Du vill att gitterlinjerna ska utgå från y-axeln klickar Du här."
"Mark this check box to change the scaling of the Y axis.", "Om du vill ha en annan skalning av y-axeln, väljer du det här alternativfältet."
"Define the distance between the grid points on the Y-axis.", "Här anger Du avståndet mellan rasterpunkterna på Y-axeln i önskad måttenhet."
"Click the respective buttons to define the texture for the object Y axis.", "Med de tillhörande kommandoknapparna bestämmer Du för Ditt objekts Y-axel hur texturen ska placeras."
"On the Y-axis is the cumulative instances of contagion, and on the X-axis is the time.", "På Y-axeln är kumulerade smittan, och på X-axeln är tiden."
"Specify the number of intervals between two grid points on the Y-axis.", "Här anger Du antalet steg mellan rasterpunkterna på Y-axeln."
"Check this box to subdivide the Y axis with grids.", "Markera det här fältet om Du vill att y-axeln ska finindelas med gitterlinjer."
"Here you can define the alignment of the number labels on the X or Y axis.", "Här väljer Du hur axelns sifferetiketter ska placeras."
"Check this box to graduate the Y axis with grids.", "Markera det här fältet om Du vill att y-axeln ska grovindelas med gitterlinjer."
"Check this box if you want your chart to display a second Y axis.", "Om du markerar den här rutan får diagrammet en andra Y-axel."
"In this area you can choose between two Y axis scaling modes.", "I det här området kan du välja mellan två skalningar av y-axeln."
"The Vertical Grid On/Off icon on the main toolbar switches the grid display for the Y axis on or off.", "Med ikonen Vertikalt gitter på / av på verktygslisten visar eller döljer du gittret för y-axeln."
"Enter a minimum value for the beginning of the Y axis.", "Ange ett nytt minimivärde för axelns startpunkt i det här textfältet."
"Check here if you want the y axis to be subdivided logarithmically.", "Markera den här rutan om axeln ska indelas logaritmiskt."
"Enter the rotation angle for the y axis here.", "Här anger du rotationsvinkeln runt Y-axeln från vilken du vill titta på diagrammet."
"Enter a maximum value for the end of the Y axis.", "Ange ett nytt maximivärde för axelns slutpunkt i det här textfältet."
"So here on the Y-axis, we have the percent of the people affected, and on the X-axis, we have time.", "adoption curve). ~~~ Så här på Y-axeln, har vi procent av folk som är berörda, och på X-axeln, har vi tid."
"Neither the age of a plant nor its location, nor indeed the state-of-the-art design are any guarantee of Y2K date compliance.", "En anläggnings ålder eller placering är ingen garanti för att den är 2000-säker, och verkligen inte heller en utformning enligt alla konstens regler."
"The European Parliament is quite rightly addressing the possible problems the year 2000 will cause, the so-called 'Y2K' problem.", "Europaparlamentet fäster mycket riktigt i dag uppmärksamheten på de problem som år 2000 eventuellt kommer att orsaka, dvs. den så kallade " 00-problematiken" ."
"The European Parliament is quite rightly addressing the possible problems the year 2000 will cause, the so-called 'Y2K ' problem.", "Europaparlamentet fäster mycket riktigt i dag uppmärksamheten på de problem som år 2000 eventuellt kommer att orsaka, dvs. den så kallade " 00-problematiken "."
"This will send a clear signal around the world about how seriously we take the Y2K issue, and it will hopefully act as an example for others to follow.", "Detta kommer att skicka en klar signal över världen om hur allvarligt vi tar på 2000-problemet, och det kommer förhoppningsvis att fungera som ett föredöme för andra."
"YB: To the dismay of my mother, this is dangerous teenage fashion right there.", "YB: Till min mammas förtret, det här är farligt tonårsmode som ni ser."
"YB: Combination of windsurfing and skiing into this invention there.", "YB: En kombination av vindsurfing och skidåkning i den här uppfinningen."
"YB: So, wind power, solar power -- we had a lot to talk about.", "YB: Så, vindkraft och solenergi, vi hade mycket att prata om."
"YB: And we made a baby.", "YB: Och vi gjorde en bebis."
"YB: Thank you.", "YB: Tack."
"more_vert open_in_new Link to TED warning Request revision And I actually got certified in a pool at a YMCA in the dead of winter in Buffalo, New York.", "KFUM-hus mitt i vintern i Buffalo, New York."
