//Sentences
"This resolution is designed to win a broad majority at the UN General Assembly.", "Den här resolutionen är ämnad att få en bred majoritet i FN: s generalförsamling."
"The Union is active within the ILO, in the UN Human Rights Commission and in the UN General Assembly.", "Unionen är aktiv inom ILO, i FN:s kommission för mänskliga rättigheter och i FN:s generalförsamling."
"The Union is active within the ILO, in the UN Human Rights Commission and in the UN General Assembly.", "Unionen är aktiv inom ILO, i FN: s kommission för mänskliga rättigheter och i FN: s generalförsamling."
"The proposal is also in line with the decision taken by the UN General Assembly in New York last summer.", "Det är också ett förslag helt i linje med vad FN: s generalförsamling beslöt i somras vid sitt möte i New York."
"EU priorities for the 63rd Session of the UN General Assembly (", "Europaparlamentets rekommendation till rådet om EU:s prioriteringar inför den 63:e sessionen i FN:s generalförsamling ("
"This was highlighted by the UN High Commissioner for Human Rights, Ms Navi Pillay.", "Detta betonades av FN:s högkommissarie för mänskliga rättigheter, Navi Pillay."
"He was not even allowed to meet with Mary Robinson, the UN High Commissioner for Human Rights.", "Han fick inte ens besöka FN-kommissionären för mänskliga rättigheter, Mary Robinson."
"The Commission is also supporting the work of the UN High Commissioner for Refugees in Colombia.", "Dessutom stöder kommissionen även FN:s flyktingkommissaries verksamhet i Colombia."
"The Commission is also supporting the work of the UN High Commissioner for Refugees in Colombia.", "Dessutom stöder kommissionen även FN: s flyktingkommissaries verksamhet i Colombia."
"The UN's High Commissioner must continue to be supported in his work.", "FN: s höge kommissarie måste få fortsatt stöd i sitt arbete."
"See the last report of the UN High Commissioner for Refugees.", "Se den senaste rapporten från FN:s flyktingkommissarie."
"Last but not least, the EU will continue to give every support to the UN's High Commissioner for Human Rights.", "Sist, men inte minst, fortsätter EU att ge allt stöd till FN: s högkommissarie för mänskliga rättigheter."
"We need to demand that the Libyan authorities duly recognise the presence of the UN High Commissioner for Refugees.", "Vi måste kräva att de libyska myndigheterna vederbörligen erkänner FN:s flyktingkommissaries närvaro."
"The personal commitment of the new UN High Commissioner for Refugees, Mr Lubbers, in this crisis area is very gratifying.", "FN:s nya flyktingkommissionär Lubbers personliga engagemang i detta krisområde är mycket glädjande."
"The personal commitment of the new UN High Commissioner for Refugees, Mr Lubbers, in this crisis area is very gratifying.", "FN: s nya flyktingkommissionär Lubbers personliga engagemang i detta krisområde är mycket glädjande."
"Any political decisions in Thessaloniki will need to take serious account of the proposals of the UN High Commissioner for refugees.", "I alla politiska beslut i Thessaloniki bör verklig hänsyn tas till förslaget från FN:s flyktingkommissarie."
"Any political decisions in Thessaloniki will need to take serious account of the proposals of the UN High Commissioner for refugees.", "I alla politiska beslut i Thessaloniki bör verklig hänsyn tas till förslaget från FN: s flyktingkommissarie."
"In conclusion, the Office of the UN High Commissioner for Human Rights is established in Bogota by agreement with the Colombian Government.", "Jag beklagar detta, men jag är tacksam för hans stöd i de tekniska frågorna kring dessa ändringsförslag."
"We need to take this also to the Foreign Affairs Council and we need to discuss this with the UN High Commissioner for Refugees.", "Vi behöver också ta upp detta med rådet (utrikes frågor), och vi behöver diskutera det med FN:s flyktingkommissarie."
"The Commission also welcomes the proposed support for the office of the UN High Commissioner for Human Rights in Bogota.", "Kommissionen välkomnar dessutom förslaget att stödja avdelningskontoret för FN:s kommission för mänskliga rättigheter i Bogota."
"The Commission also welcomes the proposed support for the office of the UN High Commissioner for Human Rights in Bogota.", "Kommissionen välkomnar dessutom förslaget att stödja avdelningskontoret för FN: s kommission för mänskliga rättigheter i Bogota."
"These concern support for the recommendations of the Office of the UN High Commissioner for Human Rights in Colombia.", "Dessa ändringsförslag gäller stöd för rekommendationerna från det kontor som FN:s högkommissarie för mänskliga rättigheter har i Colombia."
"The problem concerns North Korea, Thailand too of course, obviously ourselves as the European Union, and the UN High Commissioner for Refugees.", "Problemet rör Nordkorea, även Thailand förstås, naturligtvis oss själva, Europeiska unionen, och FN:s flyktingkommissarie."
"The problem concerns North Korea, Thailand too of course, obviously ourselves as the European Union, and the UN High Commissioner for Refugees.", "Problemet rör Nordkorea, även Thailand förstås, naturligtvis oss själva, Europeiska unionen, och FN: s flyktingkommissarie."
"As a sign of goodwill Mexico should also agree to the establishment of an office for UN High Commissioner Office for Human Rights.", "Som ett tecken på god vilja måste Mexiko också gå med på att FN: s kommissarie för de mänskliga rättigheterna etablerar ett kontor i där."
"The Commission is also supporting the work of the UN High Commissioner for Refugees in Colombia.", "Dessutom stöder kommissionen även FN:s flyktingkommissaries verksamhet i Colombia."
"The Commission is also supporting the work of the UN High Commissioner for Refugees in Colombia.", "Dessutom stöder kommissionen även FN: s flyktingkommissaries verksamhet i Colombia."
"See the last report of the UN High Commissioner for Refugees.", "Se den senaste rapporten från FN:s flyktingkommissarie."
"We need to demand that the Libyan authorities duly recognise the presence of the UN High Commissioner for Refugees.", "Vi måste kräva att de libyska myndigheterna vederbörligen erkänner FN:s flyktingkommissaries närvaro."
"The personal commitment of the new UN High Commissioner for Refugees, Mr Lubbers, in this crisis area is very gratifying.", "FN:s nya flyktingkommissionär Lubbers personliga engagemang i detta krisområde är mycket glädjande."
"The personal commitment of the new UN High Commissioner for Refugees, Mr Lubbers, in this crisis area is very gratifying.", "FN: s nya flyktingkommissionär Lubbers personliga engagemang i detta krisområde är mycket glädjande."
"Any political decisions in Thessaloniki will need to take serious account of the proposals of the UN High Commissioner for refugees.", "I alla politiska beslut i Thessaloniki bör verklig hänsyn tas till förslaget från FN:s flyktingkommissarie."
"Any political decisions in Thessaloniki will need to take serious account of the proposals of the UN High Commissioner for refugees.", "I alla politiska beslut i Thessaloniki bör verklig hänsyn tas till förslaget från FN: s flyktingkommissarie."
"We need to take this also to the Foreign Affairs Council and we need to discuss this with the UN High Commissioner for Refugees.", "Vi behöver också ta upp detta med rådet (utrikes frågor), och vi behöver diskutera det med FN:s flyktingkommissarie."
"The problem concerns North Korea, Thailand too of course, obviously ourselves as the European Union, and the UN High Commissioner for Refugees.", "Problemet rör Nordkorea, även Thailand förstås, naturligtvis oss själva, Europeiska unionen, och FN:s flyktingkommissarie."
"The problem concerns North Korea, Thailand too of course, obviously ourselves as the European Union, and the UN High Commissioner for Refugees.", "Problemet rör Nordkorea, även Thailand förstås, naturligtvis oss själva, Europeiska unionen, och FN: s flyktingkommissarie."
"The Office of the UN High Commissioner for Refugees states that at least 75% of those who arrive by sea in Italy and gain the right to asylum request it.", "FN:s flyktingkommissariat konstaterar att åtminstone 75 procent av dem som anländer sjövägen till Italien och får asylrätt begär det."
"We are hoping that the talks in New York between the UN High Commissioner for Refugees and the Prime Ministers of Bhutan and Nepal will lead to a decisive breakthrough.", "Vi förväntar oss nu ett avgörande genombrott i samtalen i New York mellan den höga flyktingkommissionären och premiärministrarna från Bhutan och Nepal."
"ECHO has also kept regular contact with the main humanitarian organisations such as the International Committee of the Red Cross and the UN High Commissioner for Refugees.", "ECHO har också hållit regelbunden kontakt med de centrala hjälporganisationerna, som Röda korsets internationella kommitté och FN: s flyktingkommissionär."
"Access to Nepal's territory should be maintained, and the gentlemen's agreement between the government of Nepal and the UN High Commissioner for Refugees should be honoured.", "Tillträde till Nepals territorium ska upprätthållas, och den informella överenskommelsen mellan Nepals regering och FN:s flyktingkommissarie ska respekteras."
"Diplomatic procedures with the Egyptian authorities should be stepped up by the UN High Commissioner for Refugees to eliminate the trafficking networks and prevent people from being smuggled.", "FN:s flyktingkommissarie bör intensifiera den diplomatiska uppvaktningen av egyptiska myndigheter för att eliminera smugglarnätverken och hindra människosmuggling."
"I would recall that repatriation initiatives are often delegated to the Office of the UN High Commissioner for Refugees, so as to ensure maximum transparency in our respect for human rights.", "Jag vill påminna om att återsändandeåtgärder ofta delegeras till FN:s flyktingkommissariat för att säkerställa maximal insyn i vår respekt för de mänskliga rättigheterna."
"To show that the international community is in earnest in this matter, we are recommending a visit to West Timor in the next view days by the UN High Commissioner for Refugees, Mrs Ogata.", "För att visa att det internationella samfundet menar allvar i den här frågan rekommenderar vi att Förenta nationernas flyktingkommissarie Ogata inom de närmaste dagarna besöker Västtimor."
"Formal sitting - UN High Representative for the Alliance of Civilisations", "Högtidligt möte - FN:s representant för alliansen mellan civilisationer"
"Mr Sampaio, UN High Representative for the Alliance of Civilisations, ladies and gentlemen.", "Jorge Sampaio, FN:s representant för alliansen mellan civilisationer, mina damer och herrar!"
"The EU also raised its continuing concerns with regard to the situation in Chechnya, notably in the light of the most recent visit by the UN High Representative for Human Rights, Louise Arbour.", "EU tog även upp den fortgående oron för situationen i Tjetjenien, särskilt efter FN:s höge representant för mänskliga rättigheter, Louise Arbours, senaste besök."
"The EU also raised its continuing concerns with regard to the situation in Chechnya, notably in the light of the most recent visit by the UN High Representative for Human Rights, Louise Arbour.", "EU tog även upp den fortgående oron för situationen i Tjetjenien, särskilt efter FN: s höge representant för mänskliga rättigheter, Louise Arbours, senaste besök."
"This was highlighted by the UN High Commissioner for Human Rights, Ms Navi Pillay.", "Detta betonades av FN:s högkommissarie för mänskliga rättigheter, Navi Pillay."
"We therefore support the meeting of the UN Commission for Human Rights in Geneva.", "Vi stöder därför mötet i FN: s kommission för mänskliga rättigheter i Genève."
"It is a disgrace that Libya has a seat and a vote in the UN Human Rights Council.", "Det är en skam att Libyen har säte och stämma i FN:s råd för mänskliga rättigheter."
"The EU must call on North Korea to cooperate with the UN human rights bodies.", "EU måste uppmana Nordkorea att samarbeta med FN:s organ för mänskliga rättigheter."
"We therefore support the meeting of the UN Commission for Human Rights in Geneva.", "Vi stöder därför mötet i FN:s kommission för mänskliga rättigheter i Genève."
"(NL) You know it, we know it, the UN Human Rights Council is one big farce.", "(NL) Ni vet, och vi vet, att FN:s råd för mänskliga rättigheter är ett stort skämt."
"Romania and Bulgaria were highlighted in the UN human trafficking report last week.", "Rumänien och Bulgarien betonades i FN:s rapport om handel med människor förra veckan."
"Romania and Bulgaria were highlighted in the UN human trafficking report last week.", "Rumänien och Bulgarien betonades i FN: s rapport om handel med människor förra veckan."
"We need to hear how the operations in the UN Human Rights Council are proceeding.", "Vi behöver information om hur FN:s människorättsråd går vidare i frågan."
"Development of the UN Human Rights Council, including the role of the EU (", "Utvecklingen för FN:s råd för mänskliga rättigheter, inbegripet EU:s roll ("
"The UN Convention on Human Rights 50 years ago was an attempt to correct this.", "FN:s konvention om mänskliga rättigheter för 50 år sedan var ett försök att rätta till detta."
"The European Union should now play a key role on the UN Human Rights Council.", "EU bör nu spela en nyckelroll i FN:s råd för mänskliga rättigheter."
"The UN Convention on Human Rights 50 years ago was an attempt to correct this.", "FN: s konvention om mänskliga rättigheter för 50 år sedan var ett försök att rätta till detta."
"What plans are there for the EU to take action within the UN Commission on Human Rights?", "Vilka planer finns för EU: s agerande i FN: s kommission för de mänskliga rättigheterna?"
"Have you campaigned against Syria chairing the UN Human Rights Council?", "Har du agerat mot att Syrien ska leda FN:s råd för mänskliga rättigheter?"
"Until last week, Libya was a member of the UN Human Rights Council.", "Fram till i förra veckan var Libyen en medlem av FN:s råd för mänskliga rättigheter."
"He was not even allowed to meet with Mary Robinson, the UN High Commissioner for Human Rights.", "Han fick inte ens besöka FN-kommissionären för mänskliga rättigheter, Mary Robinson."
"Parliament's priorities for the UN Human Rights Council (Geneva, 1-26 March 2010) (", "Parlamentets prioriteringar för FN:s råd för mänskliga rättigheter (Genève den 1-26 mars 2010) ("
"In the report, hopes are expressed concerning the newly-created UN Human Rights Council.", "I betänkandet uttrycks förhoppningar om FN:s nyligen bildade råd för mänskliga rättigheter."
"Can you really see Syria chairing the UN Human Rights Council?", "Kan du verkligen se Syrien som ordförande för FN:s råd för mänskliga rättigheter?"
"It is a disgrace that Libya has a seat and a vote in the UN Human Rights Council.", "Det är en skam att Libyen har säte och stämma i FN:s råd för mänskliga rättigheter."
"(NL) You know it, we know it, the UN Human Rights Council is one big farce.", "(NL) Ni vet, och vi vet, att FN:s råd för mänskliga rättigheter är ett stort skämt."
"We need to hear how the operations in the UN Human Rights Council are proceeding.", "Vi behöver information om hur FN:s människorättsråd går vidare i frågan."
"Development of the UN Human Rights Council, including the role of the EU (", "Utvecklingen för FN:s råd för mänskliga rättigheter, inbegripet EU:s roll ("
"The European Union should now play a key role on the UN Human Rights Council.", "EU bör nu spela en nyckelroll i FN:s råd för mänskliga rättigheter."
"Have you campaigned against Syria chairing the UN Human Rights Council?", "Har du agerat mot att Syrien ska leda FN:s råd för mänskliga rättigheter?"
"Until last week, Libya was a member of the UN Human Rights Council.", "Fram till i förra veckan var Libyen en medlem av FN:s råd för mänskliga rättigheter."
"Parliament's priorities for the UN Human Rights Council (Geneva, 1-26 March 2010) (", "Parlamentets prioriteringar för FN:s råd för mänskliga rättigheter (Genève den 1-26 mars 2010) ("
"In the report, hopes are expressed concerning the newly-created UN Human Rights Council.", "I betänkandet uttrycks förhoppningar om FN:s nyligen bildade råd för mänskliga rättigheter."
"Can you really see Syria chairing the UN Human Rights Council?", "Kan du verkligen se Syrien som ordförande för FN:s råd för mänskliga rättigheter?"
"In the report, hopes are expressed concerning the newly-created UN Human Rights Council.", "I betänkandet uttrycks förhoppningar om FN: s nyligen bildade råd för mänskliga rättigheter."
"The European Union needs to intervene in the work of the UN Human Rights Council.", "EU bör ingripa i FN:s råd för mänskliga rättigheters arbete."
"Firstly, the EU should call for a special session of the UN Human Rights Council in Geneva.", "För det första bör EU kräva en särskild session i FN:s råd för mänskliga rättigheter i Genève."
"It will certainly continue to be a matter for the UN Human Rights Council.", "Det kommer säkert även i fortsättningen att vara en fråga för FN:s råd för de mänskliga rättigheterna."
"We have worked hard to ensure that the UN Human Rights Council gains greater credibility.", "Vi har arbetat hårt för att se till att FN:s råd för mänskliga rättigheter får större trovärdighet."
"It will certainly continue to be a matter for the UN Human Rights Council.", "Det kommer säkert även i fortsättningen att vara en fråga för FN: s råd för de mänskliga rättigheterna."
"We want a special session of the UN Human Rights Council in Geneva to be held as quickly as possible.", "Vi vill att FN:s människorättsråd i Genève ska hålla ett extramöte så snart som möjligt."
"My third remark is that this report covers the first year of the UN's Human Rights Council.", "Min tredje kommentar är att rapporten täcker det första året av FN:s råd för mänskliga rättigheter."
"Parliament's priorities for the UN Human Rights Council (Geneva, 1-26 March 2010) (debate)", "Parlamentets prioriteringar för FN:s råd för mänskliga rättigheter (Genève den 1-26 mars 2010) (debatt)"
"I voted in favour of the joint motion for a resolution on the 13th session of the UN Human Rights Council.", "Jag röstade för den gemensamma resolutionen om det trettonde mötet i FN:s råd för mänskliga rättigheter."
"We have UN Security Council Resolution 1706, which we are calling for to be applied.", "Vi har FN: s säkerhetsråds resolution 1706, som vi kräver att man ska tillämpa."
"We have UN Security Council Resolution 1706, which we are calling for to be applied.", "Vi har FN:s säkerhetsråds resolution 1706, som vi kräver att man ska tillämpa."
"Not only is UN Resolution 1244/1999 not being applied, it is also being undermined.", "Inte nog med att FN:s resolution 1244/1999 saknar tillämpning, den undergrävs också."
"I therefore ask you, is UN Resolution 1244 still an axis for the Council's policy?", "Jag frågar er därför: Bygger rådets politik fortfarande på resolution 1244?"
"I likewise endorse the UN resolution, because it is a significant advance.", "Jag välkomnar även FN-resolutionen, eftersom den innebär ett viktigt framsteg."
"I believe that President Bush is right to call for a UN resolution on this subject now.", "Jag menar att president Bush gör rätt i att efterlysa en FN-resolution i frågan nu."
"I now wish to mention the MINURCAT Mission in accordance with UN Resolution 1778 of 2007.", "Jag vill nu nämna uppdraget Minurcat i enlighet med FN:s resolution 1778 från 2007."
"Here, the approach must be with respect for UN Security Council resolution 1244/99.", "Här måste tillvägagångssättet överensstämma med resolution 1244/99 från FN:s säkerhetsråd."
"I am sure that there is no UN resolution that would justify such a move.", "Jag är säker på att det inte finns någon FN-resolution som rättfärdigar ett sådant steg."
"In August 1991, UN Resolution 707 condemned Iraq's non-compliance.", "I augusti 1991 fördömde man genom FN-resolution 707 Iraks vägran att foga sig."
"Madam President, the Council decision adopts the UN Security Council Resolution.", "(EN) Fru talman! Rådet antar genom sitt beslut den resolution som antagits av FN:s säkerhetsråd."
"Or will this be yet another UN resolution for filing in some dusty cabinet.", "Eller kommer det här att bli ännu en FN-resolution som skall arkiveras i något dammigt skåp?"
"The President himself refers to UN Security Council Resolution 242.", "Presidenten säger även att endast förhandlingar kan leda till en lösning i slutändan."
"The UN responded by passing Resolution 661 to impose sanctions on Iraq.", "Förenta nationerna svarade med att anta resolution 661 för att inleda sanktioner mot Irak."
"It is clear that all countries must actively comply with UN Security Council Resolution 1373.", "Det är uppenbart att alla länder aktivt måste följa FN:s säkerhetsråds resolution 1373."
"In March 1991, UN Resolution 686 set out the conditions of the cease-fire.", "I mars 1991 lade FN-resolution 686 fram villkoren för eldupphöret."
"It is clear that all countries must actively comply with UN Security Council Resolution 1373.", "Det är uppenbart att alla länder aktivt måste följa FN: s säkerhetsråds resolution 1373."
"7. 10th anniversary of UN Security Council resolution 1325 on women and peace and security (", "7. 10:e årsdagen av resolution 1325 från FN:s säkerhetsråd om kvinnor samt fred och säkerhet ("
"We must also call for the immediate application of the UN resolution.", "Vi måste även kräva en omedelbar tillämpning av FN-resolutionen."
"The President himself refers to UN Security Council Resolution 242.", "Presidenten hänvisar själv till FN:s säkerhetsråds resolution 242."
"The UN Secretary-General, Kofi Annan, has also entreated them to do this.", "FN:s generalsekreterare Kofi Annan har även han enträget bett dem om att göra det."
"The UN Secretary-General, Kofi Annan, has also entreated them to do this.", "FN: s generalsekreterare Kofi Annan har även han enträget bett dem om att göra det."
"The High Representative again met with the UN Secretary General in Lisbon last Saturday.", "Den höga representanten träffade förra söndagen FN:s generalsekreterare i Lissabon."
"The UN Secretary General, Mr Ban Ki-Moon, has wholeheartedly endorsed this conclusion.", "FN:s generalsekreterare Ban Ki-Moon har helhjärtat stött denna slutsats."
"The European Union fully supports the work of the UN Secretary-General.", "Europeiska unionen stöder fullständigt FN:s generalsekreterares arbete."
"The outgoing UN Secretary-General, Mr Kofi Annan, has a lot of explaining to do in this respect.", "FN:s avgående generalsekreterare Kofi Annan har en hel del att stå till svars för."
"The UN Secretary-General asked the Contact Group to report back to him by 10 December.", "FN:s generalsekreterare har bett kontaktgruppen att rapportera till honom till den 10 december."
"As the UN Secretary-General has just reminded us, both sides must comply with this resolution.", "Som FN:s generalsekretare precis påminde oss om måste bägge sidor efterleva resolutionen."
"UN Secretary‑General Ban Ki-moon and Somalia's president Sharif Sheikh Ahmed agreed.", "Han fick medhåll av FN:s generalsekreterare Ban Ki-moon och Somalias president Sharif Sheikh Ahmed."
"In 1981 the Committee on Missing Persons was set up under the aegis of the UN Secretary General.", "År 1981 inrättades kommittén för saknade personer under beskydd av FN:s generalsekreterare."
"This idea has been approved by UN Secretary-General Ban Ki-moon, and I am very proud of that.", "Denna idé har fått stöd av FN:s generalsekreterare Ban Ki-moon, och det är jag mycket stolt över."
"The ALDE Group applauds UN Secretary-General Ban Ki-moon's report and initiative on Sri Lanka.", "ALDE-gruppen applåderar FN:s generalsekreterare Ban Ki-moons rapport och initiativ om Sri Lanka."
"The debate was preceded by the third report by the UN Secretary-General on children and armed conflicts.", "Debatten föregicks av FN:s generalsekreterares tredje rapport om barn och väpnad konflikt."
"But Morocco has not yet formally replied to the UN Secretary-General's compromise proposal.", "Men det formella marockanska svaret på FN: s generalsekreterares kompromissförslag har ännu inte kommit."
"The debate was preceded by the third report by the UN Secretary-General on children and armed conflicts.", "Debatten föregicks av FN: s generalsekreterares tredje rapport om barn och väpnad konflikt."
"The European Union fully supports the work of the UN Secretary-General.", "Jag hoppas att parlamentet kommer att vara vår starkaste bundsförvant i stödjandet av dessa ansträngningar."
"The concept known as the 'Green New Deal' was articulated by the UN Secretary-General, Mr Ban Ki-moon.", "Konceptet som är känt som ”den nya gröna given” uttalades av FN:s generalsekreterare Ban Ki-Moon."
"We agree with the conclusions of UN Under-Secretary Pascoe that the situation is indeed serious.", "Vi håller med Lynn Pascoe, biträdande generalsekreterare för FN, om att situationen verkligen är allvarlig."
"We also welcome the UN General Secretary Ban Ki-moon's visit to Burma, scheduled for tomorrow.", "Vi ser även positivt på FN:s generalsekreterare Ban Ki-moons besök i Myanmar, som är planerat för morgondagen."
"We have to support the UN Secretary General in his mission.", "Vi måste stödja FN: s generalsekreterare på hans resa."
"The UN Secretary-General, Kofi Annan, has also entreated them to do this.", "FN:s generalsekreterare Kofi Annan har även han enträget bett dem om att göra det."
"The UN Secretary-General, Kofi Annan, has also entreated them to do this.", "FN: s generalsekreterare Kofi Annan har även han enträget bett dem om att göra det."
"The High Representative again met with the UN Secretary General in Lisbon last Saturday.", "Den höga representanten träffade förra söndagen FN:s generalsekreterare i Lissabon."
"The UN Secretary General, Mr Ban Ki-Moon, has wholeheartedly endorsed this conclusion.", "FN:s generalsekreterare Ban Ki-Moon har helhjärtat stött denna slutsats."
"The European Union fully supports the work of the UN Secretary-General.", "Europeiska unionen stöder fullständigt FN:s generalsekreterares arbete."
"The outgoing UN Secretary-General, Mr Kofi Annan, has a lot of explaining to do in this respect.", "FN:s avgående generalsekreterare Kofi Annan har en hel del att stå till svars för."
"The UN Secretary-General asked the Contact Group to report back to him by 10 December.", "FN:s generalsekreterare har bett kontaktgruppen att rapportera till honom till den 10 december."
"As the UN Secretary-General has just reminded us, both sides must comply with this resolution.", "Som FN:s generalsekretare precis påminde oss om måste bägge sidor efterleva resolutionen."
"UN Secretary‑General Ban Ki-moon and Somalia's president Sharif Sheikh Ahmed agreed.", "Han fick medhåll av FN:s generalsekreterare Ban Ki-moon och Somalias president Sharif Sheikh Ahmed."
"In 1981 the Committee on Missing Persons was set up under the aegis of the UN Secretary General.", "År 1981 inrättades kommittén för saknade personer under beskydd av FN:s generalsekreterare."
"This idea has been approved by UN Secretary-General Ban Ki-moon, and I am very proud of that.", "Denna idé har fått stöd av FN:s generalsekreterare Ban Ki-moon, och det är jag mycket stolt över."
"The ALDE Group applauds UN Secretary-General Ban Ki-moon's report and initiative on Sri Lanka.", "ALDE-gruppen applåderar FN:s generalsekreterare Ban Ki-moons rapport och initiativ om Sri Lanka."
"The debate was preceded by the third report by the UN Secretary-General on children and armed conflicts.", "Debatten föregicks av FN:s generalsekreterares tredje rapport om barn och väpnad konflikt."
"But Morocco has not yet formally replied to the UN Secretary-General's compromise proposal.", "Men det formella marockanska svaret på FN: s generalsekreterares kompromissförslag har ännu inte kommit."
"The debate was preceded by the third report by the UN Secretary-General on children and armed conflicts.", "Debatten föregicks av FN: s generalsekreterares tredje rapport om barn och väpnad konflikt."
"The European Union fully supports the work of the UN Secretary-General.", "Jag hoppas att parlamentet kommer att vara vår starkaste bundsförvant i stödjandet av dessa ansträngningar."
"The concept known as the 'Green New Deal' was articulated by the UN Secretary-General, Mr Ban Ki-moon.", "Konceptet som är känt som ”den nya gröna given” uttalades av FN:s generalsekreterare Ban Ki-Moon."
"We have to support the UN Secretary General in his mission.", "Vi måste stödja FN: s generalsekreterare på hans resa."
"The day before yesterday I was in New York, and we spoke with Ban Ki-moon, the UN Secretary-General, on that subject.", "I förrgår var jag i New York, där vi tog upp detta med FN:s generalsekreterare Ban Ki Moon."
"The issue can still be settled before 1 May next year on the basis of the UN Secretary-General's proposal.", "Alla berörda parter måste bidra till denna process och kommissionen är beredd att bistå på alla sätt den kan."
