//Sentences
"On our shelves at home, we have a box set of the DVD series "24," season six to be precise.", "Hemma på en hylla har vi en DVD-box med serien "24", säsong sex för att vara exakt."
"And they had the farmers -- there is posters they put in the barn, and they have a DVD.", "Och de hade uppfödarna, det finns affischer de sätter upp i ladugården och de har en DVD."
"Hands up -- how many of you have books, CDs, DVDs, or videos lying around your house that you probably won't use again, but you can't quite bring yourself to throw away?", "Upp med handen - hur många av er har böcker, CD, DVD eller videofilmer liggandes hemma som ni troligen inte kommer att använda igen, men som ni inte kommer er för att slänga bort?"
"Again this week in Scotland, it was revealed that so far this year, Scottish police have seized half a million CDs and DVDs with a street value close to GBP 5 million.", "Samma vecka, i Skottland, avslöjades att hittills i år har den skotska polisen beslagtagit en halv miljon cd-skivor och dvd:er till ett värde av närmare 5 miljoner brittiska pund på gatan."
"This problem was brought to my attention by a constituent in the city of Leeds who has a small company selling DVDs - the kind of materials you mentioned - and employs 31 people.", "Jag blev uppmärksammad på detta problem av en väljare i staden Leeds. Denne har ett litet företag som säljer dvd-skivor - det slags material som ni nämnde - och sysselsätter 31 människor."
"He implied that I could repeat Dachau.", "Han antydde att jag kunde upprepa Dachau."
"Well, let me enlighten him: one, Dachau was a German death camp; two, Dachau is in Germany, and I am not German.", "Låt mig upplysa honom: för det första var Dachau ett tyskt koncentrationsläger, för det andra ligger Dachau i Tyskland och jag är inte tysk."
"I believe that I know what that means; my father survived the battle of Stalingrad; my mother emerged from the concentration camps at Auschwitz and Dachau.", "Jag tror mig veta vad det innebär. Min far överlevde slaget om Stalingrad och min mor koncentrationslägren Auschwitz och Dachau."
"We also need to express our solidarity with the Italian minister, who was accompanying her own father, a former Dachau deportee now confined to a wheelchair, in the parade.", "Vi måste också uttrycka vår solidaritet med den italienska ministern, som var i sällskap med sin far, tidigare Dachaufånge och numera rullstolsburen, i paraden."
"Even worse, the Education Minister’s father, a partisan who had been held in Dachau and had won the silver and bronze medals of the Resistance, was shouted at and jeered.", "Vad värre är, man skrek åt och hånade utbildningsministerns far, en motståndsman som suttit fången i Dachau och erhållit silver- och bronsmedalj från motståndsrörelsen."
"Even worse, the Education Minister’ s father, a partisan who had been held in Dachau and had won the silver and bronze medals of the Resistance, was shouted at and jeered.", "Vad värre är, man skrek åt och hånade utbildningsministerns far, en motståndsman som suttit fången i Dachau och erhållit silver- och bronsmedalj från motståndsrörelsen."
"He even claimed that, after a four-day visit to Poland, he knew my country better than I did, and that I am not a part of Poland - but that Dachau apparently is.", "Han hävdade också att han, efter ett fyra dagar långt besök i Polen, kände till mitt land bättre än jag gör, och att jag inte är en del av Polen - med det är uppenbarligen Dachau."
"Our national car, the Dacia, is one example I can give of this.", "Vår nationella bil, Dacian, är ett exempel på detta."
"Think, too, of the political impact of the powerful strike in Dacia, Romania against 'low-cost Europe'.", "Tänk även på de politiska följderna av den omfattande strejken i Dacia i Rumänien, mot ”lågkostnads-Europa”."
"I only need to mention the cases of Dacia Renault, which is restricting its activities, and Ford, which has requested support from the Romanian state.", "Jag kan bara nämna Dacia Renault, som håller på att dra ned på verksamheten, och Ford, som har ansökt om statligt stöd i Rumänien."
"Ancient Tracia, Dacia and the like, which were part of Europe before our continent had a name, have rejoined the family and returned to the Europe to which they always belonged.", "Antikens Trakien och Dakien med flera områden, som var delar av Europa innan kontinenten hade ett namn, har återbördats till familjen och återvänt till det Europa som de alltid har tillhört."
"That is the way it happens, so Mr Dacian Cioloş is fully included in these discussions.", "Det är så det går till, så Dacian Cioloş är med i de här diskussionerna hela vägen."
"Dacian Cioloş was Romania's Minister of Agriculture during that period (October 2007 to December 2008).", "Under denna tid var Dacian Cioloş Rumäniens jordbruksminister (från oktober 2007 till december 2008)."
"The new Commissioner for Agriculture is supposedly going to be the former Romanian Minister of Agriculture, Dacian Cioloş.", "Den nye kommissionsledamoten med ansvar för jordbruk ska bli Rumäniens före detta jordbruksminister Dacian Cioloş."
"This vote sends a clear and strong message to the Commissioner for Agriculture and Rural Development, Dacian Cioloş.", "Med denna omröstning sänds ett tydligt och kraftfullt meddelande till kommissionsledamoten med ansvar för jordbruk och landsbygdsutveckling, Dacian Cioloş."
"Dacian Cioloş, Member of the European Commission responsible for Agriculture and Rural Development, must now use this report to put forward some good proposals by the end of this year.", "Dacian Cioloş, kommissionsledamot med ansvar för jordbruk och landsbygdsutveckling, bör nu använda detta betänkande för att lägga fram några bra förslag före årsskiftet."
"We should take our inspiration from President Kim Dae-Jung, who is one of the great statesmen of our age.", "Vi bör ta vår inspiration från president Kim Dae-Jung, som är en av vår tids största statsmän."
"Equally clearly, President Kim Dae-Jung has been very realistic about what can be achieved in the short term.", "Lika klart har president Kim Dae-Jung varit mycket realistisk om vad som kan uppnås på kort sikt."
"Address by Mr Kim Dae Jung, President of the Republic of Korea", "Tal av Sydkoreas president Kim Dae Jung"
"Under President Kim Dae Jung, Korea has started an economic reform beginning to address some of our long-standing concerns.", "Under president Kim Dae Jungs styre har Korea inlett en ekonomisk reform och på så sätt börjat ta itu med några av våra mångåriga bekymmer."
"One of Asia's very greatest advocates of democracy and human rights, Kim Dae Jung has paid a very high personal price for his fight for democracy.", "Kim Dae Jung är en av Asiens allra största kämpar för demokrati och mänskliga rättigheter som betalat ett högst personligt pris för kampen för demokrati."
"One of Asia' s very greatest advocates of democracy and human rights, Kim Dae Jung has paid a very high personal price for his fight for democracy.", "Kim Dae Jung är en av Asiens allra största kämpar för demokrati och mänskliga rättigheter som betalat ett högst personligt pris för kampen för demokrati."
"What we want is for President Kim Dae-Jung's Sunshine Policy to be implemented, but for this to take place, dialogue must be pursued, but this dialogue must also be frank and fair.", "Vi hoppas att president Kim Dae-Jungs Sunshine policy kan fortsätta, men då krävs en fortsatt dialog som är ärlig och lojal."
"The summit meeting in Pyongyang in 2000 between President Kim Dae-jung and North Korea's Chairman Kim Jong-il encouraged hopes of further constructive developments.", "Toppmötet i Pyongyang år 2000 mellan president Kim Dae Jung och Nordkoreas ordförande Kim Jong Il gav förhoppningar om vidare konstruktiv utveckling."
"The aim of this step was to support the Sunshine Policy pioneered by the South Korean President Kim Dae-Jung, who also had the backing of the international community.", "Vår uppgift var att stödja den sydkoreanske presidenten Kim Dae-Jung i hans Sunshine policy, vilken för övrigt hade stöd hos det internationella samfundet."
"Finally, clearly the Nobel prize-winner, President Kim Dae-Jung, has been typically visionary in the efforts that he has made to promote reconciliation on the peninsula.", "Till sist, vinnaren av Nobelpriset, president Kim Dae-Jung, har klart varit typiskt klarsynt i de ansträngningar som han har gjort för att främja försoning på halvön."
"Finally, on a slightly more personal note, as a member of this Parliament I was dismayed when around 200 Members filed out as Kim Dae Jung was about to speak.", "Avslutningsvis skulle jag vilja bli litet mera personlig. Såsom ledamot av detta parlament blev jag bestört då ungefär tvåhundra ledamöter tågade ut när Kim Dae Jung skulle tala."
"I would also remind you of the statement made by South Korea's President Kim Dae Young on his visit to Stockholm in connection with receiving the Nobel Peace Prize in Oslo.", "Jag vill också erinra om det uttalande som gjordes av Sydkoreas president Kim Dae Young när han besökte Stockholm i anslutning till att han i Oslo fick motta Nobels fredspris."
"I would also remind you of the statement made by South Korea' s President Kim Dae Young on his visit to Stockholm in connection with receiving the Nobel Peace Prize in Oslo.", "Jag vill också erinra om det uttalande som gjordes av Sydkoreas president Kim Dae Young när han besökte Stockholm i anslutning till att han i Oslo fick motta Nobels fredspris."
"President Kim Dae-jung emphasised that Sweden's long-established contacts with the countries on the Korean peninsula could play a valuable role during the Swedish Presidency.", "President Kim Dae-jung betonade att Sveriges långvariga kontakter med länderna på den koreanska halvön skulle kunna spela en värdefull roll under det svenska ordförandeskapet."
"President Kim Dae-jung emphasised that Sweden' s long-established contacts with the countries on the Korean peninsula could play a valuable role during the Swedish Presidency.", "President Kim Dae-jung betonade att Sveriges långvariga kontakter med länderna på den koreanska halvön skulle kunna spela en värdefull roll under det svenska ordförandeskapet."
"In addition to this, we must welcome the openness in the political and labour fields that have been evident to a large extent since the election of the current Korean President, Kim Dae Jung.", "Dessutom måste vi välkomna öppningen i de politiska och sociala områdena vilka vi i högre grad har kunnat iaktta efter valet av republikens nuvarande president, Kim Dae Jung."
"Unfortunately, we have cut the budget this time compared to the last time and if we are serious about assisting Kim Dae-jung with his sunshine policy that sends exactly the wrong signals.", "Tyvärr har vi skurit ned budgeten denna gång jämfört med förra gången, och om vi menar allvar med att vilja hjälpa Kim Dae Jung med hans solskenspolitik, sänder det precis fel signaler."
"Talks were held in Pyongyang with the North Korean leader, Chairman Kim Chung-il, and the number two in the North Korean power hierarchy Kim Chong-nam, and in Seoul with President Kim Dae-jung.", "I Pyongyang fördes samtal med den nordkoreanske ledaren, ordföranden Kim Jong Il, och nummer två i den nordkoreanska makthierarkin Kim Jong Nam och i Seoul med president Kim Dae-jung."
"During its visit to Pyongyang on 2-3 May the EU delegation had long talks with substantial content with Kim Chung-il, and thereafter this was presented to President Kim Dae-jung in South Korea.", "EU-delegationen hade under besöket i Pyongyang den 2-3 maj långa samtal med substantiellt innehåll med Kim Jong Il, och därefter presenterades detta för president Kim Dae-jung i Sydkorea."
"He was kidnapped in Mukala in Dagestan and nothing has been done to free him.", "Han kidnappades i Mukala i Dagestan och inget har gjorts för att befria honom."
"On 12 August 2002, he was abducted in Makhachkala, the capital of Dagestan.", "Den 12 augusti 2002 kidnappades han i Machatjkala, Dagestans huvudstad."
"Secondly action must be taken to prevent destabilisation of the ethnic balance in Dagestan.", "För det andra måste man förhindra att den etniska balansen i Dagestan rubbas."
"There are perhaps 30 different peoples in Dagestan with just as many different languages.", "Det finns kanske 30 olika folkslag i Dagestan, med lika många olika språk."
"President Putin calls neighbouring Dagestan a ‘mini Iraq on Russia’s doorstep’.", "President Putin kallar Dagestan som ligger intill för ett ”mini-Irak på tröskeln till Ryssland”."
"B5-0071/ 99 by Mrs Muscardini, on behalf of the UEN Group, on the situation in Dagestan;", "B5-0071 / 99 av Muscardini för UEN-gruppen om situationen i Dagestan,"
"Right now it concerns the tragic fate of the people in Dagestan.", "I dag handlar det om de tragiska omständigheterna för människorna i Dagestan."
"It still continues, although it has spread, in particular to Dagestan and Ingushetia.", "Den pågår ännu, även om den spridits till Dagestan och Ingusjien."
"B5-0071/99 by Mrs Muscardini, on behalf of the UEN Group, on the situation in Dagestan;", "B5-0071/99 av Muscardini för UEN-gruppen om situationen i Dagestan,"
"Close on 200,000 innocent people have been forced to flee, and Dagestan is being ever more destabilised.", "Närmare 200 000 oskyldiga har drivits på flykt, och Dagestan destabiliseras alltmer."
"The problem in the Caucasus, in Chechnya, Dagestan and Ingushetia is actually nothing new.", "Problemen i Kaukasus och problemen i Tjetjenien, Dagestan och Ingotjetjen är inte heller någonting nytt."
"B5-0095/ 99 by Mr Haarder, on behalf of the ELDR Group, on Dagestan;", "B5-0095 / 99 av Haarder för ELDR-gruppen om Dagestan,"
"In August, journalist Malik Akhmedilov was shot dead shortly after leaving his home in Dagestan.", "I augusti sköts journalisten Malik Achmedilov till döds kort efterdet att han lämnat sitt hem i Dagestan."
"B5-0095/99 by Mr Haarder, on behalf of the ELDR Group, on Dagestan;", "B5-0095/99 av Haarder för ELDR-gruppen om Dagestan,"
"There are other adjoining areas, such as Dagestan.", "Och där finns andra närliggande regioner, som t.ex. Dagestan."
"Arjan Erkel is a volunteer doctor working with Médecins Sans Frontières and head of the MSF mission in Dagestan.", "Arjan Erkel är frivillig inom Läkare utan gränser och chef för denna organisations delegation i Dagestan."
"The first is talking to Dagestan, the second to Moscow, the third to Macedonia and the fourth perhaps to Cologne.", "En av dem talar med Dagestan, nästa med Moskva, den tredje med Makedonien och den fjärde kanske med Köln."
"There are other adjoining areas, such as Dagestan.", "Och där finns andra närliggande regioner, som t.ex."
"The main thing would be above all for these people in Dagestan to be granted the same autonomy as they already have in neighbouring states.", "Framför allt är det viktigt att samma autonomi som grannstaterna har erkänns människorna i Dagestan."
"I shall summarise: firstly, we are not disputing the right of the Russian government to fight the brutal terrorism in Dagestan.", "Jag sammanfattar: För det första, vi ifrågasätter inte den ryska regeringens rätt att bekämpa den brutala terrorismen i Dagestan."
"Dagmar Roth-Behrendt intended to move one of the two amendments tonight.", "Dagmar Roth-Behrendt hade för avsikt att flytta ett av de två ändringsförslagen i kväll."
"I certainly also enjoyed working into the night with Dagmar.", "Jag måste säga att jag definitivt har uppskattat nätterna tillsammans med Dagmar."
"Thank you very much, Dagmar Roth-Behrendt, for these questions.", "(EN) Tack så mycket, Dagmar Roth-Behrendt, för dessa frågor."
"Thank you very much, Dagmar Roth-Behrendt, for these questions.", "Tack så mycket, Dagmar Roth-Behrendt, för dessa frågor."
"Mr President, I would like to thank the rapporteur, Dagmar Roth-Behrendt, who has done an excellent and thorough job.", "Herr talman! Jag tackar föredraganden av betänkandet, Dagmar Roth-Behrend, som har gjort ett mycket bra och grundligt arbete."
"Bravo, Dagmar, for your work on the draft of the European Parliament and Council regulation presented to us by the Commission.", "Bravo, Dagmar, för ditt arbete med förslaget till Europaparlamentets och rådets förordning som lades fram av kommissionen."
"Mr President, it was with great pleasure that I voted for the report against the experimentation of cosmetics on animals, tabled by Mrs Dagmar Roth-Behrendt.", "Herr talman! Jag röstade med nöje för betänkandet mot djurförsök med kosmetika av Dagmar Roth-Behrendt."
"I would specifically like to thank the Chair of the working group, Dagmar Roth-Behrendt, and her - our - colleagues for their special commitment.", "Jag vill särskilt tacka arbetsgruppens ordförande, Dagmar Roth-Behrendt, och hennes - våra - kolleger för deras särskilda engagemang."
"These are modest, sensible proposals coming out of the working group of vice-presidents and Dagmar Roth-Behrendt, and I commend them to the House.", "De förslag som lagts fram av vice talmännens och Dagmar Roth-Behrendts arbetsgrupp är blygsamma och förnuftiga och jag rekommenderar att kammaren antar dem."
"To conclude: last week Parliament also held a meeting hosted by Dagmar Roth-Behrendt at which the European Patient Forum outlined its manifesto.", "Avslutningsvis anordnade parlamentet i förra veckan också ett möte där Dagmar Roth-Behrendt stod som värd och där Europeiskt patientforum lade fram sin programförklaring."
"I would like to say at the outset - and I am sure that the Chairman of the Committee will say the same - how much we regret the absence of Dagmar Roth-Behrendt tonight.", "Jag vill så här i början säga - och jag är säker på att utskottsordföranden kommer att säga samma sak - hur mycket vi beklagar Dagmar Roth-Behrendts frånvaro i kväll."
"That is why I would reply to Dagmar Roth-Behrendt that the question is not of patients' right of movement within the European Union, which is a self-evident, fundamental right.", "Därför vill jag svara Dagmar Roth-Behrendt att det här inte handlar om patientens rätt till rörlighet inom EU, som är en självklar och grundläggande rättighet."
"He reintroduced the question of a neighbourhood Europe, followed by numerous others such as Dagmar Roth-Behrendt on behalf of the Socialist Party and Jules Maaten for the ALDE Group.", "Han tog på nytt upp frågan om ett europeiskt grannskap, i likhet med flera andra, exempelvis Dagmar Roth-Behrendt för socialdemokratiska gruppen och Jules Maaten för ALDE-gruppen."
"As colleagues will be aware, Parliament has had a working group very ably chaired by our colleague Dagmar Roth-Behrendt which has been looking into improving the workings of our Parliament.", "Som bekant har en arbetsgrupp inom parlamentet, som har letts på ett mycket skickligt sätt av vår kollega Dagmar Roth-Behrendt, utrett frågan om förbättrade arbetsmetoder för parlamentet."
"I am sure the whole House, even at this late hour, would join with me in wishing Dagmar well, and believing that she will recover with her customary vigour in the very near future.", "Jag är säker på att hela kammaren, även vid denna sena timme, tillsammans med mig kan önska Dagmar lycka till och vi får hoppas att hon snart återhämtar sig och får tillbaka sin sedvanliga livslust."
"Madam President, I would like to add my own congratulations to those addressed to our colleague Mrs Dagmar Roth-Behrendt for all the energy and good will she has expended to get her report adopted.", "Fru talman! Jag skulle vilja instämma i de gratulationer som riktats till vår kollega Dagmar Roth-Behrend för all den energi och vilja hon har lagt ned på att få sitt betänkande antaget."
"Dagnabbit!", "Fasen också!"
"I then read him a chapter of Roald Dahl's "James and the Giant Peach."", "Sedan läste jag för honom, ett kapitel ur Roald Dahl's "James och jättepersikan"."
"If we write "Tell me what you were thinking" then that works much better”, says Helena Dahl.", "Skriver vi ”Berätta hur du tänkt!” fungerar det bättre, säger Helena Dahl."
"Tomorrow Hanne Dahl will represent the Danish June Movement.", "Från och med i morgon företräder Hanne Dahl den danska junirörelsen."
"You become very happy”, says Helena Dahl, primary school teacher in her fifth semester and her second as coach.", "Man blir jätteglad, säger Helena Dahl, grundskollärare på femte terminen och coach på sin andra."
"For this reason, I have voted against the Dahl report.", "Därför har jag röstat mot Hanne Dahls betänkande."
"Mrs Dahl, as far as I am aware there is no problem.", "Fru Dahl! Såvitt jag ser är det inget problem."
". - (FR) Madam President, these are serious questions raised by Mrs Goudin and Mrs Dahl.", "rådets tjänstgörande ordförande. - (FR) Fru talman! Hélène Goudin och Hanne Dahl tar upp allvarliga frågor."
"I see Mrs Dahl asking for the floor again.", "Jag ser att Hanne Dahl ber om ordet igen."
"For instance, there was a suggestion that all final votes on legislation should automatically be by roll-call vote - I think that came from Ms Dahl.", "Det fanns till exempel ett förslag om att alla slutliga omröstningar om lagstiftning per automatik skulle ske med namnupprop."
"I was specially touched by Mrs Dahl - I am sorry that she is no longer in the plenary - who said that this was the first time that she had taken the floor.", "Jag blev särskilt rörd av Hanne Dahl, som tyvärr inte längre är kvar i kammaren. Hon sa att detta var första gången hon hade yttrat sig."
"After 29 years I will leave this place to my successor, Hanne Dahl, and I will not be a Member during the coming asparagus season in May.", "Efter 29 år kommer jag att lämna min plats till min efterträdare, Hanne Dahl, och jag kommer inte att vara ledamot under den kommande sparrissäsongen i maj."
". - Madam President, it was with great pleasure that I voted for this report, and I wish Mrs Dahl well on her maternity leave.", "för PSE-gruppen. - (EN) Fru talman! Det var med stor glädje som jag röstade för detta betänkande och jag önskar Hanne Dahl lycka till på hennes mammaledighet."
". - (IT) Madam President, ladies and gentlemen, I voted for the report by Mrs Dahl on the organisation and operation of the Publications Office of the European Union.", "skriftlig. - (IT) Fru talman, mina damer och herrar! Jag röstade för betänkandet av Hanne Dahl om organisationen och driften av Europeiska unionens publikationsbyrå."
"The picture shows (from left) Clara Säberg, Tabea Schmidt, Helena Dahl, Christoffer Ekros, Sebastian Ekholm, Jakob Flyckt, Sofia Thorsell and Daniel Carlsson.", "I fyrtio år har de funnits med överallt och i alla sammanhang. Rättare sagt hörts. Hur bra de spelar är inte det viktiga för LiTHe Blås utan att ha roligt. Hela tiden."
