//Sentences
"more_vert open_in_new Link to Mozilla warning Request revision to or CC", "expand_more till eller kopia"
"more_vert open_in_new Link to statmt.org warning Request revision Now, I do not know whether it is possible to buy a car without a radio, CD player or those sorts of things.", "expand_more I dag vet jag inte om det ens går att köpa en bil utan radio, CD-spelare och så vidare."
"The Commission also wished to limit the extensive pirate copying of CDs and CD-ROMs.", "Kommissionen ville dessutom begränsa den omfattande piratkopieringen av CD-romskivor."
"I am mainly referring to cultural products such as CD-ROMs.", "Jag tänker särskilt på alla kulturella produkter, som t.ex. skivor och CD-rom."
"It is a big step to switch from just books to all possible forms of information such as cassettes, CD-ROMs and networks.", "Det är ett stort steg från endast böcker till alla tänkbara former av information, såsom kassetter, CD-romskivor och nätverk."
"Apparently, it is only a technical matter, with perhaps some rather more exciting elements such as reduced rates for records and CD-ROMs.", "Till synes handlar det bara om teknik, ibland med lidelsefulla inslag, som t.ex. reducerade skattesatser för skivor eller CD-rom."
"I especially like the idea of an open centre, easily accessible and without security controls, where those interested would find documents, audio-visual materials, CD-ROMS, and so on.", "Jag uppskattar särskilt idén om ett öppet centrum, lätt tillgängligt och utan kontroll, där de som så önskar kan finna olika dokument, audiovisuellt material, CD-ROM, etc."
"The question should also be raised of the cost to the family budget of using the new information technologies: licence fees, subscriptions, purchases of software, CD roms, diskettes or cassettes.", "Man måste också ställa frågan om hur stora kostnader familjens budget klarar, för användning av den nya informationstekniken med abonnemang, inköp av programvaror, CD-ROM, skivor och disketter."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision New audio books in DAISY format can fit on a single CD-ROM.", "expand_more Nya talböcker i DAISY-format ryms på en enda cd-romskiva."
"more_vert open_in_new Link to European Parliament warning Request revision You use CD-Rom not just for games and also make discoveries in virtual reality.", "expand_more De använder inte bara CD-ROM till spel och de gör sina upptäckter också i den virtuella verkligheten."
"more_vert open_in_new Link to European Parliament warning Request revision De använder inte bara CD-ROM till spel och de gör sina upptäckter också i den virtuella verkligheten.", "expand_more You use CD-Rom not just for games and also make discoveries in virtual reality."
"We need European computer programs for education: CD-ROM or Internet-based.", "Vi behöver europeiska dataprogram för undervisning, t.ex."
"I hope that when he publishes the macroeconometric model he will do so in a form which makes it available and easily usable by outside researchers, perhaps on CD-ROM.", "Jag hoppas att när han offentliggör den makroekonomiska modellen kommer detta att ske i en form som gör den tillgänglig och lätt att använda för externa forskare, kanske på en CD-skiva."
"For this reason, the CDA did not feel able to endorse this report.", "Av detta skäl kunde inte nederländska Kristdemokraterna stödja detta betänkande."
"In the view of the CDA/PPE delegation, a total ban on discards is unrealistic.", "CDA/PPE-ledamöterna anser att det är orealistiskt med ett totalförbud mot att kasta fångst överbord."
"The CDA is opposed to the proposal to reverse the burden of proof.", "Nederländska Kristdemokraterna motsätter sig omvänd bevisbörda."
"Let there be no doubt about this: the CDA is all for animal welfare and regards it as important.", "Det får inte råda någon tvekan om detta: Christen Democratisch Appèl (CDA) är för djurskydd och anser det vara av yttersta vikt."
"Mr President, I should like to give an explanation of vote to clarify why we in the CDA Party have voted against the report.", "Vi anser att detta är lättköpt politik på bekostnad av Europas fjäderfäuppfödare, vilket vi inte vill stödja."
"Today, the CDA delegation in the European Parliament abstained from the vote on the report on access to documents.", "Den kristdemokratiska delegationen i Europaparlamentet avstod i dag från att rösta om betänkandet om tillgång till handlingar."
"The CDA has tabled an amendment to that effect, which has been adopted by the Group of the European People's Party (Christian Democrats) and European Democrats.", "CDA har lämnat in ett ändringsförslag om det som har övertagits av PPE-DE."
"That strikes me as a healthy approach, and that is why we, in the CDA delegation, are enthusiastically supporting this course of action.", "Det förefaller mig vara en nyttig strategi, och det är därför vi i CDA-delegationen entusiastiskt stöder det tillvägagångssättet."
"The CDA cannot identify with the proposal that it is to be up to people against whom charges are brought to prove their innocence.", "Nederländska Kristdemokraterna kan inte ansluta sig till förslaget att det ankommer på dem som anklagelserna riktas mot att bevisa sin oskuld."
"(NL) I concur with what Mrs de Lange said on behalf of our delegation from the Dutch Christian Democratic Appeal (CDA) in this debate.", "(NL) Jag håller med Esther de Lange i det hon sade för vår delegation från det nederländska kristdemokratiska uppropet (CDA) under debatten."
"Mr President, I should like to give an explanation of vote to clarify why we in the CDA Party have voted against the report.", "– Herr talman! Jag skulle vilja framföra en röstförklaring för att klargöra varför vi i inom det nederländska partiet (CDA) har röstat mot betänkandet."
"This is the CDA.", "Det här är CDA."
"I call on my Dutch colleagues in the CDA and the VVD to support this idea and to distance themselves from Dutch back room politics.", "Jag uppmanar mina nederländska kolleger från partierna CDA och VVD att stödja den här tanken och ta avstånd från den nederländska politik som bedrivs bakom kulisserna."
". - (NL) Explanation of vote on behalf of the CDA delegation in the European Parliament concerning the Cappato report on access to documents.", "skriftlig. - (NL) Röstförklaring från den kristdemokratiska delegationen i Europaparlamentet avseende Cappatobetänkandet om tillgång till handlingar."
"For that reason alone, the CDA takes the view that we should not purchase any real estate until such time as the Council can be persuaded to accommodate everything under one roof.", "Enbart av det skälet anser CDA att vi inte bör köpa några fastigheter förrän rådet kan övertygas om att placera allt under ett tak."
"In addition, the CDA delegation in this House is of the opinion that the Commission should initiate a European strategy discussion about quantitative water management.", "Dessutom anser Europaparlamentets CDA-delegation att kommissionen borde inleda en strategidiskussion på Europanivå om kvantitativ vattenhantering."
". - (NL) I should like to give an explanation of vote on the Batzeli report on behalf of the Dutch delegation from the Christian Democratic Appeal (CDA).", "skriftlig. - (NL) Jag vill avge en röstförklaring till Katerina Batzelis betänkande för den nederländska delegationen från Kristdemokratiska unionen (CDA)."
"In the Dutch press, the impression has been created that Mr Doorn, the acting leader of the CDA Party, has found a way of saving the country EUR 10 billion a year.", ". – I den nederländska pressen har man skapat intrycket att Bert Doorn, CDA-partiets ledare, har hittat ett sätt för landet att spara 10 miljarder euro per år."
"The VVD and CDA in the Liberal and Christian-Democratic groups - that are, incidentally well represented in this debate today - are opposed to making these public.", "Ändå får dessa uppgifter inte offentliggöras. VVD och CDA i de liberala och de kristdemokratiska grupperna - för övrigt väl representerade i den här debatten i dag - är emot detta."
"Nevertheless, I have to highlight a few points on behalf of the Dutch CDA delegation, because we wish to mark out one or two lines of thought in our group in what will be a free vote.", "Detta hindrar inte att jag på den nederländska CDA-delegationens vägnar vill framhålla vissa saker därför att vi vill ange ytterligare några linjer vid den fria omröstningen i vår grupp."
"What funds have been spent for Belarus under CDC (Decentralised Cooperation)?", "Vilka medel har använts till förmån för Vitryssland inom decentraliserat samarbete?"
"What was the Commission's decision in complaint SG/CDC/(2007)A/6272 concerning the discovery of asbestos in a private dwelling in Ireland?", "Vad beslutade kommissionen om klagomål SG/CDC/(2007)A/6272 om att man hade upptäckt asbest i en privatbostad i Irland?"
"I'll have to notify the CDC.", "Jag måste meddela CSK."
"SG/CDC(2009)A/4546.", "SG/CDC(2009)A/4546."
"the immediate creation and operation of a European centre to control and monitor infectious diseases, similar to the CDC in the United States.", "Att omedelbart upprätta och få i gång ett europeiskt center för att kontrollera och övervaka smittsamma sjukdomar, liknande CDC [ The Centers for disease Control and Preventions ] i Förenta staterna."
"Part 1 concerns the Clean Development Mechanism (CDM) projects in the chain.", "Del ett rör projekt som innefattar mekanismen för ren utveckling (CDM) i kedjan."
"However, the CDM is not a substitute for funding in the framework of development cooperation.", "CDM är dock inte ett substitut för finansiering inom ramen för utvecklingssamarbetet."
"The quality criteria for Clean Development Mechanism (CDM) credits will be tightened up.", "Kvalitetskriterierna för tillgodohavandena i mekanismen för ren utveckling (CDM) kommer att skärpas."
"What is more, there is no certainty that the investments via the CDM really make any difference.", "Det är dessutom inte säkert att de investeringar som görs via CDM verkligen gör någon skillnad."
"The executive and supervisory role of the CDM Executive Board was made more transparent and stronger.", "Den verkställande och övervakande roll som CDM:s styrelse har, gjordes mer öppen och starkare."
"How will CDM projects be integrated with the EU's own financial planning of development cooperation?", "Hur kommer CDM-projekten att integreras i EU:s egen finansieringsplan för utvecklingssamarbetet?"
"The executive and supervisory role of the CDM Executive Board was made more transparent and stronger.", "Den verkställande och övervakande roll som CDM: s styrelse har, gjordes mer öppen och starkare."
"How will CDM projects be integrated with the EU's own financial planning of development cooperation?", "Hur kommer CDM-projekten att integreras i EU: s egen finansieringsplan för utvecklingssamarbetet?"
"I am not going to answer now, for example, about the importance of CDM projects for sub-Saharan Africa.", "Jag tänker inte i dag ge något svar om t.ex. betydelsen av CDM-projekt i Afrika söder om Sahara."
"The aviation sector has been granted only a small percentage of new access to the CDM.", "Flygbranschen har bara fått en liten del av de nya möjligheterna att utnyttja mekanismen för ren utveckling (CDM)."
"We have introduced an upper limit for the CDM or Clean Development Mechanism projects as well as quality criteria for them.", "Vi har fått in en övre gräns för CDM-projekten samt kvalitetskriterier för dem."
"What is the Commission's view on the flexible mechanisms and CDM projects, the Clean Development Mechanism?", "Vad är kommissionens syn på de flexibla mekanismerna och CDM-projekten, Clean Development Mechanism?"
"That is why CDM projects are allowed, subject to verification.", "Därför tillåts CDM-projekt, efter kontroll."
"As you know, the Kyoto Protocol contains no provisions on how companies can use JI and CDM credits.", "Som ni vet innehåller Kyotoprotokollet inte några bestämmelser om hur företag kan använda tillgodohavanden från JI och CDM."
"On this point, I am unfortunately compelled to note that the CDM, that is to say the Clean Development Mechanism, is not enough.", "Här finns en rad frågor som vi måste återkomma till och tillsammans utarbeta konkreta mål för."
"There were some questions on the CDM.", "Det var några frågor om mekanismen för en ren utveckling."
"It supports the targets of the international monopolies for generous funding through the 'Clean Development Mechanism' (CDM).", "I resolutionsförslaget stöds de internationella monopolens mål för en generös finansiering via mekanismen för ren utveckling."
"It would be helpful if the Commission could indicate how the fund is going to improve developing country access to the CDM.", "Det vore bra om kommissionen kunde tala om hur fonden kommer att bidra till att förbättra utvecklingsländernas tillgång till CDM."
"The European Union in its climate and energy package has created significant demand for CDM credits until 2020.", "EU har genom sitt klimat- och energipaket skapat en avsevärd efterfrågan på krediter inom ramen för mekanismen för ren utveckling fram till 2020."
"The CDM projects are a case in point.", "Det gäller CDM-projekten."
