//Sentences
"It is also demonstrated by the low voter turnout at the 2004 European elections.", "Det visades även genom det låga valdeltagandet i valet till Europaparlamentet 2004."
"But let me repeat that on the basis of what he has sent to me, there is zero evidence to support his claims of wrongdoing or breaches of the Rules.", "Jag vill härmed för protokollet uttrycka mitt djupa ogillande av de metoder som vår värderade kollega gjort till sina."
"There is no evidence to support the idea that the national regulatory authorities should simply be independent and regulate themselves.", "Det finns inga belägg som stöder idén om att nationella tillsynsmyndigheter helt enkelt borde vara självständiga och själva upprätta bestämmelser."
"They said, and I quote, ‘there is a complete lack of any viable evidence to support the view that insurers will derive any benefit from eCall’.", "De sa, och jag citerar: ”det saknas helt pålitliga bevis som stödjer åsikten att eCall kommer att vara till fördel för försäkringstagarna”."
"Ladies and gentlemen, there is not a single scientifically reliable shred of evidence to support the fact that the death penalty acts as a deterrent.", "Ärade kolleger, det finns inte en enda vetenskapligt trovärdig undersökning som bevisar att dödsstraff fungerar i förebyggande syfte."
"But let me repeat that on the basis of what he has sent to me, there is zero evidence to support his claims of wrongdoing or breaches of the Rules.", "Men låt mig åter säga att det inte finns någonting i hans skrivelse som ger stöd åt hans anklagelser om missgärningar och överträdelser."
"They said, and I quote, ‘ there is a complete lack of any viable evidence to support the view that insurers will derive any benefit from eCall’.", "De sa, och jag citerar: ” det saknas helt pålitliga bevis som stödjer åsikten att eCall kommer att vara till fördel för försäkringstagarna ”."
"The Council believes that there is no credible evidence to support the allegations of the involvement of the Algerian authorities in these massacres.", "Rådet anser att det inte finns några trovärdiga bevis som stöder påståendena om att de algeriska myndigheterna är inblandade i dessa massakrer."
"Having looked into this matter carefully I could not find any concrete scientific evidence to support the proposal concerning whole body vibrations.", "Efter att ha undersökt frågan ordentligt kunde jag inte finna något konkret vetenskapligt bevis som kunde stödja förslaget om helkroppsvibrationer."
"The evidence in support of this is very convincing; many problems can be overcome by investing, for example, in the primary health care of women.", "Detta har vi ju mycket övertygande bevismaterial på; genom att till exempel satsa på kvinnornas grundläggande hälsovård kan många svåra problem övervinnas."
"While I believe there is flexibility in this report, I think we needed a little more, but crucially we needed further scientific evidence to support the case.", "Samtidigt som jag anser att betänkandet är flexibelt anser jag att vi behöver lite mer, men ytterst behöver vi ytterligare vetenskapliga belägg för att stödja fallet."
"Preparation for the extraordinary European Council in Berlin on 24-25 March 1999", "Förberedelser av Europeiska rådets extra möte den 24-25 mars 1999 i Berlin"
"Outcome of extraordinary European Council in Berlin of 24/ 25 March 1999", "Resultatet från Europeiska rådets extra möte den 24-25 mars 1999 i Berlin"
"Outcome of extraordinary European Council in Berlin of 24/25 March 1999", "Resultatet från Europeiska rådets extra möte den 24-25 mars 1999 i Berlin"
"An extraordinary European Council is held in Brussels, Belgium.", "Europeiska rådet håller ett extraordinärt möte i Bryssel, Belgien."
"On 19 November, an extraordinary European Council will meet to negotiate the nominations.", "Den 19 november kommer ett extra möte att hållas i Europeiska rådet för att förhandla om nomineringarna."
"An extraordinary European Council is held in Birmingham, United Kingdom.", "Europeiska rådet håller ett extra möte i Birmingham."
"The extraordinary European Council at Berlin was held, at least to some extent, in very special circumstances.", "Europeiska rådets extra möte i Berlin hölls i en situation som åtminstone i viss mån var speciell."
"Extraordinary European Council (RC B5-0666/2001)", "Europeiska rådets extra möte (RC B5-0666/2001)"
"Extraordinary European Council of 21 September 2001 in Brussels - Preparatory work for the European Council in Ghent", "Europeiska rådets extra möte - Bryssel den 21 september 2001 - Förberedelser inför Europeiska rådets möte i Gent"
"I shall present this contribution with Baroness Ashton during the Extraordinary European Council next Friday.", "Jag ska tillsammans med baronessan Ashton redogöra för detta bidrag under Europeiska rådets extra sammanträde nästa fredag."
"And this will culminate - we hope - in the decisions of next March's Extraordinary European Council meeting in Lisbon.", "Det kommer att kulminera - det är vad vi hoppas - med besluten från Europeiska rådets extra toppmöte i Lissabon i mars nästa år."
"And this will culminate - we hope - in the decisions of next March' s Extraordinary European Council meeting in Lisbon.", "Det kommer att kulminera - det är vad vi hoppas - med besluten från Europeiska rådets extra toppmöte i Lissabon i mars nästa år."
"Calling an Extraordinary European Council meeting was undoubtedly the right move following the terrorist attack in the United States.", ".(EL) Att efter terroristattacken i USA sammankalla ett för Europeiska unionen extraordinärt toppmöte var nödvändigt."
"The Extraordinary European Council meeting at Tampere will not be dealing with the question of drugs mentioned by the Honourable Member.", "Narkotikafrågan, som parlamentsledamoten tog upp, kommer inte att diskuteras vid Europeiska rådets extra möte i Tammerfors."
"Following the Extraordinary European Council of 1 September, the Council discussed this on 13 October, as Mrs Ferrero-Waldner said.", "Efter Europeiska rådets extra möte den 1 september diskuterade rådet precis som Benita Ferrero-Waldner påpekade denna fråga den 13 oktober."
"An extraordinary European Council meeting could provide a timely boost to all these elements for, as we know, history waits for no man.", "Ett extraordinärt möte i Europeiska rådet skulle vara ett lämpligt sätt att driva på denna utveckling, för historien väntar som bekant inte."
"Madam President, Mr President-in-Office of the Council, Commissioner, ladies and gentlemen, the Socialist Group endorses the conclusions reached at the Extraordinary European Council at Brussels.", "Fru talman, herr tjänstgörande rådsordförande, herr kommissionär, ärade kolleger!"
"Madam President, I agree that this extraordinary European Council meeting on employment is very important for the European Union's credibility.", "Fru ordförande! Jag delar uppfattningen om att Europeiska rådets extra möte om sysselsättning är av stor vikt för Europeiska unionens trovärdighet."
"The Extraordinary European Council on 21 September provided an opportunity to take practical decisions and to display genuine European leadership.", "Europeiska rådets extra möte den 21 september gav oss tillfälle att fatta konkreta beslut och ge prov på ett verkligt europeiskt " leadership "."
"However, on this week's agenda, I have not seen any General Affairs Council meeting to prepare this extraordinary European Council meeting.", "Men på den här veckans dagordning har jag inte sett något möte i rådet (allmänna frågor) för att förbereda detta extra ordinarie möte i Europeiska rådet."
"more_vert open_in_new Link to statmt.org warning Request revision The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning.", "expand_more Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande."
"more_vert open_in_new Link to statmt.org warning Request revision Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande.", "expand_more The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning."
"Set the cursor in a blank cell, e.g., J14, and activate the Function Autopilot.", "Placera cellmarkören i en tom cell, t.ex. J14, och starta funktionsautopiloten."
"All indexes are created directly in the master document, i.e., in the *.sxg file.", "Alla förteckningar skapar du direkt i samlingsdokumentet, d.v.s. i *.sxg-filen."
"Is it certain that ECPAT can continue their project next year, i. e. in 2001?", "Är det helt klart att ECPAT kan fortsätta med sitt projekt under nästa år, 2001?"
"3D objects are always created with sides of equal length, e.g. as cube or sphere.", "3D-objekt öppnas alltid med lika långa sidor, alltså t.ex. som kub eller klot."
"If there are serious problems, they can be resolved in 2009, i.e. next year.", "Om det finns några allvarliga problem kan de lösas 2009, det vill säga nästa år."
"The master document automatically receives the extension.sxg (e.g. " Master.sxg ").", "Samlingsdokumentet får automatiskt filnamnstillägget.sxg (t.ex. "Samling.sxg")."
"The print area (e.g., the oversized rectangle) will be printed on multiple pages.", "Utskriftsområdet för t ex en alltför stor rektangel delas upp på flera sidor."
"Their basic tools, i.e. laptop computers and broadcasting technology, were seized.", "Deras viktigaste redskap, dvs. bärbara datorer och sändningsutrustning, beslagtogs."
"I am not sure that this is the best way of supporting our own e-commerce industry.", "Jag är inte säker på att detta är det bästa sättet att stödja vår elektronikhandel."
"This function is used to distribute objects, i.e. to align them in a uniform way.", "Den här funktionen används för att fördela objekt, d.v.s. för att få jämn justering."
"These are not criminals, but refugees, i. e. people who are seeking protection.", "Detta handlar inte om kriminella utan om flyktingar, dvs. människor som söker skydd."
"Improved rules on the collection and treatment of e-waste enter into force.", "Skärpta regler om insamling och behandling av elektroniskt avfall börjar gälla."
"Assign a different background color for the cell and a name (e.g., " Below ").", "Formatera cellen med bakgrundsfärgen ljusröd och kalla mallen för " Under "."
"These are not criminals, but refugees, i.e. people who are seeking protection.", "Detta handlar inte om kriminella utan om flyktingar, dvs. människor som söker skydd."
"We have a complete and correct guideline for this, i.e. a legislative measure.", "Vi har ett komplett och bra direktiv för detta, alltså en lagstiftad åtgärd."
"It was also important that we settled on a deadline, i.e. Copenhagen 2009.", "Det var även viktigt att vi enades om en tidsfrist, det vill säga Köpenhamn 2009."
"The fourth proposal concerns electronic commerce, or e-commerce for short.", "För det tredje, en bättre anpassning av de nuvarande reglerna för konsumentskydd."
"Choose this option to sort beginning with the lowest value, i.e. from A to Z or 0 to 9.", "Klicka här om sorteringen ska ske stigande, dvs från A till Ö och från 0 till 9."
"We have examined the legal basis, i.e., whether article 113 was the correct one.", "Vi har diskuterat den rättsliga grunden, dvs. frågan om artikel 113 här är den riktiga."
"There are those who reject any form of taxation, including tax on e-commerce.", "Här finns de som motsätter sig all beskattning, även av elektronisk handel."
"In physics, E means energy and G is the symbol of gravitational acceleration.", "Inom fysiken betyder E energi och G är symbolen för gravitationens acceleration."
"However, for the economic sector which I represent, i.e. fisheries, this means change.", "Men för just den ekonomiska sektor som jag företräder, fiskerisektorn, betyder detta förändringar."
"However, for the economic sector which I represent, i. e. fisheries, this means change.", "Men för just den ekonomiska sektor som jag företräder, fiskerisektorn, betyder detta förändringar."
"By means of eVote, 170 000 EU citizens have expressed their views on the way ahead for the European Union.", "Via eVote har 170 000 EU-medborgare uttryckt sin syn på hur Europeiska unionen borde vidareutvecklas."
"However, we are not alone in the world; e-commerce means competition, not only for companies but also for politicians.", "Vi är dock inte ensamma i världen - e-handel betyder konkurrens, inte bara för företag utan också för politiker."
"However, we are not alone in the world; e-commerce means competition, not only for companies but also for politicians.", "Den nya tekniken är i full färd med att förändra våra liv och kan med den nya valutan skapa ett helt nytt Europa."
""e-Europe" means more than just "e-commerce" .", "Jag ställer mig också skeptisk till informationsplaner och kampanjer på EU-nivå med tanke på ländernas olika utvecklingsnivåer. e-Europe är mer än bara e-handel."
"In view of countries ' different levels of development in the IT sphere, I am also sceptical about information plans and campaigns at EU level. " e-Europe " means more than just " e-commerce ".", "Jag ställer mig också skeptisk till informationsplaner och kampanjer på EU-nivå med tanke på ländernas olika utvecklingsnivåer. e-Europe är mer än bara e-handel."
"I am not among those who are so terribly concerned about all the E numbers and additives.", "Jag hör inte till dem som är så förfärligt oroliga för alla E-nummer och alla tillsatser."
"You know, the amount of additives, E numbers, ingredients you wouldn't believe -- there's not enough veggies at all.", "Ni vet, mängden tillsatser, E-nummer, ingredienser ni inte kan föreställa er... Det är inte tillräckligt mycket grönsaker."
"They include not only customers' names and surnames, addresses, telephone numbers and e mail addresses but also their betting history.", "Uppgifterna innefattar namn, adresser, telefonnummer, e‑postadresser men också varje kunds vadslagningshistorik."
"Under this agreement, personal data such as the telephone numbers and e-mail addresses of air passengers are transferred and stored for years.", "Enligt avtalet ska personuppgifter - bland annat flygpassagerares telefonnummer och e-postadresser - överföras och lagras i många år."
"Food additives, the ‘E numbers’ we often see on the labels of food products, come into the equation via the agri-foodstuffs industry.", "Livsmedelstillsatser, de ”E-nummer” som vi ofta ser på livsmedelsprodukternas etiketter, kommer till användning genom jordbrukets livsmedelsindustri."
"An average person consumes approximately 3 kg of the roughly 2 600 different additives with E numbers each year, without being clear about their harmful effects.", "Varje år sätter genomsnittsinvånaren i sig ungefär 3 kilo av de omkring 2 600 E-numrerade tillsatser som finns, utan att egentligen veta om de är skadliga eller ej."
"In a very big and nice room on the fifth floor of the Spinelli building, 28 multinational companies have their own office, the telephone numbers and e-mail addresses paid for by Parliament.", "I ett väldigt stort och trevligt rum på femte våningen i Spinelli-byggnaden har 28 multinationella företag sina kontor som, liksom deras telefoner och e-postadresser betalas av parlamentet."
"The main focus of the e-Learning programme will be the e-twinning of schools.", "Learning-programmets främsta fokus kommer att vara e-vänskolor."
"Over 17 000 European schools have signed up to eTwinning.", "Fler än 17 000 europeiska skolor har anmält sig till projektet e-vänskolekontakter."
"Over 17 000 European schools have signed up to eTwinning.", "Fler än 17 000 europeiska skolor har anmält sig till projektet e-vänskolekontakter."
"I particularly like the idea of e-twinning.", "Jag gillar särskilt idén med e-vänskolekontakter."
"Then, at one point, the music stopped and Mr Mauro, dancer at the turned to me and said: ‘e-twinning of universities: that is what my document will achieve.’", "Sedan upphörde plötsligt musiken, och Mauro, dansare på vände sig till mig och sade: ”e-vänortssystem mellan universitet, det är vad som kommer att uppnås med min handling.”"
"I should also like to highlight the eTwinning project, which is charged with linking up educational institutions from different European countries in order to set up joint projects.", "Jag vill också betona projektet e-vänskolekontakter, som förenar utbildningsinstitutioner från olika europeiska länder för att inrätta gemensamma projekt."
"I also wish to support e-twinning of European schools since that seems to me to be an excellent way of bringing about cooperation between schools from every corner of Europe.", "Jag vill också stödja e-vänskolekontakterna mellan europeiska skolor, eftersom det förefaller mig vara ett utmärkt sätt att nå samarbete mellan skolor i hela Europa."
