//Sentences
"My Client Center (MCC) is a powerful tool for handling multiple AdWords accounts.", "Mitt kundcenter (MCC) är ett effektivt verktyg för att hantera flera AdWords-konton samtidigt."
"The lack of food security is threatening to undermine MDG objective 1, particularly in sub-Saharan Africa.", "Den osäkra livsmedelsförsörjningen hotar millennieutvecklingsmål 1, särskilt i Afrika söder om Sahara."
"The MDG contracts (short presentation)", "Avtal i samband med millennieutvecklingsmålen (kortfattad redogörelse)"
"And I'm now giving you a wider picture than the MDG.", "Nu ger jag er en bredare bild än millenniemålen."
"The next item is the report by Mr Hutchinson, on behalf of the Committee on Development, on MDG contracts.", "Nästa punkt är ett betänkande av Alain Hutchinson, för utskottet för utveckling, om millennieutvecklingsmålavtalen."
"Subject: MDG 2 and ILO Child Labour Conventions", "Angående: MDG 2 och ILO:s konventioner om barnarbete"
"These are partner states that commit to focusing their policies, and consequently their spending, on the MDG.", "Detta är partnerstater som åtar sig att inrikta sin politik - och därmed sina utgifter - på millennieutvecklingsmålen."
"The objective of MDG 5 is to reduce the ratio of women dying in childbirth by three quarters between 1990 and 2015.", "Millennieutvecklingsmål 5 är att minska antalet kvinnor som dör under förlossningar med tre fjärdedelar mellan 1990 och 2015."
"(SK) I consider the joint motion for a resolution to evaluate MDG 5 on maternal mortality to be well balanced.", "(SK) Jag anser att det gemensamma förslaget till resolution för utvärdering av millennieutvecklingsmål 5 om mödradödlighet är balanserat."
"The MDG contracts (", "Avtal i samband med millennieutvecklingsmålen ("
"When there is budget support, including MDG budget contracts, specific objectives and indicators on children must and should be included.", "I både budgetstöd och budgetkontrakt om millenniemålen bör och måste man inkludera specifika mål och indikationer när det gäller barn."
"I particularly support the need to continue to push for an ambitious commitment to the Millennium Development Goals (MDG) at the Summit.", "Jag stöder särskilt det som sägs om behovet av att fortsätta arbeta för ett målmedvetet engagemang för millennieutvecklingsmålen vid toppmötet."
"Two or three minutes to defend an MEP's honour: that is all that I am asking for.", "Två eller tre minuter för att försvara en ledamots heder. Det är allt jag begär."
"These are questions that I, as an MEP, am repeatedly asked in this connection.", "Detta är frågor som jag, som parlamentsledamot, upprepat får i detta sammanhang."
"Mr President, I wish to thank the MEP who honourably declared his interests.", "– Herr talman! Jag vill tacka den ledamot som ärligt deklarerade sina intressen."
"Mr President, I might well continue where my fellow MEP, Mrs Theorin, left off.", "Herr talman! Jag skulle ju faktiskt kunna fortsätta där min kollega Theorin slutade."
"I hope and believe, therefore, that my former fellow MEP is wrong about this matter.", "Så jag hoppas och tror att min tidigare kollega inte har rätt på denna punkt."
"I have supported this idea right from the very beginning of my mandate as an MEP.", "Jag har stött den tanken ända sedan jag tillträdde som parlamentsledamot."
"Is that what is called free and unfettered exercise of the duty of an MEP?", "Är det vad som kallas en parlamentsledamots fria och obundna tjänsteutövande?"
"Mrs Malmström, I remember you well from the time you were an MEP here.", "Cecilia Malmström, jag kommer väl ihåg er från er tid som parlamentsledamot här."
"My fellow Danish MEP, Mr Haarder, decided to speak in a language other than his own.", "Min danske kollega, Bertel Haarder, valde ju att tala på ett annat språk än sitt eget."
"I am unfamiliar with my fellow MEP’s, Mr Coelho’s, background and motives.", "Jag känner inte till min ledamotskollega Carlos Coelhos bakgrund och motiv."
"I also heard in Corsica a complaint similar to the one expressed by our fellow MEP.", "Ett liknande klagomål som det från vår kollega hörde jag även i Korsika."
"The use of my gavel was not aimed at you but at an MEP who was trying to interrupt you.", "Mitt klubbslag var inte för er utan för en kollega som försökte avbryta er."
"Despite this his assistant, or secretary, voted here with Mr Becali's MEP card.", "Trots detta röstade hans assistent, eller sekreterare, här med George Becalis ledamotskort."
"As a new MEP for Nürnberg, I cannot therefore vote in favour of this report.", "Som ny parlamentsledamot från Nürnberg kan jag därför inte rösta för det här betänkandet."
"As a new MEP, I have to say that the report made very exciting reading.", "Som ny ledamot måste jag säga att det har varit en mycket spännande läsning."
"Polish MEP Jerzy Buzek is elected president of the European Parliament.", "Den polske EU-parlamentarikern Jerzy Buzek väljs till Europaparlamentets ordförande."
"I agree with the conclusions of the report, both as an MEP and as a doctor.", "Jag håller med om slutsatserna i betänkandet, både som parlamentsledamot och som läkare."
"Secondly, that each MEP has documents in his language at his disposal.", "För det andra att varje parlamentsledamot förfogar över dokument på sitt eget språk."
"I want to thank my fellow MEP, Mr Ebner for all the hard work he has done.", "Jag vill tacka kollegan Ebner för det stora arbete som han har lagt ned."
"May I rely on you, on the Presidency, to ensure that an MEP is free to visit Cuba?", "Kan jag lita på att ni, ordförandeskapet, ser till att Europaparlamentariker får besöka Kuba?"
"That is why the MEPs of the Communist Party of Greece voted against the report.", "Därför har ledamöterna från Greklands kommunistparti röstat nej till betänkandet."
"A substantial number of MEPs should form part of the college of Commissioners.", "Ett betydande antal parlamentsledamöter borde ingå i kommissionärernas kollegium."
"Labour MEPs support the strategy to control mercury proposed by the Commission.", "Kvicksilver är ett mycket giftigt ämne som måste underställas sträng kontroll."
"Rapporteurs and 'ordinary' MEPs can therefore be denied access to information.", "Föredragande och "vanliga" ledamöter kan således nekas tillgång till information."
"I should like to thank all of the MEPs who have worked so very hard on these texts.", "Jag skulle vilja tacka alla ledamöter som har arbetat så hårt med dessa texter."
"Fellow MEPs, I would like to call on you to back Jules Maaten' s excellent report.", "Kolleger, jag vill uppmana er att stödja det utmärkta betänkandet av Jules Maaten."
"We have also taken on board a number of other amendments from individual MEPs.", "Vi har också godtagit ett antal andra ändringsförslag från enskilda ledamöter."
"If MEPs complied with their own words, then perhaps the public would listen.", "Om Europaparlamentarikerna levde som de lär, då skulle allmänheten kanske lyssna."
"The truth is that as MEPs it has taken us a long time to have our own statute.", "Sanningen är att det dröjde att få en stadga upprättad för oss parlamentsledamöter."
"The Statute also means that all MEPs will receive the same level of salary from 2009.", "Stadgan innebär också att samtliga ledamöter får en gemensam lönenivå från 2009."
"The MEPs from the Czech ODS cannot support such a position with their votes.", "Parlamentsledamöterna från det tjeckiska ODS kan inte stödja en sådan ståndpunkt."
"I thank our fellow MEPs Mrs Bastos and Mr Bushill-Matthews for their contributions.", "Jag skulle vilja tacka våra kolleger Bastos och Bushill-Matthews för deras bidrag."
"And I should like to say to my German fellow MEPs that I understand their view.", "Och till de tyska kollegerna skulle jag vilja säga att jag förstår deras ståndpunkt."
"That is why the MEPs of the Communist Party of Greece abstained from voting.", "Därför har ledamöterna från det grekiska kommunistpartiet lagt ner sina röster."
"MEPs have today called for a revision of the EU's health response mechanisms.", "Parlamentsledamöterna har i dag efterlyst en översyn av EU:s hälsovårdsstrategier."
"It is important to preserve legal protection of personality for MEPs, too.", "Det är också viktigt att bevara det rättsliga skyddet för ledamöternas personer."
"We have in recent days been observing infringements of the independence of MEPs.", "Under de senaste dagarna har vi bevittnat kränkningar av ledamöternas självständighet."
"However, the Commission also shares the concern which certain MEPs have highlighted.", "Men kommissionen delar även den oro som vissa av ledamöterna har gett uttryck för."
"A further important victory for MEPs involved the protection of groundwater.", "Ytterligare en viktig seger för parlamentsledamöterna var skyddet av grundvattnet."
"It was therefore also good that our two fellow MEPs presented a joint report.", "Därför var det också bra att de båda kollegerna lade fram ett gemensamt betänkande."
"The same applies to the language research network, MERCATOR.", "Samma sak gäller Mercator, nätverket för språkforskning."
"A total of EUR 5.4 million is being set aside to fund the Bureau and the Mercator network for the 2004-2008 period.", "Ett belopp om 5,4 miljoner euro har avsatts för att finansiera byrån och Mercator-nätverket under perioden 2004-2008."
"This is on a Mercator projection.", "Det kan man se på en Mercator-vy."
"As regards the promotion of minority and regional languages within the Union, the Commission finances the European Bureau for Lesser Used Languages as well as the Mercator research centres.", "När det gäller främjande av minoritetsspråk och regionala språk inom unionen finansierar kommissionen Europeiska byrån för mindre använda språk, liksom Mercators forskningscentrum."
"When the MFA is withdrawn, some of the poorest countries will face major problems.", "När MFA upphör kommer några av de fattigaste länderna att få mycket stora problem."
"I agree with this decision to provide Ukraine with exceptional MFA.", "Jag håller med om beslutet att ge Ukraina exceptionellt makroekonomiskt stöd."
".: +359 2 948 2999 E-mail: iprd[at]mfa.government.bg", "BG - 1040 Sofia Tel.: +359 2 948 2999 E-mail: iprd[at]mfa.government.bg"
"Through this MFA, the European Union is forcing Georgia to carry on implementing the plan regardless.", "Genom detta makroekonomiska stöd tvingar EU ändå Georgien att genomföra planen."
"When the MFA is withdrawn, some of the poorest countries will face major problems.", "Detta gäller särskilt länder som får mer än 50 procent av sina nuvarande exportinkomster från textilier och kläder."
".: + 47 22 24 36 00 E-mail: post[at]mfa.no", "NO - 0032 Oslo Tel.: + 47 22 24 36 00 E-mail: post[at]mfa.no"
"We shall vote against the MFA (macro-financial assistance) being presented today to the European Parliament.", "Vi kommer att rösta mot det förslag om makroekonomiskt stöd som lagts fram i Europaparlamentet i dag."
"Whereas Parliament has, in the past, been quick in dealing with MFA files, the Commission and Council are slow.", "Parlamentet har tidigare behandlat ärenden om makroekonomiskt stöd snabbt, till skillnad från kommissionen och rådet som är långsamma."
"The Commission considers that the activation of the second part of the macro-financial assistance (MFA) pledged in 2008 is warranted.", "Kommissionen anser att aktiveringen av den andra delen av det makroekonomiska stöd som utlovades 2008 har garanterats."
"MFA is granted at a time when the EU is also participating in the mobilisation of finances to reform Ukraine's energy sector.", "Det makroekonomiska stödet tilldelas samtidigt som EU deltar i finansieringsarbetet inför reformeringen av Ukrainas energisektor."
"The new MFA would help Georgia to address the economic consequences of the conflict with Russia and the global crisis.", "Det nya makroekonomiska stödet skulle hjälpa Georgien att hantera de ekonomiska följderna av konflikten med Ryssland och den globala krisen."
"Ministry of Foreign Affairs Palazzo Parisio Merchants Street Valletta VLT1171 Tel: +356 21242 191/21242 853 E-mail: info.mfa[at]gov.mt", "Ministry of Foreign Affairs Palazzo Parisio Merchants Street Valletta VLT1171 Tel: +356 21242 191/21242 853 E-mail: info.mfa[at]gov.mt"
"It has been argued in the Green Group that we have to ensure that MFA is not going to be used for military purposes and I desire that as well.", "I den gröna gruppen har det hävdats att vi måste se till att makroekonomiskt stöd inte används för militära syften och det är något även jag önskar."
"The fact is that we often know nothing about how MFA is handled once it is transferred directly into the budget of the beneficiary country's central bank.", "Det är faktiskt så att det många gånger är obekant hur MFA fungerar eftersom det går in direkt i budgeten i mottagarlandets centralbank."
".: +357 22 401000 E-mail: minforeign1[at]mfa.gov.cy", "Υπουργείο Εξωτερικών Ministry of Foreign Affairs Presidential Palace Avenue CY - 1447, Nicosia Tel.: +357 22 401000 E-mail: minforeign1[at]mfa.gov.cy"
"It is for this reason that, for any future decision relating to the granting of MFA, the Commission and the Council must provide us with much more notice.", "Kommissionen och rådet måste därför, i samband med alla framtida beslut om beviljande av makroekonomiskt stöd, ge oss mycket mer framförhållning."
"The MFA would be provided at a time when the EU is also helping to mobilise financing to support the reform of the Ukrainian energy sector.", "Det makroekonomiska stödet skulle ges vid en tidpunkt då EU även hjälper till att mobilisera finansiering för att stödja reformeringen av den ukrainska energisektorn."
"This was made up of all parts of the Ukrainian political spectrum, such as the adviser to President Yushchenko, representatives of Naftogaz and the representative of the MFA.", "I delegationen ingick alla delar av Ukrainas politiska spektrum, däribland president Jusjtjenkos rådgivare, representanter för Naftogaz och MFA:s representant."
"A framework regulation on MFA, laid down under the codecision procedure, is necessary in order to enhance transparency, accountability, monitoring and reporting systems.", "Det behövs en ramförordning om makroekonomiskt stöd, framtagen genom medbeslutandeförfarandet, för att förbättra insynen, ansvarsskyldigheten, övervakningen och rapporteringssystemen."
". - (FR) Madam President, Commissioner, ladies and gentlemen, I am pleased to present this report to you today on the allocation of macro-financial assistance (MFA) to Lebanon.", "föredragande. - (FR) Fru talman, herr kommissionsledamot, mina damer och herrar! Det gläder mig att i dag lägga fram det här betänkandet om makroekonomiskt stöd till Libanon för er."
"I also endorse the need to extend the 2007-2013 MFF to the years 2015-2016.", "Jag stöder även behovet av att förlänga budgetramen 2007-2013 till 2015-2016."
"The Europe 2020 strategy should be the implementation reference for the MFF.", "Europa 2020-strategin bör vara riktlinjen för genomförandet av den fleråriga budgetramen."
"A new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe (", "En ny flerårig budgetram för ett konkurrenskraftigt och hållbart Europa för alla ("
"Europe 2020 cannot wait for the next Multiannual Financial Framework (MFF): it must start now.", "Europa 2020-strategin kan inte invänta nästa fleråriga budgetram: den måste inledas nu."
"The European Parliament's involvement in drafting the MFF is a provision of the treaty.", "Europaparlamentets deltagande i utarbetandet av den fleråriga budgetramen är en fördragsbestämmelse."
"The future MFF must provide measures for overcoming these difficulties.", "I den kommande fleråriga budgetramen måste det finnas åtgärder för att övervinna dessa svårigheter."
"This is why I believe that a minimum 5% increase is needed to the budget envisaged for the next MFF.", "Av den anledningen anser jag att nästa fleråriga budgetram måste ökas med minst fem procent."
"A new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe (debate)", "En ny flerårig budgetram för ett konkurrenskraftigt och hållbart Europa för alla (debatt)"
"The next MFF, which is now under discussion, will define the EU's long-term spending priorities", "EU-institutionerna diskuterar nu de långsiktiga utgiftsprioriteringarna för nästa fleråriga budgetram"
"Consequently, the Commission should urgently submit a proposal for a mid-term review of the MFF.", "Följaktligen bör kommissionen snarast inge ett förslag om halvtidsöversyn av den fleråriga budgetramen."
"I trust that the Parliament will be supportive in this area within the MFF.", "Jag hoppas och tror att parlamentet kommer att ge sitt stöd på detta område inom ramen för instrumentet för mikrokrediter."
"We all know that the new Treaty calls for new fields of competence to be reflected in the next MFF.", "Vi känner alla till att nya behörighetsområden måste avspeglas i nästa fleråriga budgetram enligt det nya fördraget."
"It is the policy reference for the next Multiannual Financial Framework (MFF), which should be as ambitious as possible.", "Den är den politiska referenspunkten för nästa fleråriga budgetram och bör vara så ambitiös som möjligt."
"Too much is left in the budget because we cannot change things because of the restrictions of the MFF.", "Alltför mycket lämnas i budgeten eftersom vi inte kan förändra saker på grund av de fleråriga budgetramarnas begränsningar."
"So I do not see why we have to stick to the old MFF and simply continue with the policies of the past.", "Så jag förstår inte varför vi måste hålla oss till den gamla fleråriga budgetramen och bara fortsätta med gårdagens politik."
"A new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe (continuation of debate)", "En ny flerårig budgetram för ett konkurrenskraftigt och hållbart Europa för alla (fortsättning på debatten)"
"It is important that we move towards an MFF whose revenues are not more than 80% dependent on national budgets.", "Det är viktigt att vi arbetar för en flerårig budgetram som är till högst 80 procent beroende av nationella budgetar."
"As we approach a new stage of EU enlargement, the MFF must provide for properly balanced expenditure.", "När vi närmar oss nästa etapp av EU:s utvidgning måste den fleråriga budgetramen garantera att budgetutgifterna är välbalanserade."
"It is also important to make progress towards an MFF, more than 80% of whose funds do not come from national budgets.", "Det är också viktigt att gå mot en flerårig budgetram där mer än 80 procent av medlen inte kommer från nationella budgetar."
"The annual figures for the new development cooperation instrument in the next MFF period should significantly increase in real terms.", "De årliga beloppen för det nya instrumentet för utvecklingssamarbete under nästa fleråriga budgetram bör väsentligen öka i reala termer."
