//Sentences
"I am thinking in particular of the LINGUA programme which has been set up by the EU.", "Jag tänker exempelvis på Lingua-programmet som finns inom Europeiska unionen."
"(LT) The financial, economic and social crisis has affected every citizen of Europe.", "(LT) Den finansiella, ekonomiska och sociala krisen har påverkat alla EU-medborgare."
"(LT) Mr President, we must have clarity, here in Brussels, when speaking about Lahti.", "(LT) Herr talman! Vi måste vara tydliga här i Bryssel när vi talar om Lahtis."
". - (LT) It is time for the EU to reconsider its long-term trade programme.", "skriftlig. - (LT) Det är dags för EU att omvärdera sitt långsiktiga handelsprogram."
". - (LT) If this regulation is adopted, it will be easier for citizens to live.", "skriftlig. - (LT) Om denna förordning antas kommer medborgarnas liv att förenklas."
"(LT) The crisis must force each one of us to change our behaviour and thinking.", "(LT) Krisen måste få oss alla att förändra vårt beteende och tänkande."
"(LT) I agree that the regulation of voice call prices should be continued.", "skriftlig. - (LT) Jag stöder förslaget om att öka regleringen av röstsamtalspriserna."
"(LT) Congratulations to the rapporteur on having prepared such an excellent document.", "(LT) Jag gratulerar föredraganden till att hon utarbetat ett alldeles utmärkt dokument."
"(LT) Madam President, Minister, this is not the first time we are discussing this issue.", "(LT) Fru talman, herr minister! Det är inte första gången vi diskuterar denna fråga."
"(LT) The battle against the harmful effects of alcohol is as old as time.", "(LT) Kampen mot de skadliga effekterna av alkohol är lika gammal som tiden."
"(LT) Ladies and gentlemen, I would like to thank the rapporteur for an excellent report.", "(LT) Mina damer och herrar! Jag vill tacka föredraganden för ett utmärkt betänkande."
"(LT) I would like to congratulate my colleague on the preparation of this important report.", "(LT) Låt mig gratulera min kollega till utarbetandet av detta viktiga betänkande."
"I support the Tamils' cause, but I reject the LTTE's methods equally decisively.", "Jag stöder tamilernas sak men jag förkastar lika bestämt de tamilska tigrarnas metoder."
"The LTTE is interested in one thing and one thing only, and that is political power.", "Det finns bara en sak som LTTE är intresserat av och det är politisk makt."
"The LTTE is interested in one thing and one thing only, and that is political power.", "Organisationen representerar inte hela det tamilska folket i Sri Lanka."
"In May, government troops captured the areas in the north held by the LTTE.", "I maj återtog regeringens trupper områden i norra delen av landet som kontrollerats av LTTE."
"Already LTTE delegations to EU Member States will not be received.", "Det är redan så att EU:s medlemsstater inte tar emot LTTE-delegationer."
"The Council, as I have said, is considering listing the LTTE as a terrorist organisation.", "Som jag har sagt överväger rådet att ta upp LTTE i förteckningen över terroristorganisationer."
"The intransigence of the LTTE, which periodically talks peace and then goes back to war, has got to stop.", "Världssamfundet kommer inte längre att låta sig luras av denna ryckiga process."
"So we need to call on the LTTE and the forces behind the LTTE to end these practices.", "Vi måste således uppmana de tamilska tigrarna och krafterna bakom dem att sluta använda dessa metoder."
"I hope it is not too late for the LTTE to pull back from the brink.", "Jag hoppas att det inte är för sent för LTTE att dra sig tillbaka."
"Already LTTE delegations to EU Member States will not be received.", "Som jag har sagt överväger rådet att ta upp LTTE i förteckningen över terroristorganisationer."
"Each of those proposals has been rejected by that same intransigent leadership at the LTTE.", "Vart och ett av de förslagen har förkastats av samma oförsonliga ledarskap för de tamilska tigrarna."
"Of course, the final stages of the LTTE campaign were awful.", "Naturligtvis var de sista skedena av LTTE-kampanjen förfärliga."
"The banning of the LTTE only leads to further isolation.", "Fördömandet av LTTE leder endast till ytterligare isolering."
"The European Union has condemned the action of the LTTE in preventing civilians from leaving the conflict area.", "Europeiska unionen har fördömt LTTE:s agerande att förhindra civila från att lämna stridsområdet."
"The intransigence of the LTTE, which periodically talks peace and then goes back to war, has got to stop.", "Den omedgörlighet som präglar LTTE, som ibland talar om fred och sedan börjar kriga igen, måste upphöra."
"An immediate cessation of all fighting on both sides, that of the Sri Lankan army and that of the LTTE, is needed.", "Stridigheterna måste omedelbart upphöra från båda sidor, både från Sri Lankas armé och från LTTE."
"What is your present view of the LTTE having been placed on the terror list now that the conflict has escalated enormously?", "Vad anser ni idag om att LTTE sattes upp på terrorlistan, nu när konflikten har trappats upp så enormt?"
"However, I must say that, in this sort of war, the LTTE should make a move and unfortunately, is not doing so.", "Jag måste dock säga att de tamilska tigrarna i den här typen av krig borde göra någonting, vilket de tyvärr inte gör."
"However much we condemn the terrorist acts by the LTTE – and we do – the government is certainly not blameless.", "Hur mycket vi än fördömer LTTE:s terroristhandlingar – och det gör vi – så är regeringen säkerligen inte utan skuld."
"The Sri Lankan military has now lost more than 60 soldiers in indirect attacks by the LTTE in Jaffna and other parts of the north and east.", "Hon reste dit i mars och kämpade hårt för att för att uppnå en överenskommelse om P-TOMS."
"We know Annette Lü and the new President of Taiwan Chen Shui-bian.", "Vi känner Annette Lü och Taiwans nya president Chen Shuibian."
"On January 15, did Greta and Kristina visit the Pieta to meet with coordinators and LU teachers.", "Den 15 januari gjorde Greta och Kristina ett besök i Pietå för att träffa samordnare och LU-lärare."
"Lü had shown her true colours as an extremist and incorrigible agitator for the independence of Taiwan.", "Lü hade visat sitt rätta ansikte som extremist och obotlig agitator för Taiwans självständighet."
"+352 26 25 1 1 E-mail: direction[at]cssf.lu", "+352 26 25 1 1 E-mail: direction[at]cssf.lu"
"Receiving: message totals: lu of lu.", "Tar emot: totalt antal meddelanden: lu av lu."
".: +352 247 86311 E-mail: mss[at]mss.etat.lu", "Ministère de la Sécurité sociale 26, rue Sainte Zithe L - 2763 Luxembourg Tel.: +352 247 86311 E-mail: mss[at]mss.etat.lu"
"+352 44 21 44 1 E-mail : aca[at]aca.lu", "+352 44 21 44 1 E-mail : aca[at]aca.lu"
"Receiving: message headers lu of lu.", "tar emot: meddelandesidhuvuden (lu av lu)."
"Receiving: message flags lu of lu.", "tar emot: meddelandeflaggor (lu av lu)."
".: +352 29 01 911 E-mail: douanes[at]do.etat.lu", "Direction des Douanes et Accises 26, place de la gare L - 1616 Luxembourg Tel.: +352 29 01 911 E-mail: douanes[at]do.etat.lu"
".: +352 49 60 221 E-mail: ulc[at]pt.lu", "ULC/Euroguichet Mediator in insurance disputes Rue des Bruyères 55 L - 1274 Howald Tel.: +352 49 60 221 E-mail: ulc[at]pt.lu"
"The special premiums for male cattle and suckler cows would once again be limited to 90 animals or 1.8 LU per hectare.", "De särskilda bidragen till tjurar och stutar och am- och dikor kommer återigen att få ett tak på 90 djur eller 1,8 djurenheter per hektar."
"Copying lu of lu messages to.", "Kopierar lu av lu meddelanden till."
"Moving lu of lu messages to.", "Flyttar lu av lu meddelanden till."
".: +352 247 84 53 7 E-mail: info[at]mj.public.lu", "Ministère de la Justice Ministry of Justice 13, rue Erasme L - 2934 Luxembourg Tel.: +352 247 84 53 7 E-mail: info[at]mj.public.lu"
"Receiving: message lu of lu.", "Tar emot: meddelande lu av lu."
"Deleting lu of lu messages.", "Tar bort lu av lu meddelanden."
".: + 352 458 836 E-mail: fgalux[at]pt.lu", "Fonds de Garantie Automobile Automobile Guarantee Fund 75 rue de Mamer L - 8081 Bertrange Tel.: + 352 458 836 E-mail: fgalux[at]pt.lu"
".: +352 2478 8300 E-mail: service.visas[at]mae.etat.lu", "Bureau des passeports, visas et légalisations 43, boulevard Roosevelt L - 2450 - Luxembourg Tel.: +352 2478 8300 E-mail: service.visas[at]mae.etat.lu"
".: +352 44 21 44 1 E-mail : aca[at]aca.lu", "Association des Compagnies d'Assurances Mediator in insurance disputes Rue de Mamer 75 L - 8081 Bertrange Tel.: +352 44 21 44 1 E-mail : aca[at]aca.lu"
