//Sentences
"In view of the time, voting time will be suspended now and resumed at 5.30 p. m.", "Eftersom det är sent avbryter vi omröstningsomgången nu och återupptar den kl."
"more_vert open_in_new Link to European Parliament warning Request revision Det samma gäller Euro-Infoenter, PC-Net, Europartenariat och Enterprise.", "expand_more The same applies to the Euro-Info Centres, PC Net, Europartenariat and Enterprise."
"Run Windows Update to confirm you have the latest security updates for your PC.", "Kör Windows Update för att bekräfta att du har de senaste säkerhetsuppdateringarna på datorn."
"Schools are massively connected but still the number of pupils per on-line PC varies enormously.", "De flesta skolor är uppkopplade, men fortfarande varierar antalet elever per uppkopplad dator väldigt mycket."
"Several programs need therefore to be installed on the pc.", "Ett antal program behöver därför installeras på datorn."
"If you use Windows, run Windows Update to confirm you have the latest security updates for your PC.", "Om du använder Windows så kör du Windows Update för att bekräfta att du har de senaste säkerhetsuppdateringarna på datorn."
"(Laughter) World population, PC placements, the archive of all the medical literature, Moore's law, the old way of sequencing, and here's all the new stuff.", "(Skratt) Världsbefolkning, antal persondatorer, arkivet med all medicinsk litteratur, Moores lag, det gamla sättet att sekvensera, och här är allt det nya."
"It was really not, however, the PCA Agreement that led the way but, rather, money.", "Det var dock egentligen inte PCA-avtalet som ledde fram, utan det var pengar."
"The PCA would remain in place until a new agreement comes into force.", "Partnerskaps- och samarbetsavtalet skulle fortsätta att gälla tills en ny överenskommelse tas i bruk."
"Reference was also made to free trade and the PCA.", "Det hänvisades också till frihandel och avtalet om partnerskap och samarbete."
"Ideally, in 2008 the expiring PCA should be replaced by an association agreement.", "Det vore önskvärt att de partnerskaps- och samarbetsavtal som löper ut 2008 kunde ersättas av ett associeringsavtal."
"The PCA will remain the cornerstone of EU-Ukraine cooperation.", "Partnerskaps- och samarbetsavtalet kommer att förbli hörnstenen i samarbetet mellan EU och Ukraina."
"The objective of a free trade agreement was already included in the PCA when it was concluded in 1994.", "Målet om ett frihandelsavtal skrevs in i avtalet om partnerskap och samarbete när det slöts 1994."
"Will the PCA include a revision clause?", "Kommer partnerskaps- och samarbetsavtalet att innehålla en översynsklausul?"
"That should be a precondition for a new PCA, which will be signed next year.", "Det borde vara en nödvändig förutsättning för ett nytt avtal om partnerskap och samarbete, som ska undertecknas nästa år."
"Will the PCA include a clear suspensive human rights clause?", "Kommer partnerskaps- och samarbetsavtalet att innehålla en klar suspensionsklausul vad avser mänskliga rättigheter?"
"I refer to the view that the PCA should be treated as one package in negotiations with Russia.", "Jag syftar på uppfattningen att partnerskaps- och samarbetsavtalet bör behandlas som ett paket i förhandlingarna med Ryssland."
"This would comprise the unblocking of the PCA and a significant increase in our assistance.", "Det skulle innebära att hindren för partnerskaps- och samarbetsavtalet skulle undanröjas och att vårt bistånd skulle öka avsevärt."
"The PCA offers us the basis for this.", "Partnerskaps- och samarbetsavtalet ger oss grunden för detta."
"In addition, technical meetings under the PCA, the Cooperation Committee and the subcommittees, were suspended.", "Dessutom inställdes tekniska möten enligt partnerskaps- och samarbetsavtalet, samarbetskommittén och underkommittéerna."
"The PCA, once in force, would go further by providing for a fully-fledged political dialogue.", "Avtalet om partnerskap och samarbete skulle, när det väl trätt i kraft, gå ännu längre genom att sörja för en fullständig politisk dialog."
"Set out the latest developments in the negotiations towards a new PCA, and the expected timetable?", "redogöra för den senaste utvecklingen av förhandlingarna om ett nytt partnerskaps- och samarbetsavtal och hur tidsplanen ser ut?"
"We are also negotiating a PCA with the Philippines which will include important human rights commitments.", "Vi förhandlar också om ett partnerskaps- och samarbetsavtal med Filippinerna som kommer att inkludera viktiga människorättsåtaganden."
"Does the Council see any substantial progress as concerns the negotiations with Russia on the new PCA?", "Anser rådet att det görs några konkreta framsteg när det gäller förhandlingarna med Ryssland om det nya partnerskaps- och samarbetsavtalet?"
"It is also clear that the new agreement must continue to improve on the current partnership and cooperation agreement (PCA).", "Det är också uppenbart att det nya avtalet måste innebära en fortsatt förbättring av det nuvarande partnerskaps- och samarbetsavtalet."
"Please recognise paragraph 9 of our resolution, which talks about the inclusion of the human rights clause in the PCA agreement.", "Notera också punkt 9 i vår resolution, där det talas om inkluderandet av människorättsklausulen i avtalet om partnerskap och samarbete."
"We hope that we have been able to convince our interlocutors that the question of extending the PCA must be rapidly settled.", "Vi hoppas att vi har lyckats övertala deltagarna i samtalet om att frågan om att utsträcka partnerskaps- och samarbetsavtalet måste lösas snabbt."
"The fuel used was apparently contaminated with PCB transformer oil.", "Det använda bränslet var uppenbarligen kontaminerat av transformatorolja med PCB."
"Hence, my question: will the Commission produce a European PCB standard, and if so, when?", "Därför undrar jag: kommer kommissionen att fastställa en europeisk PCB-norm och i så fall när?"
"Use of PCB waste oils in an Irish food recycling plant (debate)", "Användningen av spillolja med PCB i en fabrik för livsmedelsåtervinning i Irland (debatt)"
"The Commission compelled Belgium to carry out PCB testing but there is no European PCB standard.", "Belgien tvingades av kommissionen att utföra PCB-tester, men det finns ingen europeisk PCB-norm."
"The limit value has to be zero for both dioxins and PCB.", "Gränsvärdet måste vara lika med noll för dioxin och PCB, utan tvekan."
"As far as the PCB [polychlorinated biphenol] directive is concerned, we should also turn our attention to the supplies.", "När det gäller PCB-direktivet så bör det också ägnas uppmärksamhet åt förråden."
"As far as the PCB [ polychlorinated biphenol ] directive is concerned, we should also turn our attention to the supplies.", "När det gäller PCB-direktivet så bör det också ägnas uppmärksamhet åt förråden."
"- The next item is the Commission statement on the use of PCB waste oils in an Irish food recycling plant.", "- Nästa punkt är kommissionens uttalande om användningen av spillolja med PCB i en fabrik för livsmedelsåtervinning i Irland."
"Firstly, the question of the applicability of the PCB tests for pork is still open.", "Jag vill bara helt kort kommentera några punkter: Till att börja med är frågan om möjligheten att använda PCB-kontrollen för griskött fortfarande obesvarad."
"Substances such as PCB and DDT, which have often been mentioned as endocrine disruptors, have of course long been banned for other reasons.", "Ämnen som PCB och DDT, som ofta har nämnts som endokrina disruptorer, har dessutom länge varit förbjudna av andra orsaker."
"(DE) Madam President, Commissioner, we are, tonight, discussing the use of PCB waste oils in an Irish food recycling plant.", "(DE) Fru talman, fru kommissionsledamot! I kväll diskuterar vi användningen av spillolja med PCB i en irländsk fabrik för livsmedelsåtervinning."
"I would single out two of these: we urgently need PCB standards at European level, as well as a positive list of ingredients of animal feed.", "Jag skall ta upp två: vi behöver snabbt PCB-normer på europeisk nivå, vi behöver snabbt en positiv förteckning över ingredienser i djurfoder."
"It just does not make sense for there only to be PCB and dioxin standards for Belgium, and for it not to be deemed necessary for other European countries.", "Det är väl ändå inte logiskt att normerna för PCB och dioxin endast skulle gälla för Belgien och att något sådant inte behövs för andra länder i Europa."
"The proposed regulation before us aims to tidy up existing legislation on the marketing and use restrictions on eight POP pesticides and to make a slight amendment to the PCB Disposal Directive.", "Den föreslagna förordningen är en tillfällig åtgärd eftersom dessa ämnen på medellång sikt kommer att omfattas av REACH-förslaget."
"Twenty years later it was discovered that the hunting people of the Arctic had higher levels of DDT and PCB in their blood and breast milk than people in areas where the chemicals had been used.", "Tjugo år senare upptäcktes att jägarfolken i Arktis hade högre halter DDT och PCB i blodet och modersmjölken än folk i de områden där kemikalierna använts."
"Dioxin, and in this case its source chemical PCB, is one of the number of non-biodegradable bio-accumulative chemicals that we know are contaminating the food chain around the world.", "Dioxin, och i detta fall dess källa kemiskt PCB, är ett av ett antal icke-nedbrytbara kemikalier som lagras i levande organismer och som vi vet smittar ner näringskedjan över hela världen."
"In general, scientists are suspicious of organochlorine compounds such as PCBs.", "Vetenskapsmän misstänker i allmänhet vissa organiska klorföreningar som PCB."
"The substances selected are heavy metals, dioxins, PCBs and endocrine disrupters.", "De utvalda ämnena är tungmetaller, dioxiner, PCB och hormonstörande ämnen."
"It will be an environmental disaster, with PCBs, DDT and chemical pesticides on the seabed.", "Det kommer att bli en miljökatastrof med PCB, DDT och kemiska stridsmedel på botten."
"We know from the EPA in the United States that there are further toxic PCBs.", "Genom EPA i USA vet vi att det finns fler giftiga PCB-substanser."
"In relation to PCBs, work is currently being undertaken by the relevant scientific committee.", "Med hänsyn till PCB pågår arbete i den berörda vetenskapliga kommittén."
"As regards PCBs, Greece has no processing facilities and it is unknown what happens to them.", "Vad gäller PCB har Grekland inga bearbetningsanläggningar och det är inte känt hur ämnet behandlas."
"We are concerned by information from third parties that suggest that the ships may leak oil, PCBs and asbestos.", "Två fartyg påbörjade resan för två veckor sedan och två fartyg i förra veckan."
"I think maybe it is worse, sometimes looking back at the history of PCBs.", "Jag anser att det kanske är värre om man då och då ser tillbaka på de polyklorerade bifenylernas förflutna."
"PCBs and dioxins are toxic substances, even in very small quantities.", "PCB och dioxin är giftiga ämnen, även i mycket små doser."
"Should we not be looking for a more stringent application of the rules in terms of the management of PCBs?", "Bör vi inte eftersträva en strängare tillämpning av bestämmelserna om hanteringen av PCB?"
"It is clear from the news every day how much the presence of PCBs damages our Community's water resources.", "Varje dag matas vi med nyheter om hur förekomsten av PCB skadar gemenskapens vattenresurser."
"They have very little in the way of PCBs and other hazardous substances.", "Där finns mycket lite PCB och andra farliga ämnen."
"The environmental directives that we are now debating, on PCBs, nitrates and habitats, are examples of this very problem.", "Miljödirektiven som debatteras, om PCB, nitrater och livsmiljöer, är exempel på detta."
"It is clearly important to know the precise cause be it pcbs, global warming or fish diseases.", "Det är helt förståeligt att Albert Jan Maat, som nederländare, intresserar sig för detta och utarbetar ett betänkande."
"In the field of PCBs, too, more limit values are needed.", "Även när det gäller PCB behövs det fler gränsvärden."
"Programmes for monitoring dioxins and PCBs in food and feedingstuffs are applied throughout the European Union.", "Program för övervakning av dioxiner och PCB i livsmedel och foder tillämpas i hela Europeiska unionen."
"Each time we have come up against a serious problem, for example PCBs, DDT or CFCs – we have been taken completely by surprise.", "Den kompromiss som nåtts i elfte timmen när det gäller registreringen är inte perfekt."
"It is clearly important to know the precise cause be it pcbs, global warming or fish diseases.", "Det är uppenbarligen viktigt att känna till den exakta orsaken, vare sig det är PCB, global uppvärmning eller fisksjukdomar."
"We are concerned by information from third parties that suggest that the ships may leak oil, PCBs and asbestos.", "Vi ser med oro på de uppgifter från tredje part som indikerar att dessa fartyg kan läcka olja, PCB och asbest."
"So there are a lot of PCBs out there and they were left out there almost 100 years after we knew there was a problem.", "Därför finns det gott om PCB i omlopp, och de fanns kvar i nästan 100 år sedan vi hade fått kunskap om problemen."
"How does it intend to integrate it into its own institutional arrangements so as to give the PCD a more significant place?", "Kommer rådet att institutionalisera programmet inom sin myndighet för att därigenom ge det en mer framträdande plats?"
"This mainly involves interservice consultations and impact assessments (IA), which are indispensable instruments for promoting PCD.", "Det rör sig om samråd mellan tjänsteavdelningar och konsekvensanalyser, nödvändiga redskap för att stärka en konsekvent politik för utveckling."
"The first two documents of this type, produced in 2007 and 2009, report on the institutional mechanisms for promoting PCD.", "I de två första dokumenten, som publicerades 2007 och 2009, redogörs för de institutionella mekanismer som främjar en konsekvent politik för utveckling."
"Since 2005 the European Commission has undertaken to publish a biennial report on the EU’s performance and progress with regard to PCD.", "Sedan 2005 utger kommissionen vartannat år en rapport över vilka resultat och framsteg som EU gjort inom området för en konsekvent politik för utveckling."
"The entry into force of the Treaty of Lisbon on 1 December 2009 nevertheless raises a number of question marks regarding efforts to improve the account that is taken of PCD.", "Lissabonfördragets ikraftträdande den 1 december 2009 väcker dock många tvivel när det gäller beaktandet av en konsekvent politik för utveckling."
"In the light of the autonomy of this service, what specific action does the Council intend to take in order to improve PCD between the Member States?", "Hur kommer rådet, med tanke på denna nya självständiga enhet, att konkret gå till väga för att förbättra arbetet för en konsekvent politik för utveckling bland medlemsstaterna?"
"In theory, its transversal character should make for greater interservice cooperation and hence for greater account being taken of PCD.", "I teorin skulle alltså avdelningens övergripande karaktär kunna bidra till ett utökat samarbete mellan olika organ och följaktligen ett bättre beaktande av en konsekvent politik för utveckling."
"Under Article 208 of the Treaty on the Functioning of the European Union, policy coherence for development (PCD) has become an essential component of the Union's development cooperation.", "Enligt artikel 208 i fördraget om Europeiska unionens funktionssätt är en konsekvent politik för utveckling en viktig del av unionens samarbete för utveckling."
"As regards the PCD work programme, several Member States consider that the process for identifying it is unwieldy and that the status of this mechanism gives it only a low political value.", "Beträffande arbetsprogrammet för en konsekvent politik för utveckling anser många medlemsstater att urvalsprocessen är arbetskrävande och att enhetens politiska status är svag."
"It falls well below positions adopted previously by the EP and proposed by the PCP;", "Den lever inte alls upp till de ståndpunkter som tidigare antagits av Europaparlamentet och föreslagits av Portugisiska kommunistpartiet (PCP)."
"These are policies which the PCP has been proposing and defending at both national level and in the European Parliament.", "Det är politiska åtgärder som PCP har föreslagit och försvarat både på nationell nivå och i Europaparlamentet."
"We are delighted that the report adopted today has incorporated all of the proposals that were tabled by the Portuguese Communist Party (PCP).", "Det gläder oss att betänkandet som antogs i dag innehöll alla förslag som lades fram av det portugisiska kommunistpartiet (PCP)."
"Schematic (left) of pulse current processing (PCP) and PCP-consolidated silicalite-1 membrane supports (right) 25mm diameter and 3mm thickness.", "Schematic (left) of pulse current processing (PCP) and PCP-consolidated silicalite-1 membrane supports (right) 25mm diameter and 3mm thickness."
"PCP-consolidated silicalite-1 supports show high single gas permeability (left) and negative coefficient of thermal expansion (right) 0.65 X 10-6 /K.", "PCP-consolidated silicalite-1 supports show high single gas permeability (left) and negative coefficient of thermal expansion (right) 0.65 X 10-6 /K."
"Given their importance, we should like to highlight the following proposals submitted to Parliament by the PCP regarding the increase in the overall budget:", "Vi vill med tanke på dess betydelse lyfta fram följande förslag som har lämnats in till parlamentet av PCP när det gäller minskningen av den övergripande budgeten:"
"Consequently, the PD-L group in the European Parliament voted against the report.", "Följaktligen röstade PD-L-gruppen i Europaparlamentet emot betänkandet."
"Hence, the Italian delegation of the Democratic Party (PD) decided to abstain.", "Den italienska delegationen för det demokratiska partiet (PD) beslöt sig därför att avstå från att rösta."
"Dillon, call the Baltimore PD, give them the address.", "Dillon ring till Baltimore polisen Skynda dig!"
"I asked Mr Buzek for an official position and I received a reply via a press release from the PD-L party and Traian Băsescu.", "Jag bad Jerzy Buzek om en officiell ståndpunkt och jag fick ett svar i form av ett pressmeddelande från PD-L-partiet och Traian Băsescu."
"It goes without saying that the PPE and PD-L (Romanian Liberal Democrat Party) value and respect fundamental human rights and take a firm stand when they are violated.", "Det säger sig självt att PPE och PD-L (Rumäniens liberaldemokratiska parti) värderar och respekterar grundläggande mänskliga rättigheter och starkt tar ställning när dessa överträds."
