//Sentences
"I welcome the inclusion of PFOA - perfluorooctanic acid - in the scope of this directive.", "Jag välkomnar att perfluoroktansyra (PFOA) har tagits med i direktivet."
"Look at the PISA study, and I invite you to look at the next study, which will be published by the OECD in September.", "Ta t.ex. PISA-undersökningen - jag vill uppmana er att titta på nästa undersökning, som OECD kommer att offentliggöra i september."
"In Germany, we have learned from experience – and the Pisa study has made it very clear – that these do not come free of charge.", "I Tyskland har erfarenheten lärt oss – och Pisaundersökningen klargör verkligen detta – att sådana åtgärder inte är gratis."
"Amid all the euphoria about multilingualism, we must not forget the deficits that ever declining results of PISA studies have revealed.", "Mitt i all eufori kring flerspråkigheten får vi inte glömma de brister som de allt mer sjunkande resultaten i PISA-studierna har avslöjat."
"The Commission will, of course, analyse the PISA results and publish its conclusions in its next annual progress report on benchmarks in 2011.", "Kommissionen kommer naturligtvis att analysera PISA-resultaten och offentliggöra sina slutsatser i nästa årliga lägesrapport om referensramen, 2011."
"more_vert open_in_new Link to OpenSubtitles warning Request revision What do you say we get you in your pj's and hit the hay?", ""
"more_vert open_in_new Link to OpenSubtitles warning Request revision What do you say we get you in your pj's and hit the hay?", ""
"What do you say we get you in your pj's and hit the hay?", "Vad sägs om att hoppa i pyjamasen och sedan i säng?"
"When we go there we are told by the PKK that this is the last battle.", "Varje gång man åker dit hör man från PKK-håll att det handlar om den sista striden."
"That is why I cannot understand why the PKK is continuing with terrorism.", "Det är därför som jag inte förstår varför PKK fortsätter med terrorism."
"I will just say a word about the PKK, because it continues with its terrorist activities.", "Jag vill bara säga ett par ord om PKK, eftersom de fortsätter med sina terroristaktiviteter."
"You did not treat the PKK gently, but at least you spoke clearly and unequivocally.", "Ni var inte nådig mot PKK, med ni talade åtminstone klarspråk."
"We are alarmed by PKK's announcement that it wants to end the ceasefire.", "Vi är oroade över PKK:s uttalande om att man vill bryta vapenvilan."
"Three: we must distinguish clearly between the PKK and the Kurds.", "Punkt tre: Man måste göra en tydlig åtskillnad mellan PKK och kurderna."
"She was sentenced to imprisonment in Turkey for supporting the PKK.", "Enligt den senaste förteckningen i Turkiet är Leyla Zana terrorist."
"I should add that there is a report in the German press that the PKK cease-fire is over.", "Jag vill tillägga att det finns ett meddelande i den tyska pressen om att PKK: s vapenvila är över."
"The PKK is not interested in a stable, thriving and democratic Turkey oriented to the West.", "PKK är inte intresserade av ett stabilt, välmående och demokratiskt Turkiet som är vänt mot väst."
"From time to time the PKK, an organisation with its roots in the Cold War, has declared a ceasefire.", "Till och från har PKK, en organisation med rötter i kalla kriget, förkunnat en vapenvila."
"The recent review led to the PKK's being added to the list.", "Den nyligen genomförda revisionen ledde till att PKK kom med på listan."
"Now, however, that the PKK is on the list, it is not without reason.", "Men när PKK nu finns med på listan, så är det inte utan grund."
"Fear of attacks by the PKK, anger that could lead to escalation.", "Man är rädd för att PKK ska attackera och känner vrede inför en eventuell eskalering av våldet."
"We must also very strongly condemn the acts of violence committed by PKK fighters throughout Europe.", "Även PKK-soldaternas våldsaktioner i hela Europa bör skarpt fördömas."
"The Turkish side answers with the same argument, that it is the last advance against the PKK.", "Den turkiska sidan besvarar det med samma argument, att det handlar om den sista framstöten mot PKK."
"I do not imagine that there is very much freedom of opinion in those areas dominated by the PKK.", "Jag kan inte tänka mig att det finns särskilt mycket åsiktsfrihet i de områden som domineras av PKK."
"The decision was justified by the party's alleged links with the terrorist PKK organisation.", "Beslutet motiverades genom att hänvisa till partiets påstådda kopplingar till terroristorganisationen PKK."
"There are increasing calls to the effect that after the PKK riots in Europe this is now an EU foreign policy issue.", "Protesterna ökar och efter PKK-kravallerna i Europa ifrågasätter man utrikespolitiken."
"The PKK is on the EU list of terrorist organisations.", "PKK finns med på EU:s förteckning över terroristorganisationer."
"In that sense the PKK, its aims and its methods are in part the symptom of a more deep-seated problem.", "Därför är PKK, med sina målsättningar och metoder, till viss del ett symptom på en djupare problematik."
"Will the Commission provide information on the PLATON programme implemented by European schools?", "Kan kommissionen informera om PLATON-programmet som genomförs av Europaskolorna?"
"A glaring example of this is the trial of Mikhail Khodorkovsky and Platon Lebedev, the former owners of Yukos.", "Ett tydligt exempel på detta är rättegången mot Mikhail Khodorkovsky och Platon Lebedev, de före detta ägarna av Yukos."
"Last July he recalled that the prisoners in the Yukos case, Mikhail Khodorkovsky and Platon Lebedev, are detained in the Siberian prison of Chita.", "I juli påminde han oss om att Yukos-fångarna, Mikhail Chodorovskij och Platon Lebedev, sitter fängslade i det sibiriska fängelset Chita."
"I would like to remind you that the verdict in Mikhail Khodorkovsky's and Platon Lebedev's second trial will be delivered on the morning of 15 December.", "Jag skulle vilja påminna er om att domen i Mikhail Khodorkovskys och Platon Lebedevs andra rättegång meddelas på morgonen den 15 december."
"(DE) Mr President, we saw only recently the fourth anniversary of the imprisonment of Mikhail Khodorkovsky and Platon Lebedev, who has heart problems and is suffering from hepatitis.", "(DE) Herr talman! Nyligen var det exakt fyra år sedan Michail Chodorkovskij och Platon Lebedev, som har hjärtproblem och lider av gulsot, fängslades."
"The specific case we need to discuss is the ruling by Moscow city court on 24 May to reject the appeal made by Mikhail Khodorkovsky and Platon Lebedev against the new seven year sentence.", "Ett specifikt fall som vi måste diskutera är Moskvas stadsdomstols beslut den 24 maj att avslå Michail Chodorkovskijs och Platon Lebedevs överklagande av det nya sjuåriga straffet."
"How does the Commission assess the situation in Russia with regard to human rights and prison conditions, in particular for the prisoners Platon Lebedev and Mikhail Khodorkovsky?", "Hur ser kommissionen på situationen i Ryssland när det gäller de mänskliga rättigheterna och förhållandena i fängelserna, i synnerhet vad avser de fängslade Platon Lebedev och Michail Chodorkovskij?"
