//Sentences
"I would therefore call for this DNA test to become a Europe-wide requirement.", "Således förespråkar jag ändå ett DNA-test i europeiska sammanhang."
"(FR) President dos Santos, the method used to calculate the reduction in greenhouse gas emissions, and in particular the choices behind that method, will take fuel consumption into account.", "(FR) herr talman! Den metod som används för att beräkna minskningen av utsläppen av växthusgaser, och särskilt valen bakom denna metod, kommer att ta hänsyn till bränsleförbrukningen."
"This is not however just an issue between the DPRK and the United States.", "Detta är dock inte enbart en tvistefråga mellan Nordkorea och Förenta staterna."
"The European Union, for this and other reasons, has some credibility vis-à-vis the DPRK.", "Av bland annat detta skäl äger Europeiska unionen en viss trovärdighet gentemot Nordkorea."
"To try and resolve that problem we have the US-DPRK Framework Agreement of 1995.", "För att försöka lösa detta problem har vi ramavtalet mellan Förenta staterna och Nordkorea från 1995 till vår hjälp."
"We also have to take account of the need to support our key partners in their dealings with the DPRK.", "Vi måste också ta hänsyn till behovet av stöd till våra huvudpartner i samband med deras förbindelser med Nordkorea."
"EAEC accession to KEDO, EU-DPRK relations", "Associeringsavtal Euratom-KEDO - Förbindelser EU-Nordkorea"
"I would like very much to see the European Community also establish diplomatic relations with the DPRK.", "Jag skulle uppskatta att se att Europeiska gemenskapen också upprättade diplomatiska förbindelser med Demokratiska folkrepubliken Korea."
"Finally, I welcome the paragraph in the report that asks for a delegation to come here from the DPRK's Parliament.", "Till sist välkomnar jag den punkt i betänkandet där det står att läsa att en delegation från Nordkoreas parlament är välkommen hit."
"And by the way, what did Nobel Peace Prize Laureate ElBaradei and the IAEA do to prevent the DPRK’s acquiring of nuclear weapons?", "Och förresten, vad gjorde mottagaren av fredspristagaren El Baradei och IAEA för att hindra Nordkorea från att skaffa kärnvapen?"
"And by the way, what did Nobel Peace Prize Laureate ElBaradei and the IAEA do to prevent the DPRK’ s acquiring of nuclear weapons?", "Och förresten, vad gjorde mottagaren av fredspristagaren El Baradei och IAEA för att hindra Nordkorea från att skaffa kärnvapen?"
"The humanitarian and food assistance delivered to the DPRK - around EUR 200m since 1993 - will continue.", "Den humanitära hjälp och det livsmedelsstöd som lämnats till Demokratiska folkrepubliken Korea - cirka 200 miljoner euro sedan 1993 - kommer att fortsätta."
"We are also strongly encouraging the DPRK authorities to step up their dialogue and intensify their contacts with the Republic of Korea.", "Vi uppmanar också bestämt de nordkoreanska myndigheterna att öka dialogen och intensifiera kontakterna med republiken Korea."
"We are also strongly encouraging the DPRK authorities to step up their dialogue and intensify their contacts with the Republic of Korea.", "Jag skulle vilja tillägga att förhandlingarna om handels- och samarbetsavtalet och om ett politiskt avtal samtidigt återupptogs i januari 2005."
"Madam President, such is the DPRK's isolation, we can only guess at the human rights violations that are actually taking place there.", "(EN) Fru talman! Demokratiska folkrepubliken Korea är så isolerad att vi bara kan spekulera om vilka människorättskränkningar som faktiskt äger rum där."
"Madam President, can I say we have made enormous progress over the last three years in terms of relations with the DPRK.", "Fru talman! Får jag säga att vi har gjort enorma framsteg under de senaste tre åren när det gäller utvecklingen av förbindelserna med Demokratiska folkrepubliken Korea."
"We call upon the DPRK to avoid any further escalation and to undertake all necessary efforts to maintain peace and stability on the Korean Peninsula.", "Vi uppmanar Nordkorea att undvika en upptrappning och att vidta alla erforderliga åtgärder för att bevara freden och stabiliteten på Koreahalvön."
"Several states believe that the DPRK is still legally bound by the treaty and has not followed the correct legal procedures to withdraw.", "Flera stater anser att Nordkorea fortfarande är rättsligt bundet av detta fördrag, och att landet inte har följt de korrekta rättsliga förfarandena för utträde."
"The DPRK cannot pursue a policy of ignoring the collective will of the United Nations and must cease its nuclear proliferation immediately.", "Nordkorea kan inte fortsätta att driva en politik där man ignorerar FN:s kollektiva vilja, och man måste omedelbart sätta stopp för spridningen av kärnvapen."
"The DPRK cannot pursue a policy of ignoring the collective will of the United Nations and must cease its nuclear proliferation immediately.", "Nordkorea kan inte fortsätta att driva en politik där man ignorerar FN: s kollektiva vilja, och man måste omedelbart sätta stopp för spridningen av kärnvapen."
"Would the Council give an up-to-date assessment of the current developments in the DPRK, particularly in relation to KEDO?", "Kan rådet ge mig en aktuell bedömning av den senaste utvecklingen i Demokratiska folkrepubliken Korea, särskilt vad beträffar Organisationen för energiutveckling på Koreahalvön?"
"We are of course a significant participant; we have provided nearly 300 million euros in different types of aid to the DPRK since the mid-1990s.", "Vi är naturligtvis en betydelsefull deltagare. Vi har tillhandahållit nära 300 miljoner euro i olika typer av stöd till Nordkorea sedan mitten av 1990-talet."
"The largest peacekeeping force in the history of the UN has been deployed in DR Congo.", "Den största fredsbevarande styrkan i FN: s historia har utplacerats i Kongo."
"The largest peacekeeping force in the history of the UN has been deployed in DR Congo.", "Den största fredsbevarande styrkan i FN:s historia har utplacerats i Kongo."
"From an economic point of view, DR Congo is a very important country for the world economy.", "Ur ekonomisk synvinkel är Kongo ett mycket viktigt land för världsekonomin."
"The elections in DR Congo have cost the international community 500 million dollars.", "Valet i Kongo har kostat världssamfundet 500 miljoner US-dollar."
"The elections in DR Congo have cost the international community 500 million dollars.", "Valet i Kongo har kostat världssamfundet 500 miljoner US-dollar."
"The next item is a Commission statement on the situation in DR Congo.", "– Nästa punkt på föredragningslistan är kommissionens uttalande om situationen i Demokratiska republiken Kongo."
"A resolution of the conflict in DR Congo is at hand.", "En lösning på konflikten i Kongo är på gång."
"However, according to UN statistics, around four million people have died during almost ten years of internal conflict in DR Congo.", "Enligt FN:s statistik har emellertid fyra miljoner människor dött under närmare tio år av interna konflikter i Kongo."
"However, according to UN statistics, around four million people have died during almost ten years of internal conflict in DR Congo.", "Enligt FN: s statistik har emellertid fyra miljoner människor dött under närmare tio år av interna konflikter i Kongo."
"() Mr President, far more people have lost their lives during the war in DR Congo than in the hundred times more high-profile conflict in Iraq.", "Herr talman! Betydligt fler människor har förlorat livet under kriget i Kongo än i konflikten i Irak som har en hundra gånger högre profil."
"We call for the EUPOL and EUSEC missions to the DRC to be closed down.", "Vi kräver att uppdragen Eupol och Eusec i Demokratiska republiken Kongo avslutas."
"It's not surprising, because only three percent of people in the DRC use condoms.", "Det är inte överraskande eftersom bara tre procent av människorna i DRK använder kondomer."
"Meanwhile we are supporting Rwanda and should like to ask: why do we not support the DRC?", "Under tiden stöder vi Rwanda och jag frågar: varför stöder vi då inte DRC?"
"United Nations resolutions concerning an embargo on the supply of arms to the DRC must be implemented.", "Förenta nationernas resolutioner om ett vapenembargo mot Kongo måste fullföljas."
"But do we then not apply stricter rules to Kabila's DRC than to Uganda?", "Men är man i så fall inte strängare mot Kabilas DRC än mot Uganda."
"Will the new elected leaders of DRC be able to put a stop to this violence?", "Kommer de nyvalda ledarna i Kongo att kunna få slut på våldet?"
"The current situation in the DRC, therefore, is not just another crisis.", "Den rådande situationen i Demokratiska republiken Kongo är därför inte bara ytterligare en kris."
"MONUC is even being humiliated, officials are being expelled by DRC-Goma.", "MONUC till och med förnedras, funktionärer utvisas av RDC-Goma."
"Thirdly, the DRC is the largest and most highly populated country in the region.", "För det tredje är Demokratiska republiken Kongo det största landet i regionen med den största befolkningen."
"That being said, the solution to a large part of the problem must also be found in the DRC.", "Hur som helst måste lösningen till en stor del av problemet sökas i Demokratiska republiken Kongo."
"But war isn't the only reason that life is difficult in the DRC.", "Men krig är inte den enda anledningen till att livet är hårt i DRK."
"The UN sent the peacekeeping force MONUC to the DRC.", "FN har skickat sin fredsbevarande styrka Monuc till Demokratiska republiken Kongo."
"The members of various armed bands in the eastern DRC are culpable of this mass rape.", "Medlemmarna i olika väpnade gäng i östra Demokratiska republiken Kongo är skyldiga till denna massvåldtäkt."
"And so while I was in the DRC, I spent a lot of time talking to people about condoms, including Damien.", "Så när jag var i DRK så pratade jag mycket med människor om kondomer, bland annat med Damien."
"An effective mediation process between Rwanda and the DRC must be started as a matter of urgency.", "Man måste snabbt inleda en effektiv medlingsprocess mellan Rwanda och Demokratiska republiken Kongo."
"We, in the centre right of Parliament, want firm action to prevent the DRC's destruction.", "Vi i PPE-DE-gruppen vill se beslutsamma åtgärder för att förhindra Demokratiska Republiken Kongos förstörelse."
"The quality of soldiers and equipment is very poor and the size of the DRC is enormous.", "Soldaternas och utrustningens kvalitet är mycket dålig och Demokratiska republiken Kongo är ett oerhört stort land."
"Further efforts are needed to put an end to the activities of foreign armed groups in the east of the DRC.", "Ytterligare insatser krävs för att sätta stopp för utländska väpnade styrkors aktiviteter i östra Kongo."
"No doubt we will also need a stronger Peace Facility in the DRC at some point; at least this cannot be ruled out.", "Det var en sak som jag inte riktigt förstod när det gäller samordningen mellan afrikanska länder."
"Their presence is, nevertheless, essential, and we must allow them to complete their mandate in the DRC.", "Deras närvaro är trots detta viktig, och vi måste låta dem fullfölja sitt mandat i Demokratiska republiken Kongo."
"In the most AlDS infested region of the globe, where one in four is infected,", "På det mest aidssmittade området i hela världen, där en av fyra är smittade..."
"Graduation of licentiate degrees and PhDs has varied during the 2000s.", "Utexamineringen av licentiater och doktorer har varierat under 2000-talet."
"# - My uncle and my cousin and her best friend # # - AlDS, AlDS, AlDS #", "Min farbror, min kusin och hennes kompis - AlDS, AlDS, AlDS"
"Elforsk hand out the 2012 scholarship to the new PhDs.", "Elforsk delar ut 2012 års stipendium till nyblivna doktorer."
"And next, in Africa, AlDS epidemic is at an all-time high.", "Och sen, i Afrika har aidsepidemin slagit alla rekord."
"# Everyone has AlDS, AlDS, AlDS #", "Alla har AlDS, AlDS, AlDS, AlDS"
"# And everyone is dead from AlDS #", "Och alla är döda i AlDS"
"And Burgund n ee ds an heir.", "Burgund behöver en arvinge."
"What if I have AlDS?", "Tänk om jag har AlDS."
"Centralne Biuro ds.", "Centralne Biuro ds."
"If you would like to find out more about the Energy Systems Programme, our postgraduate school, our research findings or our PhDs, please feel free to contact:", "Om Du vill veta mer om Program Energisystem, vår forskarskola, våra resultat och våra doktorer så är Du välkommen att kontakta:"
"# AlDS, AlDS, AlDS #", "Alla har AlDS!"
"However, it does have the advantage of making it easier to coordinate taxation of savings and it could, as Mrs Ber&#x010D;s has just said, help obtain a unanimous vote within the Council.", "Det har emellertid den fördelen att underlätta samordningen av beskattningen av sparandet och kan, såsom Berès just sade, bidra till att uppnå enhällighet inom rådet."
"As you know, the European Union trains more science and engineering PhDs than the United States, but many of them decide to emigrate or switch to different careers.", "Som ni vet tar fler människor doktorsexamen i vetenskap och ingenjörsvetenskap i Europeiska unionen än i Förenta staterna, men många av dem beslutar sig för att emigrera eller byta karriär."
"For example, we now have the multi-resistant salmonella DT104 in Denmark.", "Vi har till exempel nu fått den multiresistenta salmonellan DT104 till Danmark."
"The first sublevel will be titled DT2 for the title and DD2 for the text.", "Rubriken på första undernivån får formatet DT2 och texten får formatet DD2."
"The first level will be titled DT1; the corresponding glossary text will be titled DD1.", "Första nivån definieras som första ordlistetemat med DT1 och tillhörande text definieras med DD1."
"For example, we now have the multi-resistant salmonella DT104 in Denmark.", "Det måste finnas lagstiftning som gäller den inre marknaden."
"DT1 is left justified, DD1 is indented once, DT2 is indented like DD1, etc.", "Indragen görs så att DT1 står längst till vänster, DD1 dras in ett steg, DT2 dras in till samma nivå som DD1 osv."
"The third level will be formatted using DT3 and DD3.", "Tredje nivån får på motsvarande sätt formatet DT3 och DD3."
"DT-350, DK-400 heavy water pressure vessel reactors;", "tungvattenreaktorer med tryckbehållare DT-350 och DK-400,"
"For example, enter DT and press F3 to insert a dummy text which can be used to check the look of a page filled with text (and other objects).", "Om du t.ex. skriver BT och trycker på F3, infogas en typisk blindtext, ett stycke nonsenstext som kan hjälpa dig att bedöma utseendet på en sida som ska vara fylld med text (och andra objekt)."
"more_vert open_in_new Link to European Parliament warning Request revision Turkey's Constitutional Court decided unanimously on 11 December to ban the DTP.", "expand_more Den turkiska författningsdomstolen beslutade den 11 december enhälligt att förbjuda DTP."
"more_vert open_in_new Link to European Parliament warning Request revision Den turkiska författningsdomstolen beslutade den 11 december enhälligt att förbjuda DTP.", "expand_more Turkey's Constitutional Court decided unanimously on 11 December to ban the DTP."
"Formatting here refers to the visual layout of text using a word-processing or DTP program.", "Med formatering menar man i det här sammanhanget den optiska utformningen av text med ett ordbehandlings - eller designprogram."
