//Sentences
"If you do so, this will backfire against ordinary people's trust in the European Union.", "Om ni gör det kommer det att slå tillbaka mot vanligt folks förtroende för EU."
"I am sure the exchange of data should help to improve the implementation of this framework decision.", "Slutligen begär föredraganden regelbundna rapporter från kommissionen om de framsteg som görs, hur arbetet fortskrider och detta är sedvanligt bruk."
"The strategic report 2010 constitutes a strong incentive to improve the current implementation of the cohesion policy programmes.", "Strategirapporten för 2010 utgör ett starkt incitament att förbättra genomförandet av sammanhållningspolitikens program."
"In my opinion, the exceptions for Spain and the islands of Crete and Rhodes are also unacceptable.", "Undantagen för Spanien och för öarna Kreta och Rhodos är så vitt jag kan se oacceptabla."
"We are calling into question our regional policy in Crete, Madeira, the Canaries, Guadeloupe and Martinique.", "Vi ifrågasätter regionalpolitiken på Kreta, Kanarieöarna, i Guadeloupe och Martinique."
"I am helping a constituent whose son was a victim of a violent attack whilst on holiday in Crete.", "Jag försöker f.n. hjälpa en väljare vars son blev offer för ett våldsangrepp under en semester på Kreta."
"Has Greece fulfilled its obligations under this directive, specifically for the region of Crete?", "Har Grekland fullgjort de förpliktelser som följer av det aktuella direktivet, särskilt när det gäller regionen Kreta?"
"The Kiliaris river in western Crete is the only river ecosystem on the island with a continuous flow of water all year round.", "Floden Kiliaris på västra Kreta är det enda flodekosystemet på ön med ständigt vattenflöde året om."
"For example, in 2003 Greece was fined EUR 20 000 a day for tolerating an illegal landfill on the island of Crete.", "Till exempel fick Grekland 2003 böta 20 000 euro om dagen för att ha gett tillstånd till en olaglig deponi på ön Kreta."
"Tomorrow, it will be in Malta and Crete.", "I morgon kommer det att vara Malta eller Kreta."
"Europe represents the ultra-peripheral regions, yet we are abandoning Crete, Madeira, the Canaries, Guadeloupe and Martinique.", "Europa, det är de avlägset belägna regionerna: vi överger Kreta, Madeira, Kanarieöarna, Guadeloupe och Martinique."
"Europe produces around 800 000 to 830 000 tonnes of bananas from Guadeloupe, Crete, Martinique, the Canaries and Madeira.", "Européerna producerar omkring 800 000 till 830 000 ton bananer - från Guadeloupe, Kreta, Martinique, Kanarieöarna och Madera."
"I dreamed of Venus herself rising out of the beautiful water of Crete.", "Jag drömde just om Venus som kom upp ur Kretas kristallklara vatten och vände sig till mig och sade: "Fatuzzo, Fatuzzo!""
"As I said to Mr Hatzidakis, and at his invitation, I shall be going to Crete, to one of the Greek regions, in October.", "Som jag sade till Hatzidakis, som ett svar på hans inbjudan, kommer jag att åka till en av de grekiska regionerna på Kreta i oktober."
"I dreamed that I was in Greece, in Crete, in the town of Agios Nikolaos, where it is said that Venus rose out of the lake.", "Jag drömde att jag var i Grekland, på Kreta, i staden Agios Nikolaos som ligger vid den sjö där Venus enligt legenden steg upp ur vattnet."
"Egypt, Crete, Greece, Rome and so on are of course part of England's experience, as indeed that of Portugal, Germany and everywhere else.", "Egypten, Kreta, Grekland, Rom och så vidare utgör förstås en del av Englands liksom Portugals, Tysklands och alla andra länders förflutna."
"As concerns Crete, Cyprus and the Algarve, we should keep in mind that banana production involves less than 400 hectares and some 300 holdings overall.", "Beträffande Kreta, Cypern och Algarve bör vi ha i åtanke att bananproduktionen omfattar mindre än 400 hektar och omkring 300 jordbruksföretag totalt sett."
"Madam President, Karelia is of course as much a part of Europe as Sicily, Crete, the Canary Isles or other parts of Europe which we regularly discuss here.", "Fru ordförande! Karelen är naturligtvis lika mycket en del av Europa som Sicilien, Kreta, Kanarieöarna eller andra delar av Europa som vi ofta diskuterar här."
"If it does, the summit of Foreign Ministers meeting in Crete on 26 and 27 May 2003 would be able to welcome their decision and this new institution could be set up.", "Konferensen med utrikesministrarna på Kreta den 26-27 maj 2003 skulle i så fall kunna välkomna beslutet, så att denna nya institution blir verklighet."
"This is illustrated by a visit to graveyards in Crete, the island my father hails from: seeing the age people live to there really brings this home to you.", "Ett bevis på detta får man om man besöker en kyrkogård på Kreta, den ö som min far kommer från. Att se hur länge folk lever där gör att man verkligen inser detta."
"I personally - since I shall be in Greece for an official visit to Athens and Crete in October - shall have an opportunity to specify and verify this point.", "Jag kommer själv - eftersom jag åker till Grekland för ett officiellt besök i Aten och till Kreta i oktober - att få tillfälle att klargöra och kontrollera denna punkt."
"In many regions of Greece, such as Crete, the olive oil season has been the worst for six years from the point of view of prices, volume and quality of production.", "För olivnäringen är året i många delar av landet, till exempel på Kreta, det sämsta under de senaste sex åren sett till priser, volym och produktionens kvalitet."
"My services recently received a letter from a woman in Crete who protested about the filthy, black smoke which ships belch out into her house in Heraklion harbour.", "Mina avdelningar fick nyligen ett brev från en kvinna på Kreta som protesterade mot den smutsiga, svarta rök som fartygen spyr ut över hennes hus i Heraklions hamn."
"Mr President, I have a request to make in relation to the agenda for Wednesday.", "– Herr talman! Jag vill be om något som rör föredragningslistan för onsdagen."
"Tunisia must honour its commitments in relation to democracy and human rights.", "Tunisien måste respektera sina åtaganden om demokrati och mänskliga rättigheter."
"I just want to make one point in relation to this whole issue of foot-and-mouth.", "Jag vill bara ta upp en sak i förhållande till hela frågan om mul- och klövsjukan."
"I have two requests to speak in relation to observance of the Rules of Procedure.", "Två personer har begärt att få uttala sig om efterlevnaden av arbetsordningen."
"We have taken some important new initiatives in relation to conflict prevention.", "Vi har tagit några viktiga nya initiativ när det gäller konfliktförebyggande."
"I for one am unable to fathom your reports in relation to the European Council.", "Jag för min del har inte kunnat förstå era redogörelser från Europeiska rådet."
"I have a second reservation to raise in relation to the factor of labour costs.", "Jag har ytterligare en reservation när det gäller faktorn arbetskraftskostnad."
"That is what actually happened in the Czech Republic in relation to President Klaus.", "Det var vad som faktiskt skedde i Tjeckien i samband med president Václav Klaus."
"Passengers' compensation is also in relation to the accessibility of services.", "Kompensationen till passagerarna hänger också samman med tillgången till tjänster."
"This is clearly a phrase that should be used in relation to animals, not people.", "Detta är otvivelaktigt ett uttryck som borde användas om djur och inte om människor."
"It guarantees fairer conditions for session musicians in relation to soloists.", "Det garanterar rättvisare villkor för sessionsmusiker i förhållande till solister."
"No one is arguing that there should be no change in relation to postal services.", "Det finns ingen som påstår att posttjänsterna inte skall förändras över huvud taget."
"Mr President, the statistics in relation to world hunger are indeed staggering.", "Herr talman! Statistiken över hungersnöden i världen är sannerligen hisnande."
"In relation to fishing we have no choice but to understand each other and cooperate.", "Fisket. När det gäller fisket är vi dömda att förstå och samarbeta med varandra."
"My country is competitive in European terms in relation to indirect labour cost.", "Mitt land kan konkurrera i Europa med avseende på indirekta arbetskostnader."
"For once that is done, much progress will also be made in relation to Cyprus itself.", "När detta har gjorts kommer även stora framsteg att göras när det gäller Cypern."
"The work in relation to local amateur sports clubs smacks of contempt for people.", "Arbetet gentemot lokala amatöridrottsföreningar andas förakt mot medborgarna."
"In relation to everything else, we fully agree with the rapporteur' s views.", "När det gäller det övriga håller vi fullständigt med föredragandens bedömningar."
"It is a real pity that we were unable to reach agreement in relation to clones.", "Det är verkligen synd att vi inte kunde nå en överenskommelse om klonade livsmedel."
"The future Treaty introduces two types of innovation in relation to this system.", "Det framtida fördraget medför två innovationer när det gäller detta system."
"So we have made a substantially increased contribution to supporting reform in Georgia.", "Vi har alltså kraftigt ökat vårt bidrag för att stödja reformarbetet i Georgien."
"Smoking also leads to substantially increased health care costs in many countries.", "Rökning leder också till kraftigt ökade sjukvårdskostnader i många länder."
"Aid needs to be substantially increased if the Millennium Development Goals are to be achieved.", "Biståndet måste ökas avsevärt om millennieutvecklingsmålen ska kunna uppnås."
"In this context, I believe that the resources available under Frontex should be substantially increased.", "Jag anser här att de anslag som finns tillgängliga under Frontex bör ökas avsevärt."
"If they are not kept in check the risks could be very substantially increased.", "Om man inte gör det, kan riskerna öka högst avsevärt."
"Aid needs to be substantially increased if the Millennium Development Goals are to be achieved.", "Till exempel: hur stora belopp skulle kunna mobiliseras med hjälp av vart och ett av förslagen?"
"To that end, the Objective 3 funds, intended to support employment measures, will be increased substantially.", "Här ökas medlen avsevärt för mål 3, där man stöder sysselsättningsåtgärder."
"The problem is made worse by the fact that price volatility on international markets has substantially increased.", "Problemet förvärras av att instabiliteten på de internationella marknaderna har ökat betydligt."
"Community surveillance showed that imports from China increased substantially in 2005 (up to +500%).", "Gemenskapens övervakningsåtgärder visade att importen från Kina ökade betydligt 2005 (med upp till 500 procent)."
"The budget has thus been substantially increased thanks to the contribution and the political support of the European Parliament.", "Budgeten har alltså höjts avsevärt tack vare Europaparlamentets bidrag och politiska stöd."
"We note that the Agency's budget has increased substantially in the last three years, and grew by 69% in 2008.", "Vi noterar att byråns budget har ökat avsevärt under de tre senaste åren och att den ökade med 60 procent 2008."
"However, I will not vote for further membership unless the budget of the Union is substantially increased.", "Jag kommer emellertid inte att rösta för något ytterligare medlemskap förrän unionens budget har utökats väsentligt."
"This substantially increased trade is more profitable than drug smuggling and is increasingly often controlled by an organised mafia.", "Den kraftigt ökade handeln är mer lönsam än narkotikasmuggling och styrs allt oftare av en organiserad maffia."
"Moreover, both the Minimum Capital Requirement and the Solvency Capital Requirement are much too low, and must be increased substantially.", "Dessutom är både minimikapitalkravet och solvenskapitalkravet alltför lågt ställda och de måste ökas avsevärt."
"The legal provisions to improve them and defend them have substantially increased in Mexico, and it is only fair to recognise that.", "Det legala arbetet för att förbättra och försvara det har ökat påtagligt i Mexiko och det är motiverat att erkänna det."
"I therefore really believe that we must make provision at this stage for a substantially increased budget for the European Chemicals Agency.", "Jag tror därför verkligen att vi redan nu måste planera för en kraftigt utökad budget för kemikaliemyndigheten."
"The Commissioner has already pointed out that the EU has substantially increased market access for the poorest countries in recent years.", "Kommissionären har redan påpekat att EU har gett de fattigaste länderna mycket större möjligheter de senaste åren."
"In the wake of the entry into force of the Treaty of Lisbon, the European Parliament's powers have increased substantially in a host of areas.", "Efter att Lissabonfördraget trädde i kraft har Europaparlamentets befogenheter ökat avsevärt på en mängd områden."
"European Union assistance has been tailored to partners' reform needs and its volume in the current financial framework has increased substantially.", "Europeiska unionens stöd har anpassats till partnerländernas reformbehov och höjts avsevärt inom den aktuella budgetramen."
"They said they were not able to deal with the current challenges they faced, never mind having to deal with a substantially increased force.", "De sade att de inte kunde klara av de utmaningar de nu stod inför, och än mindre att de kunde klara av en avsevärt utökad skyddsstyrka."
"The rules are also taking on an absurd and increasing complexity, which is out of step with reality.", "Detta är ännu reglerna i en absurd och växande komplex snedvridning av verkligheten."
"I agree with the rapporteur that, with its increasing complexity, the current VAT system is not keeping pace with the development of the internal market.", "Jag håller med föredraganden om att det nuvarande momssystemet med dess ökande komplexitet inte följer med i utvecklingen på den inre marknaden."
"The increasing complexity of retail markets, particularly those related to services, is making it more difficult for consumers to make the best choices.", "Detaljhandelsmarknaderna blir allt mer komplexa, framför allt de som avser tjänster, vilket gör det svårare för konsumenterna att göra de bästa valen."
"The increasing complexity of today’s technical systems requires that the improvement work is highly systematic, in order to properly manage the changes from stakeholders.", "Den ökande komplexiteten i dagens tekniska system kräver att förbättringsarbetet är mycket systematiskt, för att korrekt hantera förändringar från olika kravställare."
"We should remember that the current VAT system, with its increasing complexity, and not only in terms of rates, is not keeping pace with the development of the internal market.", "Vi bör komma ihåg att det nuvarande momssystemet, med dess ökande komplexitet inte bara när det gäller skattesatserna, inte följer med i utvecklingen på den inre marknaden."
"The second aspect is the increasing complexity of EU law and the difficulty encountered by the ordinary citizen, including experts in EU law, in understanding what is actually happening.", "Den andra aspekten är gemenskapsrättens ökande komplexitet och svårigheterna för vanliga medborgare, även experter på gemenskapsrätt, att förstå vad som egentligen pågår."
"The increasing complexity of today’s economies and the need to ensure fair trade require a minimum level of accuracy that must be guaranteed by means of legislative requirements.", "Den ökade komplexiteten hos dagens ekonomier och behovet av att garantera en rättvis handel kräver en miniminivå när det gäller exakthet som måste garanteras genom lagstiftningens krav."
"The increasing complexity of the services sector, in particular, presents a huge problem, making it increasingly difficult for consumers to make an informed choice when purchasing goods or services.", "Särskilt den ökande komplexiteten i tjänstesektorn utgör ett stort problem, vilket gör det allt svårare för konsumenterna att göra ett informerat val när de köper varor eller tjänster."
"It is an indisputable fact that the opt-out is used today by 15 of the 27 EU Member States.", "Det är ett ovedersägligt faktum att opt-outen i dag används av 15 av EU:s 27 medlemsstater."
"It is an indisputable fact that few other sectors are as valuable to society as commerce.", "Det står ställt utom allt tvivel att handeln har ett värde i samhället som få andra sektorer har."
"Furthermore, the cross-border radioactive contamination of the river Nestos is an indisputable fact.", "Därutöver är den gränsöverskridande, radioaktiva nedsmutsningen av floden Nestos ett ovedersägligt faktum."
"Mr President, it is an indisputable fact that the entire social security system in Europe is in danger of total collapse.", "Herr ordförande! Det är ett otvivelaktigt faktum att hela systemet för socialt skydd i Europa löper direkt risk att helt störta samman."
"In short, it is a question of finding a means to deal with an indisputable fact: Europe’s population is ageing and, consequently, a new workforce is required.", "Kort sagt är det fråga om att finna medel att hantera det odiskutabla faktum att Europa har en åldrande befolkning och att ny arbetskraft därför behövs."
"It is an indisputable fact that the Internet now has a public role, influencing not only daily life but also mass movements, political ideas and communication strategies.", "Ingen kan förneka att Internet har fått en samhällsfunktion och inte bara betyder mycket för vår vardag, utan också för massrörelser, politiska idéer och kommunikationsstrategier."
"It is an indisputable fact that, so far as anyone can judge, we will now from January 2007 to the middle of 2009 have the largest number of Members this Parliament is ever planned to have.", "Det är otvivelaktigt så att vi, så vitt någon kan bedöma, nu från januari 2007 till mitten av 2009 kommer att ha det största antal ledamöter som det här parlamentet någonsin planeras ha."
"You said that you believe that solidarity is a key ingredient of the European Union.", "Ni sade att ni anser att solidariteten är en nyckelfaktor i Europeiska unionen."
"As regards the second ingredient, I would like to stress what Mr Daul said.", "När det gäller den andra komponenten skulle jag vilja framhålla det som Joseph Daul sade."
"Improved cooperation with the OSCE will be a vital ingredient in this.", "Ett förbättrat samarbete med OSSE kommer att utgöra en viktig del i detta sammanhang."
"However, safety remains the most important ingredient in our food.", "Säkerheten är emellertid fortfarande den viktigaste ingrediensen i livsmedlen."
"Confidence is a major ingredient for growth and job creation.", "Förtroende är en viktig beståndsdel för att skapa tillväxt och arbetstillfällen."
"The Commission proposal does not deal with the substantive aspects of ingredient labelling.", "Kommissionens förslag tar inte upp hur ingredienserna rent innehållsmässigt skall anges."
"However, the most crucial ingredient in tackling this fraud is political will.", "Den viktigaste ingrediensen för att angripa dessa bedrägerier är emellertid den politiska viljan."
"Let me conclude by emphasizing that women are the vital ingredient for future development.", "Till slut vill jag åter betona att kvinnor är nyckeln till utveckling."
"The Mutual Recognition Agreements constitute an ingredient of the new agreement.", "Avtal om ömsesidigt erkännande ingår i det nya avtalet."
"Now we say 'if food is no longer equivalent to an existing food or ingredient", "Nu säger vi " om livsmedel inte längre motsvarar ett befintligt livsmedel eller en befintlig ingrediens. ""
"Now we say 'if food is no longer equivalent to an existing food or ingredient.'", "Nu säger vi " om livsmedel inte längre motsvarar ett befintligt livsmedel eller en befintlig ingrediens.""
"But I believe that the key ingredient – the political will to reach agreement – is now there.", "Men jag tror att huvudingrediensen – den politiska viljan att nå en överenskommelse – nu finns."
"That really is the main ingredient of mutual recognition.", "Det är faktiskt den viktigaste ingrediensen i det ömsesidiga erkännandet."
"An essential ingredient in equality, furthermore, is everyone's inviolable right to his or her own body.", "En viktig del av jämställdheten är dessutom allas okränkbara rätt till sin egen kropp."
"In fact, I would even say it is an indispensable ingredient in our project of integration.", "Jag skulle faktiskt till och med säga att det är en oundviklig ingrediens i vårt integrationsprojekt."
"His fellow Frenchmen rejected the EU Constitution, yet it is an essential ingredient of his report.", "Föredraganden säger att regionerna är den nivå som är bäst kvalificerad att fastställa behov."
"As in most cases, the active ingredient of the biocides is also used as a plant protection product.", "Som i de flesta fall används den aktiva ingrediensen i biocider också som en produkt vid växtodling."
"A decisive ingredient needs to be added, which is aid to strengthen trade capacities.", "Det behövs också ett avgörande element som innebär hjälp till förstärkning av ländernas kapacitet på handelsområdet."
"His fellow Frenchmen rejected the EU Constitution, yet it is an essential ingredient of his report.", "Hans landsmän i Frankrike förkastade EU:s konstitution, ändå är den en viktig beståndsdel i hans betänkande."
"There are others that do not contain enough of the active ingredient and whose packaging is misleading.", "Andra återigen innehåller inte tillräckligt av den aktiva substansen och har en missvisande förpackning."
"It was there that the initial impetus was given to a mature treatment of the subject.", "Där sker den första ansatsen till en vuxen behandling av det här temat."
"A European constitution could provide the initial impetus for a superstate of this kind.", "En europeisk grundlag kan bli ansatsen till en sådan superstat."
"The action programme gives the initial impetus for that, but I should like to make a heartfelt plea.", "Handlingsplanen fungerar som drivkraft för det, men jag skulle vilja göra en uppriktig vädjan."
"Only then will this initial impetus become the forward-moving process that Europe's young people have every right to expect.", "Först då blir den lilla impulsen till den styrkeprocess som Europas ungdomar med all rätt förväntar sig."
"Then, exactly 125 years ago, the initial impetus was given for the introduction of the eight-hour working day in the United States.", "Därefter, för exakt 125 år sedan, började man för första gången införa åtta timmars arbetsdag i Förenta staterna."
"Therefore the Commission, like Parliament, hopes and trusts that the Tampere meeting will provide an initial impetus.", "Av detta skäl ställer kommissionen, liksom parlamentet, sina förhoppningar och tilltro till att mötet i Tammerfors blir den första impulsen."
"Just as with distance-selling, the initial impetus has been given to measures on the treatment of cross-border complaints.", "Precis som när det gäller distansförsäljning så ges en ansats till åtgärder med avseende på behandling av klagomål över nationsgränserna."
"I therefore wish the Dutch Presidency success in providing the initial impetus that steers the debate in the right direction.", "Jag önskar därför det nederländska ordförandeskapet lycka till med att ge debatten den inledande impuls som kan styra den i rätt riktning."
"Mr President, three years ago, the Tampere European Council gave the initial impetus to a common European asylum and immigration policy.", "Herr talman! För tre år sedan gav Europeiska rådet i Tammerfors startskottet för en gemensam europeisk asyl- och invandringspolitik."
"The initial impetus in this direction was nipped in the bud on 13 May 2005, with brute force that claimed the lives of hundreds of demonstrators.", "De första försöken i denna riktning kvävdes i sin linda den 13 maj 2005 genom brutalt våld som krävde hundratals demonstranters liv."
"I think that this structural discussion should really be held next year, and I hope that this Commissioner can give the initial impetus for this.", "Jag anser att denna strukturella diskussion verkligen bör hållas nästa år, och jag hoppas att kommissionsledamoten kan ta initiativet till detta."
"We therefore hope that this report can give the initial impetus for combating the financing of terrorism in the European Union in a structural and sustainable manner.", "Vi hoppas därför att detta betänkande kan ge en inledande impuls för bekämpande av terrorism i EU på ett strukturellt och hållbart sätt."
"Uzbekistan is ready for radical change, but the initial impetus in this direction by demonstrators was nipped in the bud on 13 May, with brute force that claimed hundreds of lives.", "Uzbekistan är redo för en radikal förändring men demonstranternas första steg i den riktningen slogs ned den 13 maj med ett brutalt våld som krävde hundratals liv."
