//Sentences
"The outcome was published on the website of DG SANCO.", "Resultatet offentliggjordes på webbsidan för GD Hälso- och konsumentfrågor (SANCO)."
"more_vert open_in_new Link to EU Constitution warning Request revision The General Court shall sit in chambers of three or five Judges.", "expand_more Tribunalen skall sammanträda i avdelningar med tre eller fem domare."
"more_vert open_in_new Link to statmt.org warning Request revision Representatives of employees’ organisations would sit on its Administrative Board.", "expand_more Företrädare för arbetstagarorganisationerna skulle sitta med i styrelsen."
"more_vert open_in_new Link to statmt.org warning Request revision For any other Members who wish to join in this success story, the declaration will remain open for 20 minutes after this sitting!", "vara med i denna framgångssaga kommer förklaringen att vara öppen i 20 minuter efter sammanträdet!"
"I remember that we sat together on Article 13 hearings all that time ago.", "Jag minns hur vi satt tillsammans under artikel 13-utfrågningar för så länge sedan."
"We sat around and we talked about this -- we of course never resolved it.", "Vi satt där och pratade om detta -- vi kunde såklart aldrig svara på frågan."
"The kids who resisted scored 250 points higher on the SAT. ~~~ That's enormous.", "Barnen som kunde motstå fick 250 poäng mer på SAT-proven De är enormt!"
"That is precisely the objective of explanations of vote, that we have just sat through now.", "Det är precis det som är syftet med röstförklaringar, vilket vi just har bevittnat."
"And one night he sat down with one of them... and he looked at her... and he said...", "En kväll satt han med en av dem... och såg på henne... och sade..."
"Major damage was caused to the entire monastery complex while the police simply sat by and watched.", "Omfattande skador orsakades på hela klosterkomplexet, medan polisen bara såg på."
"But he did not seem so very sure, for he sat down to wait with me.", "Men han verkade inte helt säker, för han satte sig ner och väntade med mig."
"Instead the Commission has simply sat on its hands and looked the other way for ten long years.", "I tio långa år har kommissionen istället varit overksam och tittat åt ett annat håll."
"They sat on their hands for too long, and many farmers have suffered grievously for that.", "Det förblev passiva alltför länge, och många jordbrukare har drabbats hårt på grund av det."
"There are colleagues in this Chamber who sat with me on that committee some years ago.", "Det finns kolleger i den här kammaren som satt med mig i den kommittén för ett antal år sedan."
"And he sat them down for two hours, and he gave them, over the course of that two hours, ten bowls.", "Och han satte dem ner i två timmar och gav dem tio matskålar på dessa två timmar."
"Two parties which cannot stand each other sat down and worked together.", "Två partier som inte kan tåla varandra satte sig ner och samarbetade."
"And I sat there for quite some time going, "How am I going to get off this rock and go home?", "Och jag satt där ett bra tag "Hur kommer jag av den här stenen och hem?"
"Mr President, some days ago the ACP-EU Joint Assembly sat in Lomé, Togo.", "Herr ordförande! För några dagar höll AVS-EU: s gemensamma församling session i Lomé, i Togo."
"You sat many times in this seat, Mr President, and chaired the proceedings of our Parliament.", "Du satt många gånger i denna stol, herr president, och ledde parlamentets förhandlingar."
"I sat through the appeal court hearings and heard the judges.", "Jag närvarade vid förhandlingen i appellationsdomstolen och lyssnade till domarna."
"This is a simple thing, but for ten years, we have sat and twiddled our thumbs.", "Det är en enkel sak, men efter tio år går man fortfarande som katten kring het gröt, eller hett mjöl."
"I sat in the House of Commons in the United Kingdom for 18 years before coming into this Chamber.", "Jag satt i underhuset i Förenade kungariket i 18 år innan jag kom till denna kammare."
"Mr Christodoulou has also sat this problem out and has succeeded!", "Christodoulou har låtit detta problem vänta ut sig och fört det i hamn!"
"Instead the Commission has simply sat on its hands and looked the other way for ten long years.", "Den brittiska regeringen är skyldig att använda skattebetalarnas pengar på ett klokt sätt."
"SB: I think a point of difference we're having, Mark, has to do with weapons and energy.", "SB: Jag tror att en punkt där vi är oense, Mark, är i fråga om vapen och energi."
"to have a bone to pick with sb", "ha en gås oplockad med ngn"
"to see sb through", "stötta ngn under en svår period"
"to hold sb responsible", "hålla ngn ansvarig"
"to let sb finish", "låta ngn tala till punkt"
"to appeal to sb about sth", "be ngn om ngt"
"to have it in for sb", "vara ute efter ngn"
"to have it in for sb", "hysa agg mot ngn"
"to have it in for sb", "vara arg på ngn"
"to do sb justice", "göra ngn rättvisa"
"to look down on sb", "se ner på ngn"
"to make eyes at sb", "titta på ngn"
"to make sb happy", "göra ngn glad"
"to ask sb over", "bjuda ngn över"
"to count on sb", "räkna med ngn"
"to question sb.", "fråga ut ngn"
"to ask sb. out", "bjuda ut ngn"
"First, the right to negotiations on worker participation cannot be limited to the period in which an SCE is being created.", "För det första, rätten till förhandlingar om arbetstagarinflytande får inte begränsas till den period då en europeisk kooperativ förening bildas."
"- Council Regulation (EC) No 1435/2003 of 22 July 2003 on the Statute for a European Cooperative Society (SCE),", "- med beaktande av Europaparlamentets och rådets direktiv 2005/56/EG av den 26 oktober 2005 om gränsöverskridande fusioner av bolag med begränsat ansvar,"
"I do not agree with the view that the high number of exemptions made for national legislation would not damage the innovative nature of the SCE.", "Jag instämmer inte i åsikten att det stora antal undantag som görs för nationell lagstiftning inte kommer att skada SCE-föreningarnas nyskapande organisation."
"The Division of Structural and Construction Engineering (SCE) covers research topics Structural Engineering, Steel Structures, Timber Structures and Construction Engineering.", "Avdelningen för byggkonstruktion och -produktion (BYGG) omfattar Konstruktionsteknik, Stålbyggnad, Träbyggnad och Byggproduktion."
"Furthermore, the SCE must ensure that workers are informed and consulted and are permanently represented and involved in the management of the SCE.", "Dessutom måste SCE-föreningarna vara skyldiga att se till att arbetstagarna informeras och rådfrågas, att de är permanent företrädda och deltar i ledningen för SCE-föreningen."
"Through Russia, the SCO borders the EU, and therefore the organisation inevitably deserves the EU's substantive attention.", "Genom Ryssland gränsar SCO till EU, och därför måste EU noggrant uppmärksamma denna organisation."
"I would like to lend my support to the ‘.sco’ campaign, as a wider presence for Scottish language and culture in cyberspace could only be helpful for us.", "Jag vill ge mitt stöd till ”.sco”-kampanjen eftersom en större närvaro för det skotska språket och kulturen i cyberrymden enbart skulle vara till vår hjälp."
"I would like to lend my support to the ‘. sco’ campaign, as a wider presence for Scottish language and culture in cyberspace could only be helpful for us.", "Jag vill ge mitt stöd till ”.sco ” -kampanjen eftersom en större närvaro för det skotska språket och kulturen i cyberrymden enbart skulle vara till vår hjälp."
"By assaying the members and observers of the SCO, we can safely conclude that these countries own a significant proportion of the world's oil and gas reserves.", "Genom att analysera medlemmarna och observatörerna i SCO kan vi utan tvekan dra slutsatsen att dessa länder äger en betydande andel av världens olje- och gasreserver."
"The answer is somewhat complacent about a real crisis situation in the SCR.", "Det är ett något självbelåtet svar om en verklig krissituation inom den gemensamma tjänsten för yttre förbindelser."
"The plans for changing the project cycle and transforming the SCR into a European bureau are a positive step forward.", "Planerna för att ändra den så kallade project cycle och även ombildandet av SCR till en europeisk byrå är ett gott steg."
"We have seen a threefold increase in external assistance commitments managed by the SCR over the last 10 years.", "Vi har sett en trefaldig ökning av de externa biståndsåtagandena som sköts av Gemensamma tjänsten för yttre förbindelser under de senaste 10 åren."
"A consequence of all this is that the SCR today has over EUR 21 billion in outstanding commitments awaiting payments.", "En följd av detta är att Gemensamma tjänsten för yttre förbindelser i dag har över 21 miljoner euro i utestående åtaganden som väntar på betalning."
"In this context I should mention the significant personal contribution of Philippe Soubestre Director-General of the SCR.", "I detta sammanhang bör jag nämna Philippe Soubestres - som är generaldirektör vid den gemensamma tjänsten för yttre förbindelser - viktiga personliga bidrag."
"That means, for example, transferring the residual SCR functions for PHARE to the Directorate-General for Enlargement.", "Det betyder till exempel överförandet av de resterande funktionerna i Gemensamma tjänsten för yttre förbindelser för Phare-programmet till Generaldirektoratet för utvidgningen."
"What we propose to do is to create a new implementation body replacing the SCR which we think should be called Europe Aid.", "Det vi föreslår att vi gör är att skapa ett nytt organ för genomförande, vilket ersätter Gemensamma tjänsten för yttre förbindelser och som vi skulle vilja kalla " Europe Aid "."
"Bad management and a lack of coordination between the ECIP Unit and the SCR also mar the Commission's reputation, as does the discrimination between financial institutions.", "Även bristfällig företagsledning och bristfällig samordning mellan ECIP-enheten och SCR inverkade menligt på kommissionens anseende, liksom skillnaden i behandling av olika finansinstitut."
"SEPA started officially in January 2008 when the SEPA Credit Transfer (SCT) was launched.", "Sepa skapades officiellt i januari 2008, då Sepas kreditöverföringssystem infördes, och sedan november 2009 finns även Sepas autogireringssystem."
"Although the SEPA Credit Transfer (SCT) has been successfully launched, less than 2% of payments have migrated.", "Även om lanseringen av Sepas kreditöverföringssystem har varit framgångsrik har mindre än 2 procent av betalningarna överförts till Sepa."
"However, the date originally foreseen for migration of a critical mass for SCT, SDD and card payments by the end of 2010 have become unrealistic.", "Fortfarande används Sepa-normerna endast i liten utsträckning och nästan uteslutande vid gränsöverskridande betalningar."
"Migration to SEPA Credit Transfer (SCT), which launched SEPA officially on 28 January 2008, has been quite hesitant up to now.", "Övergången till Sepa-girering (SEPA Credit Transfer (SCT)), som officiellt inleddes den 28 januari 2008, har hittills gått ganska långsamt."
"You need to begin by downloading the Google IMA SDK SWC or MXP library.", "Börja med att hämta Google IMA SDK SWC-biblioteket eller MXP-biblioteket."
"The IMA SDK supports any language that is supported by AdSense.", "SDK-tillägget för IMA har stöd för alla språk som stöds i AdSense."
"You must use the IMA SDK to request and render ads.", "Du måste använda SDK-tillägget för IMA för att kunna begära och visa annonser."
"The victorious opposition, the Slovak Democratic Coalition (SDK), has found its feet in the determination to oust Meciar.", "Den segerrika oppositionen SDK har kommit fram i viljan att störta Meciar."
"This library is inserted into your Flash or Flex installation and gives you access to the SDK’s functionality.", "Biblioteket infogas i den befintliga Flash- eller Flex-installationen och ger tillgång till funktionerna i SDK."
"Wherever you plan to implement the IMA SDK, you’ll need to make sure that you’ve added the necessary include statements.", "Oavsett var du planerar att införa IMA SDK måste du vara noga med att lägga till alla nödvändiga "include"-satser."
"Remember to fully remove the ad and unload the IMA SDK when the ads are finished and the game is ready to play.", "Kom ihåg att ta bort hela annonsen och att inaktivera SDK-tillägget för IMA när videoannonserna är slut och spelet kan fortsätta."
"To get you started, Google engineers have developed a sample pre-loader that you can leverage on for your IMA SDK implementation.", "Googles tekniker har utvecklat en exempel-preloader som du kan använda som utgångspunkt för din egen IMA SDK-implementering."
"To get your publisher ID, you need to successfully implement the IMA SDK and complete the process described in the setup process guidelines.", "För att få ditt utgivar-ID måste du implementera SDK-tillägget för IMA och slutföra åtgärderna i installationsanvisningarna."
"This SDK allows you to request AdSense ads through Flash’s ActionScript language in order to more closely combine content and advertising.", "Med detta SDK kan du begära AdSense-annonser via ActionScript-språket i Flash för att kunna kombinera innehåll och annonsering."
"AdSense for Video and AdSense for Games operate using the same Google product- the Interactive Media Ads Software Development Kit (IMA SDK).", "AdSense for Video och AdSense for Games bygger på samma produkt från Google – Interactive Media Ads Software Development Kit (IMA SDK)."
"Requesting and rendering ads through the IMA SDK is a matter of setting up an ad request, loading the resultant ad, and playing it at the right time.", "Att begära och visa annonser via IMA SDK innebär att skapa en annonsbegäran, läsa in den resulterande annonsen och spela upp den vid rätt tidpunkt."
"I wish the new SEAFO every success in managing its fisheries.", "Jag önskar den nya SEAFO-organisationen all framgång i förvaltandet av dess fiske."
"I wish the new SEAFO every success in managing its fisheries.", "Jag hoppas att Europeiska unionen agerar som en konstruktiv kraft på det här området."
"Whether or not SEAFO meets the high expectations and ambitious objectives remains to be seen.", "En regional fiskeorganisations framgång beror till fullo på avtalsparternas politiska vilja."
"Whether or not SEAFO meets the high expectations and ambitious objectives remains to be seen.", "Om SEAFO kommer att uppfylla de höga förväntningarna och de ambitiösa målen eller inte återstår att se."
"The Commission suggests that any catches of these species in the high seas off the SEAFO area would be small.", "Kommissionen föreslår att alla fångster i öppet hav utanför SEAFO-området skall vara små."
"So what species will come under the management authority of SEAFO?", "Vilka arter kommer då SEAFO att få rätt att förvalta?"
"I can assure you, Mrs McKenna, that the Community will continue to take an active role in SEAFO's work.", "Jag kan försäkra er om, fru parlamentsledamot, att EU fortsättningsvis kommer att medverka i SEAFO:s arbete."
"I should also like to ask the Commission to thoroughly prepare its position before attending meetings of the SEAFO and the other RFOs, by consulting the sector.", "Därför behövs det en bra kommunikation och en öppen förbindelse mellan kommissionen och sektorn."
"On the other hand one commendable inclusion in the SEAFO Convention is the interim arrangements for monitoring, control and surveillance, which are to be welcomed.", "Om SEAFO kommer att uppfylla de höga förväntningarna och de ambitiösa målen eller inte återstår att se."
"On the other hand one commendable inclusion in the SEAFO Convention is the interim arrangements for monitoring, control and surveillance, which are to be welcomed.", "Ett värdefullt inslag i SEAFO-konventionen är dock de interimistiska åtgärderna för övervakning, kontroll och efterlevnad, vilka skall välkomnas."
"In short, we can see that we could do a lot of good things for SEK 40 billion.", "Kort sagt konstaterar vi att för 40 miljarder skulle vi kunna göra mycket gott."
"Each krona earned by Swedish manufacturers costs Swedish consumers SEK 44.00.", "Varje krona svenska producenter tjänar kostar de svenska konsumenterna 44 kronor."
"When you start a limited company you must have at least SEK 50 000 in share capital.", "När du startar ett aktiebolag måste du ha minst 50 000 kronor i aktiekapital."
"At SEK, rates of absence due to illness have fallen every year in the last fi ve years.", "Sjukfrånvaron hos SEK:s personal har minskat årligen under de senaste fem åren."
"SEK’s ambition is to offer a working environment that promotes staff health.", "SEK:s ambition är att ha en arbetsmiljö som befrämjar hälsa hos personalen."
"The increase in support for structural funds alone cost around an extra SEK 250 million.", "Cirka 250 miljoner kronor extra kostade endast ökningen av strukturfondsstödet."
"The price tag of 350 000 SEK provides a device that is one of the better of its kind.", "Prislappen på 350 000 ger en utrustning som är en av de bättre i sitt slag."
"The scale of the investment that each member has to put in may vary from SEK 1 upwards.", "Storleken på den insats varje medlem ska erlägga kan variera från 1 krona och uppåt."
"We want an allocation of EUR 20 million, equivalent to SEK 200 million.", "Vi vill anslå 20 miljoner euro, vilket motsvarar 200 miljoner svenska kronor."
"SEK enjoys a margin of 0,25% p.a. which is included in the CIRR rate.", "Den enda ersättning SEK får är en marginal om 0,25% p.a. som ingår i räntesatsen."
"The prevailing CIRR rates for the currencies that SEK can offer are published by SEK.", "Gällande räntesats för de valutor som SEK kan erbjuda publiceras av SEK."
"Under this system SEK administered the granting of credits at subsidized interest rates.", "Det innebar att SEK administrerade denna kreditgivning till subventionerade räntenivåer."
"SEK will offer market rate for any part not qualifying for CIRR rate.", "SEK erbjuder Marknadsränta för den del som inte kvalificerar för statsstöd."
"SEK's Market rateSEK Export Finance will give indications for market rates over the phone.", "SEK:s marknadsräntaSEK Export Finance ger dig en indikation för marknadsränta per telefon."
"The Centre is funded by the Swedish Research Council to the tune of SEK 50 million.", "Miljön finansieras av Vetenskapsrådet med 50 miljoner kronor."
"At SEK you find specialists in areas such as export financing and project financing.", "Hos oss finner du specialistkompetens inom bland annat exportfinansiering och projektfinansiering."
"Section 2 will be forwarded to SEK once decision has been taken by EKN.", "EKN skall efter sin prövning yttra sig och skicka Del 2 till SEK."
"In total, Swedish consumers can count on paying almost SEK 60 million more for their shoes.", "Totalt ska de svenska konsumenterna räkna med att betala nästan 60 miljoner mer för sina skor."
"The EU has made some SEK 1.3 million available for the campaign.", "EU har ställt omkring 1, 3 miljoner kronor till förfogande i kampanjen."
"SEK raises funds for its lending activities through issuance of debt obligations in local capital markets.", "SEK:s upplåning sker genom att emittera obligationer på lokala kapitalmarknader."
