//Sentences
"Concerning your amendments on the school-milk scheme, we are on the same wavelength.", "När det gäller era ändringsförslag om skolmjölkssystemet är vi på samma våglängd."
"We must do so now because that is the only chance we have to take Europe forward.", "Vi måste göra det, eftersom det är den enda möjligheten vi har för att föra EU framåt."
"The only chance we get to show that we are participating is by speaking in plenary.", "De enda tillfällen vi får att visa att vi deltar i arbetet är när vi talar i kammaren."
"This is their only chance to avoid missing the vitally important modernisation.", "Det är deras enda möjlighet att undvika att gå miste om den oerhört viktiga moderniseringen."
"The only chance of a solution lies in the complete recasting of the EU’s trade policies.", "Den enda möjligheten till lösning ligger i en fullständig omarbetning av EU:s handelspolitik."
"Because that is the only chance that the region will have of renewed hope.", "För att det är den enda chansen regionen har att få nytt hopp."
"It should not allow the hour of its fate to slip away it is its only chance for delivery'.", "Europa bör inte låta denna ödesstund gå förlorad – det är dess enda chans att åstadkomma något.”"
"I hope this happens as it is the only chance to help the people.", "Jag hoppas att detta händer, för det är den enda chansen att verkligen hjälpa människorna."
"This project will only have a chance of success if we provide the necessary funding for it.", "Detta projekt kommer endast kunna nå framgång om vi tillhandahåller nödvändig finansiering för det."
"It is our only chance of mitigating farmers' loss of earnings, at least in the medium term.", "Det är den enda möjligheten att mildra jordbrukarnas inkomstförluster, åtminstone på medellång sikt."
"It is our only chance of mitigating farmers ' loss of earnings, at least in the medium term.", "Det är den enda möjligheten att mildra jordbrukarnas inkomstförluster, åtminstone på medellång sikt."
"It is perhaps our only chance of beating the United States.", "Det är för övrigt den enda chansen för oss att slå Förenta staterna."
"Working together towards the future is our only chance of ensuring that democracy will be achieved.", "Att samarbeta med framtiden för ögonen är vår enda chans om vi vill att demokrati skall uppnås."
"That is the only chance for the people of Zimbabwe.", "Mugabe måste avgå, det är enda chansen för Zimbabwes folk."
"That is the only chance for the people of Zimbabwe.", "Allt har hittills misslyckats, men sanktionerna måste intensifieras."
"The number of couples for whom fertilisation by this method is their only chance of having offspring is growing year on year.", "Antalet par vars enda chans att få barn är genom denna metod växer för varje år."
"The only chance to force him to step down is a drastic change in the stance held by the African Union.", "Vår enda chans att tvinga honom från sin post är en drastisk förändring i Afrikanska unionens inställning."
"As Parliament, we have to be disciplined, because we are going to have - to put it simply - only one chance.", "Som parlament måste vi vara disciplinerade för vi kommer - enkelt uttryckt - bara att få en enda chans."
"I believe the European airlines only have a chance in alliances with other partners in other continents.", "Jag tror att de europeiska flyglinjerna bara har en chans i allianser med andra partner på andra kontinenter."
"This is its only chance to achieve a European perspective.", "Det är Ukrainas enda chans att närma sig EU."
"I apologise for the late hour, but it was the only chance of adopting this report before the end of the May session.", "Jag beklagar den sena timmen, men det var enda chansen att anta betänkandet före majsammanträdets slut."
"More of our onward distribution would then need to go by ship than by road.", "Därav skulle vi snarare vara tvungna att fördela per havsfartyg än över landsväg."
"On long journeys by air, delays recur and onward connections become more difficult.", "Under långa flygresor läggs den ena förseningen till den andra och anslutningarna försvåras."
"I believe it would be a very important initiative to take it onward as far as Budapest.", "Jag tror att det vore ett mycket viktigt initiativ, att här kunna resa utan byte ända till Budapest."
"We must resist the onward rush towards treating everything in society as saleable commodities.", "Vi måste vägra att jaga efter att hela samhället skall förvandlas fullt ut till en handelsvara."
"The problems start when the animal leaves the farm, goes to a haulier and moves onward.", "Problemen börjar när djuren lämnar gården, när de transporteras till ett åkeri och fortsätter därifrån."
"The problems start when the animal leaves the farm, goes to a haulier and moves onward.", "De enskilda medlemsstaterna och regionerna måste i viss mån själva fatta beslut om hur de skall lösa dessa frågor."
"On behalf of American Travelways, welcome to a continuation of Flight 282 to Rome, then onward to New York.", "På American Travelways vägnar, väIkomnar jag er till flyg 282 till Rom, sedan vidare till New York."
"Respect for every unborn child and the need to protect human life from conception onward are matters of principle for me.", "Respekt för varje ofött barn och behovet att skydda mänskligt liv från och med befruktningen är principfrågor för mig."
"Looking onward to the future, I can see that city continuing to expand on the basis of these well-allocated, well-controlled funds.", "Om man ser framåt tror jag att denna stad kan fortsätta att utvidgas utifrån dessa välfördelade, välkontrollerade medel."
"In my view, there will be no multiannual budgets from 2014 onward so long as those declarations from Member States are not given.", "Vi kan inte ha några fleråriga budgetar från 2014 och framåt så länge som dessa deklarationer från medlemsstaterna inte inges."
"An agreement must be made within the framework of the WTO to combat unsafe products from China or elsewhere, even those for onward export.", "Vi måste komma överens inom WTO om att bekämpa osäkra produkter från Kina eller andra länder, även dem som exporteras vidare."
"Moreover, the Swedish proposal to allow the onward transmission by third countries of personal data received from Europol is particularly important.", "Det svenska förslaget att tillåta tredjeland att överföra personuppgifter som erhållits från Europol är särskilt viktigt."
"Science itself seems outpaced by the onward rush of sorcerer's apprentices with no longer any taboos, moral boundaries or ethics.", "Vetenskapen själv tycks ha hamnat på efterkälken när trollkarlens lärlingar rusar framåt utan vare sig tabun eller moraliska och etiska gränser."
"Firstly, the Reform Treaty, the Lisbon Treaty: its ratification is essential for the onward development of the European Union.", "För det första, reformfördraget eller Lissabonfördraget. Att detta fördrag ratificeras är fundamentalt för Europeiska unionens fortsatta utveckling."
"Science itself seems outpaced by the onward rush of sorcerer' s apprentices with no longer any taboos, moral boundaries or ethics.", "Vetenskapen själv tycks ha hamnat på efterkälken när trollkarlens lärlingar rusar framåt utan vare sig tabun eller moraliska och etiska gränser."
"Therefore I should like to join with the rapporteur and other spadkers who have said 'onward' with the multiannual framework 'onward' with the Agency's work.", "Därför vill jag instämma med föredraganden och andra talare som vill se det fleråriga ramprogrammet och byråns arbete inledas."
"Another issue the House knows we will have to consider is the question of the onward transfer of passenger name records data by US customs.", "En annan fråga som parlamentet vet att vi måste behandla är frågan om att amerikanska tullmyndigheter i sin tur lämnar passagerarregister vidare."
"It may well be the case that the EU was once supported by the pillars of coal, steel and agriculture, but it is not that vision that drives people onward.", "Det är möjligt att EU en gång i tiden bars upp av kol-, stål- och jordbrukspelarna, men det är inte den visionen som driver folk framåt."
"Your mission is to drive industry onward, support it and, in tandem with it, to ensure that alternatives are developed quickly and equally quickly accepted.", "Det är er uppgift att driva på och stödja industrin och tillsammans med dem se till att det snabbt tas fram alternativ och att dessa alternativ snabbt godkänns."
"That apart, it is a matter for the PPE-DE Heads of Government, at the Brussels summit in two days' time, to stop the onward surge of the lemmings, which inevitably ends in disaster.", "Bortsett från det måste regeringscheferna från PPE-DE stoppa lämmeltåget, som oundvikligen kommer att sluta med katastrof, vid toppmötet i Bryssel i övermorgon."
"So please allow for a few more seconds between opening and closing the vote.", "Så var snäll och ge oss ytterligare några sekunder innan ni avslutar omröstningen."
"We take the scaffold, we seed it with cells, and you can now see here, the valve leaflets opening and closing.", "Man tar en ställning, sår den med celler, och nu kan ni se här, hjärtklaffen öppnas och stängas."
"This decision says, and I quote, "there were some irregularities because the official opening and closing times for the polling stations were not observed' .", "Det här beslutet säger att, jag citerar: " en del oegentligheter utgörs av det faktum att legala öppnings- och stängningstider inte har respekterats" ."
"This decision says, and I quote, " there were some irregularities because the official opening and closing times for the polling stations were not observed '.", "Det här beslutet säger att, jag citerar: " en del oegentligheter utgörs av det faktum att legala öppnings- och stängningstider inte har respekterats "."
"The government is spending £3 million in order to win this referendum.", "Regeringen lägger ut 3 miljoner pund för att vinna den här folkomröstningen."
"The government is spending£3 million in order to win this referendum.", "Regeringen lägger ut 3 miljoner pund för att vinna den här folkomröstningen."
"Mr President, in sport, an opponent is needed in order to win.", "Herr talman! Inom sporten behövs det en motståndare för att kunna vinna."
"In addition, exemptions were necessary in order to win some of the other Member States over.", "Dessutom behövdes undantagsbestämmelser för att kunna övertala några av de andra medlemsstaterna."
"In order to win the battle against murders of women and against impunity we need to attack on a variety of fronts.", "För att bekämpa kvinnomord och straffrihet måste vi angripa på flera olika fronter."
"I hope we can still convince people of this and make progress, in order to win the day on this issue at Nice.", "Jag hoppas att vi fortfarande kan övertyga, göra framsteg, för att segra på denna punkt i Nice."
"The huge financial rewards motivate people to do unnatural things to their bodies in order to win.", "De enorma ekonomiska vinsterna motiverar folk till att göra onaturliga saker med sina kroppar för att vinna."
"Thirdly, modernisation of the labour market as employees must be mobile in order to win the fight to be competitive.", "För det tredje modernisering av arbetsmarknaden, eftersom de anställda måste vara rörliga för att vinna konkurrensstriden."
"Let us unite in order to win this battle.", "Låt oss enas för att vinna denna strid."
"To conclude, Commissioner, we are with you, but you must put up more of a fight in order to win over the Commission itself.", "Avslutningsvis, herr kommissionsledamot, så är vi med er, men ni måste kämpa hårdare för att få kommissionen på er sida."
"Are we prepared to go to any lengths - short of rebellion - in order to win a little more or lose a little less as a reward for good behaviour?", "Är vi allt, utom uppstudsiga, för att genom att uppföra oss väl få en aning mera eller förlora en aning mindre?"
"In order to win this trust, we must make the internal market more efficient and sensitive to citizens' expectations and problems.", "För att vinna detta förtroende måste vi göra den inre marknaden mer effektiv och lyhörd för medborgarnas förväntningar och problem."
"You need a solid product, solid policies and you need a sound marketing campaign in order to win the hearts and minds of our people.", "Man behöver en stark produkt, en stark politik och en bra marknadsföringskampanj för att vinna medborgarnas hjärtan och hjärnor."
"It has been very easy for the KLA to provoke the Serbian forces into inappropriate responses in order to win international sympathy.", "Det har varit mycket lätt för KLA att provocera de serbiska styrkorna till olämpliga reaktioner för att vinna internationell sympati."
"I agree with all those speakers who have said that it is no solution at all to have recourse to force of arms in order to win a particular dispute.", "Jag instämmer med alla de talare som har sagt att det inte är någon lösning att ta till vapen för att vinna en specifik dispyt."
"In order to win back their confidence, extremely drastic measures are taken, the necessity of which in terms of safety might be questioned.", "För att återvinna förtroendet vidtas mycket drastiska åtgärder, vilka man kan undra om de verkligen är nödvändiga ur säkerhetssynpunkt."
"To conclude, Mr President, it is our opinion that in order to win the debate, and to sideline Mr Farage and his associates in the political debate, your role must be reasserted.", "För närvarande kommer det inte några positiva initiativ från kommissionen i fråga om miljö, samhälle eller kultur."
"In order to win this bet, we need, as in other knowledge sectors, to link our wealth of human resources with production promptly and effectively.", "För att kunna klara av den här utmaningen behöver vi, på samma sätt som i andra kunskapssektorer, genast och effektivt förena våra omfattande mänskliga resurser med produktionen."
"We know that in El Salvador, for example, the erstwhile Calderón government diverted aid of EUR 1 million in order to win votes in the right-wing camp.", "Exempelvis vet vi att bidragspengar i storleksordningen en miljon euro dirigerades om av den dåvarande regeringen Calderón i El Salvador för att få väljarröster till rätt sida."
"I agree with you, Mr Bautista Ojeda: top sportsmen and women who are not "clean" , who use substances from outside sport in order to win, do set a bad example.", "Jag instämmer med den värderade parlamentsledamoten: de stora idrottsmän som inte är " clean" , som använder medel för att vinna som inte hör till idrotten, är dåliga förebilder."
"The EU underlined the need to move step-by-step, in a results-oriented approach.", "EU betonade att frågan behöver hanteras steg för steg på ett resultatorienterat sätt."
"Some opt for a social democratic direction, others an extremely liberal, market-oriented approach.", "Vissa väljer en socialdemokratisk inriktning, andra en väldigt liberal och marknadsorienterad hållning."
"Conservatives also believe in a market-oriented approach, not further EU institutionalisation.", "De konservativa tror också på en marknadsinriktad strategi snarare än ytterligare institutionalisering i EU."
"We are experimentally oriented and application oriented in our research approach.", "I vår experimentellt inriktade och tillämpningsnära forskning använder vi ofta röntgenbaserad datortomografi för materialstudier."
"Based on a one-sided industry-oriented approach he calls on us to support the biotechnology industry.", "På grundval av ett angreppssätt som ensidigt är inriktat på industrin uppmanar han till stöd för den biotekniska industrin."
"We can also look at Iceland, where we have a successful market-oriented approach with individual tradeable quotas.", "Vi kan också se på Island, där vi har en framgångsrik marknadsorienterad strategi med individuella handelskvoter."
"This new growth-oriented approach will complement existing donor focus activities and the United Nations system.", "Denna nya tillväxtorienterade strategi blir ett komplement till befintlig verksamhet för att påverka givarländerna och FN-systemet."
"I am particularly pleased with the remarks concerning the flexibility of the labour market and the goal-oriented approach to education.", "Jag är särskilt nöjd med kommentarerna om arbetsmarknadens flexibilitet och den målinriktade utbildningsstrategin."
"Patients will be the main focus of this initiative and this is in line with the overarching citizen-oriented approach of the Commission.", "Patienterna kommer att stå i fokus i detta initiativ, i linje med kommissionens övergripande medborgarorienterade angreppssätt."
"It underlines that the Member States have to support a locally oriented approach to formulating and implementing the cohesion policy.", "Det betonas att medlemsstaterna måste stödja en platsbaserad strategi för utformningen och genomförandet av sammanhållningspolitiken."
"I would like to see a more balanced approach, along with the recognition that pursuing a solely product policy-oriented approach will not take us very far.", "Jag skulle vilja se en mer balanserad strategi och ett erkännande av att det inte räcker med bara en produktpolitisk strategi."
"They have made comments on this, and so their equivalence-oriented approach - which, as a method, stands on extremely shaky ground - requires no further comments from me.", "Ni har talat om detta och därför behöver jag inte tillägga något om denna ekvivalensbaserade tanke som haltar rent metodiskt."
"In order to promote a more citizen-oriented approach, any preparatory work for revision of the Treaties in the future must be carried out in a more transparent manner.", "För att främja närheten till medborgarna borde man i förnyandet av fördragen i framtiden tillämpa ett ännu öppnare beredningssätt."
"By the same token, the Framework Strategy for Gender Equality encourages an employability-oriented approach and women’s access to jobs in the new technologies sector.", "Inom ramstrategin om jämställdhet uppmuntras på samma sätt fokuseringen på anställbarhet och kvinnors tillgång till arbetstillfällen inom den nya tekniksektorn."
"I am convinced that, through their cooperation with the Ombudsman, EU institutions are helped in fostering a citizen-oriented approach to their daily work.", "Jag är övertygad om att EU-institutionerna genom sitt samarbete med ombudsmannen får hjälp att upprätthålla ett medborgarorienterat tillvägagångssätt för sitt dagliga arbete."
"It is also important that the trend should be towards a technologically more neutral operational environment, and that the sector-oriented approach be abandoned as far as possible.", "Det är också viktigt att utvecklingen går mot en tekniskt sett allt mer neutral verksamhetsmiljö och att man i så stor utsträckning som möjligt avstår ifrån en sektorspecifik tillämpning."
"This was the request of the lawyer-linguists, in order to clarify our intention.", "Detta var en begäran från juristlingvisterna, i syfte att förtydliga våra intentioner."
"It is our firm intention to give new impetus to international negotiations.", "Det är vår fasta avsikt att ge ny fart åt de internationella förhandlingarna."
"Our intention is to adopt this proposal in the Commission on 8 November 2000.", "Vår avsikt är att förslaget skall antas i kommissionen den 8 november 2000."
"Our intention is to apply this fourth position which means net transfers back.", "Vårt syfte är att tillämpa denna fjärde ståndpunkt, vilken innebär nettoåteröverföringar."
"It was certainly not our intention to interfere with private consumption.", "Vi hade verkligen inte för avsikt att blanda oss i den privata konsumtionen."
"I would ask you to accept our intention to vote in favour of the report in the final vote.", "Jag vill be er godta vår avsikt att rösta för betänkandet i slutomröstningen."
"However, this would cause suffering among the population, which cannot be our intention.", "Detta skulle dock orsaka lidande bland befolkningen, vilket inte kan vara vår avsikt."
"Our intention is that a practice we have been applying up until now should become a rule.", "Vårt mål är att det system vi tillämpat hittills skall få en rättslig grund."
"Well, I really must make it clear that such is certainly not our intention.", "Jag vill verkligen klargöra att detta sannerligen inte är vår avsikt."
"Our intention is not, in the first place, to criticise the government and the government party.", "Vår avsikt är inte i första hand att kritisera regeringen och regeringspartiet."
"It is our intention to obtain all the necessary information about the fingerprinting process.", "Det är vår avsikt att få alla nödvändiga uppgifter om förfarandet med fingeravtryck."
"It is our intention to deal with the links between health and nutrition in greater depth.", "Vi tänker fördjupa oss i frågan om sambandet mellan hälsa och födoämnen."
"It was never our intention that subsidiarity should imply a move towards renationalisation.", "Vi har aldrig varit anhängare till idén om subsidiaritet i meningen åternationalisering."
"I should simply like to confirm our intention to examine the matter fully.", "Jag vill bara bekräfta att vi har för avsikt att granska detta problem i hela dess omfattning."
"This directive is an essential statement of our intention to do that.", "Detta betänkande är ett tillkännagivande av vår avsikt att göra detta."
"It is our intention to continue this publication with its great wealth of statistical data.", "Det är vår mening att fortsätta med denna publikation med dess rikedom på statistiska data."
"Speaking on behalf of my group, I wish to announce our intention to make an issue of this.", "På min grupps vägnar vill jag meddela att vi tänker följa upp detta."
"They reinforce the political strength of the Euro-sceptics which is most certainly not our intention.", "De ökar euroskeptikernas politiska styrka, och det är då verkligen inte vår avsikt."
"Lastly, it is our firm intention to improve the internal management of the aid programmes.", "Slutligen är det vår fasta föresats att förbättra den interna förvaltningen av stödprogrammen."
"It goes without saying that it is our intention to strengthen this approach and develop it further.", "Vår avsikt är naturligtvis att förstärka denna strategi och utveckla den ytterligare."
"Thanks to their feminine intuition, women enrich our understanding of the world.", "Tack vare sin kvinnliga intuition berikar kvinnorna vår förståelse av världen."
"The phenomenon we call globalisation is re-shaping our world view, as you say.", "Den företeelse vi kallar globalisering ändrar, som ni säger, vår syn på världen."
"Too many people are excluded at the present time, in our own European world too.", "Det finns i dag för många som är utestängda, även i vår egen europeiska värld."
""Freedom of Expression" is still met with death in too many places in our world.", "Yttrandefrihet leder fortfarande till döden på alltför många håll i världen."
"Left to them, we will accept it for a fact that our world is either bad or mad.", "Om de får styra kommer vi att godta idén att vår värld antingen är ond eller galen."
"Mr President, the Arab world is our partner in the Union for the Mediterranean.", "(EN) Herr talman! Arabvärlden är vår partner i unionen för Medelhavsområdet."
"What can be done to make our universities world-class centres of excellence?", "Vad kan göras för att våra universitet skall bli expertcentrum av världsklass?"
"That also requires a dialogue with the Arab world about our fundamental principles.", "För detta krävs det även en dialog med arabvärlden om våra grundläggande principer."
"However, the World Cup is an illustration of the extreme contrasts in our world.", "Världsmästerskapet är emellertid en illustration av de skarpa kontrasterna i vår värld."
"I would also like to add that our producers are world leaders in this sector.", "Jag vill även tillägga att våra producenter är världsledande i den sektorn."
"Our stance is based on loyalty to the principles on which our world is based.", "Vårt ställningstagande baseras på lojalitet mot de principer som vår värld bygger på."
"We must work together and present a united front to our partners in the world.", "Vi måste samarbeta och visa upp en enad front mot våra partner i världen."
"We owe this to the rest of the world, our future generations and the European taxpayers.", "Det är vi skyldiga omvärlden, våra framtida generationer och EU:s skattebetalare."
"It is therefore clear that we should not confine our deliberations to the World Cup.", "Därför är det uppenbart att vi inte bör begränsa oss till att diskutera VM i fotboll."
"In a changing world, our Union needs to be more than a purely economic Union.", "I en värld i förändring måste unionen vara mer än en rent ekonomisk union."
"I want to end by applying the idea of Middle World to our perceptions of each other.", "Jag vill avsluta med att använda idén om Mellanvärlden på vår uppfattning av varandra."
"Mr President, the earth moved, tragedy struck and our world changed.", "– Herr talman! Marken skälvde, en tragedi drabbade oss och världen förändrades."
"It must be the aim of all Europeans to ensure peace and stability in our part of the world.", "Det måste vara alla européers mål att säkra fred och stabilitet i vår världsdel."
"Tuberculosis constitutes a flagrant example of the inequalities that riddle our world.", "Tuberkulos utgör ett tydligt exempel på de orättvisor som råder i världen."
"Our poet of world renown, Sándor Petőfi, gave his life for freedom in 1849.", "Vår världsberömde poet, Sándor Petőfi, gav sitt liv för friheten år 1849."
"The United States played a decisive role in the rapid removal of the Taliban government through Operation Enduring Freedom.", "Förenta staterna spelade en avgörande roll genom ?Operation Enduring Freedom? som snabbt avlägsnade talibanregimen."
"The United States played a decisive role in the rapid removal of the Taliban government through Operation Enduring Freedom.", "Förenta staterna spelade en avgörande roll genom? Operation Enduring Freedom? som snabbt avlägsnade talibanregimen."
"There is direct cooperation with Operation Enduring Freedom, which is unacceptable, and funding is to be channelled through Athena.", "Det förekommer direkt samarbete med Operation Enduring Freedom, vilket är oacceptabelt, och finansieringen kanaliseras genom Athena."
"In this regard, one very important point must be stressed: we must not mix up the two missions, that of the ISAF and that of Operation Enduring Freedom.", "När nationsbyggandet väl är färdigt kommer Afghanistan att vara en suverän stat utan behov av utländska trupper."
"In this regard, one very important point must be stressed: we must not mix up the two missions, that of the ISAF and that of Operation Enduring Freedom.", "I det avseendet måste en väldigt viktig punkt betonas: vi får inte blanda ihop de två uppdragen, ISAF:s och Operation varaktig frihet."
"Instead, it endorses the NATO ‘International Security Assistance Force’ (ISAF) operation and the so-called ‘war on terror’ in the shape of ‘Operation Enduring Freedom’ (OEF).", "I stället stöder den Natos internationella säkerhetsstyrkas (ISAF) operation och det så kallade kriget mot terrorismen i form av operation ”Enduring Freedom” (OEF)."
"No mention is made of the presence of warlords in the Karzai Government; there is no all-out condemnation of Operation Enduring Freedom, which is claiming civilian victims throughout the country.", "Det nämns inget om närvaron av krigsherrar i Hamid Karzais regering. Det saknas ett ordentligt fördömande av operation Enduring Freedom, som leder till civila offer runt om i landet."
