//Sentences
"Ray Mauritsson is a director of HMS Industrial Networks.", "Ray Mauritsson är styrelseledamot i HMS Industrial Networks."
"RoHS has been a successful piece of legislation since it was adopted in 2003.", "RoHS-direktivet har varit en framgångsrik lagstiftning sedan det antogs 2003."
"The recast of the directive is also necessary in order to make RoHS an efficient, flexible instrument.", "Omarbetningen av direktivet är också nödvändig för att göra RoHS till ett mer effektivt och flexibelt verktyg."
"The RoHS Directive is a key element of this policy.", "RoHS-direktivet är ett centralt inslag i denna politik."
"Finally, a total of 82 amendments have been tabled on the WEEE directive and 18 on the RoHS directive.", "Tills sist är det så att totalt 82 ändringsförslag har lagts fram till WEEE-direktivet och 18 till RoHS-direktivet."
"On the RoHS proposal, the Commission can accept four amendments in full, one in part and seven in principle.", "När det gäller RoHS-förslaget kan kommissionen godta fyra ändringsförslag i sin helhet, ett delvis och sju i princip."
"If something happens, call HS immediately.", "Om det händer något ringer ni till HS omedelbart."
"These problems have not been solved with RoHS 1.0.", "Problemen har inte lösts med RoHS 1.0."
"differentiation between RoHS and REACH", "skillnaden mellan RoHS och Reach,"
"Now, I believe that this compromise package represents significant progress towards greater clarity and simplification of the RoHS Directive.", "Jag anser att detta kompromisspaket utgör ett betydande framsteg mot ökad klarhet och förenkling av RoHS-direktivet."
"The recast of the RoHS Directive is aimed at preventing the use of hazardous substances that could harm the environment or human health.", "Omarbetningen av RoHS-direktivet är tänkt att förhindra användningen av farliga ämnen som kan skada miljön eller människors hälsa."
"This substance is not only harmful to health, it is also hazardous and therefore really ought to be placed within the scope of the RoHS Directive.", "Detta ämne är inte bara skadligt för människors hälsa utan även farligt och skulle därför verkligen behöva omfattas av RoHS-direktivet."
"HS, this is 227.", "HS, det här är 227."
"HS, this is 227.", "HS, det är 227..."
". - The current RoHS restricts the use of six hazardous materials that were once contained in certain electrical and electronic equipment.", "Det nuvarande RoHS-direktivet begränsar användningen av sex farliga ämnen som tidigare fanns i vissa elektriska och elektroniska produkter."
"To date, restrictions have already been imposed on mercury, lead, cadmium and a number of flame retardants on the basis of the current RoHS Directive.", "Hittills har begränsningar redan införts för kvicksilver, bly, kadmium och ett antal flamskyddsmedel utifrån det nuvarande RoHS-direktivet."
"The RoHS Directive belongs to those legislative acts which place the environment and sustainable development on the same footing as the uninterrupted movement of goods.", "RoHS-direktivet tillhör de rättsakter där miljön och en hållbar utveckling placeras på samma nivå som den oavbrutna rörligheten för varor."
"This proposal excludes photovoltaic panels from the scope of the RoHS Directive.", "Jag vill göra klart att jag fullständigt motsätter mig ändringsförslag 12, som syftar till att undanta solcellspaneler från RoHS-direktivets tillämpningsområde."
"In voting for the RoHS recast, we are, in effect, continuing a dual tracking of regulation and EU approval for chemical - hazardous - substances.", "När vi röstar för omarbetningen av RoHS-direktivet fortsätter vi i själva verket med en tvåspårsstrategi med reglering och EU-godkännande när det gäller kemiska - farliga - ämnen."
"Our priority during work on the review of the RoHS Directive was to raise safety standards for electrical appliances and electronic gadgets for sale in the European Union.", "Vår prioritering under arbetet med översynen av RoHS-direktivet var att höja säkerhetsnormerna för elektriska och elektroniska apparater som saluförs i EU."
"On the other hand, the amended RoHS Directive gives industry and entrepreneurs the necessary timeframe in which to introduce changes and to make the adaptations required.", "Å andra sidan får industrin och företagarna genom det ändrade RoHS-direktivet en nödvändig tidsram för att införa förändringar och göra de anpassningar som krävs."
