//Sentences
"Biofuels have, apart from the positive C02 effect, other environmental effects too.", "Vid sidan om den positiva koldioxideffekten har biobränslen också andra miljöeffekter."
"For industrial NiCad batteries the closed-loop system is guaranteed by the proposed ban on landfill and incineration.", "För industriella nickelkadmium-batterier garanteras det slutna kretsloppet av det förslagna förbudet mot deponering och förbränning."
"Come on you filthy, slimy, mangy cad.", "Kom här din loppbitna luspudel."
"In the past year alone, the sum of CAD 800 million was made available for the purpose of attracting foreign professors to the country.", "Bara under förra året anslogs en summa på 800 miljoner kanadensiska dollar i syfte att locka utländska professorer till landet."
"The workshops still sit empty, but the ERIC-01 car is in the computers’ CAD files, ready to be brought out, slowly but surely, into the light of day.", "Verkstaden ekar ännu tom, men i datorernas cadfiler finns bilen, ERIC-01, klar att sakta men säkert lyftas fram i ljuset."
"CAMM will be evaluated after 5 years by the end of 2014.", "CAMM will be evaluated after 5 years by the end of 2014."
"CAMM - Center of Advanced Mining and Metallurgi", "CAMM - Center of Advanced Mining and Metallurgi"
"VR, Formas, SSF, VINNOVA, KAW, Boliden Mineral, LKAB, MII, Energy Agency, SIDA, the Kempe Foundations, Camm and Bio4Energy.", "VR, Formas, SSF, VINNOVA, KAW, Boliden Mineral, LKAB, Jernkontoret, Energimyndigheten, SIDA, Kempestiftelserna, CAMM och Bio4Energy."
"CAMM", "CAMM"
"CAMM is established at Luleå University of Technology based on strategic funds from the Swedish government within the strategic area Sustainable use of natural resources: mining and minerals.", "CAMM is established at Luleå University of Technology based on strategic funds from the Swedish government within the strategic area Sustainable use of natural resources: mining and minerals."
"more_vert open_in_new Link to TED warning Request revision I offered five cents each for bottle caps.", "expand_more Jag erbjöd fem cent per kapsyl."
"more_vert open_in_new Link to European Parliament warning Request revision The CAP has been broadly revised, perhaps a little too much, in order to make it more'sexy ' in the eyes of the WTO.", ""
"more_vert open_in_new Link to European Parliament warning Request revision It has been said that they will not go cap in hand to the Commission looking for money.", "expand_more Det har sagts att de inte kommer att vända sig till kommissionen med mössan i hand för att begära pengar."
"more_vert open_in_new Link to European Parliament warning Request revision Fair trade could be a feather in your cap, Commissioner.", "expand_more För er skulle rättvis handel kunna vara en fjäder i hatten, herr kommissionsledamot."
"more_vert open_in_new Link to TED warning Request revision They brought women into the lab -- I think it was five women -- and outfitted them with cervical caps containing artificial semen.", ""
"more_vert open_in_new Link to European Parliament warning Request revision To cap it all, it demands a Constitution for the European Union - a phrase that was not used in the Nice conclusions but which, nonetheless, the resolution says should be the IGC's 'objective '.", ""
"more_vert open_in_new Link to OpenSubtitles warning Request revision And cover it up with a backwards cap, and, like, we're expected to swoon?", "keps, och, typ, förväntar sig att imponera?"
"more_vert open_in_new Link to statmt.org warning Request revision I think it is quite correct that we dropped the rapporteur's first proposal to cap or to restrict the number of parliamentary questions that could be asked.", "expand_more Jag tycker det var alldeles riktigt att vi förkastade föredragandens första förslag om ett tak eller begränsning av antalet parlamentsfrågor som kan ställas."
"more_vert open_in_new Link to European Parliament warning Request revision Subject: Assessment of radioactive emissions from Sellafield and Cap de la Hague", "expand_more Angående: Utvärdering av de radioaktiva utsläppen från Sellafield och Cap de la Hague"
"more_vert open_in_new Link to statmt.org warning Request revision Protecting icebergs and the polar cap from uncontrolled human intervention is an absolute must.", "expand_more Det är absolut nödvändigt att skydda isbergen och istäcket från okontrollerade mänskliga ingrepp."
"more_vert open_in_new Link to TED warning Request revision I offered five cents each for bottle caps.", "expand_more Jag erbjöd fem cent per kapsyl."
"more_vert open_in_new Link to European Parliament warning Request revision Until there is a fully functioning global market, the CAP needs to be safeguarded.", "slå vakt om GJP så länge världsmarknaden inte fungerar."
"more_vert open_in_new Link to European Parliament warning Request revision Despite that, it is because of that CAP that agriculture still exists today in Europe.", "tacka för att vi fortfarande har ett jordbruk i Europa."
"more_vert open_in_new Link to European Parliament warning Request revision To cap it all, this draft Constitution is now to be submitted to the Member States.", "expand_more Som kronan på verket skall nu detta konstitutionsförslag underställas medlemsstaterna."
"more_vert open_in_new Link to European Parliament warning Request revision By releasing human energies, not capping or constraining them.", "expand_more Genom att frigöra människors energi, och inte skydda eller begränsa dem."
"more_vert open_in_new Link to European Parliament warning Request revision Angående: Utvärdering av de radioaktiva utsläppen från Sellafield och Cap de la Hague", "expand_more Subject: Assessment of radioactive emissions from Sellafield and Cap de la Hague"
"Since the beginning of the CAP there have been fundamental changes to its tasks.", "Den gemensamma jordbrukspolitikens uppdrag har sedan starten förändrats i grunden."
"Today, we are debating the next reform, the new approach of the CAP after 2013.", "I dag diskuterar vi nästa reform, den gemensamma jordbrukspolitiken efter 2013."
"However, the melting of the Arctic ice cap has numerous, drastic consequences.", "Att det arktiska istäcket smälter får dock ett flertal drastiska konsekvenser."
"We think that in general the CAP is not sufficiently well regarded in Europe.", "Vi tycker att jordbrukspolitiken i allmänhet har ett för negativt rykte i Europa."
"Another key point is to maintain a CAP budget at least at its current level.", "En annan viktig punkt är att bevara en GJP-budget åtminstone på nuvarande nivå."
"The regulations creating a common agricultural policy (CAP) enter into force.", "Förordningarna om upprättandet av en gemensam jordbrukspolitik träder i kraft."
"We have been working very hard at simplifying the common agricultural policy (CAP).", "Vi har arbetat mycket hårt med att förenkla den gemensamma jordbrukspolitiken (GJP)."
"In 2007, unspent money from the CAP was diverted to the funding of the Galileo project.", "År 2007 fördes oförbrukade medel från GJP till finansiering av Galileoprojektet."
"I am happy that we have been able to retain the cap on the number of credits issued.", "Jag är glad att vi har lyckats hålla igen antalet utfärdade tillgodohavanden."
"Expenditure on the CAP no longer uses up the largest part of the Community's cash.", "Utgifterna för GJP tar inte längre den största delen av gemenskapens pengar i anspråk."
"Instead, I believe that the whole approach to the CAP should be reviewed.", "I stället borde vi diskutera hela den gemensamma jordbrukspolitikens uppläggning."
"I voted in favour of this report on the future of the common agricultural policy (CAP).", "Jag röstade för detta betänkande om den gemensamma jordbrukspolitikens framtid."
"The arctic ice cap is, in a sense, the beating heart of the global climate system.", "Istäcket är, på sätt och vis, det globala klimatsystemets slående hjärta."
"To cap it all, this draft Constitution is now to be submitted to the Member States.", "Som kronan på verket skall nu detta konstitutionsförslag underställas medlemsstaterna."
"What that means is that the CAP, too, must stand the test of this comparison.", "Det innebär att också den gemensamma jordbrukspolitiken måste genomgå denna jämförelse."
"A common agricultural policy (CAP) is thus essential in order to ensure this objective.", "En gemensam jordbrukspolitik (GJP) är därför nödvändig för att garantera detta mål."
"Furthermore, today we have a CAP that must be reformed for three reasons.", "Dessutom har vi i dag en gemensam jordbrukspolitik som måste reformeras av tre skäl."
"They have signed up to a reform that was moved to bring the CAP into line with the WTO.", "Än i dag klarar världen inte av att fördela sitt välstånd på ett jämnt sätt."
"As we know, the aims of the CAP were formulated under the Treaties of Rome.", "Som vi vet formulerades målen för den gemensamma jordbrukspolitiken under Romfördragen."
"To cap it all, European taxpayers are being forced to subsidise this.", "Till råga på allt tvingas europeiska skattebetalare att subventionera det hela."
"I think that there needs to be coherence between the CAP and trade policies.", "Jag tycker att den gemensamma jordbrukspolitiken måste stämma överens med handelspolitiken."
"We have been the first to show that cap and trade can work.", "Vi har varit först med att visa att ett system för utsläppshandel kan fungera."
"The USA, with its new Republican majority in the House, will not buy Cap and Trade.", "USA, med den nya republikanska majoriteten i representanthuset, kommer inte att köpa systemet med utsläppstak och handel med utsläppsrätter."
"The Commission has suggested that the cap-and-trade scheme, which the United States rejected, should commence in 2005.", "Kommissionen har föreslagit att den handel med utsläppskvoter som Förenta staterna förkastade skall inledas 2005."
"My point is that there are three pillars in the CAP: free trade, financial solidarity, and Community preference.", "Det jag vill komma till är att det finns tre pelare i den gemensamma jordbrukspolitiken: frihandel, ekonomisk solidaritet och gemenskapspreferens."
"It will set cap-and-trade values for our energy-dominated industry that are to be reduced annually in accordance with the Kyoto targets.", "Förslaget fastställer utsläppskvoter för vår energidominerade industri, vilka minskas årligen i enlighet med målsättningarna i Kyotoprotokollet."
"We are therefore very closely monitoring developments in the US and how the process for adopting the 'Cap and Trade' system will look in the US Congress.", "Därför bevakar vi väldigt noga utvecklingen i USA och hur antagandet av ”Cap and Trade-systemet” går i den amerikanska kongressen."
"President Obama is not going to get an emissions trading scheme through the Senate; his priority is health care rather than cap and trade.", "President Barack Obama kommer inte att få igenom något system för handel med utsläppsrätter i senaten. Han prioriterar hälso- och sjukvården framför ett handelssystem med utsläppstak."
"I think it is getting better all the time, and I think the cap-and-trade system allows us really to tackle a huge proportion of the gases.", "Jag anser att den hela tiden förbättras, och jag anser att systemet med maximigränser och handel (cap-and-trade) ger oss möjlighet att på allvar tackla en stor andel av växthusgaserna."
"It has set a unilateral target, it is introducing a cap-and-trade system and it is very ambitious about the medium- and long-term targets.", "Landet har fastställt ett enhälligt mål. Man inför ett handelssystem med utsläppstak (cap-and-trade system), och det är mycket ambitiöst när det gäller målen på medellång och lång sikt."
"They are fascinated to hear about our emissions trading system and are talking about cap and trade but they are rather incredulous about how ambitious our targets are.", "De var fascinerade över vårt system för handel med utsläppsrätter och talar om gränsvärden och handel, men de kunde knappt tro att våra mål var så ambitiösa."
"We gather that Congressman Waxman has indicated that he will try to get the legislation from his committee on the cap-and-trade system to be implemented at the end of May.", "Kongressledamot Waxman har tydligen sagt att han ska försöka se till att lagstiftningen från hans utskott, om systemet med utsläppstak och handel med utsläppsrätter, genomförs i slutet av maj."
"Another key point is to maintain a CAP budget at least at its current level.", "En annan viktig punkt är att bevara en GJP-budget åtminstone på nuvarande nivå."
"If the CAP budget is frozen, this means an irrevocable drop in direct payments.", "Att frysa gemensamma jordbrukspolitikens budget innebär oundvikligen en sänkning av inkomststödet."
"More particularly, maintaining the CAP budget after 2013 was an essential point.", "Det var särskilt nödvändigt att bibehålla budgeten för den gemensamma jordbrukspolitiken efter 2013."
"The report's conclusion is also sound: we cannot conceive of reducing the CAP budget.", "Slutsatserna i betänkandet är också sunda: vi får inte sänka budgeten för den gemensamma jordbrukspolitiken."
"In other words, part of the CAP budget will be redistributed.", "Det kommer alltså att göras en omfördelning av anslagen från GJP."
"We are in favour of a strong CAP that has the budget it needs to achieve its objectives.", "Vi är för en stark gemensam jordbrukspolitik som får de budgetmedel den behöver för att dess mål ska kunna uppnås."
"For this reason, it remains essential that we have adequate resources at our disposal over and above the CAP budget.", "Dessa senare områden behöver få sig en tankeställare, så att Pyrenéerna inte avfolkas."
"That means the CAP budget must be maintained at its current level and index-linked post-2013.", "Det betyder att budgeten för den gemensamma jordbrukspolitiken måste behållas på sin nuvarande nivå och värdesäkras efter 2013."
"At the same time, the CAP budget must help European farmers adapt to new challenges and opportunities.", "Samtidigt måste budgeten för den gemensamma jordbrukspolitiken hjälpa de europeiska jordbrukarna att anpassa sig till nya utmaningar och möjligheter."
"We hope you will not be limited by dogmatic demands to cap the Union's budget at 1% for the next decade.", "Vi hoppas att ni inte kommer att låta er begränsas av de dogmatiska kraven på att sätta ett tak för unionens budget på 1 procent för nästa årtionde."
"For this reason, it remains essential that we have adequate resources at our disposal over and above the CAP budget.", "Därför är det mycket viktigt att vi har tillgång till lämpliga resurser vid sidan av och utöver den gemensamma jordbrukspolitikens budget."
"We need to maintain the CAP budget to ensure these vital environmental services are provided in Ireland and across Europe.", "Vi måste bibehålla GJP-budgeten för att se till att dessa mycket viktiga ekomiljötjänster tillhandahålls i Irland och i hela Europa."
"It is a matter of concern that in many national parliaments we hear voices demanding a cap on the budget specifically for written translations.", "Det är oroande att vi från många nationella parlament hör krav på ett tak för budgeten, särskilt för skriftliga översättningar."
"However, we have to criticise the fact that it has a meagre budget: 10% of the total CAP budget is what we devote to rural development.", "Vi påtalar dock att den har en liten budget: 10 procent av budgeten för den gemensamma jordbrukspolitiken ägnas åt landsbygdsutvecklingen."
"However, we have to criticise the fact that it has a meagre budget: 10 % of the total CAP budget is what we devote to rural development.", "Vi påtalar dock att den har en liten budget: 10 procent av budgeten för den gemensamma jordbrukspolitiken ägnas åt landsbygdsutvecklingen."
"The proposal to renationalise 25 % of the CAP budget is nothing less than a partial dismantling of the common policy in agriculture.", "Förslaget att föra tillbaka 25 procent av GJP: s budget står inte för något annat än en partiell avveckling av den gemensamma jordbrukspolitiken."
"As a well-known song says, you want to make the past a blank slate, or at least send the CAP and the budget back to the drawing board.", "Jag håller också med om att vi bör ifrågasätta exportsubventioner som direkt konkurrerar med produktion i utvecklingsländer, särskilt i Afrika."
"The CAP budget must, at the very least, stay at current levels and similar resources and objectives must be safeguarded for the new CAP.", "Jordbruksbudgeten måste åtminstone ligga kvar på nuvarande nivå och liknande resurser och mål säkras för den nya gemensamma jordbrukspolitiken."
"We cannot allow the common agricultural policy (CAP) to have its budget cut, because that would mean that agriculture is probably worth less in Europe.", "Vi kan inte tillåta att jordbruksbudgeten skärs ned, eftersom det skulle betyda att jordbruket förmodligen är mindre värt i Europa."
"If this is to be attained, we cannot allow - as, hopefully, will be upheld by this House - any cuts to the current CAP budget.", "Om detta ska kunna uppnås kan vi inte tillåta - vilket parlamentet förhoppningsvis kommer att hävda - några nedskärningar av den nuvarande jordbruksbudgeten."
"What is the latest on the CAPPS II system or perhaps its successor?", "Vad är senaste nytt om CAPPS II-systemet eller kanske dess efterföljare?"
"- whether it has opened negotiations with the US on the new project to replace ‘CAPPS II’?", "- Har kommissionen inlett förhandlingar med Förenta staterna om det nya projektet som ersätter CAPS II?"
"Are discussions on the CAPPS II under way?", "Pågår det diskussioner om CAPPS II (Computer Assisted Passenger Pre-Screening System)?"
"- whether further negotiations have been initiated with the United States regarding the project to replace 'CAPPS II';", "- Har nya förhandlingar inletts med Förenta staterna om det projekt som skall ersätta CAPPS II?"
"Has it started negotiating with the US on CAPPS II and on the introduction of the non-encrypted RFID chip in passports?", "Har kommissionen börjat förhandla med USA om CAPPS II och om införandet av ett icke-krypterat RFID-chip i pass?"
"more_vert open_in_new Link to Google warning Request revision Some CAPTCHA systems also support audio CAPTCHAs.", "expand_more En del CAPTCHA-system har dessutom stöd för CAPTCHA i ljudformat."
"more_vert open_in_new Link to Google warning Request revision En del CAPTCHA-system har dessutom stöd för CAPTCHA i ljudformat.", "expand_more Some CAPTCHA systems also support audio CAPTCHAs."
"Please retype the captcha and click Submit.", "Ange tecknen i "captchan" på nytt och klicka på Skicka."
"Please answer the captcha and click Submit.", "Ange tecknen i "captchan" och klicka på Skicka."
"The Union has also supported the initiative of CARICOM and calls on all the Member States to accept and support it as well.", "Unionen har även stött Caricoms initiativ och uppmanar alla medlemsstater att också acceptera och stödja det."
"We need, once the multinational interim force has re-established order, to support CARICOM initiatives for a stabilisation force.", "Vi måste, så snart den multinationella insatsstyrkan har återupprättat ordningen, stödja Caricoms initiativ till en stabiliseringsstyrka."
"We need, once the multinational interim force has re-established order, to support CARICOM initiatives for a stabilisation force.", "Vi måste ge vårt stöd till premiärminister Gérard Latortue, som har utsetts av de sju vise männens råd, och den tillfällige presidenten Boniface Alexandre."
"Meanwhile, in cooperation with CARICOM, we are prepared not only to provide the scheduled humanitarian aid funds, but also any additional sums which may be necessary.", "Under tiden är vi, i samarbete med Caricom, beredda att stå för inte bara det planerade humanitära biståndet utan även för ytterligare belopp som kan komma att bli nödvändiga."
"I support the steps proposed by the Commission aimed at helping the countries of the region, which are already on the road to regional integration thanks to CARICOM, CARFORUM and MEUC.", "Jag stöder kommissionens förslag till åtgärder som syftar till att hjälpa länder i regionen som redan är på väg mot regional integration tack vare Caricom, Cariforum och MEUC."
