//Sentences
"RAI, the State broadcaster, gives a voice both to the majority and the opposition.", "Det statliga tv-bolaget RAI låter både majoriteten och oppositionen få komma till tals."
"more_vert open_in_new Link to TED warning Request revision Det finns gott om minne -- nio hexabyte RAM.", "expand_more . ~~~ Nine exabyte RAM."
"more_vert open_in_new Link to Open Office warning Request revision När en ram länkas ihop med en efterföljande ram så fixeras höjden automatiskt.", "expand_more The height of a frame that is linked with a subsequent frame is automatically fixed."
"more_vert open_in_new Link to statmt.org warning Request revision Emellertid faller detta förslag utanför maskindirektivets ram.", "expand_more However, this amendment goes beyond the scope of the machinery directive."
"The immediate cause is the issue involving the temple of the god Ram.", "Den närliggande orsaken är frågan om guden Rams tempel."
"What would happen if a small boat with a plastic hull were to ram one of these containers in mid-Atlantic?", "Vad skulle hända om en liten plastbåt rammas av en av dessa containrar mitt ute i Atlanten?"
"Time and again many Eurosceptics have used fraud within the European Union institutions as a battering ram to beat us with.", "Gång på gång har många euroskeptiker använt bedrägerierna inom EU:s institutioner som ett slagträ i debatten."
"I'll ram this helicopter right down your throat!", "Jag kör ner helikoptern i halsen på dig!"
"Time and again many Eurosceptics have used fraud within the European Union institutions as a battering ram to beat us with.", "Gång på gång har många euroskeptiker använt bedrägerierna inom EU: s institutioner som ett slagträ i debatten."
"A battering ram?", "En krasch and grab?"
"The negative experience from the application of similar measures to higher education shows that the integrated programme is here to ram through all levels of education in every Member State.", "Detta är ett väl genomtänkt förslag, som rationaliserar gemenskapsinstrumenten och som gör dem mer enhetliga, samverkande och effektiva."
"We must not allow the low social standards in some of the new Member States to be used as a battering ram to reverse the social achievements of more advanced Member States.", "Vi får inte låta den låga sociala standarden i vissa av de nya medlemsstaterna användas som ett slagträ för att bromsa de sociala förbättringar som nåtts i mer utvecklade medlemsstater."
"An Instron VHS 160-20 test machine for high ram velocities was purchased 2009 to meet requirements of more advanced testing for modeling of material behavior under crash and impact conditions.", "En Instron VHS 160-20 testmaskin för höga hastigheter köptes tidigare för att möta kraven på mer avancerade tester för modellering av material beteende under krock- och stötförlopp."
"RB: Well, I think that there's a very thin dividing line between success and failure.", "RB: Jo, jag tror att det är en väldigt tunn linje mellan framgång och nederlag."
"RB: No.", "Men kan du använda din adelstitel till något, eller är det bara... RB: Nej."
"RB: I was dyslexic. ~~~ I had no understanding of schoolwork whatsoever.", "RB: Jag var dyslektiker och hade ingen som helst förståelse för skolan."
"RB: She was, you know, she felt that we needed to stand on our own two feet from an early age.", "RB: Hon var, du vet... hon kände att vi behövde kunna stå på egna ben redan vid tidig ålder."
". ~~~ RB: He's a wonderful enthusiast, which is why I love him.", "Men personligen tyckte jag det var fantastiskt! RB: Han är en oerhört entusiastisk människa!"
"RB: Well, I think the balloon adventures were -- each one was, each one, actually, I think we came close.", "RB: Jag tror att det var ballongäventyren... ~~~ Vi kom ganska nära döden i princip varje gång."
"RB: Well, the nice thing about TED is everybody's interesting.", "RB: Ja, det härliga med TED är att alla är intressanta."
"RB: Philippe is quite erratic, so I think that he wouldn't be the best person to design the engine, no.", "RB: Philippe är ganska oregelbunden... så jag tror inte han är rätt person för just det jobbet, nej."
"(Laughter) RB: Well, I hope it's net actually, having -- (Laughter) -- I've got it right.", "(Skratt) RB: Netto, hoppas jag! ~~~ (Skratt) ."
"RB: Yeah, it'll be ready in -- well, ready in 12 months and then we do 12 months extensive testing.", "RB: Ja, och det kommer vara klart om... ja, 12 månader."
"RB: Again, we may have had problems finding customers.", "RB: Återigen... vi hade problem med att hitta några kunder."
"RB: Yeah, as it turned out, it proved to be the right move.", "RB: Ja, det visade ju sig vara rätt sak att göra."
"RB: It's about 25 billion dollars now, in total.", "RB: Det är uppe i ungefär 25 miljarder dollar nu totalt."
"(Laughter) RB: Ah, that was quite fun.", "CA: Ok. ~~~ (Skratt) CA: Ahh, det där var rätt roligt."
"(Laughter) RB: We couldn't find any customers.", "(Skratt) (Applåd) CA: Jag är också nyfiken på..."
"(Laughter) RB: It's a tough job, isn't it?", "(Skratt) RB: Jag har ett hårt jobb, eller hur?"
"RB: Nobody's ever called me Sir Richard.", "RB: Ingen har någonsin kallat mig Sir Richard."
"RB: Philippe has done the -- yeah, quite a bit of it: the logos and he's building the space station in New Mexico.", "RB: Philippe har gjort en hel del av den, ja, alla logotyper och sen är ju han den som designar rymdstationen i New Mexico."
"(Laughter) RB: Well, I've done both.", "(Skratt) RB: Ja, jag har ju gjort både och."
"RB: I read all these sort of TED instructions: you must not talk about your own business, and this, and now you ask me.", "RB: Jo, jag läser ju alla de här instruktionerna från TED -- "du får inte tala om ditt företag", osv. och nu frågar du mig?"
"- Resolution: Sudan: killing of African Union peacekeeping soldiers (RC", "- Resolution: Sudan och mord på fredsbevarande soldater från Afrikanska unionen (RC"
"State of the Transatlantic dialogue (RC B5-0342/2001 and RC B5-0345/2001)", "Läget i den transatlantiska dialogen (RC B5-0342/2001 och RC B5-0345/2001)"
"Stockholm European Council: Economic and social aspects (RC B5-0237/2001)", "Europeiska rådets toppmöte i Stockholm - Ekonomiska och sociala aspekter (RC B5-0237/2001)"
"- The CIA and the illegal transportation of prisoners (RC-B6-0649/2005)", "- CIA och den illegala transporten av fångar (RC-B6-0649/2005)"
"- Rejection of draft EU budget 2006 (RC-B6-0642/2005)", "- Förkastande av förslaget till Europeiska unionens budget för 2006 (RC-B6-0642/2005)"
"FORTEZZA authentication with RC4 128-bit key and an SHA-1 MAC", "FORTEZZA-kryptering med en RC4 128-bitars nyckel och SHA-1 MAC"
"Joint resolution on the shipwreck of the (RC B5-0181/2000)", "Gemensam resolution om fartygsolyckan med Erika (RC B5-0181/2000)"
"Meeting of the European Council in Feira (RC B5-0522/2000)", "Europeiska rådets möte i Santa Maria da Feira (RC B5-0522/2000)"
"- Commission legislative programme (2006) (RC-B6-0636/2005)", "- Kommissionens lagstiftningsprogram (2006) (RC-B6-0636/2005)"
"RC4 encryption with a 128-bit key and an MD5 MAC", "RC4-kryptering med en 128-bitars nyckel och en MD5 MAC"
"RC4 encryption with a 40-bit key and an MD5 MAC", "RC4-kryptering med en 40-bitars nyckel och en MD5 MAC"
"RC2 encryption with a 40-bit key and an MD5 MAC", "RC2-kryptering med en 40-bitars nyckel och en MD5 MAC"
"- Human rights in Tunisia (RC-B6-0646/2005)", "- Mänskliga rättigheter i Tunisien (RC-B6-0646/2005)"
"Conference on climate change (RC B5-0539/2001)", "Konferens om klimatförändringar (RC B5-0539/2001)"
"Joint resolution on racism (RC B5-0605/2001)", "Gemensam resolution mot rasismen (RC B5-0605/2001)"
"Extraordinary European Council (RC B5-0666/2001)", "Europeiska rådets extra möte (RC B5-0666/2001)"
"RC5 encryption in CBC mode with a 128-bit key", "RC5-kryptering i CBC-läge med 128-bitars nyckel"
"RC2 encryption in CBC mode with a 128-bit key", "RC2-kryptering i CBC-läge med 128-bitars nyckel"
"Stability and Growth Pact (RC B5-0602/2001)", "Stabilitets- och tillväxtpakten (RC B5-0602/2001)"
"Joint motion for a resolution (RC B5-188/2002)", "Gemensamt resolutionsförslag (RC B5-188/2002)"
"We also need specific, concrete plans for recycling REEs.", "Vi behöver också specifika, konkreta planer för REE-återvinning."
"The Japanese Government has spent USD 1 billion on research into the substitution and recycling of REEs.", "Den japanska regeringen har lagt 1 miljard US-dollar på forskning om ersättning och återvinning av REE."
"Over the last year, Japan has been in a more difficult position with regard to access to REEs than Europe has.", "Under det senaste året har Japan befunnit sig i en svårare situation när det gäller tillgång till REE än Europa."
"Madam President, in the short and medium term, our dependency on the import of rare earth elements (REEs) from China certainly presents a problem.", "Fru talman! På kort och medellång sikt utgör vårt importberoende av sällsynta jordartsmetaller (REE) från Kina verkligen ett problem."
"However, in my opinion, the strategic focus of our policy on REEs must be innovation, raw material efficiency and technological leadership.", "Enligt min mening måste dock den strategiska inriktningen för vår politik för REE handla om innovation, råvarueffektivitet och tekniskt ledarskap."
"The extraction of rare earth elements (REEs) has led to serious environmental damage in China, as was the case in the past in the USA and elsewhere.", "Utvinningen av sällsynta jordartsmetaller (REE) har lett till allvarliga miljöskador i Kina, såsom tidigare var fallet i USA och på andra håll."
"China is also interested in investing in high-tech production facilities for processing REEs, because it does not just want to be a supplier of raw materials.", "Kina är också intresserat av att investera i högteknologiska fabriker för förädling av REE, eftersom man inte bara vill vara en råvaruleverantör."
"Error: Unable to locate REG.", "Fel: Kan inte hitta REG."
"(2001/2040(REG))", "(2001/2040(REG))"
"(1999/2195(REG))", "(1999/2195(REG))"
"A5-0008/2002 by Richard Corbett, on behalf of the Committee on Constitutional Affairs, on the General Revision of the Rules of Procedure (2001/2040(REG));", "A5-0008/2002 av Richard Corbett för utskottet för konstitutionella frågor om den allmänna översynen av Europaparlamentets arbetsordning (2001/2040(REG)),"
".: +32 2 422 11 91 E-mail: FR : dir.reg.da.bruxelles[at]minfin.fed.be", "Administration des douanes et accises Belgium Customs Boulevard du Jardin Botanique 50 BE - 1000 Brussel - Bruxelles Tel.: +32 2 422 11 91 E-mail: FR : dir.reg.da.bruxelles[at]minfin.fed.be"
"To my knowledge, this information is kept up to date in the INFOVIEW system run by DG REGIO.", "Såvitt jag vet uppdateras dessa uppgifter löpande i Infoview-systemet, som förvaltas av GD REGIO."
"There is a Roma inter-service group working on Structural Funds chaired by DG REGIO.", "Det finns en avdelningsöverskridande grupp under ledning av generaldirektoratet för regionalpolitik som arbetar med strukturfonderna."
"Many Members raised the question of the reprogramming of the Structural Funds, and DG REGIO is discussing this.", "Många ledamöter tog upp frågan om omprogrammering av strukturfonderna och detta diskuteras nu inom GD REGIO."
"What stage has been reached in the study being carried out by DG Regio to this effect?", "I vilket skede befinner sig den undersökning som håller på att genomföras av generaldirektoratet för regionalpolitik i detta avseende?"
"In 2005, for example, DG Regio had reservations on the adequacy of control systems in Spain.", "Generaldirektoratet för regionalpolitik angav exempelvis 2005 reservationer om de spanska kontrollsystemen, som inte ansågs hålla måttet."
"We cannot support a political solution which would mean turning back the clock and applying the principle: 'cuius regio, eius religio'.", "Vi kan inte göra en politisk lösning som skulle vara ett klart steg tillbaka trovärdig och tillämpa principen att ?härskaren bestämmer religionen?."
"We cannot support a political solution which would mean turning back the clock and applying the principle: 'cuius regio, eius religio '.", "Vi kan inte göra en politisk lösning som skulle vara ett klart steg tillbaka trovärdig och tillämpa principen att? härskaren bestämmer religionen?."
"That is the case with the Socorridos Hydroelectric Power Station, in the Autonomous Region of Madeira, recognised under the RegioStars initiative.", "Det är fallet med Socorridos hydroelektriska kraftstation i den självständiga regionen Madeira, som har uppmärksammats i anslutning till RegioStars-initiativet."
"In my opinion, the Commission has already made a good start in this area, for example with the RegioStars initiative, but this needs further development.", "Enligt min mening har kommissionen redan fått en bra start på detta område, med initiativet RegioStars till exempel, men detta måste utvecklas ytterligare."
"Together with my fellow-members of the Committee for Culture and Education, I have also ensured that teachers’ European awareness can be enhanced through the new Comenius Regio programme.", "Tillsammans med mina kolleger i utskottet för kultur och utbildning har jag dessutom sett till att lärarnas medvetenhet om EU förbättras genom det nya programmet Comenius Regio."
"That is added to by the fact that the RELEX DGs are being reorganised.", "Till detta läggs det faktum att generaldirektoraten för yttre förbindelser håller på att omorganiseras."
"In the past years, our committee had a debate on this with DG RELEX.", "Under de senaste åren har vårt utskott debatterat detta med generaldirektoratet för yttre förbindelser."
"A gender helpdesk currently operates under the RELEX family of the Commission.", "En hjälpcentral för jämställdhetsfrågor är för närvarande verksam under kommissionens avdelning för yttre förbindelser."
"I chair the group of RELEX Commissioners which meets regularly both formally and informally.", "Jag är ordförande i gruppen för Relex-kommissionärer, som sammanträder regelbundet, både formellt och informellt."
"Progress towards meeting the benchmark will be monitored through the Common RELEX Information System".", "Framsteg på vägen mot riktmärket kommer att övervakas genom det gemensamma systemet för information inom RELEX" ."
"Progress towards meeting the benchmark will be monitored through the Common RELEX Information System ".", "Framsteg på vägen mot riktmärket kommer att övervakas genom det gemensamma systemet för information inom RELEX "."
"It has already been widely circulated in the RELEX family of directorates general and the delegations.", "Det har redan cirkulerat i stor utsträckning inom generaldirektoraten på området för yttre förbindelser och inom delegationerna."
"The information system concerning the Northern Dimension is also available on the Relex DG web site.", "Det informationssystem som berör den nordliga dimensionen är också tillgängligt på generaldirektoratet för yttre förbindelsers webbplats."
"Secondly, my question relates to the prospect for the Relex family of directorates under the new Commission.", "Vi vill inte se att våra utvecklingsmål och prioriteringar underordnas utrikespolitiska strategier, intressen och prioriteringar."
"Secondly, my question relates to the prospect for the Relex family of directorates under the new Commission.", "Min andra fråga handlar om framtidsutsikterna för direktoraten inom generaldirektoratet för yttre förbindelser i den nya kommissionen."
"Consolidating the RELEX Commissioners and increasing the management support staff and resources have my fullest support.", "Att stärka Relex-kommissionärernas ställning och utöka personalen och resurserna för att bistå ledningen har mitt fulla stöd."
"The main partner of the rapporteur was DG RELEX, whose main mandate is the promotion of EU interests in the rest of the world.", "Föredragandens främsta partner var generaldirektoratet för yttre förbindelser, vars uppdrag är att gynna EU:s intressen i världen."
"This will also concentrate a lot of attention among all RELEX Commissioners on the problem of whether or not we actually are delivering.", "Detta kommer också att fokusera en stor del av Relex-kommissionärernas uppmärksamhet på om vi verkligen håller vårt ord eller inte."
"Nevertheless, I sympathise with better and more thorough diplomatic training for Relex staff sent abroad in the Commission delegations.", "Icke desto mindre stöder jag en bättre och grundligare diplomatisk utbildning för Relexpersonal som sänds utomlands för att arbeta vid kommissionens delegationer."
"The current representation does not meet this requirement if, for example, we consider Directorate-General RELEX or the Commission Delegations outside the EU.", "Den nuvarande representationen uppfyller inte detta krav, om man till exempel tänker på generaldirektoratet Relex eller kommissionens delegationer utanför EU."
"It favours not just the reunification of the project cycle but of the whole cooperation cycle, including programming which now remains with the DG Development and DG Relex.", "Den gynnar inte bara återföreningen av projektcykeln, utan av hela samarbetscykeln, inklusive programplaneringen som nu sköts av GD Bistånd och GD Yttre förbindelser."
"Commissioner Patten will be chairman, reflecting the position he already has at the head of the table being the ultimate coordinator of all RELEX Commissioners ' activities.", "Kommissionär Patten kommer att vara ordförande, vilket avspeglar den ställning han har som överhuvud och den främste samordnaren av alla Relex-kommissionärernas verksamhet."
"The role is to make sure that the formulation of the different programmes, including those in DG RELEX, is consistent with the policy and principles that we have defined.", "Dess roll är att garantera att formuleringen av de olika programmen, inklusive dem i generaldirektoratet för yttre förbindelser, stämmer överens med den politik och de principer vi har fastställt."
"more_vert open_in_new Link to TED warning Request revision This is a beautiful, new device that gives you detailed sleep tracking data, not just whether you're asleep or awake, but also your phase of sleep -- deep sleep, light sleep, REM sleep.", "REM sömn."
