//Sentences
"A permanent war crimes tribunal could be a step on way to realizing our dreams.", "En permanent krigsförbrytardomstol kan bli ett steg på vägen mot våra drömmars mål."
"I welcome the fact that President Kostunica has acknowledged the importance of cooperating with the War Crimes Tribunal in The Hague.", "Jag välkomnar det faktum att president Kostunica har bekräftat betydelsen av att samarbeta med krigsförbrytartribunalen i Haag."
"There have been some positive developments in some areas, for example, recent cooperation with the International War Crimes Tribunal.", "Vi har sett en positiv utveckling på en del områden, till exempel samarbetet med den internationella krigsförbrytardomstolen nyligen."
"The European Union is still demanding that war suspects be handed over to the international war tribunal in The Hague.", "Jag är positiv till att dessa länder blir medlemmar i Europeiska unionen om de uppfyller Köpenhamnskriterierna om rättssäkerhet och mänskliga rättigheter."
"For some time now there has been an agreement between the Cambodian Government and the United Nations on the establishment of a war-crimes tribunal.", "Nu har det under en tid funnits ett avtal mellan den kambodjanska regeringen och FN om inrättandet av en krigsförbrytartribunal."
"Mr President, the International War Crimes Tribunal in The Hague has not been able to fulfil its duty, which is to prosecute suspected war criminals.", "Herr ordförande! Krigsförbrytartribunalen i Haag har inte kunnat lösa sin uppgift, den att pröva åtal mot misstänkta krigsförbrytare."
"We must ensure that such things no longer happen, that we support the War Crimes Tribunal for Rwanda, and that this has a deterrent effect.", "Vi måste se till att detta inte längre sker. Vi måste sluta att stödja krigsförbrytartribunalen i Rwanda och på så vis ge ett avskräckande exempel."
"Such language belongs to the Machtpolitik Cold War era, not to modern diplomacy.", "Ett sådant språk hör hemma i kalla krigets Machtpolitik, inte i modern diplomati."
"We shall not beat them by focusing on security issues belonging to the Cold War era.", "Vi kan inte besegra dem genom att fokusera på säkerhetsfrågor som får saken att likna det kalla kriget."
"Mr President, from 1 May we can celebrate one of the greatest achievements of the post-war era.", "– Herr talman! Sedan den 1 maj kan vi fira en av efterkrigstidens största landvinningar."
"If Russia does indeed do so, this will in a sense imply a return to the Cold War era.", "Om Ryssland verkligen gör så kommer detta på sätt och vis att innebära en återgång till det kalla krigets era."
"What is more, since the cold war era this threat, far from decreasing, is actually increasing.", "Hotet har dessutom långt ifrån minskat sedan det kalla krigets dagar utan blir faktiskt alltmer påtagligt."
"Many of those who need protection today do not fulfil the criteria established during the cold war era.", "Många av dagens skyddsbehövande uppfyller inte de kriterier som utarbetades under det kalla kriget."
"How much time was lost in Europe as a result of those foolish analyses during the immediate post-war era.", "Hur mycket tid förlorades i Europa som ett resultat av dessa idiotiska analyser direkt efter kriget?"
"The effect of this law is to accord general legitimacy to the gravest crimes and offences committed in the post-War era.", "Med denna lag legitimeras schablonmässigt de svåraste brott och efterkrigsförbrytelser."
"We must also move the region beyond the era of war.", "Vi måste också få regionen att lämna krigseran bakom sig."
"Well, we have changed the past and Europe is a different place from what it was in the post-war era.", "Vi har minsann ändrat det förgångna och Europa är annorlunda nu i jämförelse med hur det var under efterkrigsperioden."
"During the Cold War era, we were concerned with managing the status quo - now we are trying to manage change.", "På det kalla krigets tid handlade det om att hantera status quo, nu handlar det om att behärska förändringen."
"Mr President, from 1 May we can celebrate one of the greatest achievements of the post-war era.", "Få människor föreställde sig för 20 år sedan att Europeiska unionens gränser skulle sträcka sig till de baltiska staterna och Polen."
"We are living in a post-cold war era.", "Vi lever i tiden efter det kalla kriget."
"How much time was lost in Europe as a result of those foolish analyses during the immediate post-war era.", "Låt oss vara stolta över det Europa som byggts av dem som var här före oss, och låt oss uppträda på ett sätt som är värdigt deras arvtagare."
"Many of the Member States' significant national minorities became established in the post-World War II era of reconstruction.", "Många av medlemsstaternas viktiga nationella minoriteter etablerade sig under den tid av återuppbyggnad som följde efter andra världskriget."
"The situation today is different from the post-war era of 1951, but the challenges may be similar, even if the practicalities will be different.", "Dagens situation är annorlunda jämfört med efterkrigstiden 1951, men utmaningarna kan vara liknande, även om de praktiska förhållandena inte är det."
"The situation today is different from the post-war era of 1951, but the challenges may be similar, even if the practicalities will be different.", "Inget kan vara viktigare för ett EU med 25 medlemsländer än att ha en gemensam europeisk invandringspolitik och, jämsides med detta men separat, en gemensam europeisk asylpolitik."
"Member State Ministers who tire themselves out producing objections will undoubtedly be considered 'useful idiots' - to use a term from the cold war era.", "Ministrar i medlemsstater som tröttar ut sig med invändningar kommer av potentiella terrorister att betraktas som - jag använder en term från det kalla krigets dagar - "nyttiga idioter"."
"Member State Ministers who tire themselves out producing objections will undoubtedly be considered 'useful idiots ' - to use a term from the cold war era.", "Ministrar i medlemsstater som tröttar ut sig med invändningar kommer av potentiella terrorister att betraktas som - jag använder en term från det kalla krigets dagar - " nyttiga idioter "."
"So, you have to try hard, but there's no unemployment in World of Warcraft.", "Så du måste anstränga dig. ~~~ Men det finns igen arbetslöshet i World of Warcraft."
"Second biggest wiki in the world, with nearly 80,000 articles, is the World of Warcraft wiki.", "Näst största wikin i världen, med nästan 80 000 artiklar är World of Warcraft-wikin."
"Because good games, really good games, cost money, and World of Warcraft has quite a budget.", "Därför att bra spel, riktigt bra spel, kostar pengar, och World of Warcraft har en väsentlig budget."
"That was the first real-time strategy game from the World of Warcraft series.", "Så, den här galna berättelsen kanske är sann."
"So, I looked at games like World of Warcraft, which is really the ideal collaborative problem-solving environment.", "Så jag studerade spel som World of Warcraft, som verkligen är den ideala miljön för kollektiv problemlösning."
"They have compiled more information about World of Warcraft on the Internet than any other topic covered on any other wiki in the world.", "De har sammanställt mer information om World of Warcraft på internet än för något annat ämnesområde på wiki."
"You know there's a reason why the average World of Warcraft gamer plays for 22 hours a week, kind of a half-time job.", "Det finns en anledning till varför den medelmåttiga World of Warcraft-spelaren spelar 22 timmar i veckan, ungefär som ett deltidsjobb."
"So, so far, collectively all the World of Warcraft gamers have spent 5.93 million years solving the virtual problems of Azeroth.", "Så hittills har alla World of Warcraft-spelare sammantaget tillbringat 5,93 miljoner år med att lösa de virtuella problemen i Azeroth."
"So for every digital renegade that is revolting in the streets of Tehran, there may as well be two digital captives who are actually rebelling only in the World of Warcraft.", "Så för varje digital rebell som gör uppror på Teherans gator kan det även finnas två digitala fångar som faktiskt bara gör uppror i World of Warcraft."
"Yeah, well, they're playing video games, and they're gambling online all night long, and they're playing World of Warcraft, and that's affecting their academic achievement."", "Ja, de spelar väl videospel, och de spelar online hela natten lång, och de spelar World of Warcraft. ~~~ Och det påverkar deras akademiska prestation.""
"They started playing as eight year olds in the Pop Warner fields of Odessa, or in Dallas.", "De började spela som 8- åringar... i juniorserien i Odessa eller Dallas."
"Mr Ortuondo Larrea, Mr Markov and Mr Rapkay referred to the very important AOL-Time Warner case.", "Ortuondo Larrea, Markov och Rapkay hänvisade till det mycket viktiga fallet AOL-Time Warner."
"The rights to the song Happy Birthday are supposedly owned by the North American company Warner.", "Rättigheterna till födelsedagssången Happy Birthday lär ägas av det nordamerikanska företaget Warner."
"We also hope that it will adopt a similarly rigorous approach where Time Warner and AOL are concerned.", "Vi hoppas också att de uppträder på liknande konsekvent sätt nu när det gäller Time Warner och AOL."
"I TiVo stuff on my piece of junk Time Warner DVR all the time.", "TiVoar sakerna på min sunk Time Warner DVR hela tiden."
"You may remember this as the AOL-Time Warner merger, okay, heralded at the time as the largest single deal of all time.", "Ni kanske minns sammanslagningen av AOL och Time Warner, okej. ~~~ Det utropades som tidernas största enskilda affär."
"Are we to take this to mean that, for example, Warner Brothers would work together with ISPs almost like deputy sheriffs?", "Ska vi tolka det som att exempelvis att Warner Brothers ska samarbeta med leverantörer av Internettjänster nästan som med polisrepresentanter?"
"Time Warner has called and they want us all back on the couch, just consuming -- not producing, not sharing -- and we should say, "No."", "Time Warner har ringt och de vill ha oss tillbaka i soffan, bara konsumerandes inte producerande, inte delandes och vi borde säga "Nej"."
"more_vert open_in_new Link to European Parliament warning Request revision They will move to Delhi and Beijing rather than to Warsaw or Budapest.", "expand_more De kommer att flytta till Delhi och Peking snarare än till Warszawa eller Budapest."
"When the Soviet Union and the Warsaw Pact disappeared, this NATO lost its raison d'être.", "När Sovjetunionen och Warsawapakten försvann förlorade Nato sitt existensberättigande."
"You represent a country where people took a stand against the invasion by Warsaw Pact troops.", "Ni företräder ett land där folk tog ställning mot invasionen av Warszawapaktens trupper."
"Today, however, this dreadful communist system has collapsed and the Warsaw Pact has been dissolved.", "I dag har dock detta förfärliga kommunistsystem kollapsat och Warszawapakten har upplösts."
"How can you justify the indefinite extension of NATO when the Warsaw Pact has itself disappeared?", "Hur kan ni rättfärdiga den obegränsade utvidgningen av Nato när själva Warszawapakten har upplösts?"
"(PL) Mr President, it is a good thing that the world is no longer divided between the Warsaw Pact and NATO.", "(PL) Herr talman! Det är bra att världen inte längre är delad mellan Warszawapakten och Nato."
"Judge Jowitt ruled that conflict did indeed exist between the Regulation and the Warsaw Convention.", "Domare Jowitt slog fast att det verkligen fanns en konflikt mellan förordningen och Warszawakonventionen."
"The Warsaw Pact has disappeared but we have not offered any response other than the ceaseless expansion of NATO.", "Warszawapakten är borta men vi har inte erbjudit någon annan respons än en oupphörlig utvidgning av Nato."
"Up to now the obligations of air carriers, as the rapporteur said, have been governed basically by the 1929 Warsaw Convention.", "Fram till nu har flygtransportörernas skyldigheter reglerats av Warszawakonventionen från 1929."
"A short time ago, I was talking to some Polish colleagues who have been pursuing this policy in the Warsaw parliament.", "För en kort tid sedan talade jag med några polska kolleger som har talat för denna politik i Warszawas parlament."
"Warsaw's Okęcie airport is one of these.", "Warszawas Okęcie flygplats är en av dessa."
"It is the first time a former Warsaw Pact country has assumed the responsibility of chairing the European Council.", "Det är första gången som ett land som ingick i den tidigare Warszawapakten har axlat ansvaret för att leda Europeiska rådet."
"The Warsaw Convention is 70 years of age.", "Warszawakonventionen är 70 år gammal."
"I was at a Nordic Council parliamentarians meeting yesterday in Warsaw, where the same point was made.", "I detta avseende anser jag att de initiativ som vi har utarbetat när det gäller Ryska federationen betydligt stärker den nordliga dimensionen."
"In respect of this legislation, I note that the proposal conforms to the provisions of the Montreal and Warsaw Conventions.", "När det gäller denna lagstiftning noterar jag att förslaget är förenligt med bestämmelserna i Montreal- och Warszawakonventionerna."
"From the time when the forces of the Warsaw Pact invaded Czechoslovakia during the Prague Spring, we always showed solidarity with them.", "Vi visade alltid solidaritet med Tjeckoslovakien från det att landet invaderades av Warszawapaktens styrkor under Pragvåren."
"I have heard that the Finnish government intends to bring up the matter of banning drift-net fishing this Autumn at the Warsaw Conference.", "Jag har hört att den finska regeringen har avsikt att ta upp förbudet mot drivgarnsfiske vid kommande höstens Warszawamöte."
"That did not happen until the Soviet Union and the Warsaw Pact - which for years had justified the existence of NATO - had collapsed.", "Det skedde först efter att Sovjetunionen och Warszawapakten, vilka under flera år berättigat Natos existens, hade störtat samman."
"What is particularly worrying is, as Senator Marty’s report points out, Warsaw’s unwillingness to cooperate seriously with the European institutions.", "Särskilt oroande är Warszawas ovilja att på allvar samarbeta med EU:s institutioner, vilket påpekas i senator Martys rapport."
"Such programmes do exist in the Member States - at the Centre for East European Studies in the University of Warsaw in Poland, for example.", "Pengar bör anslås för ungdomsutbyten, gemensamma utbildningsprogram, resor, etablering av universitet och stöd till undervisningsprogram."
"Without any proof, the media have lynch-mobbed a Polish archbishop for the purpose of preventing him from becoming the Metropolitan Bishop of Warsaw.", "Utan att lägga fram några bevis har medierna lynchat en polsk ärkebiskop för att hindra honom från att bli Warszawas ärkebiskop."
"Judge Jowitt ruled that conflict did indeed exist between the Regulation and the Warsaw Convention.", "Domare Jowitt slog fast att det verkligen fanns en konflikt mellan förordningen och Warszawakonventionen."
"Up to now the obligations of air carriers, as the rapporteur said, have been governed basically by the 1929 Warsaw Convention.", "Fram till nu har flygtransportörernas skyldigheter reglerats av Warszawakonventionen från 1929."
"The Warsaw Convention is 70 years of age.", "Warszawakonventionen är 70 år gammal."
"The Warsaw Convention, which is still applicable, has worldwide status, and its successor, the Montreal Convention, is also being given that status.", "Den ännu gällande Warszawakonventionen har en sådan världsomfattande status, och dess uppföljare, Montrealkonventionen, får också den statusen."
"Until now, air carrier passengers insurance protection has depended on the 1929 Warsaw Convention and the Additional Protocols to it, dating back to 1961.", "Fram till idag lydde försäkringsskyddet för flygplanspassagerare under Warszawakonventionen från 1929 och under ändringsprotokollen från 1961."
"However, the regulation is a leap forward in terms of its content, and there is reason to rejoice that the outdated Warsaw Convention is receding from view.", "Förordningens innehåll innebär emellertid ett steg framåt och det är skäl att vara nöjd över att det föråldrade Warzawafördraget snart upphör."
"That was a very important step in view of the level of damages which was laid down by the Warsaw Convention of 1929 and which was definitely on the low side.", "Detta var ett mycket viktigt steg med tanke på den nivå som finns i Warszawakonventionen från 1929 och som definitivt är alltför lågt tilltagen."
"Mr President, the liability rules with regard to international air transport have hitherto mainly been based on the Warsaw Convention dating back to 1929.", "(NL) Herr talman! Reglerna för skadeståndsansvar i fråga om den internationella luftfarten har fram tills nu fallit under Warszawakonventionen från 1929."
"When the Soviet Union and the Warsaw Pact disappeared, this NATO lost its raison d'être.", "När Sovjetunionen och Warsawapakten försvann förlorade Nato sitt existensberättigande."
"You represent a country where people took a stand against the invasion by Warsaw Pact troops.", "Ni företräder ett land där folk tog ställning mot invasionen av Warszawapaktens trupper."
"Today, however, this dreadful communist system has collapsed and the Warsaw Pact has been dissolved.", "I dag har dock detta förfärliga kommunistsystem kollapsat och Warszawapakten har upplösts."
"How can you justify the indefinite extension of NATO when the Warsaw Pact has itself disappeared?", "Hur kan ni rättfärdiga den obegränsade utvidgningen av Nato när själva Warszawapakten har upplösts?"
"(PL) Mr President, it is a good thing that the world is no longer divided between the Warsaw Pact and NATO.", "(PL) Herr talman! Det är bra att världen inte längre är delad mellan Warszawapakten och Nato."
"The Warsaw Pact has disappeared but we have not offered any response other than the ceaseless expansion of NATO.", "Warszawapakten är borta men vi har inte erbjudit någon annan respons än en oupphörlig utvidgning av Nato."
"It is the first time a former Warsaw Pact country has assumed the responsibility of chairing the European Council.", "Det är första gången som ett land som ingick i den tidigare Warszawapakten har axlat ansvaret för att leda Europeiska rådet."
"From the time when the forces of the Warsaw Pact invaded Czechoslovakia during the Prague Spring, we always showed solidarity with them.", "Vi visade alltid solidaritet med Tjeckoslovakien från det att landet invaderades av Warszawapaktens styrkor under Pragvåren."
"That did not happen until the Soviet Union and the Warsaw Pact - which for years had justified the existence of NATO - had collapsed.", "Det skedde först efter att Sovjetunionen och Warszawapakten, vilka under flera år berättigat Natos existens, hade störtat samman."
"At last, the revolution of 1989 has been acted on politically, and the isolation of a number of former Warsaw Pact countries seems at an end.", "Äntligen får 1989 års omvälvning politiska följder, och det verkar som om isoleringen för ett antal före detta östblocksländer har upphört."
"From the point of view of the Americans, we will look on her as an adversary; from the point of view of the former Warsaw Pact, we will look on her with fear.", "Ur amerikanernas synvinkel ser vi på Ryssland som en motståndare, ur den före detta Warszawapaktens synvinkel ser vi på Ryssland med rädsla."
"This is the first Council Presidency from a former Warsaw Pact country and therefore of symbolic importance, as Mr Nassauer rightly said.", "Detta är det första rådsordförandeskap som innehas av ett före detta Warszawapaktsland och det har därför symbolisk betydelse, som Hartmut Nassauer så riktigt sa."
"There is not even the slogan "Soviet Union, Warsaw Pact' and he implies that the enemy is the people and their revolt under this oppressive policy.", "Förevändningen " Sovjetunionen, Warszawapakten" finns inte längre och det underförstås att fienden är folken, deras uppror mot denna förtryckande politik."
"There is not even the slogan " Soviet Union, Warsaw Pact ' and he implies that the enemy is the people and their revolt under this oppressive policy.", "Förevändningen " Sovjetunionen, Warszawapakten " finns inte längre och det underförstås att fienden är folken, deras uppror mot denna förtryckande politik."
"For the first time, a country which, only a few years ago, was a member of the Warsaw Pact has been in charge of our European project of freedom and solidarity.", "För första gången har ett land som för bara några år sedan var medlem i Warszawapakten haft ansvaret för vårt europeiska frihets- och solidaritetsprojekt."
"Presumably, the Russian leaders also received some sort of promise regarding this when they were making their contribution to the peaceful dissolution of the Warsaw Pact and the Soviet Union.", "Uppenbarligen fick också de ryska ledarna något slags löfte om detta i det skedet då de medverkade till den fredliga upplösningen av Warszawapakten och Sovjetunionen."
"Once the Warsaw Pact disappeared I believe that Russia quite legitimately developed suspicions about our intentions and I would like to see these misunderstandings straightened out on both sides.", "När Warszawapakten försvann tror jag att Ryssland helt legitimt skapade sig misstankar om våra avsikter och jag vill att dessa missförstånd ska rätas ut på båda sidor."
"Mr President, with the dissolution of the Warsaw Pact and the Soviet Union, the West began from the principle that the Russian Federation would be given unreserved support for her regional unity.", "Herr talman! När Warszawapakten och Sovjetunionen upplöstes utgick västländerna ifrån att man reservationslöst skulle stödja Ryska federationens territoriella enhetlighet."
