//Sentences
"Where -- Where do I find a drifter?", "Var hittar vi en luffare?"
"A fair number of bloody attacks in Syria’s and Lebanon’s recent history are witness to this.", "Ganska många blodiga attacker i Syriens och Libanons senaste historia bär vittnesbörd om detta."
"A fair number of ginning plants are unviable and about to close down, and many jobs have been lost.", "Ett stort antal rensningsfabriker är olönsamma och håller på att stängas, och många arbetstillfällen har förlorats."
"You have had a fair number to deal with and you have been very helpful with the explanations on the technical subjects.", "Ni har haft ganska många att behandla, och ni har varit mycket hjälpsamma och förklarat de tekniska ämnena."
"It would appear that a fair number of consumers are also in favour, as are sales organisations.", "Det visar sig tydligt hur konsumenterna är känsliga för detta och det visar sig även att även handelsorganisationer är känsliga för det."
"Such recruitment, which happens in a fair number of our countries, must be combated, and the country of origin principle must be scrapped.", "Sådan rekrytering som sker i flera av våra medlemsstater måste bekämpas och principen om ursprungsland måste avskaffas."
"They mean that the statement of origin would make it clear that the honey does not just meet a fair number of the quality requirements, but the majority of them.", "De innebär att när det gäller ursprunget avses honung som inte till väsentlig utan övervägande del motsvarar kvaliteten."
"Some MEPs, like Mr Andersson, thought it was effective, while others - and there were a fair number of them - thought it was not.", "Vissa Europaparlamentsledamöter, exempelvis Jan Andersson, ansåg att den är effektiv medan andra - och det var ganska många - ansåg att den inte är effektiv."
"Those Member States with a strong tradition of private consumer bodies would be able to delegate a fair number of cross-border cases to them.", "De medlemsstater som har en stark tradition av privata konsumentorgan kommer att kunna delegera en stor del av de gränsöverskridande fallen till dessa."
"Therefore, even if the terms used are different, there is, between these two conferences, a certain degree of convergence on the nature of a fair number of problems that affect our world.", "Så även om man använder sig av olika termer finns det mellan dessa båda konferenser en viss samsyn kring hur många av de problem som påverkar vår värld är beskaffade."
"A few days later, negotiations with all applicant countries are suspended.", "Några dagar senare avbryts förhandlingarna med alla ansökarländer tills vidare."
"A few days later, on 11 September, the entire world was in shock.", "Några dagar senare, den 11 september, försattes hela världen i ett chocktillstånd."
"Yet, a few days later Mr Meles was officially wined and dined in Germany.", "Ändå bjöds Meles på officiell middag i Tyskland några dagar senare."
"A few days later Fortis Bank and Dexia Bank were also caught in the stream of the financial crises.", "Några dagar senare snärjdes också Fortis Bank och Dexia Bank i den finansiella krisen."
"A few days later they withdrew, that is to say they were pushed eastwards towards the Chad-Sudan border.", "Några dagar senare drog de sig tillbaka. Närmare bestämt drevs de österut mot gränsen mellan Tchad och Sudan."
"A few days later, the Czech President signed.", "Några dagar senare skrev den tjeckiske presidenten under."
"A few days later, President Boudiaf was assassinated.", "Några dagar senare mördades president Boudiaf."
"We found out about it a few days later.", "Vi fick reda på det några dagar senare."
"And we got talking about music, and I got an email from Steve a few days later saying that Nathaniel was interested in a violin lesson with me.", "Och några dagar senare fick jag e-post från Steve där det stod att Nathaniel var intresserad av att ta en fiollektion för mig."
"On 25 February the Commission presented a concept which was approved a few days later by the European Council and the Competitiveness Council.", "Den 25 februari lade kommissionen fram ett koncept som godkändes några dagar senare av Europeiska rådet och rådet (konkurrenskraft)."
"A few days later, on 23 September, Commissioner Kroes approved more than EUR 54 million in State aid for the creation of a Dell factory in Poland.", "Några dagar senare, den 23 september, beviljade kommissionsledamot Neelie Kroes mer än 54 miljoner euro i statligt stöd för att inrätta en Dellfabrik i Polen."
"A few days later war broke out in Iraq: it represented another vision of the democratic transition, a brutal and tragic vision that many people do not share.", "Irak-kriget bröt ut några dagar senare och blev en annorlunda vision av den demokratiska övergången, en brutal och tragisk vision, som många är emot."
"Then, a few days later, I found an interview with you in the in which you took a completely different line from the one you had presented when you addressed this Parliament.", "Några dagar senare upptäckte jag en intervju med er i , där ni var av en helt annan mening än den ni framfört i ert tal till parlamentet."
"When these two men were located a few days later, one had received a prison sentence for blackmail, and the other had been committed to a psychiatric hospital.", "När de två männen några dagar senare återfanns, hade den ena av dem dömts till fängelse för utpressning och den andre hade tagits in på psykiatriskt sjukhus."
"Nevertheless, a few days later, in an interview with the , you said that you wanted to be receptive to what had just been expressed in the French and Dutch referenda.", "Ändå sade ni några dagar senare i en intervju med att ni ville vara mottaglig för vad som just framkommit i de franska och nederländska folkomröstningarna."
"Today, patients with acute coronary thrombosis, provided they are treated quickly and properly, can return home on the very same day and go back to work few days later.", "I dag kan patienter med akut koronartrombos åka hem samma dag och gå tillbaka till arbetet några dagar senare, förutsatt att de behandlas snabbt och korrekt."
"A few days later, on 2 July, a suicide bombing claimed further victims in Yemen: seven Spanish tourists and two Yemenis were killed and eight other persons injured.", "Några dagar senare, den 2 juli, krävde en självmordsattack i Jemen ytterligare offer: sju spanska turister och två jemeniter dödades och ytterligare åtta personer skadades."
"Only a few weeks ago, the Presidents of Rwanda and of the Democratic Republic of Congo concluded a new peace agreement, only to be at each other’s throats again a few days later.", "För bara några veckor sedan slöt Rwandas och Demokratiska republiken Kongos presidenter ett nytt fredsavtal, bara för att några dagar senare flyga på varandra igen."
"A few days later, Mr Erdogan, in alerted the European leaders to the fact that violence from Islamic extremists could escalate if Europe rejects Turkey as a candidate country.", "Några dagar senare varnade Recep Tayyip Erdogan i de europeiska ledarna för att de muslimska extremisternas våld kan komma att trappas upp om EU avvisar Turkiet som kandidatland."
"A few days later, Mr Erdogan, in alerted the European leaders to the fact that violence from Islamic extremists could escalate if Europe rejects Turkey as a candidate country.", "Det är ju inget problem att tortyr bedrivs i stor skala i Turkiet, att turkiska trupper ockuperar en del av en befintlig medlemsstats territorium och till och med vägrar att erkänna den staten."
"A few miles up the line is the site of the fatal accident which took place in Hatfield only 18 months ago.", "Några kilometer längre bort på sträckan ligger platsen för dödsolyckan som inträffade i Hatfield för bara 18 månader sedan."
"Off the coast of Calabria, just a few miles away from the port of Cetraro, there is a sunken vessel known for carrying highly toxic waste.", "Utanför Kalabriens kust, bara några mil från hamnen i Cetraro finns ett förlist fartyg som är känt för att frakta ytterst giftigt avfall."
"In the second case, which occurred yesterday, another corpse was found a few miles out, away from the Maltese coast and was brought to land by the armed forces.", "I det andra fallet, som inträffade igår, hittades en annan kropp några kilometer utanför Maltas kust och togs i land av armén."
"Recent and current events barely a few miles from the external borders of the Union have repeatedly shown the tragic effects of this situation.", "Vår samtida historia och aktuella omständigheter uppvisar ständigt den tragiska sidan av detta. Och det knappt några kabellängder från unionens yttre gränser."
"In the second case, which occurred yesterday, another corpse was found a few miles out, away from the Maltese coast and was brought to land by the armed forces.", "Haag-programmet som skall sträcka sig fram till 2010 är ett ambitiöst program som nu verkligen leder oss till en gemensam politik om politisk asyl och invandring."
"Meanwhile, a few miles up the road, the King Baudouin stadium, Belgium's national stadium, and now probably one of the safest stadia in all of Europe, will lie empty that day.", "Under tiden och några kilometrar längre bort på gatan kommer Kung Baudouin stadion, Belgiens nationalstadion, och förmodligen nu en av de säkraste stadion i hela Europa att vara tom samma dag."
"A few more years of trade barriers will not help the European textile industry.", "Några ytterligare år av handelshinder hjälper inte den europeiska textilindustrin."
"Having examined it, however, I am forced to make a few more critical remarks.", "Efter att ha granskat det vill jag dock göra ett par mer kritiska anmärkningar."
"If we had the European flag, my countrymen and yours might win a few more medals.", "Om vi hade EU-flaggan skulle mina landsmän och era kanske vinna några fler medaljer."
"So please allow for a few more seconds between opening and closing the vote.", "Så var snäll och ge oss ytterligare några sekunder innan ni avslutar omröstningen."
"I should like to highlight a few more specific points from the Langen report.", "Jag vill lyfta fram några fler specifika punkter i Werner Langens betänkande."
"We are only asking for a few more staff to help during the whole consultation period.", "Vi begär bara lite mer personal som kan hjälpa till under hela samrådsperioden."
"It will probably result in a few more rejections but we shall take it to the end.", "Det kommer förmodligen att leda till några fler avslag, men vi kommer att slutföra det."
"Permit me to make a few more comments on the subject of registration and authorisation.", "Ännu några påpekanden beträffande komplexet med registreringar, alltså tillstånd."
"I would like to make a few more specific comments before allowing the debate to continue.", "Jag vill gärna göra några mer specifika kommentarer innan debatten kan fortsätta."
"These proposals are a good starting point, but I need a few more things on top of that.", "Dessa förslag är en bra utgångspunkt, men jag anser att det behövs mer än så."
"I would like to give a few more figures in order to demonstrate how important this is.", "Jag vill nämna ytterligare några siffror för att visa hur viktigt detta är."
"Let me say a few more words about the economic situation, which you mentioned.", "Jag vill säga några ord till om den ekonomiska situation som ni nämnde."
"Having made these criticisms, I should also like to make a few more positive remarks.", "Förutom denna kritik vill jag dock också göra ett par positiva påpekanden."
"However, we are fated to spend at least a few more minutes in conversation.", "Det är emellertid förutbestämt att vi skall diskutera i åtminstone några minuter till."
"We are not entirely sure: they may well be back for a few more weeks yet!", "Vi är inte helt säkra: De kan mycket väl komma tillbaka under några veckor!"
"A few more substantial statements by the Presidency would have been apt.", "Några mer konkreta uttalanden av ordförandeskapet skulle ha varit lämpligt."
"Allow me, however, to say a few more words following my opening speech.", "Låt mig dock säga några ord till i anslutning till mitt inledningsanförande."
"But it will be a few more years before this computer system is in place.", "Det kommer dock att dröja ännu några år innan detta datorsystem är färdigt."
"Let me make just a few more comments on the discussions this morning.", "Låt mig bara komma med några fler kommentarer till förmiddagens diskussioner."
"Allow me to mention a few more key words with regard to the information desks to be set up.", "Men låt mig säga några ord i fråga om de clearingorganisationer som skall inrättas."
"A few more years of trade barriers will not help the European textile industry.", "Några ytterligare år av handelshinder hjälper inte den europeiska textilindustrin."
"But it will be a few more years before this computer system is in place.", "Det kommer dock att dröja ännu några år innan detta datorsystem är färdigt."
"But as I have said before, Sweden was granted a few more years to adapt its alcohol policy.", "Som sagt, för att ge Sverige tid att anpassa sin alkoholpolitik har landet dock fått några år extra på sig."
"But first waits a few more years at Luleå University of Technology and exchange studies at the other side of the Atlantic.", "Men först väntar några år till vid Luleå tekniska universitet och en utbytestermin på andra sidan Atlanten."
"This is not the issue and, for a number of candidate countries, as we know, the negotiations will take a few more years yet.", "Det handlar inte om detta och för vissa kandidatländer vet vi att förhandlingarna kommer att fortsätta under ytterligare några år."
"There are only a few more years to go.", "Det nu bara några få år."
"Their order books are full for a few more years, but no new orders are coming in due to the quality of control lapse at the MOX plant.", "Deras orderböcker är fulla för ett par år till, men inga nya order har kommit in på grund av kontrollmisstagen i blandoxidbränsleanläggningen."
"This was to be achieved by reducing the number of women at home in Europe and by retaining the elderly on the labour market for a few more years.", "Det skulle ske genom att antalet hemmagående kvinnor minskas ute i Europa och genom att de äldre på arbetsmarknaden hålls kvar ytterligare några år."
"A few weeks ago, we debated the report on the decommissioning of power reactors.", "För några veckor sedan debatterade vi betänkandet om avvecklingen av reaktorer."
"The proceedings of the past few weeks and months have not always been honourable.", "De senaste veckornas och månadernas förfaranden har inte alltid varit hedervärda."
"In the last few weeks, Mr Barroso, we have had various proposals to put to you.", "Vi har lagt fram olika förslag för er under de senaste veckorna, herr Barroso."
"A few weeks ago, we celebrated the first ten years of the European Ombudsman.", "För några veckor sedan firade vi de första tio åren med Europeiska ombudsmannen."
"This is what happened a few weeks ago in my electoral region, South Westphalia.", "Detta är vad som hände för några veckor sedan i min valkrets södra Westfalen."
"The Doha Conference in a few weeks should enable it to start moving forward again.", "Dohakonferensen om några veckor bör ge oss möjlighet att börja gå framåt igen."
"In my opinion, action must be taken on this in the next few weeks and months.", "Jag anser att vi måste agera på detta område de kommande veckorna eller månaderna."
"We have had lively discussions and vigorous disagreements over the last few weeks.", "Vi har haft livliga diskussioner och stora motsättningar under de senaste veckorna."
"This was illustrated by Mr Nielson' s visit to East and West Timor a few weeks ago.", "Det uttrycktes också av min kollega Nielson i Östtimor för några veckor sedan."
"In the past few weeks, he has left us breathless with his efforts at diplomacy.", "Under de senaste veckorna har han utmattat oss med sina ansträngningar för diplomati."
"A few weeks ago in front of the Parliament building in Brussels, a woman was murdered.", "För några veckor sedan mördades en kvinna utanför parlamentets dörrar i Bryssel."
"A few weeks ago, I attended the most recent regional ACP summit in Guyana.", "För några veckor sedan deltog jag i det senaste regionala AVS-toppmötet i Guyana."
"We need this matter to be clarified, and soon; not in months, but in a few weeks.", "Vi måste klargöra detta, och det snart; inte om några månader, utan om ett par veckor."
"This would prove to be catastrophic for the European Union within a few weeks.", "Det skulle efter några veckor visa sig katastrofalt för Europeiska unionen."
"These systems were found wanting and they have failed in the last few weeks.", "Dessa system befanns bristfälliga och de har misslyckats under de senaste veckorna."
"An action plan for the EU/Central Asia will be approved in the next few weeks.", "En handlingsplan för EU/Centralasien kommer att godkännas under de kommande veckorna."
"It is a bit like the Northern Rock bank in the UK over the past few weeks.", "Det påminner lite om den brittiska banken Northern Rock under de senaste veckorna."
"A few weeks ago, it declared 2012 to be the European Year for Active Ageing.", "För några veckor sedan utsågs 2012 till Europeiska året för aktivt åldrande."
"An action plan for the EU/ Central Asia will be approved in the next few weeks.", "En handlingsplan för EU / Centralasien kommer att godkännas under de kommande veckorna."
"In the last few weeks, you have already spoken about the Commission of tomorrow.", "Ni har under de senaste veckorna redan talat om morgondagens kommission."
"A few weeks ago, we debated the report on the decommissioning of power reactors.", "För några veckor sedan debatterade vi betänkandet om avvecklingen av reaktorer."
"A few weeks ago, we celebrated the first ten years of the European Ombudsman.", "För några veckor sedan firade vi de första tio åren med Europeiska ombudsmannen."
"This is what happened a few weeks ago in my electoral region, South Westphalia.", "Detta är vad som hände för några veckor sedan i min valkrets södra Westfalen."
"This was illustrated by Mr Nielson' s visit to East and West Timor a few weeks ago.", "Det uttrycktes också av min kollega Nielson i Östtimor för några veckor sedan."
"A few weeks ago in front of the Parliament building in Brussels, a woman was murdered.", "För några veckor sedan mördades en kvinna utanför parlamentets dörrar i Bryssel."
"A few weeks ago, I attended the most recent regional ACP summit in Guyana.", "För några veckor sedan deltog jag i det senaste regionala AVS-toppmötet i Guyana."
"A few weeks ago, it declared 2012 to be the European Year for Active Ageing.", "För några veckor sedan utsågs 2012 till Europeiska året för aktivt åldrande."
"We all know that the first assaults took place a few weeks ago in Budapest.", "Vi vet alla att de första överfallen inträffade i Budapest för ett par veckor sedan."
"Commissioner, a few weeks ago you were a minister in the Italian Government.", "Herr kommissionär, för några veckor sedan var ni minister i den italienska regeringen."
"Slovakia was given the green light to join the euro zone a few weeks ago.", "Slovakien fick godkännandet att inträda i euroområdet för några veckor sedan."
"Mr President, a few weeks ago we discussed the report on totalitarian regimes.", "(EN) Herr talman! För några veckor sedan diskuterade vi betänkandet om totalitära regimer."
"In addition, a few weeks ago, the Commission approved emergency aid of EUR 7 million.", "Dessutom godkände kommissionen för några veckor sedan katastrofhjälp på 7 miljoner euro."
"A few weeks ago that field was dug up by bulldozers to create a municipal rubbish dump.", "För några veckor sedan grävdes fältet upp av bulldozrar för att bli en kommunal soptipp."
"I met them a few weeks ago when they visited Parliament in Brussels.", "Jag träffade dem för några veckor sedan när de besökte parlamentet i Bryssel."
"A few weeks ago, taxi drivers in Brussels were refusing to take Austrian passengers.", "För några veckor sedan vägrade taxiförarna i Bryssel acceptera österrikare som passagerare."
"The Commission came up with its proposal on energy and climate change a few weeks ago.", "Kommissionen lade fram sitt förslag om energi och klimatförändring för några veckor sedan."
"A few weeks ago I went to see one of those companies in my constituency.", "För några veckor sedan besökte jag ett av dessa företag i min valkrets."
"We welcomed a delegation from Tibet a few weeks ago, and feel that was a positive step.", "Vi tog för några veckor sedan emot en officiell tibetansk delegation."
"A few weeks ago, the Heads of State or Government met in New York.", "För bara några veckor sedan möttes stats- och regeringscheferna i New York."
"Here are the statistics from France, which were published a few weeks ago.", "Jag skall ge er statistik från mitt land, Frankrike, som publicerades för några veckor sedan."
"A few years later we will use the same indicators and collect the same data.", "Några år senare kommer vi att använda samma indikatorer och samla in samma uppgifter."
"Does it really make sense to build major new external borders here which will have to be dismantled only a few years later?", "Är det verkligen någon mening med att bygga upp omfattande yttre gränser som kommer att avvecklas bara några år senare?"
"Then, a few years later, Parliament forcefully urged that a solution to the Cyprus problem should not be made a precondition for its accession.", "Aldrig tidigare under historiens gång har en nyordning åstadkommits utan krig eller användning av våld."
"A few years later the Iron Curtain fell.", "Några år senare föll järnridån."
"Just a few years later we have come to realise that in hoping these hopes millions of people in our country failed to reckon with the Commission.", "Ett fåtal år senare konstaterar vi nu att miljontals människor i vårt land har tagit fel vad gäller kommissionen."
"However, if some Member States wish to decide to open their markets a few years later, they must be allowed this option.", "Om några medlemsstater vill fatta beslut om att öppna sina marknader några år senare måste de emellertid ha tillgång till detta alternativ."
"Negotiations are now proceeding on a draft convention which should be adopted by 2009 but would then only enter into force a few years later.", "Det pågår förhandlingar om ett förslag till konvention som ska antas 2009 men inte träda i kraft förrän några år senare."
"You know that 14 top priority trans-European networks were approved and, a few years later, we see that half of them have not progressed.", "Ni känner till att 14 prioriterade transeuropeiska nät godkändes, och några år senare ser vi att inget har hänt i hälften av fallen."
"The foundation of the European Coal and Steel Community a few years later was a direct consequence of what had happened during the Second World War.", "Europeiska kol- och stålgemenskapen grundades några år senare som en direkt följd av det som utspelade sig under andra världskriget."
"Then, a few years later, Parliament forcefully urged that a solution to the Cyprus problem should not be made a precondition for its accession.", "Några år senare förespråkade parlamentet bestämt att en lösning på Cypernproblemet inte skulle vara en nödvändig förutsättning för medlemskap i EU."
"The foundation of the European Coal and Steel Community a few years later was a direct consequence of what had happened during the Second World War.", "De kunde också se att det som skapade fred, värdighet och demokrati var överstatligt agerande och integration på en överstatlig, europeisk nivå."
"We must not go back down the route of farm subsidies, only to realise a few years later that our well-meaning policy is incompatible with WTO requirements.", "Vi får inte gå tillbaka till jordbruksstödet bara för att några år senare upptäcka att vår välmenande politik inte är förenlig med WTO: s krav."
"A few years later, Slobodan Milošević arbitrarily jeopardised and then took away the freedom of travel for Serbs and then for all other countries in the region.", "Några år senare äventyrade och avskaffade Slobodan Milošević sedan godtyckligt friheten att resa för serber och senare för alla andra länder i regionen."
"We in Europe ought to know something about that because, 30 years ago in Helsinki, we succeeded in laying the foundations for that transformation that then astounded the world a few years later.", "Vi i Europa borde veta en del om detta, eftersom vi i Helsingfors för 30 år sedan lyckades lägga grunden till den förändring som några år senare slog världen med häpnad."
"A few years later, in 1997, after Sweden had joined the Union, I was involved in putting together the PPE Group's youth organisation, Youth of EPP, and I myself became its first chairman.", "Några år senare, 1997, efter det att Sverige blivit medlem, var jag med om att bygga upp PPE-gruppens ungdomsorganisation, Youth of EPP, och jag blev själv dess förste ordförande."
