//Sentences
"We must avoid becoming isolated or marking time; quite the reverse.", "Vi måste undvika att bli isolerade eller att stå och stampa på samma fläck."
"Now you might think that all this breaking-down of categories would make somebody like me really happy.", "Du kanske tror att kategoriernas sammanbrott gör någon som mig lycklig."
"If we were in the habit of erecting statues to legislative projects we might now build one gladly.", "Om det var brukligt att resa en staty över lagstiftningsprojekten skulle jag gärna göra det nu."
"Perhaps I might now go into rather more detail about the Presidency's plans for this year's spring summit.", "Nu kan jag kanske gå in lite mer i detalj på ordförandeskapets planer för årets vårtoppmöte."
"And now I might die with you, and it's not fucking fair.", "Och nu kanske jag dör med er, och det är ta mig fan inte rättvist."
"One might now say that this is not what we expected.", "Nu kan man säga sig att det inte är det som vi förväntade oss."
"However, we think that the political conditions might now be in place to enable us to make positive progress.", "Men nu anser vi att de politiska förutsättningarna finns för att vi ska kunna göra verkliga framsteg."
"Now you might wonder, how do we make these cutaways?", "Nu kanske ni undrar, hur skapar vi dessa genomskärningar?"
"Questions he now feared might never be answered.", "Frågor han var rädd för att han aldrig skulle få svar på."
"Now, you might say, "Well, but it's not sustainable.", "Nu kanske ni säger, "Det är inte hållbart."
"Now some of you might actually right now be thinking, It's downright crazy to have 10 TEDTalks summarized into just six words.", "Vissa av er kanske just nu tänker, det är helt galet att ta 10 TEDTalks och summera dem med sex ord."
"To that we might now also add the important agreement we were able to reach on the financing of the strategic Galileo Programme.", "Till detta kan vi nu också foga det viktiga avtal vi kunde nå om finansieringen av det strategiska Galileo-programmet."
"He might have succeeded by now.", "Han har kanske lyckats vid det här laget."
"My wish is that there should now be a timetable, one that might even now be complied with even more promptly, and that that should draw a line under the subject.", "Jag vill att det räcker med att vi nu har en tidsplan, som kanske rentav uppfylls tidigare än så."
"And so Guier and Weiffenbach go back to Weiffenbach's office, and they start kind of noodling around -- hacking, as we might call it now.", "Så Guier och Weiffenbach går till Weiffenbachs kontor, och börjar ratta -- eller hacka, som man kanske kan kalla det nuförtiden."
"(Laughter) (Applause) Now you might find copyright math strange, but that's because it's a field that's best left to experts.", "(Skratt) (Applåder) Ni kanske tycker att upphovsrättsmatematik är konstigt, men det är för att det är ett område som vi bör lämna åt experterna."
"Now you might remember Koko.", "Ni kanske minns Koko."
"Now who might you be?", "Vem kan nu du vara?"
"Question No 26 by Maj Theorin (H-0061/99) Subject: Nuclear disarmament", "Fråga nr 26 från Maj Theorin (H-0061/99): Angående: Kärnvapennedrustning"
"Question No 8 by Maj Theorin (H-0742/98), deputised for by Mrs Lööw", "Fråga nr 8 av Maj Theorin som ersätts av Lööw (H-0742/98):"
"I support this report from my colleague Maj-Britt Theorin.", "Jag stöder detta betänkande av min kollega Maj-Britt Theorin."
"Question No 8 by Maj Theorin (H-0805/97)", "Fråga nr 8 från Maj Theorin vilken har övertagits av Alqvist (H-0805/97):"
"Question No 11 by Maj Britt Theorin (H-0554/00):", "Fråga nr 11 från Maj-Britt Theorin (H-0554/00):"
"Question No 59 by Maj Theorin (H-0965/97)", "Fråga nr 59 från Maj Theorin (H-0965/97):"
"Question No 51 by Maj Theorin (H-0430/98)", "Fråga nr 51 från Maj Theorin (H-0430/98):"
"Question No 11 by Maj Theorin (H-0417/98)", "Fråga nr 11 från Maj Theorin (H-0417/98):"
"Question No 20 by Maj Theorin (H-0541/98)", "Fråga nr 20 från Maj Theorin (H-0541/98):"
"Question No 49 by Maj Theorin (H-0747/98)", "Fråga nr 49 från Maj Theorin (H-0747/98):"
"Question No 54 by Maj Theorin (H-1099/98)", "Fråga nr 54 från Maj Theorin (H-1099/98):"
"Question No 16 by Maj Theorin (H-0146/99)", "Fråga nr 16 från Maj Theorin (H-0146/99):"
"Question No 7 by Maj Theorin (H-0191/98)", "Fråga nr 7 från Maj Theorin (H-0191/98):"
"Question No 4 by Maj Theorin (H-0228/99)", "Fråga nr 4 från Maj Theorin (H-0228/99):"
"However, we must not overlook the fact that most immigrants come from Muslim countries.", "Men vi får inte glömma det faktum att flertalet migranter kommer från muslimska länder."
"Furthermore, wars against Muslim countries only provoke terrorist outrages.", "Dessutom utlöser krig mot muslimer bara ytterligare terroristattacker."
"It is also important to engage in a broader dialogue with the Muslim communities in our countries.", "Vi måste också inleda en bredare dialog med de islamiska samfunden i våra länder."
"3.Are there any similar cases involving other Muslim countries?", "3.Har liknande fall uppstått även när det gäller andra islamiska länder?"
"Most Muslim countries, however, have ratified the Convention.", "De flesta muslimska länder har dock ratificerat konventionen."
"Women and girls suffer oppression, particularly in Muslim countries, where there are underlying religious causes.", "Kvinnor och flickor utsätts för förtryck, särskilt i muslimska länder, på religiösa grunder."
"Women are already in a terrible situation and under terrible pressure in Muslim countries.", "Kvinnor befinner sig redan i en förfärlig situation och är utsatta för fruktansvärda påtryckningar i muslimska länder."
"The third issue I wanted to mention is the critical situation of Christians living in Muslim countries.", "Den tredje fråga som jag ville nämna är den kritiska situationen för kristna som lever i muslimska länder."
"Christian communities have been living in various Muslim countries of the Middle East since the early days of Christianity.", "Kristna samfund har sedan kristendomens början levt i olika muslimska länder i Mellanöstern."
"In those same Muslim countries, anyone who actually or reportedly criticises Islam can face the same fate.", "I samma muslimska länder kan vem som helst som kritiserar islam eller rapporteras ha gjort det möta samma öde."
"(EL) Mr President, the uprisings in Tunisia and Egypt are already creating a political domino effect in numerous Muslim countries.", "(EL) Herr talman! Upproren i Tunisien och Egypten skapar redan nu en politisk dominoeffekt i åtskilliga muslimska länder."
"And it has received the support of Muslim countries beyond the region.", "Det arabiska fredsinitiativet antogs enhälligt i våras och det har fått stöd av muslimska länder även utanför regionen."
"Have you ever wondered why extremism seems to have been on the rise in Muslim-majority countries over the course of the last decade?", "Har ni någonsin undrat varför extremism verkar ha varit på uppgång i länder med muslimsk majoritet under de senaste årtiondet?"
"Of course we see women oppressed in other Muslim countries too but nowhere in as many ways as in Afghanistan.", "Det är naturligtvis så att vi stöter på kvinnoförtryck även i andra muslimska stater men ingen annanstans går man så långt som talibanerna gör i Afghanistan."
"All of the events that Parliament is condemning took place in Muslim countries, where particular attention must be paid to the fate of Christians.", "Alla de händelser som parlamentet fördömer ägde rum i muslimska länder, där de kristnas öde måste uppmärksammas särskilt."
"Approximately one-third of the world's Muslim population lives in Asia, which also has the world's largest Muslim countries in terms of population.", "I Asien bor ungefär en tredjedel av världens muslimer, och där finns till befolkningsantalet världens största muslimska länder."
"People are wavering, even in States that still maintain the death penalty, such as the US, and coalitions are forming in Muslim countries.", "Folk tvekar, till och med i stater som fortfarande har kvar dödsstraffet som Förenta staterna, och koalitioner bildas i muslimska länder."
"Madam President, four out of every five people who are persecuted for their faith are Christians and the situation in Muslim countries is the most serious.", "Fyra av fem människor som förföljs p.g.a. sin tro är kristna och situationen är som mest allvarlig i de muslimska länderna."
"This is not an isolated incident, but rather the culmination of persecutions of and attacks on Christians in majority Muslim countries.", "Det här är inte en enstaka händelse, utan snarare en kulminering av förföljelser av och angrepp mot kristna i länder med övervägande muslimsk befolkning."
"I believe, therefore, that we must make every effort to achieve genuine, ongoing, constant, far-reaching dialogue between the West and the Muslim countries.", "Jag anser därför att vi måste göra allt för att åstadkomma en verklig, kontinuerlig, långtgående dialog mellan väst och de muslimska länderna."
"I believe we can make this contribution on several fronts at European level, too.", "Jag anser också att vi kan arbeta för detta i ett flertal europeiska sammanhang."
"I am glad to have been able to work with many colleagues and to make a contribution.", "Det gläder mig att jag har kunnat arbeta med många kolleger och att jag kan bidra."
"In relation to health, it is a major task and we need to make a contribution.", "Det är en stor uppgift när det gäller hälsa och vi behöver ge ett bidrag."
"Women make a contribution to Europe’ s economic efficiency and competitiveness.", "Kvinnor bidrar till EU: s ekonomiska effektivitet och konkurrenskraft."
"The rule in our speeches is to try to make a contribution to the reports.", "Normalt sett försöker vi i våra inlägg att ge bidrag till olika betänkanden."
"We hope that the new Member States will make their contribution towards achieving this aim.", "Vi hoppas att de nya medlemsstaterna kommer att bidra till att uppnå detta mål."
"We have therefore sought to make a contribution in relation to these needs.", "Vi har således försökt att göra en insats i förhållande till dessa behov."
"Women make a contribution to Europe’s economic efficiency and competitiveness.", "Kvinnor bidrar till EU:s ekonomiska effektivitet och konkurrenskraft."
"Of course, if you can act more rapidly, you make a contribution to crisis prevention.", "Om man inte kan handla snabbare så kan man, förstås, bidra till att förebygga konflikter."
"I believe it to be essential that Europe should make a contribution to this debate on reform.", "Jag ser det som viktigt att Europa lämnar sitt bidrag till denna reformdebatt."
"The energy-intensive sectors must make their contribution to cutting CO2 emissions as well.", "De energiintensiva sektorena måste också göra sitt för att minska koldioxidutsläppen."
"The Commission is ready to make its contribution to the success of the new arrangements.", "Kommissionen är redo att bidra till framgången med de nya arrangemangen."
"That is what we have to do, and this is where the Commission will make its contribution.", "Det är det vi måste göra. Här kommer kommissionen att föreslå lösningar."
"Aviation, like other sectors, must make a contribution to the fight against climate change.", "Luftfarten måste precis som alla andra sektorer bidra i kampen mot klimatförändringen."
"The EU intends to make its contribution effective as soon as possible.", "EU har för avsikt att göra sitt bidrag tillgängligt så snart som möjligt."
"The Commission is ready to make its contribution to the success of such arrangements.", "Kommissionen är redo att bidra till arbetet för att dessa arrangemang ska bli framgångsrika."
"They make a contribution, albeit very small, to the development of a European sense of identity.", "De bidrar, om än väldigt lite, till utvecklingen av en europeisk identitetskänsla."
"This directive on lorry inspections should quite simply make a contribution to this.", "Direktivet om kontroll av lastbilar är avsett att lämna ett klart och koncist bidrag till det."
"It must make its contribution to creating employment in the European Union.", "Den måste bidra till att skapa sysselsättning i Europeiska unionen."
"In that way, we can make our contribution to a more just and more secure world.", "Så kan vi ge vårt bidrag till en rättvisare och tryggare värld."
"I am sure that the Commission will make provisions along these lines as soon as possible.", "Jag är säker på att kommissionen kommer att utforma bestämmelser enligt dessa linjer så snart som möjligt."
"The solution is to include internationally valid discharge regulations in Community law and make provisions for enforcement rules.", "Lösningen är att införliva internationellt giltiga utsläppsregler i gemenskapsrätten och fastställa regler för tillämpningen."
"That was the moment, surely, to make the case for the participation of non-Member States or to make provisions for exceptional cases.", "Det var då man skulle ha propagerat för att länder utanför EU skulle få delta eller bestämmelser om undantagsfall införas."
"A society which supposedly safeguards individual rights should also make provisions for protecting its citizens at the level of the individual.", "Ett samhälle som förmodas värna om individens rättigheter bör också vidta åtgärder för att ge sina medborgare ett individuellt skydd."
"So the fact that there are no provisions is indicative of the fact that no one wanted to make provisions for this so as not to undermine the pro-nuclear dogma.", "Om inget har planerats beror det på att man inte ville planera något för att inte riskera att försvaga den kärnkraftsvänliga lärosatsen."
"I would like to make you aware of these facts as a matter of urgency.", "Jag vill uppmärksamma det brådskande behovet att ta itu med dessa omständigheter."
"If not, why did Mrs Malmström not make you aware of it?", "Om hon inte gjorde det, varför informerade Cecilia Malmström er inte om detta?"
"I merely wanted to make you aware of the fact that this situation is perhaps not quite as you imagine it to be.", "Jag ville bara göra dig uppmärksam på att situationen kanske inte ser ut precis så som du föreställer dig den."
"I have to make you aware of that.", "Jag måste göra er uppmärksamma på detta."
"Today, I should like to make you aware of the fact that the Belgian Presidency sets great store by sound cooperation with Parliament.", "I dag skulle jag vilja visa på den vikt som det belgiska ordförandeskapet fäster vid ett gott samarbete med parlamentet."
"I would like to make you aware of the Green Weeks that are taking place in Brussels this week and in Luxembourg and Strasbourg in the next two weeks.", "Jag vill uppmärksamma er på Gröna veckan, som äger rum i Bryssel denna vecka och i Luxemburg och Strasbourg de två kommande veckorna."
"I would like to make you aware that the new Member States already have problems complying with Community standards for municipal waste management.", "Jag skulle vilja uppmärksamma er på att de nya medlemsstaterna redan har problem med att rätta sig efter gemenskapsnormerna för kommunal avfallshantering."
"As I am one of the few whom you have not had reason to interrupt, I would like to make you aware that you have often brought down the hammer a few seconds before the time limit for speaking was up.", "Eftersom jag är en av de få som ni inte har haft anledning att avbryta, vill jag dock göra er uppmärksam på att ni ofta har slagit med klubban några sekunder innan talartiden har gått ut."
"It would also promote the movement of authentic acts by making them more secure.", "Även rörligheten av officiella handlingar skulle gynnas, eftersom de blir säkrare."
"These other four items are blocked, although we are making some progress on them.", "De andra fyra punkterna är stoppade, även om vi har gjort en del framsteg med dem."
"Basically, they were making fun of them for being trailer trash or white trash.", "I grunden skämtade de om dem för att de var husvagnspack eller vitt slödder."
"These delays do indeed exist, but here gain we have a good chance of making them up.", "Det finns fortfarande eftersläpning när det gäller mål 2- och mål 5programmen."
"Europe is offering opportunities but, on the other hand, no one is making use of them.", "EU tillhandahåller möjligheter, och samtidigt är det ingen som utnyttjar dem."
"It seems we have too many strategies and a lack of interest in making them a reality.", "Vi verkar ha för många strategier och ett bristande intresse för att förverkliga dem."
"This paint can right here saved the Dutch Boy paint company, making them a fortune.", "Den här färgburken räddade färgföretaget Dutch Boy. och gjorde dem rika."
"You are absolutely right, but exactly who is making them the scapegoat?", "Ni har helt rätt i det, men vem är det exakt som gör dem till syndabockar?"
"We are not benefiting our Turkish friends in any way by making them forget their history.", "Vi gör inte våra turkiska vänner någon tjänst genom att få dem att glömma sin historia."
"In other words, circumventing them is much better than making amends for them.", "Med andra ord, att kringgå riskerna är bättre än att åtgärda dem."
"It is not only a question of increasing them, but also of making them more effective.", "Det handlar inte bara om att öka antalet kontroller, utan också om att göra dem mer effektiva."
"You may not delete them when making entries in the Commands window.", "Du får alltså inte utelämna blankstegen vid inmatning i kommandofönstret."
"We are talking about increasing the number of workers in ports while making them more efficient.", "Antalet arbetstillfällen kommer snarare att öka, eftersom hamnarna blir effektivare."
"Unifying them and making them comprehensible can only help operators and users alike.", "Att göra dessa bestämmelser enhetliga och förståeliga skulle gynna såväl aktörerna som användarna."
"However, making them liable can only help improve the services offered.", "Att de görs ansvariga kan inte resultera i något annat än att de tjänster som erbjuds förbättras."
"Their perceived isolation from the decision-making process has left them frustrated and cold.", "Den isolering från beslutsfattandet som de känner, har gjort dem frustrerade och kallsinniga."
"The European approach in opening up energy markets and making them more efficient is well balanced.", "Den europeiska metoden att öppna energimarknader och göra dem effektivare är väl avvägd."
"Would it not be simpler to give them a little less money rather than making them pay tax?", "Skulle det inte vara enklare att ge dem lite mindre i pension och låta dem slippa att betala skatt?"
"Include the regions, build decision-making processes with them.", "Ta med regionerna, utforma beslutsprocesser tillsammans med dem."
"Or did Libya, Italy and Malta simply come along and you accepted them without making any other requests?", "Eller dök bara Libyen, Italien och Malta upp och ni godkände dem utan att fråga några andra?"
"These two proposals to amend directives are crucial to the survival of European manufacturing companies.", "Dessa två förslag om ändring av direktiven är avgörande för att Europas tillverkningsföretag ska överleva."
"Furthermore, approximately 92% of companies manufacturing construction materials are small and medium-sized enterprises (SMEs).", "Därtill är omkring 92 procent av alla tillverkare av byggmaterial små och medelstora företag."
"Approximately 92% of companies manufacturing construction materials are SMEs with fewer than 250 employees.", "Omkring 92 procent av alla tillverkare av byggmaterial är små och medelstora företag med mindre än 250 anställda."
"This would result in a monopoly, in other words the car manufacturing companies would be in a position to dictate prices.", "Det skulle växa fram ett monopol, dvs. det kan få till följd ett eventuellt prisdiktat via bilkoncernerna."
"This is essential for European manufacturing companies, which have already had to deal with huge challenges, as other speakers have said.", "Detta är nödvändigt för europeiska tillverkningsföretag, som redan har haft stora utmaningar, vilket även tidigare talare påpekat."
"The closures of companies manufacturing automobile components, such as Lear and Valeo which have shut up shop, are deeply shocking for my fellow countrymen.", "Man behöver inte vara en expert för att förstå att det nu är omöjligt att konkurrera med de östeuropeiska länderna."
"Industry's responsible attitude is also required for this; the conduct of large manufacturing and processing companies must be controlled more efficiently.", "Industrin måste också ta ansvar för detta. Stora tillverknings- och bearbetningsföretags uppträdande måste kontrolleras effektivare."
"The closures of companies manufacturing automobile components, such as Lear and Valeo which have shut up shop, are deeply shocking for my fellow countrymen.", "Nedläggningen av företag som tillverkar bilkomponenter, till exempel Lear och Valeo som har slagit igen, är djupt chockerande för mina landsmän."
"The fact is that European companies have to meet extremely high quality standards, whereas companies manufacturing in other parts of the world do not.", "Företagen i EU måste emellertid uppfylla extremt höga kvalitetsstandarder till skillnad från de företag som har sin tillverkning i andra delar av världen."
"From this perspective, it is not important whether citizens approach politicians as individuals, associations, trading companies or manufacturing firms.", "Ur detta perspektiv är det inte viktigt om medborgarna vänder sig till politikerna som individer, föreningar, rörelsedrivande bolag eller tillverkande företag."
"It should be possible to hold the companies manufacturing and launching these products onto the market responsible for this part of the food chain.", "De företag som framställer dessa produkter och för ut dem på marknaden måste på grundval av de reglerna kunna göras ansvariga för den delen av en säker näringskedja."
"Denmark's plan of action to help 951 people made redundant from 45 machine and equipment manufacturing companies in the small Nordjylland region falls within the same framework.", "Danmarks åtgärdsplan för att hjälpa 951 personer som sagts upp från 45 företag som tillverkar maskiner och utrustning i den lilla regionen Nordjylland faller inom samma ramar."
"The Commission's decision on this company may well help to support it, but from our perspective it also puts many jobs in small and medium-sized manufacturing companies at risk.", "Kommissionens beslut rörande det företaget kan mycket väl bidra till att stödja det, men ur vår synvinkel äventyrar det också många arbetstillfällen i små och medelstora företag."
"Today's vote concerned a request for support for 1 122 workers at 45 machinery manufacturing companies in the region of Nordjylland, amounting to a sum of EUR 7 521 359 financed by the EGF.", "Dagens omröstning gällde en ansökan om stöd från fonden för 1 122 arbetstagare vid 45 maskintillverkningsföretag i regionen Nordjylland, till ett belopp av 7 521 359 euro."
"Everyone agrees that fundamentalism can appear in many guises.", "Alla är överens om att fundamentalismen kan anta olika skepnader."
"Madam President, the citizens' initiative has many guises.", "(EN) Fru talman! Medborgarinitiativet har många täckmantlar."
"Roma, migrants and all those who are 'different' still face discrimination in many guises in employment, education and housing.", "Romer, invandrare och alla som är ”annorlunda” diskrimineras fortfarande på flera olika sätt i arbetslivet, inom utbildning och när det gäller bostäder."
"The violence of men towards women has many guises and it may take many forms, but the vulnerability and pain are the same no matter who is affected.", "Tack för en mycket viktig debatt. Mäns våld mot kvinnor har många ansikten och våldet kan gestalta sig på många olika sätt, men utsattheten och smärtan är densamma oavsett vem som drabbas."
"Aid can come in many different guises, and one way in which emergency aid could be provided would be to transfer fishing boats that would in any case be taken out of commission in the European Union.", "Bistånd kan ges i många former och ett sätt att ge nödbistånd på är att skicka fiskebåtar som i alla fall skulle tas ur drift i Europeiska unionen."
