//Sentences
"Even at that rate, by 2100 average GDP per capita in the world will be $200,000.", "Till och med då, vid 2100 är genomsnittligt GDP per capita över 200 000 dollar."
"We can now see the huge costs for the former GDR.", "Vi kan i dag se på de enorma kostnaderna för det gamla DDR."
"You're just like your mother and her stupid GDR-inputs.", "Du är precis som din mamma och hennes DDRfanatism"
"Here they park, the new GDR citizens from the FRG.", "Här blir de de nya DDRmedborgarna från Västtyskland"
"It was the case in the former GDR, it is the case in Russia, and unfortunately, it is also the case in the People's Republic of China.", "Så var det i f.d. DDR och så är det i Ryssland, och dessvärre även i Folkrepubliken Kina."
"I have therefore decided to open the GDR borders.", "Jag har därför beslutat att öppna DDRs gränser"
"To listen to Mr Bonde, one wonders if he is not dreaming that he is back in the 'good old days' of the GDR.", "När man lyssnar på Jens-Peter Bonde undrar man om han inte drömmer sig tillbaka till den gamla goda tiden då DDR fanns."
"To listen to Mr Bonde, one wonders if he is not dreaming that he is back in the 'good old days ' of the GDR.", "När man lyssnar på Jens-Peter Bonde undrar man om han inte drömmer sig tillbaka till den gamla goda tiden då DDR fanns."
"Shortly after the Fall of the Wall, thousands of FRG citizens... seized the opportunity to visit the GDR for the first time.", "Strax efter murens fall beslutade sig tusentals västtyskar... för att besöka Östtyskland för första gången"
"This mismanagement of holdings has by no means come to an end and, unfortunately, it is not just happening in the former GDR.", "Osund holding-verksamhet är ju ingalunda ett avslutat kapitel, och tyvärr inte bara i det före detta DDR."
"This increases emissions, yet the low GHG allowances work like penalties and consumers are paying the increased price.", "Det ökar utsläppen, men de låga utsläppsrätterna för växthusgaser fungerar som straffavgifter och det är konsumenterna som får betala prishöjningen."
"Scientifically it concerns the climatic effects of human induced greenhouse gas (GHG) emission to the atmosphere.", "När FNs klimatkonvention framförhandlades i början av 1990-talet lutade sig världens beslutsfattare mot en växande kunskapsbas om människans påverkan på klimatsystemet."
"Aviation is an important and fast-growing source of GHG emissions, and taking action to curb those emissions is vital in the fight against climate change.", "Luftfarten är en viktig och snabbt växande källa till utsläpp av växthusgaser och det är oerhört viktigt att begränsa utsläppen i kampen mot klimatförändringen."
"The Commission promised to review the impacts and to propose ways of including them in the methodology for calculating greenhouse gas (GHG) emissions from biofuels.", "Kommissionen lovade att se över dessa effekter och lägga fram förslag om hur de kan tas med i beräkningen av utsläppen av växthusgaser från biobränslen."
"Recent research within the framework of CarboEurope has investigated the terrestrial balance of greenhouse gas (GHG) emissions and how it is affected by land management.", "I en nyligen genomförd undersökning inom ramen för forskningsprogrammet CarboEurope utforskades växthusgasbalansen i marken och hur den påverkas av markförvaltningen."
"In light of this, what is the state of progress with development of a factor for taking into account the GHG emissions caused by indirect land use change?", "Mot bakgrund av detta, hur långt har man kommit i arbetet med att utveckla en faktor som tar hänsyn till de växthusgasutsläpp som orsakas av indirekta förändringar av markanvändningen?"
"If it is the latter, producers working with Russian oil would actually have to reduce their GHG emissions by 12%, since pollution is already high at the site of extraction.", "Om det blir den senare skulle producenter av rysk olja behöva minska sina utsläpp av växthusgaser med 12 procent eftersom föroreningen redan är hög vid utvinningsplatsen."
"In the end, the decision was postponed and the Commission promised to review these impacts and propose ways to include them in the GHG calculation methodology for biofuels.", "Beslutet sköts i slutändan upp och kommissionen lovade att se över dessa effekter och lägga fram förslag om hur de kan tas med i beräkningen av utsläppen av växthusgaser från biobränslen."
"When that new land is cleared, the greenhouse gas (GHG) emissions released as a result of land use change can significantly outweigh the potential climate benefits of biofuel use.", "När den nya marken röjs kan de växthusgasutsläpp som blir följden av den förändrade markanvändningen mer än ta ut de potentiella fördelarna för klimatet av användning av biobränslen."
"Aviation is an important and fast-growing source of GHG emissions, and taking action to curb those emissions is vital in the fight against climate change.", "Luftfarten är en viktig och snabbt växande källa till utsläpp av växthusgaser och det är oerhört viktigt att begränsa utsläppen i kampen mot klimatförändringen."
"The Commission promised to review the impacts and to propose ways of including them in the methodology for calculating greenhouse gas (GHG) emissions from biofuels.", "Kommissionen lovade att se över dessa effekter och lägga fram förslag om hur de kan tas med i beräkningen av utsläppen av växthusgaser från biobränslen."
"Recent research within the framework of CarboEurope has investigated the terrestrial balance of greenhouse gas (GHG) emissions and how it is affected by land management.", "I en nyligen genomförd undersökning inom ramen för forskningsprogrammet CarboEurope utforskades växthusgasbalansen i marken och hur den påverkas av markförvaltningen."
"In light of this, what is the state of progress with development of a factor for taking into account the GHG emissions caused by indirect land use change?", "Mot bakgrund av detta, hur långt har man kommit i arbetet med att utveckla en faktor som tar hänsyn till de växthusgasutsläpp som orsakas av indirekta förändringar av markanvändningen?"
"If it is the latter, producers working with Russian oil would actually have to reduce their GHG emissions by 12%, since pollution is already high at the site of extraction.", "Om det blir den senare skulle producenter av rysk olja behöva minska sina utsläpp av växthusgaser med 12 procent eftersom föroreningen redan är hög vid utvinningsplatsen."
"When that new land is cleared, the greenhouse gas (GHG) emissions released as a result of land use change can significantly outweigh the potential climate benefits of biofuel use.", "När den nya marken röjs kan de växthusgasutsläpp som blir följden av den förändrade markanvändningen mer än ta ut de potentiella fördelarna för klimatet av användning av biobränslen."
"The GHS aims to pass information about chemicals on to workers and consumers.", "GHS syftar till att föra ut information om kemikalierna till arbetare och konsumenter."
"If the proposal had gone through, REACH would not have had a complement in the GHS.", "Om förslaget hade gått igenom hade Reach inte haft sitt komplement i GHS."
"The GHS is in fact a UN Convention which we must now implement at EU level.", "GHS är faktiskt en FN-konvention som vi nu ska genomföra på EU-nivå."
"There will be advantages for industry as countries all over the world accept the GHS system.", "Detta kommer att gynna industrin eftersom länder över hela världen godtar GHS-systemet."
"I am not totally happy with the compromise, but we cannot delay putting the GHS into our legislation.", "Jag är inte odelat nöjd med den, men vi kan inte skjuta upp införlivandet av GHS i vår lagstiftning."
"In addition to the need for information, the main goal of GHS (Globally Harmonised System) is consumer protection.", "Huvudmålet för GHS (Globally Harmonised System) är att skydda konsumenterna, förutom att ge information."
"I think we have done a good job and I am hoping for a good vote and for the GHS to be applied properly.", "Jag anser att vi har gjort ett bra jobb och jag hoppas på en bra omröstning och på att GHS kommer att tillämpas korrekt."
"GHS and REACH complement one another and do not just facilitate the work of the producers and distributors of chemicals.", "GHS och Reach kompletterar varandra och underlättar inte bara arbetet för tillverkare och distributörer av kemikalier."
"They are not covered by the United Nations GHS.", "Dessa omfattas inte av FN:s GHS."
"The Globally Harmonised System (GHS) will hopefully merge these different classifications in an effective way.", "Det globalt harmoniserade systemet (GHS) kommer förhoppningsvis att innebära en effektiv sammanjämkning av dessa olika klassificeringar."
"The GHS, the Globally Harmonised System of Classification and Labelling of Chemicals, continues and complements REACH.", "GHS, det globala harmoniserade systemet för klassificering och märkning av kemikalier är en fortsättning och ett komplement till Reach."
"When discussing the GHS, we therefore placed particular importance on implementing it in a way that would be practical for consumers.", "När vi diskuterade GHS lade vi därför särskild vikt vid att genomföra systemet på ett sätt som är praktiskt för konsumenterna."
"I welcome the view of the person who said that even the GHS is an ongoing process, and moreover it is a working method that we have established.", "Jag välkomnar det som någon sa om att även GHS är en fortlöpande process. Det är dessutom en arbetsmetod som vi har infört."
"As soon as we have new risk categories and the results of new studies, the GHS will be updated accordingly, so this is an ongoing process.", "Så snart vi har nya farokategorier och resultaten av nya studier kommer GHS att uppdateras utifrån dem. Det är därför en fortlöpande process."
"Ultimately this means, as all my fellow Members will know, that the GHS is not the last word on the subject of the classification and labelling of substances.", "Som alla mina kolleger vet innebär detta i förlängningen att GHS inte är sista ordet i frågan om klassificering och märkning av ämnen."
"In addition, the GHS introduces standardised definitions, such as LD50 (lethal dose 50), that clearly indicate the hazard associated with the substance.", "Genom GHS införs dessutom standardiserade definitioner, såsom LD50 (dödlig dos 50 procent), som tydligt anger den fara som är förknippad med ämnet."
"Once the GHS has been passed - unfortunately not until 2010 for substances and as late as 2015 for mixtures - all chemicals will be easy to identify.", "När GHS väl har gått igenom - dessvärre inte förrän 2010 för ämnen och så sent som 2015 för blandningar - ska alla kemikalier vara lätta att identifiera."
"Of course, the GHS will require a certain amount of effort from firms, particularly small and medium-sized enterprises, which should have confidence in the new system.", "GHS kommer givetvis att kräva vissa ansträngningar från företagen, särskilt de små och medelstora företagen, som bör ha förtroende för det nya systemet."
"Successful implementation of the GHS represents an important milestone in making the European internal market a reality and will also be of benefit in terms of international trade.", "Ett framgångsrikt genomförande av GHS är en viktig milstolpe för att fullborda EU:s inre marknad, och det kommer också att gynna internationell handel."
"Our Committee was keen to highlight the fact that apart from providing necessary information, the purpose of the GHS is also the protection of consumers and the environment.", "Vårt utskott var angeläget om att betona att syftet med GHS inte bara är att tillhandahålla nödvändig information utan också att skydda konsumenterna och miljön."
"This project goes even further still, by providing a new frequency band in the 1.5 to 2.3 GHz range by 2015.", "Detta projekt sträcker sig ännu längre genom att tillhandahålla ett nytt frekvensband i intervallet 1,5-2,3 GHz senast 2015."
"When measuring antenna performance, a 4GHz vector network analyser is the base instrument, but it can also be used for measuring eg.", "Vid mätning av antennens prestanda, är en 4GHz vektor nätverksanalysator basinstrumentet, men den kan även användas för att mäta t ex."
"It will now remain possible to use satellite positioning and mobile telephony as well as 5.8 GHz microwave communication for the collection of tolls in the European Union.", "Nu kommer det att förbli möjligt att använda satellitbaserad positionsbedömning och mobiltelefoni liksom kommunikation med 5,8 GHz mikrovågor i vägtullsystemen i Europeiska unionen."
"System Requirements 15MB of available disk space Windows XP Service Pack 2 or newer, Windows Vista, or Windows 7 1GHz processor 512MB RAM OS X 10.6.8 minimum Intel Core 2 Duo processor", "SYSTEMKRAV 15 MB ledigt lagringsutrymme Windows XP Service Pack 2 eller senare, Windows Vista, eller Windows 7 1 GHz-processor 512 MB RAM OS X 10.6.8, minimum Intel Core 2 Duo-processor"
"It is important to obtain in this negotiation a political deliverable allowing for the effective protection of the major EU GI names.", "Det är nödvändigt i denna förhandling att komma fram till ett effektivt skydd för EU:s viktigaste geografiska ursprungsbeteckningar."
"EU ministers asked the Commission to investigate the status and role of pan-European geographic information (GI) in 1994.", "EU: s ministrar bad år 1994 kommissionen att undersöka vilken rättslig ställning och vilken roll ett alleuropeiskt fastighetsdatasystem (pan-European geographical information, GI) kunde ha."
"Over the last few years, we have received a number of letters from Member States supporting GI 2000 and requesting the Commission to take a pan-European initiative.", "Under de senaste åren har vi fått en mängd skrivelser från medlemsstaterna, i vilka GI 2000 understöds och kommissionen uppmanas att ta ett initiativ på europeisk nivå."
"more_vert open_in_new Link to Open Office warning Request revision In this dialog you can select the settings for the export of files in GIF format.", "expand_more I den här dialogrutan gör du inställningar för export av filer i GIF-format."
"more_vert open_in_new Link to Open Office warning Request revision I den här dialogrutan gör du inställningar för export av filer i GIF-format.", "expand_more In this dialog you can select the settings for the export of files in GIF format."
"But you can't tell me a gir s ever really gone for it.", "Men du kan inte mena att tjejerna faller för det."
"WebGL brings 3D graphics to your browser without the need to install additional software.", "WebGL tar 3D-grafik till din dator utan installation av ytterligare programvara."
"Google Chrome supports WebGL technology to deliver hardware-accelerated 3D graphics .", "Google Chrome hanterar WebGL -teknik för att leverera hårdvaruaccelererad 3D-grafik ."
"If you have the following graphics cards, WebGL is unsupported and is disabled by default:", "Om du har följande grafikkort, fungerar inte WebGL och är avaktiverad som standard:"
"But not every graphic diver correctly supports this OpenGL capability.", "Men det är inte alla grafikdrivrutiner som stödjer denna OpenGL-funktion på rätt sätt."
"OpenGL represents a 3D graphics language, initially developed by SGI (Silicon Graphics Inc).", "OpenGL är ett språk för 3D-grafik, ursprungligen utvecklat av SGI (Silicon Graphics Inc.)."
"If you’re curious to find out what 3D graphics can look like using WebGL, try out these demos.", "Om du är nyfiken på hur 3D-grafik kan se ut med WebGL, kan du kolla följande demo-visningar: ."
"If your system does not have an OpenGL capable hardware, this setting will be ignored.", "Om ditt system inte innehåller någon hårdvara som stöder OpenGL, ignoreras inställningen i den här rutan."
"Or take a look at these Google Chrome Experiments, powered by WebGL.", "Titta även på dessa Google Chrome-experiment med WebGL."
"In order for Google MapsGL to run on your computer, your system needs to meet the following system requirements:", "Det går att köra MapsGL på datorn om den uppfyller följande systemkrav:"
"To learn more about WebGL, check out the Chromium Blog.", "Om du vill lära dig mer om WebGL, besöker du Chromium-bloggen ."
"Select this option for an optimized OpenGL output.", "Om det här fältet är markerat får du en optimerad OpenGL-utmatning."
"MapsGL uses new technology called WebGL (Web-based Graphics Library) to enhance the Google Maps experience.", "MapsGL använder en ny teknik kallad WebGL (Web-based Graphics Library) som förbättrar Google Maps-upplevelsen."
"Microsoft OpenGL, developed for the use in Windows NT, and Cosmo OpenGL made by SGI.", "Det finns två mycket spridda tillämpningar av OpenGL, nämligen Microsoft OpenGL, utvecklat för Windows NT, och Cosmo OpenGL från SGI."
"You can opt out of MapsGL at any time.", "Stäng av genom att klicka på Klassiskt på den vänstra panelen."
"Some of the MapsGL improvements include: ~~~ ~~~ ~~~ With MapsGL, you'll be able to experience all of this in your browser without a plug-in.", "Med MapsGL går det att uppleva allt detta i webbläsaren utan plugin-program."
"To learn more about WebGL, visit webgl.org.", "Läs mer om WebGL på webgl.org."
"Galician [gl]", "Galisiska [gl]"
"The good news about the homosexual rights organisation Kaos-GL is that it is still active, but I would urge the Turkish Government to leave NGOs such as this one alone.", "Det är positivt att organisationen för homosexuellas rättigheter, Kaos-GL, fortfarande är verksam, men jag vill uppmana den turkiska regeringen att lämna icke-statliga organisationer som denna ifred."
