//Sentences
"The question we should analyse in more detail concerns the JPA regional meetings.", "Den fråga vi borde analysera mer i detalj rör församlingens regionala sammanträden."
"Like the European Union itself, the JRC's role has changed and its emphasis has changed.", "I likhet med Europeiska unionen i sig, har GFC: s roll förändrats och dess inriktning har också förändrats."
"I am pleased with the new mission of the JRC.", "Jag är nöjd när det gäller Gemensamma forskningscentrets nya uppgift."
"The Joint Research Centre (JRC) receives a significant amount of EU research funding every year.", "Gemensamma forskningscentrumet (GFC) får varje år ett icke obetydligt bidrag i form av EU-medel till sin forskning."
"We would like two observers on the board of the JRC.", "Vi skulle vilja ha två observatörer i GFC: s styrelse."
"Mr President, I am presenting two reports, both under my name and both about the JRC.", "Herr ordförande! Jag framlägger två betänkanden, båda under mitt namn och båda med avseende på Gemensamma forskningscentret (GFC)."
"Historical liabilities from JRC nuclear activities", "Kärnkraftsbördan från gemensamma forskningscentret"
"The first is the fifth framework report and the other is the Euratom nuclear report on the work of the JRC.", "Det första är betänkandet om det femte ramprogrammet och det andra är Euratoms kärnbränslebetänkande om GFC: s arbete."
"The JRC will also be active in giving impetus to the European Research Area and the Sixth Framework Programme.", "GFC kommer också att vara en drivkraft inom det europeiska området för forskningsverksamhet och det sjätte ramprogrammet."
"But some fundamental aspects are still outstanding, such as the links which exist with other programmes and the work of our JRC.", "Men det fattas, som tidigare, viktiga punkter, som överensstämmelsen med andra program och arbeten i vår GFC."
"There are obsolete nuclear power plants all over the EU, not just the ones that we are considering with the JRC.", "Det finns föråldrade kärnkraftverk över hela EU, inte bara de som vi diskuterar i samband med det gemensamma forskningscentret."
"I move on to the Euratom part of the JRC.", "Jag fortsätter med Euratom-delen av GFC."
"That emphasis is now lessening and the new mission of the JRC as it takes us into the 21st century is being highlighted more and more.", "Denna inriktning blir nu allt mindre och det nya uppdraget för GFC, då det för oss in i 2000-talet, blir allt mer märkbart."
"Another example is clarification of the participation of the Joint Research Centre (JRC) in the activities of the Joint Undertaking.", "Ett annat exempel är klargörande av den gemensamma forskningsgruppens (JRC) deltagande i det gemensamma företagets verksamhet."
"At a time when around 25% of all EU law relates to technical or scientific issues, the JRC has a vital role to play.", "Vid en tidpunkt när 25 procent av alla EU-lagar rör tekniska eller vetenskapliga ämnen har Gemensamma forskningscentret en viktig roll att spela."
"The JRC possesses facilities which no one Member State could possibly afford to build and there ought to be better use of some of those facilities.", "GFC besitter resurser som ingen annan medlemsstat skulle ha råd att bygga upp och det borde gå att utnyttja dessa resurser på ett bättre sätt."
"The Joint Supervisory Authority, or JSA, has had quite inadequate resources.", "Tillsynsmyndigheten, JSA, joint supervisory authority, har haft helt otillräckliga resurser."
"The JSA is part of the Schengen patrimony.", "Den gemensamma övervakningsmyndigheten omfattas av Schengenavtalets regelverk."
"This may be seen from the JSA's first annual reports.", "Det framgår av JSA: s första årsrapporter."
"This may be seen from the JSA' s first annual reports.", "Det framgår av JSA:s första årsrapporter."
"My question is whether the Commission intends to strengthen the JSA's budgetary resources and authority to carry out its work.", "Min fråga är om kommissionen avser att förstärka JSA: s resurser budgetmässigt samt befogenheter att utföra sitt arbete."
"Does the Council intend to make any changes to the JSA's modus operandi if and when the Schengen Agreement is incorporated into EU law?", "Avser ministerrådet att genomföra några förändringar i JSA: s funktionssätt om och när Schengenavtalet integreras i EU?"
"I think it is important to study the example of the JSA in order to see what problems could be encountered in the case of Europol.", "Jag håller i min hand den första aktivitetsrapporten från den myndighet som skall tillse personsäkerheten i Schengenregistret."
"I think it is important to study the example of the JSA in order to see what problems could be encountered in the case of Europol.", "Jag tycker att det är viktigt att studera exemplet med JSA, för att också se vilka problem man kan råka ut för i Europols fall."
"There is a similar system of control for the database in the Schengen Information System called JSA, Joint Supervisory Authority.", "Det finns ett liknande system för kontroll av registret i Schengen Information System som heter JSA, Joint Supervisory Authority."
"My question about the Schengen Information System concerns the supervisory function of the JSA, the Joint Supervisory Authority.", "Min fråga om Schengen Information System gäller övervakningsfunktionen som finns i det som heter JSA, Joint Supervisory Authority."
"My question about the Schengen Information System concerns the supervisory function of the JSA, the Joint Supervisory Authority .", "Min fråga om Schengen Information System gäller övervakningsfunktionen som finns i det som heter JSA, Joint Supervisory Authority ."
"Does the Council intend to make any changes to the JSA's modus operandi if and when the Schengen Agreement is incorporated into EU law?", "Ska övervakningen av registren inom Schengenavtalet och Europol utföras av separata myndigheter även om Schengenavtalet blir en del av EU?"
"Combined supervision by JSA and EDPS would present some risks of possible duplication and overlapping of work.", "En kombinerad övervakning av den gemensamma tillsynsmyndigheten och Europeiska datatillsynsmannen skulle kunna medföra vissa risker för eventuellt dubbel- och överlappningsarbete."
"The Council, at this stage, is not in a position to give an opinion on the functioning of the JSA which comes within the jurisdiction of the Schengen authorities.", "Upprättandet av en gemensam övervakningsmyndighet för Europol föreskrivs i artikel 24.7 i konventionen om upprättandet av Europol."
"The Council, at this stage, is not in a position to give an opinion on the functioning of the JSA which comes within the jurisdiction of the Schengen authorities.", "Rådet är inte på detta stadium i stånd att uttala sig om den gemensamma övervakningsmyndigheten som enbart faller under Schengenavtalets instanser."
"The JSA also emphasizes that it has totally inadequate resources to carry out the investigation it wants, including budgetary resources and resources for translation.", "JSA för också fram att man har helt otillräckliga resurser för att utföra den granskning som man vill göra, bl.a. budgetmässigt och vad gäller översättning."
"Inheritance law JUR Oeal Private international law.", "Upphovsrätt JUR Oeak Familje- och arvsrätt JUR Oeal Internationell rätt JUR REF Oeale Europarätt."
"Consumer rights JUR Oeaas Damages JUR Oeab Real estate.", "Sakrätt och nyttjanderätt: fast egendom."
"Associations JUR Oeadb Public utilities: transportation JUR Oeae Industrial and intellectual property laws.", "Associationsrätt JUR Oeadb Transporträtt."
"Usufruct JUR Oead Commercial law.", "Sakrätt och nyttjanderätt: lös egendom JUR Oead Handelsrätt."
"The Democracy at Work Act JUR Okb Insurance law", "Medbestämmandelagen JUR Okb Försäkringsrätt"
"Land parcelling JUR Oeac Personal property.", "Allemansrätt JUR Oeac Lös egendom."
"Copyright JUR Oeak Family law.", "Sjö- och lufträtt JUR Oeae Immaterialrätt."
"JUR O - Law", "JUR O - Juridik"
"Tax law JUR REF Oeöuh The Environmental Code JUR Oeöuh The Environmental Code JUR Oeöv Legislation: medicine and health JUR REF Ohab Labour rights JUR Ohab Labour rights.", "Skatterätt JUR REF Oeöuh Miljörätt JUR Oeöuh Miljörätt JUR Oeöv Lagstiftning: medicin, hälso- och sjukvård JUR REF Ohab Arbetsrätt JUR Ohab Arbetsrätt.Arbetsmiljölagstiftning."
"I am delighted that the JURI Committee has welcomed the proposal to increase legal certainty.", "Jag är glad över att JURI-utskottet har välkomnat förslaget om att öka rättssäkerheten."
"That is why I am supporting the questions to the Commission from Mr Gargani, on behalf of JURI.", "Det är därför som jag stöder frågorna till kommissionen från Giuseppe Gargani för utskottet för rättsliga frågor."
"As we are already working on this matter in the JURI and LIBE Committees, there was no need for such a resolution.", "Eftersom vi redan arbetar med denna fråga i JURI- och LIBE-utskotten behövs denna resolution inte."
"These amendments have already been approved by the JURI and FEMM Committees.", "Dessa ändringsförslag har redan godkänts av utskottet för rättsliga frågor och utskottet för kvinnors rättigheter och jämställdhet mellan kvinnor och män."
"My intention was to draw attention to the fact that the amendment on geographical representation, which was supported by the AFET and BUDG committees, has not been adopted in the JURI committee.", "Min avsikt var att fästa uppmärksamheten på att ändringsförslaget om geografisk balans, som stöddes av utrikes- och budgetutskotten, inte har antagits i utskottet för rättsliga frågor."
"Indeed the Home Secretary, Jack Straw, is now reviewing the legislation to remove such anomalies of discrimination.", "Inrikesministern, Jack Straw, ser nu över lagstiftningen för att ta bort sådana missförhållanden för diskriminering."
"The debate following the departure of Foreign Secretary Jack Straw was taken forward by Mr Pistelli, who spoke of the European Union being like a family.", "Margie Sudre betonade vikten av en överenskommelse om den framtida finansieringen före december månads utgång."
"The debate following the departure of Foreign Secretary Jack Straw was taken forward by Mr Pistelli, who spoke of the European Union being like a family.", "Debatten efter det att utrikesminister Jack Straw lämnat oss fördes framåt av Lapo Pistelli, som talade om Europeiska unionen som en familj."
"I understand what the Foreign Secretary Jack Straw said before he left about other issues that were very important and that will have strategic consequences.", "Utrikesminister Jack Straw sa innan han gick att det finns andra frågor som är mycket viktiga och som kommer att få strategiska följder."
"I refer to the letter from Jack Straw, Mrs Lindh and Mr Pagrotsky, the Minister for Trade, followed by a joint letter from Mr Solana and Mr Patten.", "Jag nämner skrivelsen av Jack Straw, Anna Lindh och Leif Pagrotsky, näringsministern, samt den följande gemensamma skrivelsen av Solana och Patten."
"At the Gymnich just this week, British Foreign Secretary Jack Straw made a commitment to seeking a further report from the Chief Prosecutor at the International Criminal Tribunal.", "På Gymnich-mötet nu i veckan åtog sig den brittiske utrikesministern Jack Straw att be om ytterligare en rapport från chefsåklagaren vid internationella krigsförbrytartribunalen."
"I think jack of spades is number 12 from the top.", "Jag tror att spader knekt är nummer tolv från toppen."
"(Audience: Jack of spades.)", "(Publik: Spader knekt.)"
"So -- oh, jack of spades.", "Så... Åh! Spader knekt."
"So, jack of spades.", "Så, spader knekt..."
"LG: Jack of spades.", "LG: Spader knekt."
"Jack of spades.", "Spader knekt."
