//Sentences
"This has been established within the framework of the Joint Parliamentary Committee.", "Detta har fastställts inom ramen för den gemensamma parlamentarikerkommittén."
"The Kingdom of Morocco and the Polisario Front must restore the direct dialogue which existed at the end of the 1980's and which led to the Houston Agreements.", "Marocko och befrielserörelsen Polisario bör återuppta den direkta dialog som ägde rum i slutet av 1980-talet, och som ledde till Houstonavtalen."
"Second, does the presidency not think that the European Union should hold talks and meetings with both sides, that is, with Morocco and the Polisario Front?", "För det andra: Tycker inte rådets ordförande att Europeiska unionen borde träffa parterna, det vill säga Konungariket Marocko och Frente Polisario?"
"The Kingdom of Morocco and the Polisario Front must restore the direct dialogue which existed at the end of the 1980' s and which led to the Houston Agreements.", "Marocko och befrielserörelsen Polisario bör återuppta den direkta dialog som ägde rum i slutet av 1980-talet, och som ledde till Houstonavtalen."
"Next week, the Moroccan and Algerian foreign ministers, as well as the Polisario Front, are invited to attend a meeting of the Committee of Foreign Affairs.", "Nästa vecka är de marockanska och algeriska utrikesministrarna samt Polisariofronten inbjudna att delta i ett möte med utskottet för utrikes frågor."
"I expect even more from you, Mr Marín - you know so much about this issue and you have been open to dialogue with Morocco and the Polisario Front.", "Jag förväntar mig till och med mer från er, herr Marín - ni vet så mycket om denna fråga och ni har ställt er positiv till en dialog med Marocko och Polisario."
"For instance, I would have liked mention to have been made of the fate of Mustapha Salma, the Polisario Front dissident kidnapped for having dared to call for dialogue.", "Till exempel skulle jag ha velat att man tagit upp Mustapha Salmas öde, Polisariodissidenten som kidnappades för att han vågat kräva dialog."
"In spite of this, we must prevent feelings of impatience on the part of the United Nations, the international community, the Polisario Front and the Moroccan Government.", "Trots det måste vi undvika otålighet: otålighet från FN: s sida, från det internationella samfundet, från Polisario och den marockanska regeringen."
"These events will put a strain on the informal talks between Morocco and the Polisario Front which are scheduled to resume in early November under the auspices of the UN.", "Dessa händelser kommer att försvåra de informella samtalen mellan Marocko och Polisario som väntas återupptas i början av november under överinseende av FN."
"This is one of the most complex issues in penal law.", "Detta är en av de mest komplexa frågorna inom strafflagstiftningen."
"Does he say anything about a constitution or about penal law?", "Säger betänkandet något om författning, om straffrätt?"
"In 2001, the Commission submitted a proposal for a directive on environmental protection through penal law.", "År 2001 lade kommissionen fram ett förslag till ett direktiv om miljöskydd genom strafflagstiftning."
"Greece reports that it needs to amend its penal law.", "I Grekland säger man att man behöver ändra sin straffrätt."
"I share the view of those who say that in reality the application of penal law differs in our 15 Member States.", "Jag håller med de som säger att tillämpningen av straffrätten i praktiken skiljer sig i våra 15 medlemsstater."
"Today we are at the state of preparing the new proposal for a directive on environmental protection through penal law.", "I dag håller vi på att förbereda ett nytt förslag till ett direktiv om miljöskydd genom strafflagstiftning."
"She wants the penal law changed, as do we.", "Hon vill att strafflagen ändras, liksom vi."
"Well, this brings me back to what I have been saying all along about drafting minimum standards in the field of penal and criminal procedures law.", "Nå, då drar jag den gamla visan om upprättandet av miniminormer på området straff och brottsbalk igen."
"This implies a total change to the Turkish constitution, its penal law, its legislation on marriage, its religious legislation, and so forth.", "Det medför en total förändring i den turkiska grundlagen, dess strafflagar, äktenskapslagar, religiösa lagar och så vidare."
"Finally, there have been new developments in the field of European cooperation on penal law matters, which also need to be taken into account in the proposal.", "Slutligen har det skett en hel del nytt på området EU-samarbete kring straffrättsliga frågor, vilket också måste beaktas i förslaget."
"The telecoms package must not, and is not intended to, be used for the purposes of criminal law or penal sanctions or to affect the Member States' procedural law.", "Telekompaketet ska inte och är inte tänkt att användas för straffrätt, straffsanktioner eller för att påverka medlemsstaternas processrätt."
"In a common borderless market, improving legal cooperation in penal law is essential to step up the fight against organized crime and terrorism.", "I ett gemensamt område utan gränser är det nödvändigt att förbättra det straffrättsliga samarbetet, för en effektivare kamp mot den organiserade brottsligheten och terrorismen."
"To a certain extent, to create that climate of mutual confidence, we need a minimum degree of harmonisation or at least approximation of penal law, including procedural guarantees.", "De av oss som föreslog att en europeisk skulle byggas in i arresteringsordern finner oss stärkta i vår uppfattning att detta skulle ha varit klokt."
"Penal screening of Community law, of course, is not solely applicable to environmental legislation but can, in principle, be applied to all other areas of Community activity.", "Straffrättslig kontroll av gemenskapslagar gäller förstås inte bara miljölagstiftningen, utan kan i princip tillämpas på alla andra områden av gemenskapens verksamhet."
"This also amounts to a harmonisation of penal law that the ‘no’ vote delivered by the French and the Dutch in their referendums on the Constitution had implicitly rejected.", "Detta utgör också en harmonisering av strafflagstiftningen som underförstått avvisades genom avslagen vid den franska och den nederländska folkomröstningen om konstitutionen."
"This also amounts to a harmonisation of penal law that the ‘ no’ vote delivered by the French and the Dutch in their referendums on the Constitution had implicitly rejected.", "Detta utgör också en harmonisering av strafflagstiftningen som underförstått avvisades genom avslagen vid den franska och den nederländska folkomröstningen om konstitutionen."
"To a certain extent, to create that climate of mutual confidence, we need a minimum degree of harmonisation or at least approximation of penal law, including procedural guarantees.", "För att skapa ett klimat av ömsesidigt förtroende behövs ett visst minimum av harmonisering eller åtminstone tillnärmning av straffrätten, inklusive processuella garantier."
"In order to tackle the problem of human trafficking we need to have an overall perspective that takes into consideration all the affected policies; that is, not just penal law but also migration.", "För att tackla problemet med människohandel måste vi ha ett helhetsperspektiv som tas i beaktande i all politik som berörs, dvs. inte bara straffrätt utan även migration."
"Since we are now developing the entire area of penal law and the police, we must, of course, ensure that we can transfer convicted criminals in a simple and less bureaucratic way.", "I linje med att vi nu utvecklar hela det straffrättsliga och polisiära området skall vi naturligtvis se till att vi kan överföra dömda personer på ett enkelt och mindre byråkratiskt sätt."
"The federal government would also appear to be worried by the incompatibility between the penal application of Sharia law and the international conventions signed by Nigeria.", "Det verkar också som om den federala regeringen är bekymrad över att den straffrättsliga tillämpningen av sharian inte är förenlig med de internationella konventioner som Nigeria har undertecknat."
"It is a treaty full of lies and contempt for the voice of the peoples of Europe.", "Det är ett fördrag som är fullt av lögner och förakt för det europeiska folkets röst."
"Increasingly, the peoples of Europe are saying 'Let us go in the opposite direction'.", "Europas folk säger i allt större utsträckning: ”Låt oss gå i motsatt riktning.”"
"Secondly, learning languages is absolutely crucial to the peoples of Europe.", "För det andra är det alldeles nödvändigt att Europas befolkning lär sig språk."
"I urge you, please, to ask the peoples of Europe whether or not they want this project.", "Jag uppmanar er att fråga Europas folk om de vill ha detta projekt eller inte."
"The peoples of Europe, including Ireland, need the European Union now more than ever.", "EU:s folk, inbegripet Irland, behöver Europeiska unionen nu mer än någonsin."
"The peoples of Europe have lost confidence in you and in these institutions.", "Folket i Europa har förlorat tilltron till er och till dessa institutioner."
"You are not accountable and there is no mechanism for the peoples of Europe to remove you.", "Ni är inte ansvarsskyldig och Europas folk har ingen mekanism för att avsätta er."
"It permits fair representation of all political tendencies of the peoples of Europe.", "Det tillåter en rättvis representation av alla politiska riktningar bland Europas folk."
"We also owe it to public opinion, to the peoples of Europe, to take this decision.", "Det beslut vi står i begrepp att fatta är även en plikt gentemot det europeiska samhället."
"Today it is the European Parliament's turn to affirm it on behalf of the peoples of Europe.", "I dag är det Europaparlamentet som hävdar samma sak i de europeiska folkens namn."
"Today it is the European Parliament' s turn to affirm it on behalf of the peoples of Europe.", "I dag är det Europaparlamentet som hävdar samma sak i de europeiska folkens namn."
"The peoples of Europe should be concerned and, at the same time, should step up their fight.", "Folken i Europa borde vara oroade och, samtidigt, trappa upp kampen mot detta."
"Instead, the peoples of Europe need an active financial policy and a reorganisation of EMU.", "Europas folk behöver i stället en aktiv finanspolitik och en omorganisering av EMU."
"Surely it is about time the peoples of Europe took hold of their destiny?", "Är det inte hög tid att Europas folk äntligen tar sitt öde i egna händer?"
"The stars symbolise the ideals of unity, solidarity and harmony among the peoples of Europe.", "Stjärnorna symboliserar idealen enhet, solidaritet och harmoni bland Europas folk."
"The treatment inflicted on the Serbs in Kosovo is a warning to all the peoples of Europe.", "Den behandling som serberna utsatts för i Kosovo är en varning för alla folk i Europa."
"It is up to us, the peoples of Europe, to be the strongest in this fight.", "Det är de europeiska folkens uppgift att vara de starkaste i denna kamp."
"(FR) Madam President, the peoples of Europe are experiencing a grave, destabilising crisis.", "(FR) Fru talman! EU:s befolkning genomgår nu en allvarlig och destabiliserande kris."
"This proposal will, we believe, have virtually no support among the peoples of Europe.", "Detta förslag kommer, anser vi, praktiskt taget inte att få något stöd bland Europas folk."
"Through its fight for independence, Poland paved the way to freedom for the peoples of Europe.", "Under sin kamp för oberoende banade Polen vägen till frihet för Europas folk."
"Until now, Central Asia has not perceived the European Union as a global player.", "Centralasien har hittills inte uppfattat Europeiska unionen som en global aktör."
"In turn, this is perceived as an invitation by immigrants in ‘ donor’ countries.", "Detta uppfattas i sin tur av invandrarna som en inbjudan till ” donatorländer ”."
"In no circumstances should it be perceived a restriction on collective agreements.", "Det bör inte under några omständigheter ses som en begränsning av kollektivavtal."
"In turn, this is perceived as an invitation by immigrants in ‘donor’ countries.", "Detta uppfattas i sin tur av invandrarna som en inbjudan till ”donatorländer”."
"Fiscal consolidation should be perceived as a way of generating increased growth.", "Skattemässig konsolidering bör uppfattas som ett medel för att skapa ökad tillväxt."
"Narrowing disparities in those regions must be perceived as a long-term undertaking.", "Att minska skillnaderna i de regionerna måste ses som ett långsiktigt åtagande."
"There is, once again, a perceived lack of solidarity and a high degree of timidity.", "Det finns som sagt en tydlig brist på solidaritet och en hög grad av försiktighet."
"Burdens which the public do not understand are automatically perceived to be unfair.", "Pålagor som medborgaren inte längre förstår, uppfattas automatiskt som orättvisa."
"Nonetheless, it seems some opportunities were not seized or perceived as such.", "Trots detta verkar det som om möjligheterna inte togs eller uppfattades som sådana."
"However, overly strict hygiene measures must not be perceived as barriers to trade.", "Alltför strikta hygienåtgärder får emellertid inte framstå som handelshinder."
"Instead, inland waterways are perceived as an independent, autonomous whole.", "I stället betraktas de inre vattenvägarna som en oberoende fristående helhet."
"These technologies are perceived as useful to society and morally acceptable.", "Denna teknik uppfattas som användbar för samhället och moraliskt godtagbar."
"First, the perceived lack of democratic control in the fight against fraud.", "För det första den uppfattade bristen på demokratisk kontroll i kampen mot bedrägeri."
"That is perceived to be so by the workers of Aer Lingus and the Irish people in general.", "Aer Lingus arbetstagare och det irländska folket i allmänhet uppfattar det så."
"There is a danger that Ireland will no longer be perceived as neutral.", "Det finns en risk för att Irland inte längre kommer att uppfattas som neutralt."
"My vote should not be perceived as support for the EU's 'subsidy gravy train', either.", "Min röst får inte heller uppfattas som ett stöd för EU:s ”bidragsgräddfil”."
"Europe's importance and relevance for its citizens must be perceived, felt and recognised.", "EU:s vikt och betydelse för dess medborgare måste uppfattas, erfaras och erkännas."
"First of all, I have a remark to make about the reality as it is perceived.", "Jag har för det första en anmärkning vad gäller verklighetsuppfattningen."
"Twenty years ago infectious diseases were not perceived as a major threat.", "För tjugo år sedan sågs inte infektionssjukdomar som ett allvarligt hot."
"Both the EU and the Polish authorities perceived the potential to reach an agreement.", "Både EU och de polska myndigheterna insåg möjligheten att nå ett avtal."
"If we have the names, we must also take action against the persons concerned.", "Om vi har namnen måste vi också vidta åtgärder mot de berörda personerna."
"Persons concerned by exclusion orders can apply for the situation to be reviewed after three years.", "Den utvisade kan ansöka om att få sin situation omprövad efter högst tre år."
"It will be soon, and it will enable some additional guarantees to be given to the persons concerned.", "Det kommer det snart att göra, och därigenom kommer ytterligare garantier att kunna ges till de berörda personerna."
"I see this as a really important thing to do, particularly since the persons concerned are so seriously affected.", "Jag anser att detta är något mycket viktigt att genomföra eftersom de berörda personerna drabbas så svårt."
"Intelligent restructuring consists primarily of a plan to address the issue of the employability of the persons concerned.", "I en intelligent omstrukturering inbegrips först av allt att planera de inblandade personernas anställbarhet."
"Companies should draw up strategic plans which, first and foremost, address the issue of the employability of the persons concerned.", "Det måste hur som helst ha en strategisk plan som ombesörjer de inblandade personernas anställbarhet."
"Similarly it is important that the documents sent with the persons concerned are treated in a proper manner during the process of transit.", "Det är likaledes viktigt att de handlingar som skickas med de berörda personerna hanteras på lämpligt sätt under transiteringen."
"Similarly it is important that the documents sent with the persons concerned are properly dealt with during the transit process.", "På motsvarande sätt är det viktigt att de handlingar som medföljer de berörda personerna hanteras på ett adekvat sätt under transiteringen."
"However, the Commission does not, at present, have any information to suggest that these three conditions were not met by the persons concerned.", "I nuläget har man emellertid inte några uppgifter som tyder på att dessa tre villkor inte uppfyllts för de berörda personerna."
"The problem is, however, that to be covered by Regulation No 1408 presupposes that the persons concerned already have the right to freedom of movement.", "Problemet är emellertid att för att omfattas av förordning 1408 måste ifrågavarande personer redan ha rätt till fri rörlighet."
"This covers, for example, the scope of the governance framework, the procedural rights of persons concerned or a more effective follow-up of minor cases.", "Det gäller till exempel ledningens räckvidd, berörda personers procedurgarantier och effektivare uppföljning av mindre ärenden."
"The Commission has not only fulfilled all its legal obligations but has also interpreted its obligations in the most favourable way for the persons concerned.", "Utlåtandena från kommissionens rättstjänst omfattas av tillämpliga regler om förhållandet mellan advokater och deras klienter."
"The host Member State may require the persons concerned to register their presence in the country within a reasonable and non-discriminatory period of time.", "Den mottagande medlemsstaten får endast kräva att personen i fråga tillkännager sin närvaro i landet inom en rimlig, icke-diskriminerande tidsfrist."
"Most projects are of an applied nature in which psychological theory and method are used, usually in direct cooperation with the persons concerned.", "De flesta projekt är av tillämpad karaktär där psykologisk teori och metod kommer till användning och då oftast i direkt samarbete med de personer som berörs."
"The arrests that took place at Faslane today were in accordance with the law, and I do not doubt that the persons concerned will be speedily released.", "De arresteringar som gjordes vid Faslane i dag skedde i enlighet med lagen, och jag tvivlar inte att de berörda personerna kommer att släppas fria skyndsamt."
"That was because of the variety of professional fields involved and also, to be perfectly honest, the flood of requests made to us by the persons concerned and by their professional organisations.", "Föredraganden har arbetat mycket hårt och har med stöd från engagerade kolleger i utskottet delvis nått beaktansvärda framsteg."
"In many Member States carrier's liability requires the carrier to arrange or pay for immediate return of the persons concerned, combined in some countries with fines.", "I många EU-länder innebär transportöransvaret att bolaget blir skyldigt att anordna / bekosta direkt återresa, i vissa länder kombineras detta med bötesstraff."
"The Commission has not only fulfilled all its legal obligations but has also interpreted its obligations in the most favourable way for the persons concerned.", "Kommissionen har inte bara fullgjort alla sina rättsliga skyldigheter utan har också tolkat sina skyldigheter på det sätt som är mest förmånligt för de berörda personerna."
"Nevertheless, the current legal framework remains vague on whether or not it must pass on information to the institutions or persons concerned by an investigation.", "Men den nuvarande rättsliga ramen förblir svag oavsett om OLAF måste vidarebefordra uppgifter till institutionerna och personer som berörs av undersökningen eller inte."
"The proposal contains quite a few constructive elements for improving and simplifying application procedures, as well as for ensuring uniform rights for the persons concerned.", "Förslaget innehåller många bra komponenter i syfte att förbättra och förenkla ansökningsförfaranden och att garantera lika rättigheter för de berörda personerna."
"There is a third point concerning the physical integrity of the dictator Milosevic.", "Den tredje punkten gäller diktatorn Milosevic fysiska säkerhet."
"Everyone has the right to respect for his or her physical and mental integrity.", "Var och en har rätt till fysisk och mental integritet."
"For the individual, it is about his or her physical integrity, dignity and well-being.", "För den enskilde handlar det om hans eller hennes fysiska integritet, värdighet och välbefinnande."
"protection extends not only to the physical integrity, but also to the dignity of the victim.", "skyddet utökas till att omfatta inte bara den fysiska integriteten, utan även offrets värdighet."
"Men and women should have the same chance of physical integrity.", "Kvinnor och män ska ha samma möjlighet till kroppslig integritet."
"This is an appalling and disgusting practice and is a serious violation of human dignity and physical integrity.", "Jag vet att detta har varit en källa till oro och skapat debatt i parlamentet."
"We do not want police state operations, and nor do we want attacks of this kind on people's physical integrity.", "Vi vill inte ha några razzior och lika litet en sådan kränkning av den mänskliga kroppens integritet."
"It also protects the physical and moral integrity of sportsmen and women, with particular emphasis on the young.", "EU kan också skydda idrottsutövarnas fysiska och moraliska integritet, särskilt när det gäller de yngsta."
"Today, however, it is the worst location for attacks on physical integrity and for breaches of human rights.", "I dag är landet den värsta hemvisten för kränkningar av människors fysiska integritet och mänskliga rättigheter."
"They represent an attack on the most basic of all human rights, namely the right to life and physical integrity.", "De utgör ett angrepp på den mest grundläggande av alla mänskliga rättigheter, rätten till liv och fysisk integritet."
"It is the common goal of European countries to safeguard the health and physical integrity of all women in the continent.", "De europeiska ländernas gemensamma mål är att värna om alla kvinnors hälsa och fysiska integritet på vår kontinent."
"I am worried by the appearance of this profitable but repulsive phenomenon, which threatens the physical integrity of individuals.", ".– Detta vinstgivande men motbjudande fenomen som hotar individens fysiska integritet bekymrar mig."
"However, the battle to protect the physical and mental integrity of women in the ACP countries and elsewhere is still not won.", "Kampen för fysisk och psykisk integritet hos kvinnorna i AVS-länderna och på annat håll har dock ännu inte vunnits."
"This is an appalling and disgusting practice and is a serious violation of human dignity and physical integrity.", "Detta är ett skrämmande och motbjudande förfaringssätt, och det är ett grovt brott mot mänsklig värdighet och kroppslig integritet."
"We need to prevent practices such as female genital mutilation which damage physical integrity and personal dignity.", "Vi måste stoppa förfaranden som skadar den fysiska integriteten och den personliga värdigheten, såsom könsstympning av kvinnor."
"In particular, it would enable us to promote initiatives on the moral and physical integrity of young sportspeople.", "I synnerhet skulle detta göra det möjligt för oss att stödja initiativ i fråga om unga idrottares moraliska och fysiska integritet."
"Maria Lourdes Afiuni has spent her last seven months in a place where her physical integrity and even her life are endangered.", "Maria Lourdes Afiuni har tillbringat de senaste sju månaderna på en plats där hennes fysiska integritet och liv är i fara."
"The treaty also recognises the importance of protecting the physical and moral integrity of sportspeople, especially young people.", "Dessutom bekräftas att idrottarnas, och i synnerhet de unga idrottarnas, fysiska och moraliska integritet måste skyddas."
"The treaty also recognises the importance of protecting the physical and moral integrity of sportspeople, especially young people.", "I fördraget erkänns också betydelsen av att skydda den fysiska och psykiska integriteten bland idrottsutövare, särskilt ungdomar."
"Citizens and businesses in Kyrgyzstan need to be able to go about their daily life without fear for their lives or for their physical integrity.", "Medborgare och företag i Kirgizistan måste kunna återgå till vardagen utan att riskera sina liv eller fysiska integritet."
"It is not my place to go into those further or comment on them.", "Min ställning tillåter mig inte att lägga mig i det eller ge kommentarer om det."
"Thank you for the debate, and I hope that the vote, which is about to take place, will go well.", "Jag tackar för debatten och hoppas att vi strax får en bra omröstning."
"This is neither the time nor the place to go into the missed opportunities of the past.", "Försummelserna i det förgångna vill jag här inte ens nämna."
"This is not the time or place to go into details, but there are a few general principles to which I should like to return.", "Här är inte rätt plats, att gå in på detaljer men jag skulle dock vilja komma tillbaka till ett par principfrågor."
"They're just looking for a place to go.", "De letar bara efter någonstans att åka."
"Mr Henderson, Spain is a good place to go to even before you retire.", "Herr Henderson, det är bra att åka till Spanien redan innan man blir pensionär."
"All dressed up and no place to go.", "Alla uppklädda och ingenstans att gå."
"However, the conditions seem to be in place to go even further in protecting consumer rights by seeking to influence the negotiations with the Council in a positive way.", "Emellertid förefaller det nu vara läge för att gå ännu längre i att skydda konsumenträttigheterna genom att försöka påverka förhandlingarna med rådet på ett positivt sätt."
"Compensation for individuals and firms where infringements of EU anti-trust law have taken place will go a long way to dissuading companies and individuals from breaching these laws.", "Ersättning till enskilda eller företag vid överträdelser av EU:s konkurrensregler kommer att räcka långt för att avskräcka företag och enskilda från att bryta mot dessa regler."
"The criminals can move freely across frontiers but our police forces cannot.", "Brottslingarna kan röra sig fritt över gränserna, men det kan inte vår polis."
"Expert support is also needed, in creating police forces, for example.", "Vidare krävs humanitärt och finansiellt stöd i mycket större omfattning än i år."
"I think, I believe that European police forces have more or less the same training.", "Jag tror att europeiska polisstyrkor har i stort sett samma utbildning."
"They have mobilised considerable army and police forces to deal with demonstrators.", "De har mobiliserat stora armé- och polisstyrkor för att hantera eventuella demonstranter."
"Our police forces and intelligence agencies need to have simple and effective instruments.", "Våra polisstyrkor och underrättelseorgan måste ha enkla och effektiva verktyg."
"Organise the police forces so we can deal with the growth in crime. "", "Organisera polisstyrkorna så att vi kan ta itu med den ökande brottsligheten "."
"What we need is much more coordination and cooperation, even between EU police forces.", "Vad vi behöver är mycket mera samordning och samarbete, även mellan EU:s polisstyrkor."
"Cooperation must be increased between police forces in the fight against drug trafficking.", "Ja, man måste utveckla polissamarbetet när det gäller kampen mot narkotikahandeln."
"Strong police forces need a strong and honest Rule of Law and judicial independence.", "En stark poliskår behöver en stark och hederlig rättsordning och ett oberoende rättsväsen."
"'whereas six days of opposition rallies erupted in violence when police security forces' etc.", "”Sex dagar av oppositionsmöten utmynnade i våldsamheter när säkerhetsstyrkor” osv."
"The police forces which have been sent out do not have the manpower to stop what is going on.", "De utsända polisstyrkorna är inte tillräckligt stora för att kunna stoppa det."
"Besides, this proposal will allow for more effective cooperation between police forces.", "Dessutom kommer förslaget att möjliggöra ett mer effektivt samarbete mellan polisstyrkor."
"Our police forces have certainly worked hard in close cooperation with the U.S. authorities.", "Visst har våra poliskårer arbetat bra, i nära samarbete med den amerikanska polisen."
"Expert support is also needed, in creating police forces, for example.", "Det behövs också experthjälp, till exempel för att sätta upp polisstyrkor."
"The police forces of the nation states have for decades been collaborating to great effect.", "Nationalstaternas poliskårer har samarbetat med goda resultat i årtionden."
"National police forces have already organised extensive contact among their Chiefs of Police.", "De nationella polisstyrkorna har redan omfattande kontakter mellan sina polischefer."
"Our police forces have certainly worked hard in close cooperation with the U.", "Visst har våra poliskårer arbetat bra, i nära samarbete med den amerikanska polisen."
"During events: cross-border cooperation and assistance amongst national police forces.", "Under evenemangen: gränsöverskridande samarbete mellan de nationella poliskårerna samt stöd."
"To what extent can we, as the European Union, influence the police forces in Kosovo?", "I vilken utsträckning kan vi, som Europeiska unionen, påverka de politiska krafterna i Kosovo?"
"At the same time a handbook was made available with examples of working methods to police forces.", "Samtidigt togs en handbok fram med exempel på arbetsmetoder för polisstyrkor."
"Strengthening the European Neighbourhood Policy - Situation in Georgia (debate)", "Stärkande av den europeiska grannskapspolitiken - Situationen i Georgien (debatt)"
"However, it does not provide a reliable basis for policy debate on every issue.", "Den utgör dock inte någon tillförlitlig grund för en politisk debatt i varje fråga."
"We welcome the contribution of Parliament to this very important policy debate.", "Vi välkomnar parlamentets bidrag till denna mycket viktiga politiska debatt."
"The report of the European Parliament is an important milestone in this policy debate.", "Europaparlamentets betänkande är en viktig milstolpe i debatten om denna politik."
"A policy debate will be held on the draft Council directive on the oil stock.", "En politisk debatt kommer att hållas om förslaget till rådets direktiv om oljelagret."
"Let us not forget them when we debate assistance policy and structural funds.", "Låt oss inte glömma dessa när vi diskuterar stödpolitik och strukturfonder."
"Human rights in the world 2009 and EU policy on the matter (debate)", "De mänskliga rättigheterna i världen 2009 och EU:s politik på området (debatt)"
"The review of the European Neighbourhood Policy Instrument (debate)", "Översynen av det europeiska grannskaps- och partnerskapsinstrumentet (debatt)"
"Strategic goals and recommendations for the EU's maritime transport policy until 2018 (debate)", "Strategiska mål och rekommendationer för EU:s sjöfartspolitik fram till 2018 (debatt)"
"GDP does not, in fact, provide a reliable basis for policy debate.", "BNP kan inte erbjuda en tillförlitlig grund för politisk diskussion."
"Green Paper on market-based instruments for environment and related policy purposes (debate)", "Grönbok om marknadsbaserade styrmedel för miljöpolitiken och närliggande politikområden (debatt)"
"Only in this way can GDP make a sufficient contribution to policy debate and decision making.", "Endast på det sättet kan BNP bidra tillräckligt till den politiska debatten och beslutsfattandet."
