//Sentences
"This creates an atmosphere in which any method of getting hold of EU subsidies is permissible.", "Det skapar en känsla av att alla medel är tillåtna för att komma åt EU-bidragen."
"If we move in this direction, we are moving towards the dissolution of the state.", "Om vi går vidare i den riktningen går vi vidare mot en upplösning av staten."
"Before we move to the vote, we want to be clear about the Commission position!", "Innan vi röstar vill vi ha klarhet om vad som är kommissionens officiella position!"
"He is quite correct and we must balance all these issues as we move forward.", "Han har helt rätt, och vi måste balansera alla dessa frågor när vi går framåt."
"You propose that we move in the direction of using contractual relations.", "Ni föreslår att vi ska röra oss i riktning mot användning av avtalsförhållanden."
"For six months Turkey has shown how difficult things get if we move forward too fast.", "I sex månader har Turkiet visat hur svårt det blir om vi går fram för snabbt."
"There must be greater in-depth budgetary scrutiny before we move any further forward.", "En mer djupgående genomgång av budgeten måste ske innan vi kan fortsätta gå framåt."
"That will be corrected, Mrs Lambert, and now I propose that we move on to the vote.", "Det kommer att rättas till och nu föreslår jag att vi går till omröstning."
"Mr President, this is an extremely timely report as we move towards the year 2000.", "Herr ordförande! Detta är ett ytterst lägligt betänkande, när vi nu närmar oss år 2000."
"How else can we move towards more sustainable production and consumption practices?", "Hur annars kan vi gå mot mer hållbara produktions- och konsumtionsmetoder?"
"I do not see, therefore, how submitting more proposals will mean that we move forward.", "Därför förstår jag inte på vilket sätt fler förslag skulle innebära framsteg."
"We must take all that into consideration before we move on to further regulation.", "Vi måste titta på allt det här innan vi går vidare med ny lagstiftning."
"So let us all relax as we move on to the vote on the Bennasar Tous report.", "Slappna alltså av nu. Jag inbjuder er till omröstningen om Bennasar Tous betänkande."
"Presumably this will get easier now as we move into a different process.", "Förmodligen kommer detta att bli lättare nu när vi går över till en annan process."
"Ladies and gentlemen, I propose we move to the next items on our order of business.", "Mina damer och herrar, jag föreslår att vi går vidare till nästa punkt på arbetsplanen."
"Accordingly, we move firstly that the following specific wording be added:", "I enlighet med detta yrkar vi först på att följande specifika ordalydelse läggs till:"
". - Mr President, we move from one item to the next.", "rådets ordförande. - (EN) Herr talman! Vi går från ett ämne till ett annat."
"However, I should like to say something before we move on to the 'catch-the-eye' procedure.", "Jag vill dock säga en sak innan vi går vidare till förfarandet ”catch the eye”."
"The Treaty of Lisbon opens up a new dimension for citizens to assert their interests.", "Lissabonfördraget ger medborgarna nya möjligheter att göra sina intressen gällande."
"The Commission is entirely wrong to assert that lobby groups are scaremongering.", "Kommissionen har helt fel när de påstår att lobbygrupper sprider panik."
"In such cases a family member can assert his or her right to family reunion.", "I sådana fall kan en familjemedlem hävda sin rätt till familjeåterförening."
"We assert that they are essential to the health of the European economy.", "Vi hävdar att dessa företag är av avgörande betydelse för EU:s ekonomiska välstånd."
"I simply want to assert the Universal General Declaration of Human Rights.", "Jag vill åberopa den universella allmänna förklaringen om de mänskliga rättigheterna."
"Europe can only assert itself with the very high quality wines which it has.", "Europa kan bara hävda sig med de viner av mycket hög kvalitet som vi har."
"These are the weeks when we assert that we are Europe, all of Europe.", "Detta är de veckor då vi förfäktar tanken om att vi är Europa, hela Europa."
"Secondly, victims should have access to class actions in order to assert their rights.", "För det andra bör offren ha tillgång till grupptalan för att kunna hävda sina rättigheter."
"The Commission is entirely wrong to assert that lobby groups are scaremongering.", "Såvitt jag kan se kommer påtryckningarna från vanliga människor som alla oroas mycket av detta förslag."
"It is about enabling our citizens to assert their rights.", "Det handlar om att göra det möjligt för våra medborgare att utöva sina rättigheter."
"Has the game ended in a draw, as I saw one newspaper article assert?", "Har matchen slutat oavgjort, som det påstods i en tidningsartikel?"
"Limitation periods are therefore often exceeded and it becomes impossible to assert legitimate claims.", "Tidsfrister överskrids därför ofta, och det blir omöjligt att hävda berättigade krav."
"We must use our powers to the full, we must have the courage to assert ourselves more often.", "Vi måste också utnyttja våra befogenheter till det yttersta, vi måste våga att härda ut oftare."
"It is extremely important to assert Europe's role in this way.", "Det är av den största betydelse att på det viset bekräfta Europas roll."
"Today, consumers can only assert their rights after the event, through the rules on liability.", "Idag kan konsumenten bara göra sina rättigheter gällande i efterhand via ansvarsbestämmelser."
"We must assert our fundamental role in that legislative process.", "Vi måste hävda vår huvudsakliga roll i det lagstiftningsförfarandet."
"You are daring to assert that competition provides considerable protection against the abuse of power.", "Ni vågar påstå att konkurrensen utgör ett viktigt skydd mot maktmissbruk."
"Only when we face Russia together will we be able to assert our interests together.", "Det är endast genom att möta Ryssland tillsammans som vi kommer att kunna hävda våra intressen tillsammans."
"Nevertheless, Georgia has done much to assert its independence.", "Trots detta har Georgien visat många tecken på självständighet."
"This will make it easier for the creditor to subsequently assert this order in the Member States.", "Detta kommer att göra det lättare för borgenären att sedan göra ordern gällande i medlemsstaterna."
"Should we not, however, be just a little more assertive and proactive?", "Men bör vi inte vara lite mer offensiva och föregripa händelseutvecklingen?"
"Well, I hope that you will start to see what you would recognise as assertive leadership.", "Jag hoppas att ni ska uppfatta det som ett bestämt ledarskap efterhand."
"Should we not, however, be just a little more assertive and proactive?", "Med andra ord: bör vi inte vidta de åtgärder som behövs för att faktiskt uppnå Kairomålen?"
"I support the line you are taking, Commissioner, and the more assertive role that has been adopted.", "Jag stöder kommissionsledamotens linje och den tydligare roll som har antagits."
"It plays an increasingly assertive role on the international stage.", "Landet spelar en alltmer självklar roll på den internationella arenan."
"Europe must adopt a more assertive and consistent role when defending human rights.", "Europa måste agera med större självsäkerhet och konsekvens vid försvaret av de mänskliga rättigheterna."
"We have had the Bali Climate Conference, where Europe put forward a very assertive front.", "Vid klimatkonferensen på Bali höll sig Europa väl framme."
"To conclude, Europe needs new energy to take care of its future, to renew itself in an assertive way.", "Avslutningsvis behöver EU ny energi inför framtiden och för att förnya sig på ett bestämt sätt."
"Mr Tannock: assertive leadership that is up to the challenge.", "Herr Tannock: ett bestämt ledarskap som klarar av utmaningen."
"At the end of last year, this House urged us to pursue a more assertive trade policy in respect of China.", "I slutet av förra året krävde parlamentet att vi skall föra en mer bestämd handelspolitik gentemot Kina."
"She comes to the interview with assertive steps, dressed in a colourful coat that matches her personality.", "Hon kommer till intervjun med bestämda steg, klädd i en färgstark kappa som matchar hennes personlighet."
"What is more, I find the word 'academy ' is not assertive enough when it comes to police operations.", "Å andra sidan anser jag att ordet akademi inte är tillräckligt självmedvetet när det handlar om polisverksamhet."
"For the first time, the European Union adopted an assertive stance, with which it seemed rather comfortable.", "Europeiska unionen intog för första gången en bestämd hållning, vilket den verkade vara ganska tillfreds med."
"We must be more self assertive on the international scene and contribute to peace and stability in the Middle East.", "Vi måste bli mer självmedvetna på den internationella arenan och bidra till freden och stabiliteten i Mellanöstern."
"Admittedly, one might have hoped, in these difficult times, to have heard him speak with a more assertive European voice.", "Visst hade man kanske, i dessa svåra tider, hoppats få höra honom leverera ett mer bestämt europeiskt budskap."
"You will be facing a more assertive and more confident European Parliament which has expectations of you.", "Ni kommer att mötas av ett Europaparlament som gör sig mera gällande och är mera fyllt av förtröstan, och som har förväntningar på er."
"I get the impression that the Commission is becoming a little more assertive, and I see that as totally justified.", "Jag får intrycket av att kommissionen håller på att bli lite mer påstridig, och jag anser att det är fullkomligt rättfärdigat."
"The EU drugs strategy covers the period 2005-2012 and it is clear that a more uniform and assertive approach is required.", "EU:s strategi för narkotikabekämpning täcker perioden 2005–2012, men det krävs ett enhetligare och tydligare tillvägagångssätt."
"At the same time, however, I would like to encourage the Commission to be more assertive the Member States when it comes to data.", "Samtidigt skulle jag dock vilja uppmana kommissionen att vara mer bestämd gentemot medlemsstaterna när det gäller uppgifter."
"The Union therefore needs to be more assertive in its relations with third countries, and it must speak with a single voice in those relations.", "Därför behöver EU bli mer bestämd i sina förbindelser med tredjeländer och måste tala med en röst i de sammanhangen."
"The Paragraph Style directly above the insertion line is assigned the new format.", "Styckeformatmallen som står direkt ovanför infogningslinjen får det nya formatet."
"In my opinion, it should be assigned to a European police body such as Europol.", "Jag tycker att det hellre skulle tilldelas en europeisk polismyndighet som Europol."
"A judge and an advocate general are assigned to each case that comes before the Court.", "En domare och en generaladvokat tilldelas varje mål som läggs fram vid domstolen."
"The gradient assigned to an object rotates correspondingly if the object is rotated.", "Färggradienter som tilldelats ett objekt roterar med när du roterar objektet."
"If the duties assigned to the European Union make this necessary, it will happen.", "Om de uppgifter som tilldelats EU gör detta nödvändigt kommer så att ske."
"This list box contains all the categories to which the different functions are assigned.", "I det här kombinationsfältet ser du alla områden som funktionerna är indelade i."
"In future, the number of tasks assigned to the Commission should be reduced.", "I framtiden bör kommissionen inte få allt fler arbetsuppgifter, utan i stället färre."
"In the Ruby dialog enter additional text that is assigned to the selected text.", "I dialogrutan Ruby matar du in kompletterande text som är tilldelad den markerade texten."
"In this field, you will find a list of the available indexes not yet assigned to a table.", "I detta fält visas de fria index som för närvarande inte tilldelats någon tabell."
"A column will be assigned to each entry in the table to be inserted in the document.", "Varje post tilldelas en kolumn i den tabell som ska infogas i dokumentet."
"This is also the principal mission assigned to the European system of central banks.", "Detta är även den huvudsakliga uppgift som centralbankernas europeiska system erhållit."
"When the authorities are assigned new tasks, their resources must be increased immediately.", "När myndigheten tilldelas nya uppgifter måste den omgående få utökade resurser."
"It is most important to decide how the 20% are to be assigned among the Member States.", "Det viktigaste är att bestämma hur de 20 procenten ska fördelas mellan medlemsstaterna."
"The events relevant to the currently assigned macros are listed here.", "Här listas händelserna tillsammans med de aktuella tilldelade makrokommandona."
"When a client site image map has been assigned to the object, this option will be marked.", "Det här alternativet är markerat, om objektet tilldelats en image map på klientsidan."
"Each character has been assigned a unique number, also referred to as ASCII Code.", "Till varje tecken hör ett entydigt nummer som man kallar ASCII-kod."
"Should some of these people really be assigned to living in poverty?", "Ska verkligen en del av dessa människor överlämnas till att leva i fattigdom?"
"How many security staff are assigned to each Member of the Commission?", "Hur många av dessa säkerhetsvakter har tilldelats varje kommissionsledamot?"
"Insert a text field that automatically executes an assigned macro following a double-click.", "Infogar ett textfält som automatiskt utför ett tilldelat makro när du dubbelklickar."
"It takes the view that indicators which measure such factors should be assigned a greater role.", "Enligt betänkandet bör indikatorer som mäter sådana faktorer ges en större roll."
"It is also important, therefore, that they know when they can come knocking at our door.", "Det är därför också viktigt att de vet när de kan komma och knacka på vår dörr."
"Sooner or later, this economic reality will come knocking at our door.", "Förr eller senare kommer den ekonomiska verkligheten att knacka på vår dörr."
"Reality is knocking at our door, and Europe is not alone in the world.", "Förr eller senare kommer den ekonomiska verkligheten att knacka på vår dörr."
"Global travel patterns mean that the disease is never far from our door.", "Globala resmönster innebär att sjukdomen aldrig är långt i från vår dörr."
"Countless complaints arrive at our door, especially in the fields of justice and foreign affairs.", "Vi får ta emot otaliga klagomål, särskilt på området rättsliga och inrikes frågor."
"This is a duty for us, and it is a duty towards the countries that are knocking at our door.", "Detta är vår skyldighet, och det är en skyldighet mot de länder som knackar på vår dörr."
"Reality is knocking at our door, and Europe is not alone in the world.", "Verkligheten knackar på vår dörr och Europa är inte ensamt i världen."
"However, we do need, of course, to understand that the problem now lies at our door.", "Men vi måste givetvis förstå att problemet nu ligger hos oss."
"In fact, it is not our door but that of the European Commission.", "Det är i själva verket inte vår dörr, utan Europeiska kommissionens."
"Secondly, the Baltic States are also knocking on our door.", "För det andra erbjuder sig även de baltiska staterna."
"We need to act at once, before an accident waiting to happen like that in the Gulf of Mexico comes knocking at our door.", "Vi måste agera omedelbart, innan en olycka i stil med olyckan i Mexikanska golfen inträffar här."
"The candidate countries are knocking at our door.", "Kandidatländerna klappar på porten."
"We have great pleasure in welcoming you here, and our door is always open to do business with parliamentary colleagues.(1)", "Det är med stor glädje vi välkomnar er hit, och vår dörr står alltid öppen för arbetsutbyte med kolleger från andra parlament.(1)"
"But history is knocking on our door.", "Men historien knackar på dörren."
"The less wealthy countries now knocking at our door certainly deserve to belong to our community of economic and social interests.", "De mindre rika länder som nu knackar på vår dörr förtjänar givetvis att höra till vår gemenskap för ekonomiska och sociala intressen."
"Years ago in Cairo, an old man from the countryside who delivered milk to our house three times a week stood at our door crying.", "En dag för många år sedan, i Kairo, stod en gammal man från landsbygden, som brukade leverera mjölk hem till oss tre gånger i veckan, vid vår dörr och grät."
"Europe is now ready, thirteen years after the fall of the Berlin Wall, to welcome the Central and Eastern European countries knocking at our door.", "Den om ett Europa som nu, tretton år efter Berlinmurens fall, är berett att ta emot de länder i Central- och Östeuropa som knackar på vår dörr."
"We shall look into how we are going to involve the Central and Eastern European countries that are currently knocking at our door and asking to be admitted as members.", "Vi vill se hur vi skall involvera länderna i Öst- och Centraleuropa som just nu knackar på vår dörr för att bli medlemmar."
"Also, there are eleven central and eastern European countries at our door, and as things stand, their safeguards in that area are dubious, to say the least.", "Dessutom har vi elva central- och östeuropeiska länder som knackar på dörren vars garantier inom det området, i dagsläget, är minst sagt osäkra."
"(EL) Mr President, this budget is the last in the current parliamentary term and the first budget we shall have voted on since the financial crisis came knocking at our door.", "(EL) Herr talman! Denna budget är den sista under denna valperiod och den första budget som vi röstar om sedan den finansiella krisen drabbade oss."
"The Commission is able to agree without reservation to Amendment No 2 and No 11.", "Ändringsförslag som kommissionen utan förbehåll kan godkänna är förslag 2 och 11."
"All of us, without exception, agree that we need to act decisively against terrorism.", "Vi är alla, utan undantag, överens om att vi måste agera med kraft mot terrorismen."
"It is fortunate that our institution and the Council are ready to agree without delay.", "Det är bra att vår institution och rådet är beredda att komma överens utan dröjsmål."
"I should have liked the European Council to agree without delay the use of Article 42 in the existing Treaty.", "Jag hade velat att Europeiska rådet utan dröjsmål kunnat enas om att tillämpa artikel 42 i det gällande fördraget."
"I should have liked the European Council to agree without delay the use of Article 42 in the existing Treaty.", "Jag hade velat att Europeiska rådet utan dröjsmål kunnat enas om att tillämpa artikel 42 i det gällande fördraget."
"I fully agree with them, and without circumlocution I should add that I fear the crisis ahead of us.", "Jag måste säga att även jag helt och hållet delar dem och kan utan omsvep tillägga att jag är rädd för krisen som beskrivs."
"I can agree with it almost without reservation.", "Jag kan hålla med om det nästan utan förbehåll."
"I sometimes wish we would look at people rather than figures, but we agree 'no wealth without health'.", "Jag önskar ibland att vi kunde ägna oss åt människor i stället för siffror, men vi är ju överens om att det inte finns något välstånd utan hälsa."
"Naturally, I agree without reservation with the total condemnation of terrorism which constitutes the stated motive for this regulation.", "Självfallet delar jag reservationslöst det totala fördömandet av terrorism som utgör det anförda motivet för denna förordning."
"(SV) Naturally, I agree without reservation with the total condemnation of terrorism which constitutes the stated motive for this regulation.", "Självfallet delar jag reservationslöst det totala fördömandet av terrorism som utgör det anförda motivet för denna förordning."
"Would the Council agree that, without proper up-to-date information, we cannot be expected to make informed choices and decisions?", "Håller rådet med om att vi inte kan förväntas göra informerade val och fatta informerade beslut utan någon korrekt och aktuell information?"
"There were a number of extensions of Europol's competences that we in the European Parliament were unwilling to agree to without increased powers of control.", "Vissa utvidgade befogenheter för Europol har Europaparlamentet inte velat godkänna utan att få utökade kontrollbefogenheter."
"Secondly, we should not labour under any illusions, and here I agree with Mr Titley: without a military presence, there will be no peace here.", "För det andra får man inte ge sig hän åt några illusioner, och där håller jag helt med Titley: Utan en militär närvaro kan man inte uppnå fred."
"The assessment of the political criteria for meeting accession requirements is - I hope all will agree - without question unreservedly positive.", "Bedömningen av de politiska kriterierna för att uppfylla förutsättningarna för medlemskap är - det kommer man förhoppningsvis inte att opponera sig mot - utan tvekan positiv, utan inskränkning."
"Finally, I want to say that I believe the common position constitutes a valuable compromise to which I hope that the whole Parliament will agree, without the need for major changes.", "Till sist vill jag säga att jag anser att den gemensamma ståndpunkten utgör en värdefull kompromiss som jag hoppas att alla parlamentet skall samtycka till utan större ändringar."
"Education, as you are aware, is crucial to the development of digital competences in our society and we agree that without appropriate investment, some regions may lag behind.", "Som ni vet är utbildning helt avgörande för att utveckla digital kompetens i vårt samhälle och vi håller med om att vissa regioner kan komma att släpa efter utan lämpliga investeringar."
"I agree with Mr Watson - without whom we should not have come so far - that we have obtained a powerful searchlight to use on documents, instead of the pocket torch we had previously.", "Jag håller med Graham Watson, utan vilken vi inte skulle ha nått så långt, att vi har fått en stark blåslampa att använda för handlingarna, i stället för den ficklampa vi haft tidigare."
"He has brought his wide experience, his deep knowledge, his perspicacity and attention to detail to this report.", "Han har med hjälp av sin långa erfarenhet utarbetat detta betänkande med stort sakkunnande, omdöme och exakthet."
"In Finland’s case it also brings a deep knowledge of and cooperation with its neighbours, including Russia.", "I Finlands fall tillför ordförandeskapet också en djup kunskap om och ett samarbete med sina grannar, däribland Ryssland."
"In Finland’ s case it also brings a deep knowledge of and cooperation with its neighbours, including Russia.", "I Finlands fall tillför ordförandeskapet också en djup kunskap om och ett samarbete med sina grannar, däribland Ryssland."
"In our courses you meet scientists of high national and international class with deep knowledge of the subject.", "Inom våra uppdragsutbildningar möter du forskare av hög nationell och internationell klass med djupgående ämneskunskaper."
"He is an exceptionally good Member of Parliament with a deep knowledge of the subjects that he deals with, and also a very pleasant way of collaborating with others.", "Det är en utomordentligt bra parlamentsledamot med väldigt mycket kunskaper om ärendena som han behandlar och även ett mycket angenämt sätt att samarbeta på."
"What I mean is that I truly wonder why someone who is a lawyer would change countries without having a deep knowledge of the legal system of the country in which he is going to practise.", "Vad jag vill säga är att jag verkligen undrar varför någon som är advokat skulle etablera sig i ett annat land utan ingående kunskap om rättssystemet i det land han väljer."
