//Sentences
"Subject: Provision of adequate, high-quality childcare facilities in the Member States", "Angående: Tillräckliga och kvalitativa tjänster för barntillsyn i medlemsstaterna"
"There are other issues to be taken into account, particularly for workers with children: access to housing, social services, good quality education and childcare.", "Det finns fler faktorer som bör tas med i beräkningen, särskilt för arbetstagare som har barn: tillgång till bostad, sociala inrättningar, goda utbildningsmöjligheter och barntillsyn."
"It appears that nothing much has happened in this area since the Council, a few years ago, approved the recommendation which called for a guarantee of high-quality childcare services.", "I den frågan verkar det inte ha hänt mycket efter det att rådet för några år sedan antog rekommendationen, där man ville garantera högklassiga barnomsorgstjänster."
"But the Council did not accept what we discussed here, with quite small exceptions.", "Men rådet har inte accepterat det som vi här har diskuterat - med några få undantag."
"As regards how we are to deal with the waste, we are talking about quite small quantities.", "När det gäller hur vi ska göra med avfallet så pratar vi om ganska små mängder."
"I have to say that in the majority of cases the differences are quite small.", "Jag måste säga att det i de flesta fallen är ganska små skillnader."
"The operators have until now worked with one market organisation or perhaps with quite a small number of them.", "Hittills har operatörerna arbetat med en marknadsorganisation eller eventuellt med några få."
"But when we come to think about it the amount of money is quite small - EUR 27 million over a period of six years.", "Men när vi tänker på det är penningbeloppet ganska litet - 27 miljoner euro över en sexårsperiod."
"That's the first group; it's quite a small group.", "Det är den första gruppen, som är en ganska liten grupp."
"In an enlarged EU, it may be extremely difficult to have large committees of this kind that decide about quite small funds.", "I ett utvidgat EU kan det bli väldigt svårt att ha denna typ av stora kommittéer som beslutar om ganska små medel."
"I do not think that would work, given that some even quite small shops sell a very large number of things.", "Jag tror inte att detta kommer att fungera mot bakgrund av att till och med ganska små butiker säljer ett mycket stort antal olika saker."
"They concern really quite small details, but are the sort of thing this directive seems to need for it not to become too cumbersome.", "De avser mycket små detaljer, men sådana verkar det behövas i detta direktiv för att det inte skall bli komplicerat."
"Women cope better with, for example, micro-enterprises, but their participation in the management of large companies is quite small.", "Kvinnor klarar sig bättre i exempelvis mikroföretag, men de ingår i ganska liten utsträckning i ledningen för större företag."
"They are quite small, there is not a lot of money in them, but they are in danger of fragmentation if things continue like this.", "De är ganska små, det finns inte så mycket pengar till dem, men de löper risk att splittras upp om saker och ting fortgår som vanligt."
"Many quite small companies do engage in significant cross-border business and European Court of Justice decisions make it clear that they can do so.", "Flera jämförelsevis små företag har en omfattande gränsöverskridande verksamhet, och i beslut av EG-domstolen fastslås att de kan göra detta."
"The organisation that has been discussed here is the biggest recipient in this field but we are still talking about quite a small amount of money.", "Den organisation som har diskuterats här är den största mottagaren på detta område, men vi talar fortfarande om ett relativt litet penningbelopp."
"To be quite specific, very small food-processing companies need more information and motivation and less bureaucracy and documentation.", "För att uttrycka det helt konkret: för de minsta bearbetningsföretagen gäller mer information och mer motivation och mindre byråkrati och mindre dokumentation."
"There is a Romany minority in all applicant countries, including Latvia, which is represented here today, although it is quite a small one in that particular country.", "Alla kandidatländer, även Lettland som i dag var företrätt här, har en zigenarminoritet, även om den i Lettland är synnerligen liten."
"Madam President, I should like to touch upon quite a small part of the budget, namely that relating to the decentralised agencies, as they are called.", "Fru talman! Jag vill gärna beröra en ganska liten del av budgeten, nämligen budgeten för de decentraliserade representationerna, de så kallade ?agencies?."
"Of course the administrative load is quite heavy with small-scale projects of this kind; in other words, cutting the operating budget becomes very attractive.", "Särskilt vid den här sortens små projekt väger ändå den administrativa bördan ganska tungt. Med andra ord: minskningen på driftsbudgeten blir ganska omfattande."
"It is important to point out that the costs of enlargement will actually be quite small - only 1.27 % of the Union's GNP - but the advantages will be many times greater.", "Ordförande, det är viktigt att påpeka att kostnaderna för utvidgningen kommer att vara begränsade: 1, 27 % av BNP i unionen, men fördelarna är många gånger fler."
"This is why the Safe Action for Europe project, which unfortunately cannot get past the question of a legal base, would have been quite appropriate for small businesses.", "Det är därför som projektet Safe Action for Europe, som tråkigt nog inte kan komma förbi frågan om en rättslig grund, skulle ha varit på sin plats i de mindre företagen."
"This is why the Safe Action for Europe project, which unfortunately cannot get past the question of a legal base, would have been quite appropriate for small businesses.", "Det är därför som projektet Safe Action for Europe , som tråkigt nog inte kan komma förbi frågan om en rättslig grund, skulle ha varit på sin plats i de mindre företagen."
"When the talk turns to quota allocation by gender, the word "qualifications" also crops up.", "När man talar om könskvotering nämns alltid automatiskt ordet kompetens."
"The current starch quota allocation most certainly classes as a mistake.", "Den nuvarande fördelningen av stärkelsekvoterna måste utan tvivel betraktas som ett misstag."
"When the talk turns to quota allocation by gender, the word " qualifications " also crops up.", "När man talar om könskvotering nämns alltid automatiskt ordet kompetens."
"Will it be fleet by fleet or by quota allocation?", "Kommer det att fördelas flotta för flotta eller genom kvotering?"
"This concerns the basis for quota allocation.", "Detta berör grunden för kvottilldelningen."
"It is hard to understand why when production quotas remain unused in certain Member States they may not be reallocated to others states whose quota allocation is too small.", "Det är svårt att förstå varför produktionskvoter inte kan omfördelas till länder vars kvoter är för små när de förblir outnyttjade i vissa medlemsstater."
"In another company in my constituency, B & Q, the grey revolution has begun.", "I ett annat företag i min valkrets, B & Q, har de gråa pantrarnas revolution börjat."
"Following on from that are oral amendments to Modifications 10 and 17 and recital Q.", "Därefter följer muntliga ändringsförslag till modifieringsförslag 10 och 17 och skäl Q."
"Q. Zhang, Technical University of Delft, the Netherlands.", "Opponent: Professor G. Q. Zhang, Technical University of Delft, Holland."
"Mr Davies, B&Q/Kingfisher will be able to continue to use their labelling scheme.", "Herr Davies! B&Q/Kingfisher kommer också i fortsättningen att kunna använda sin märkningsstandard."
"To what extent, in the Commission's view, can vaccination be used to combat Q fever?", "I vilken utsträckning kan vaccinering, enligt kommissionen, sättas in för att bekämpa Q‑feber?"
"The Q&amp;A session after a post-op presents data is often a blood bath.", "Genomgången med frågor och svar efter operationer då data presenteras är ofta som ett blodbad."
"During 2013, a 2 ECTS course will be developed and given Q3 2013", "Under 2013 utvecklas även en kortare kurs innefattande 2 hp. Genomförs första gången Q3 2013"
"Mr President, I wish to inform you that we have withdrawn Amendment 14 to recital Q.", "Herr talman! Jag skulle vilja meddela att vi har dragit tillbaka ändringsförslag 14 som rör skäl Q."
"If I give you the letter Q and ask you to predict the next letter, what do you think that would be?", "Om jag ger er bokstaven Q och ber er att förutsäga nästa bokstav, vilken tror ni att det är?"
"There is as yet no vaccine for treating Q fever in human beings.", "Det finns ännu inget vaccin för att skydda människor mot Q‑feber."
"The crew was rescued, and the SeaDarQ system indicated that around 90 000 litres of hydrocarbons had leaked out.", "Besättningen räddades, men enligt SeaDarQ-systemet läckte cirka 90 000 liter kolväten ut."
"The crew was rescued, and the SeaDarQ system indicated that around 90 000 litres of hydrocarbons had leaked out.", "Besättningen räddades, men enligt SeaDarQ-systemet läckte cirka 90 000 liter kolväten ut."
"Following on from that are oral amendments to Modifications 10 and 17 and recital Q.", "De var inte skriftliga ändringsförslag och de är helt identiska med den text som föreslås i John Purvis ändringsförslag."
"The relevant part, known as Subpart Q, is missing.", "Den relevanta delen, känd som delavsnitt Q, fattas."
"These have to be introduced on recital Q and paragraph 19.", "Dessa måste införas i skäl Q och punkt 19."
"And this is very similar to a Q and U example.", "Och det är väldigt likt exemplet med Q och U."
"In the autumn of 2007, three accidents occurred, each involving Dash8 Q400 aircraft in Aalborg, Vilnius and Copenhagen respectively.", "Under hösten 2007 havererade tre flygplan av typen Dash8 Q400 i respektive Ålborg, Vilnius och Köpenhamn."
"Mr President, recital Q concerns the algae population, whose blooming poses a particular risk to Finland, Sweden and Germany.", "(EN) Herr talman! Skäl Q handlar om ökningen av algbeståndet, som särskilt drabbar Finland, Sverige och Tyskland."
"If so, could the Commission quickly take imperative measures to combat Q fever and infection in human beings?", "Om så är fallet, kan kommissionen snabbt vidta tvingande åtgärder för att bekämpa Q‑febern och förhindra att människor smittas?"
"Is the Commission aware that Q fever in the Netherlands is an acute and real threat to public health in the European Union?", "Känner kommissionen till att Q‑febern i Nederländerna utgör ett akut och verkligt hot mot folkhälsan i Europeiska unionen?"
"To what extent, in the Commission's view, can vaccination be used to combat Q fever?", "I vilken utsträckning kan vaccinering, enligt kommissionen, sättas in för att bekämpa Q‑feber?"
"There is as yet no vaccine for treating Q fever in human beings.", "Det finns ännu inget vaccin för att skydda människor mot Q‑feber."
"If so, could the Commission quickly take imperative measures to combat Q fever and infection in human beings?", "Om så är fallet, kan kommissionen snabbt vidta tvingande åtgärder för att bekämpa Q‑febern och förhindra att människor smittas?"
"Is the Commission aware that Q fever in the Netherlands is an acute and real threat to public health in the European Union?", "Känner kommissionen till att Q‑febern i Nederländerna utgör ett akut och verkligt hot mot folkhälsan i Europeiska unionen?"
"General practitioners and microbiologists from North Brabant have voiced to me their huge concerns over Q fever in the Netherlands.", "Husläkare och mikrobiologer i den nederländska provinsen Noord-Brabant har kommit till mig med sin oro över Q‑febern i Nederländerna."
"It is as yet unclear how many people will be left with lasting symptoms of Q fever, such as chronic Q fever with serious heart valve infection or fatigue.", "Det är ännu oklart hur många människor som kommer att få bestående men av Q‑febern, såsom kronisk Q‑feber med allvarlig hjärtklaffsinflammation eller trötthet."
"At present sheep and goats in various EU countries (including the Netherlands, Belgium, the United Kingdom, Slovenia and Germany) are affected by Q fever, which can also be transmitted to humans.", "I skrivande stund drabbas får och getter i flera EU-länder (bl.a. Nederländerna, Belgien, Storbritannien, Slovenien och Tyskland) av Q‑feber, som också kan spridas till människor."
"One is the deputy head of al-Qa'ida in Yemen, and one has blown himself up.", "En är ställföreträdande chef för al-Qaida i Jemen, och en har sprängt sig själv till döds."
"This will provide even more grounds for the terrorist actions of al-Qa’ ida.", "Detta kommer att ge ännu fler skäl för al-Qaidas terrorhandlingar."
"This will provide even more grounds for the terrorist actions of al-Qa’ida.", "Detta kommer att ge ännu fler skäl för al-Qaidas terrorhandlingar."
"Now they have become a United States tactic in pursuit of al-Qa’ ida.", "Nu har de blivit Förenta staternas taktik i jakten på al-Qaida."
"Today, it is clear that Al Qa'ida's presence in Afghanistan is no longer the central problem.", "I dag står det klart att al Qaidas närvaro i Afghanistan inte längre är det centrala problemet."
"Musharraf stated the militants were linked to al-Qa'ida.", "Musharraf har angett att de militanta islamisterna är knutna till al-Qaida."
"Now they have become a United States tactic in pursuit of al-Qa’ida.", "Nu har de blivit Förenta staternas taktik i jakten på al-Qaida."
"This man is a wanted war criminal and has close ties to Islamist terrorist groups like Al Qa’ida.", "Denne man är en eftersökt krigsförbrytare och har nära band till islamiska terrorgrupper som al-Qaida."
"The Taliban and al-Qa'ida have turned to drug revenues to pay for their insurgency and terror.", "Talibanerna och al-Qaida har använt narkotikainkomster för att betala för sina uppror och terrorattacker."
"US Secretary of Defense, Donald Rumsfeld, is proclaiming that Iraq is giving refuge to al-Qa'ida terrorists.", "Förenta staternas försvarsminister, Donald Rumsfeld, hävdar att Irak skyddar al-Qaidaterrorister."
"He said yesterday that al-Qa'ida had not only survived the six-year onslaught, but possessed momentum.", "Han sa i går att al-Qaida inte bara hade överlevt det sexåriga angreppet utan också hade kraft att slå till."
"Al-Qa’ ida is eager to put down roots in the region.", "Al-Qaida vill gärna etablera sig i regionen."
"Al-Qa’ida is eager to put down roots in the region.", "Al-Qaida vill gärna etablera sig i regionen."
"The American-led forces are still present in the country, combating the last remaining pockets of al-Qa'ida fighters.", "De amerikanskledda styrkorna finns fortfarande kvar i landet för att driva ut de sista al-Qaida-krigarna ur sina hålor."
"The direct result of his policies has created the best possible recruiting ground al-Qa'ida could ever have asked for.", "Det direkta resultatet av hans politik har skapat den bästa möjliga rekryteringsbas som al-Qaida någonsin kunde ha önskat sig."
"The IRA is different from ETA, which is different from al-Qa'ida, but they are all evil and must be faced down and eliminated.", "IRA skiljer sig från ETA, som i sin tur skiljer sig från al-Qaida, men samtliga är onda och måste konfronteras och utplånas."
"Although much reduced in size, al-Qa'ida is still an external threat from hiding places in the regions bordering Afghanistan.", "Från gömställen i gränsområdena kring Afghanistan utgör al-Qaida, även om det är starkt decimerat, fortfarande ett externt hot."
"With regard to the al-Qa' ida fighters held at Guantanamo Bay who were taken prisoner in Afghanistan, there are two problems.", "När det gäller fångarna på Guantanamo som ingick i al-Qaida-nätverket och som tillfångatogs i Afghanistan, så finns det två problem."
"With regard to the al-Qa ' ida fighters held at Guantanamo Bay who were taken prisoner in Afghanistan, there are two problems.", "När det gäller fångarna på Guantanamo som ingick i al-Qaida-nätverket och som tillfångatogs i Afghanistan, så finns det två problem."
"At a time of heightened international terrorism, is it a good idea to have freedom of movement from countries with known al-Qa'ida presences?", "I ett läge med ökad internationell terrorism, är det en god idé att ha rörelsefrihet från länder med känd närvaro av al-Qaida?"
"If they hadn't invited back Al-Qaeda, they would still be in power today.", "Om de inte bjudit in Al-Qaeda igen, hade de fortfarande varit vid makten idag."
"The most dangerous indigenous Islamic organisation linked to Al-Qaeda is Al Itihad.", "Den farligaste inhemska islamiska organisationen, som är knuten till al-Qaida, är al-Jihad."
"Forward observers spotted...... al-Qaeda leadership moving toward the mountains.", "Observatörer upptäckta...... al-Qaeda. ledare rör sig mot bergen."
"This attack was attributed to the Pakistani Taliban linked to Al-Qaeda.", "Denna attack tillskrevs den pakistanska talibanrörelsen som har anknytning till al-Qaida."
"I cherish the hope that the IMF does not want to replace al-Qaeda.", "Jag hoppas bara att Internationella valutafonden inte försöker bli ett nytt al-Qaida."
"There are many indications that the al-Qaeda terrorist network is connected with these attacks.", "Mycket tyder på att terrornätverket al-Qaida är knutet till dessa attacker."
"A lot of reporters come to Yemen and they want to write a story on Al-Qaeda or terrorism.", "Många reportrar kommer till Jemen och de vill skriva en artikel om al-Qaida eller terrorism."
"The latest coup has been accompanied by a declaration of holy war on the part of Al-Qaeda.", "Den senaste kuppen har åtföljts av en krigsförklaring om ett heligt krig från al-Qaidas sida."
"There is also the problem of the existence of Al-Qaeda cells in Albania.", "Vi har också problemet att det finns al Qaida-celler i Albanien."
"Can you imagine Al Qaeda wanting to hold an event in New York?", "Kan ni föreställa er att Al-Qaida vill anordna ett evenemang i New York?"
"The establishment of al-Qaeda in Yemen is a symptom of deeper problems.", "al-Qaidas etablering i Jemen är ett symtom på djupare problem."
"Al Qaeda represents evil of a barbaric nature and for Al Qaeda human life means absolutely nothing.", "Al-Qaida utgör en grym ondska, och för al-Qaida betyder mänskligt liv absolut ingenting."
"Al Qaeda represents evil of a barbaric nature and for Al Qaeda human life means absolutely nothing.", "Al-Qaida utgör en grym ondska, och för al-Qaida betyder mänskligt liv absolut ingenting."
"If I asked you to think of the ideas of Al-Qaeda, that's something that comes to your mind immediately.", "Om jag ber er tänka på al-Qaidas idéer, så kommer de direkt att dyka upp i era huvuden."
"Abubakar Al Hassan...... al-Qaeda's number two in Southeast Asia.", "Abubakar Al Hassan...... al-Qaeda`s nummer 2 i sydvästra Asien."
"We need only recall the al-Qaeda attack on the American warship, the USS Cole, on 12 October 2000.", "Vi behöver bara erinra oss al-Qaidas attack mot det amerikanska krigsfartyget USS Cole den 12 oktober 2000."
"Today, it is extremist organisations such as Al Qaeda that represent the destruction of modernity.", "I dag är det extremistorganisationer som al-Qaida som representerar en förstörelse av det moderna samhället."
"Al-Qaeda has proudly claimed responsibility for this deed.", "Al-Qaida har stolt tagit på sig ansvaret för detta dåd."
"Our own security is also at stake, given the continuing threat posed by al-Qaeda, as has already been said.", "Även vår egen säkerhet står på spel genom det fortsatta hotet från al-Qaida, som redan har påpekats."
"Mr President, so it is true after all: Bin Laden' s Al Qaeda network is definitely operating in Indonesia.", "Herr talman! Då är det alltså sant: bin Ladins al-Qaida-nätverk bedriver sin verksamhet i Indonesien."
"The ayatollahs behind dictator Ahmadinejad and Al Qaida must be having a field day.", "Ayatollorna bakom diktatorn Mahmoud Ahmadinejad och al-Qaida måste ha en stor dag."
"According to the government in Manila, Abu Sayyaf is collaborating with al-Qaida.", "Enligt regeringen i Manila samarbetar Abu Sayyaf med al-Qaida."
"Today, it is clear that Al Qa'ida's presence in Afghanistan is no longer the central problem.", "I dag står det klart att al Qaidas närvaro i Afghanistan inte längre är det centrala problemet."
"Al Qaida sleeper networks still remain in 52 countries.", "52 länder ger i dag fortfarande skydd till al-Qaidas vilande nätverk."
"This man is a wanted war criminal and has close ties to Islamist terrorist groups like Al Qa’ida.", "Denne man är en eftersökt krigsförbrytare och har nära band till islamiska terrorgrupper som al-Qaida."
"The second aims to concentrate on a few urban areas and from there to launch large-scale operations against Al-Qaida.", "Den andra inriktas på ett fåtal stadsområden varifrån storskaliga insatser mot al-Qaida skulle inledas."
"Secondly, the fight against the fundamentalist fanaticism of the supporters of Al-Qaida and Mullah Omar has still not been won.", "För det andra är kampen mot al-Qaida-anhängarnas och mulla Omars fundamentalistiska fanatism fortfarande inte vunnen."
"I again refer to what Mr Patten said on 4 September: we must not use the warlords in the fight against Al-Qaida again.", "Jag citerar återigen Patten från den 4 september. Då sade han: vi får inte använda krigsherrarna på nytt i striden mot al-Qaida."
"As with the Islamic terrorist network of Al Qaida, President Bush is issuing serious military warnings to potential terrorist States.", "I likhet med det islamitiska terrornätverket al-Qaida säger president Bush till på skarpen åt potentiella terrorstater."
"Possibly also, through war in the north of Iraq, we are discovering its links with the Al Qaida network of international terrorists.", "Genom krig i norra Irak kan vi möjligtvis också upptäcka dess förbindelser med al-Qaidas nätverk av internationella terrorister."
"However, sadly some of the local population in recent years have become increasingly radicalised by terrorists in league with Al-Qaida.", "Men tyvärr har en del av den lokala befolkningen på senare år radikaliserats allt mer genom terrorister med kopplingar till al-Qaida."
"In addition, all the countries bordering on Afghanistan need to cooperate in preventing the Al-Qaida network from regaining strength in the area.", "Alla Afghanistans grannländer måste samarbete för att förhindra att al-Qaida-nätverket återigen växer sig starkt i området."
"Al-Qaida and ETA do not respect borders or national sovereignty, but our police and secret services are still hampered by inadequate barriers.", "Al-Qaida och ETA har ingen respekt för gränser eller nationell suveränitet, men vår polis och våra säkerhetstjänster möter fortfarande otillfredsställande hinder."
"The terrorist organisation Al-Shabaab is linked to the Al-Qaida terrorist network and already appears on the USA’s list of terrorist organisations.", "Terrororganisationen al-Shabaab har kopplingar till terrornätverket al‑Qaida och finns redan med på USA:s terrorlista, men organisationen är ännu inte upptagen på EU:s terrorlista."
"It is, in my view, right for the United States and the rest of the Western world to seek to destroy Al-Qaida and eliminate Osama Bin Laden, but so far they have failed.", "Jag anser att Förenta staterna och resten av västvärlden gör rätt i att försöka förstöra al-Qaida och eliminera Usama bin Ladin, men hittills har de inte lyckats."
"The liberation of Afghanistan by the international coalition against terrorism, against the Taliban and against the Al-Qaida network has fortunately been very successful.", "Befrielsen av Afghanistan genom den internationella koalitionen mot terrorism, mot talibanerna och mot al-Qaidas nätverk har lyckligtvis medfört stora framgångar."
"These are areas of very violent guerrilla warfare, where there is also infiltration by Islamic groups linked to Al Qaida or the Al-Gama’a al-Islamiyya organisation.", "Det rör sig om områden med mycket våldsam gerillakrigföring, som även har infiltrerats av islamiska grupper med koppling till al-Qaida eller organisationen al-Jamaa al-Islamiyya."
"We can no longer accept that the future of small farmers should be at the mercy of Anglo-Saxon liberal fundamentalists who are the equivalent of Al Qaida in the crazy religion of trade.", "Vi kan inte längre acceptera att lantbrukarnas framtid utlämnas åt de anglosaxiska liberala integristerna inom al-Qaida-nätverket i den galna kommersiella religionen."
"more_vert open_in_new Link to European Parliament warning Request revision Motion for a joint resolution on the WTO meeting in Qatar", "expand_more Gemensamt resolutionsförslag om Världshandelsorganisationens möte i Qatar"
"more_vert open_in_new Link to European Parliament warning Request revision Gemensamt resolutionsförslag om Världshandelsorganisationens möte i Qatar", "expand_more Motion for a joint resolution on the WTO meeting in Qatar"
"The Qatar Declaration contains almost everything that developing countries wanted on the agenda.", "Qatarförklaringen innehåller nästan allt det på dagordningen som utvecklingsländerna hade önskat."
"The meeting in Qatar confirmed the WTO as the main tool of capitalist globalisation.", "Mötet i Doha bekräftade WTO:s egenskap att vara det viktigaste instrumentet för den kapitalistiska globaliseringen."
"The meeting in Qatar confirmed the WTO as the main tool of capitalist globalisation.", "Mötet i Doha bekräftade WTO: s egenskap att vara det viktigaste instrumentet för den kapitalistiska globaliseringen."
"I know just how important an answer to this question is at the moment, because I have just visited Saudi Arabia, Dubai and Qatar.", "Eftersom jag just har varit i Saudiarabien, Dubai och Katar, vet jag hur viktigt det är att finna ett svar på den frågan."
"They have here Qatar.", "Här finns Quatar."
"Formal sitting - Qatar", "Högtidligt möte"
"Will there be positive signals, and will these positive signals mean that in June or July we will have a negotiating strategy which will take us to Qatar?", "Kommer det att ges positiva signaler och kommer dessa positiva signaler att leda till att vi i juni-juli får en förhandlingsstrategi som också kommer att leda till Quatar?"
"In return, as has already been mentioned, Mr Lamy is obviously expecting support from the LDCs at the negotiations in Qatar and, more broadly speaking, expecting them to join the WTO.", "I utbyte, det har man redan betonat, förväntar sig kommissionär Lamy sannolikt stöd från de minst utvecklade länderna i förhandlingarna i Quatar och i ännu större utsträckning WTO: s anslutning."
