//Sentences
"I'll see you tomorrow for the pre-interview.", "Vi ses imorgon när vi kör intervjun."
"A five-year period of price stability and increased opportunities to compete under free and fair conditions can now be looked forward to.", "Vi kan nu se fram emot en femårsperiod med prisstabilitet och ökade möjligheter för konkurrens under fria och rättvisa villkor."
"As part of the whole process, not only will the European Union's opportunities have increased after 1 December, but its responsibilities as well.", "Som ett led i hela processen kommer inte bara EU:s möjligheter, utan även dess ansvar, att ha ökat efter den 1 december."
"The greatest and earliest gains for developing countries will come from increased trade opportunities with other developing countries.", "De största och första vinsterna för utvecklingsländerna kommer att komma från ökade handelsmöjligheter med andra utvecklingsländer."
"Mr President, monetary union will provide new opportunities for increased cross-border trade, which should definitely be encouraged.", "Herr ordförande! I och med den monetära unionen uppstår nya möjligheter till ökad gränsöverskridande handel, vilket ju måste uppmuntras."
"It is about time we scrapped this whole crazy idea and helped out those poorer countries by creating opportunities for increased trade, tourism, etc.", "Jag uppmanar kollegerna att stödja våra ändringsförslag genom vilka betänkandet skulle bli tydligare, vilket är välbehövligt."
"In addition, we now have increased opportunities to coordinate our efforts in the fight against such evils as crime, racism and xenophobia in Europe.", "Dessutom har vi nu bättre möjligheter att samordna våra insatser i kampen mot farsoter som brott, rasism och främlingsfientlighet i Europa."
"This will not only have a positive impact on climate protection; it will also provide increased employment opportunities in forward-looking technologies.", "Detta kommer inte bara att få positiva effekter på miljöskyddet, utan också öka möjligheterna till sysselsättning inom framtidstekniker."
"The fact that they are used so widely means that demand has increased, while opportunities for increasing the amounts extracted are growing rarer.", "Eftersom de används på ett så omfattande sätt har efterfrågan ökat, samtidigt som möjligheterna till att öka den mängd som extraheras blir allt färre."
"2009 budget guidelines - (sections I, II, IV, V, VI, VII, VIII et IX) (debate)", "2009 års budgetriktlinjer - (avsnitt I, II, IV, V, VII, VIII och IX) (debatt)"
"The project is comprised of the following subprojects: I. Enhanced selectivity; II.", "The project is comprised of the following subprojects: I. Enhanced selectivity; II."
"I am wondering which is the real Paasilinna, Paasilinna I or Paasilinna II?", "Jag undrar vilken Paasilinna som är den rätta, Paaslinna I eller Paasilinna II?"
"Draft general budget for 2007 (sections I, II, IV, V, VI, VII, VIII) (vote)", "Förslag till allmän budget 2007 (avsnitt I, II, IV, V, VI, VII, VIII) (omröstning)"
"Importing countries are divided into 2 categories, Category I and Category II.", "Köparländerna indelas i två kategorier, Kategori I respektive Kategori II."
"2008 draft general budget: Sections I, II, IV, V, VI, VII, VIII and IX (vote)", "Förslag till allmän budget 2008 (avsnitt I, II, IV, V, VI, VII, VIII, IX) (omröstning)"
"I-I was kind of hoping that, uh... that someday soon we could have a little talk.", "Jag hade hoppats på att vi kunde sitta ner och prata lite nu i dagarna."
"Draft general budget 2009 (Sections I, II, IV, V, VI, VII, VIII and IX) (", "Förslag till allmän budget 2009 (avsnitt I, II, IV, V, VI, VII, VIII, IX) ("
"Draft general budget 2010 (Sections I, II, IV, V, VI, VII, VIII, IX) (", "Förslag till EU:s allmänna budget 2010 (avsnitt I, II, IV, V, VI, VII, VIII, IX) ("
"Of the six initiatives which made up the Erika I and Erika II packages, this is the fifth.", "Av de sex initiativ som paketen Erika I och Erika II utgör är detta det femte."
"Subject: Immediate implementation of the Erika I and II directives", "Angående: Omedelbar tillämpning av direktiven i anslutning till Erika I och II"
"We are most definitely opposed to the downlisting of this animal from Appendix I to Appendix II.", "Vi motsätter oss bestämt att detta djur flyttas ned från bilaga I till bilaga II."
"The cases from the Court (Danfoss I and II) happened more than 25 years ago.", "Domstolsfallen (Danfoss I och II) inträffade för över 25 år sedan."
"Guidelines for the 2010 budget procedure - Sections I, II, IV, V, VI, VII, VIII and IX (", "Riktlinjerna för budgetförfarandet för 2010 - avsnitt I, II, IV, V, VI, VII, VIII och IX ("
"The 'saga' of migration from SIS I to SIS II has simply gone on for too long.", "”Sagan” om migreringen från SIS I till SIS II har gått för långt."
"The large discrepancy between Annex I and Annex II is perhaps symptomatic of this.", "Det visas av den stora skillnaden mellan bilaga I och bilaga II."
"The financial tools for the Barcelona process are ÌEDA I and ÌÅDA II.", "I Barcelonaprocessen heter finansieringsinstrumenten Meda I och Meda II."
"Secondly, I refer to EMS II and the position of the transition countries.", "För det andra pekar jag på EMS-II och övergångsländernas ställning."
"I propose that the future tense be replaced by the perfect tense for points i), ii) and iii).", "Jag föreslår att tempuset ändras från futurum till perfekt i punkterna i), ii) och iii)."
"The findings about the efficiency of programmes such as Leader I and II are also misleading.", "Vilseledande är även det som sägs om effektiviteten för program som t.ex. Leader I och II."
"How can you fail to see that the quota policy, the immigration policy, has failed?", "Hur kan ni undvika att se att kvotpolitiken, invandringspolitiken, har misslyckats?"
"If you fail to do so, I believe that Parliament itself should take on this responsibility.", "Skulle ni misslyckas med detta, tror jag att parlamentet själv skulle ta på sig det ansvaret."
"Did you fail to receive a majority for it in the Commission?", "Är det så att ni readn i kommissionen inte har fått någon majoritet för det?"
"If you fail, there are plenty of people waiting for this apartment.", "Gör ni inte det finns det andra som gärna vill ta över lägenheten."
"If you fail to take that to heart, then remember October 2004, for that is what will then happen again.", "Om ni inte tar till er detta, kom då ihåg oktober 2004, för det är vad som kommer att hända igen."
"If you fail to do that, then this House will pick up that gauntlet itself, in its role as colegislator.", "I annat fall kommer kammaren att själv ta upp den kastade handsken i sin roll som medlagstiftare."
"In addition, where you could really help move cooperation forward, you fail to do so.", "Dessutom misslyckas ni med att driva samarbetet framåt på de områden där ni verkligen skulle ha kunnat vara till hjälp."
"If you fail to keep to a pact in difficult times, what justification is there for doing so in good times?", "Om man inte håller sig till en pakt i svåra tider, varför skulle man då göra det när tiderna är goda?"
"You have to build consensus here or you fail.", "Här måste ni visa samförstånd, annars kommer ni att misslyckas."
"If you fail there, you will fail everywhere.", "Om ni misslyckas med det kommer ni att misslyckas överallt."
"Yet again, however, you fail or you are unwilling to understand the thrust of the latter part of my question.", "Återigen, emellertid, lyckas ni inte eller är ovillig att förstå tyngdpunkten i den senare delen av min fråga."
"Did you fail because you were aiming too high?", "Misslyckades ni därför att ni siktade för högt?"
"If you fail, or if something should go wrong, -", "Om du skulle svika, om nåt skulle gå snett -"
"If you fail to deliver on this then we will all judge you very harshly and will in fact all suffer as a result.", "Om ni inte kan ge besked om detta kommer vi alla att bedöma er mycket hårt och alla kommer att lida som resultat av detta."
"But if you fail us or if you're not who you say you are, this life counter will hit zero faster than you can say " oops", "Men om du sviker oss eller inte är den du säger, kommer antalet liv ner till noll fortare än du kan säga " ojdå. ""
"At the same time, you fail to address the European tendering rules that are throttling the small and medium-size companies.", "Samtidigt underlåter ni att ta i tu med de europeiska upphandlingsregler som kväver de små och medelstora företagen."
"It will count more heavily against you in this Parliament if you fail, than against those of whom less was expected.", "Ni kommer att ställas hårdare till svars här i parlamentet om ni misslyckas jämfört med dem som man förväntat sig mindre av."
"Some EU countries require you to report your presence within a reasonable period of time after arrival and may impose a penalty, such as a fine, if you fail to do so.", "I vissa EU-länder måste du anmäla din närvaro inom en rimlig tid efter ankomsten."
"You will soon have been in office for a year, so we have to observe that you too will be accountable if you fail to meet your responsibilities.", "Snart har ni suttit i ett år, så vi kan konstatera att ni också blir skyldiga när ni åsidosätter ansvaret."
"But why did you fail to inform us?", "Men varför berättade ni inte det?"
"more_vert open_in_new Link to europa.eu warning Request revision Articles I-11 to I-16 describe in detail the various types of competence:", "expand_more I artiklarna I-11 till I-16 beskrivs de olika typerna av befogenheter i detalj :"
"more_vert open_in_new Link to statmt.org warning Request revision Finally, allow me to remind you that the third letter of the EDD Group to which I belong stands for 'difference' .", "expand_more För att avsluta vill jag påminna om att den tredje bokstaven i namnet på min grupp, EDD, som jag tillhör, betyder "mångfald (différence)"."
"more_vert open_in_new Link to TED warning Request revision I did the sleep thing -- I went to bed, I laid down -- but I didn't really sleep.", "expand_more Jag gjorde sovgrejen - jag gick och lade mig - men jag somnade inte riktigt."
"more_vert open_in_new Link to europa.eu warning Request revision I artiklarna I-11 till I-16 beskrivs de olika typerna av befogenheter i detalj :", "expand_more Articles I-11 to I-16 describe in detail the various types of competence:"
"more_vert open_in_new Link to TED warning Request revision Varje bröd bakades i ett av hans bagerier, av en bagare i taget, i en vedeldad ugn.", "expand_more Every loaf baked in a bakery he owned, by one baker at a time, in a wood-fired oven."
"more_vert open_in_new Link to TED warning Request revision Han hade spendera 37 år i ett fängelse i Louisiana för ett brott han inte begått.", "expand_more He spent 37 years in a Louisiana State Penitentiary for a crime he didn't commit."
"more_vert open_in_new Link to TED warning Request revision I stort sett vartenda grundämne i den periodiska tabellen finns i havsvatten.", "expand_more And there's just about every element of the periodic table in seawater."
"more_vert open_in_new Link to TED warning Request revision Det beror på hur mycket virus det finns i ditt blod och i dina kroppsvätskor.", "expand_more So, it depends on how much virus there is in your blood and in your body fluids."
"more_vert open_in_new Link to European Parliament warning Request revision Hur som helst är en server nere och det var den också ett tag på förmiddagen i går.", "expand_more However, one server is down and it was down for a while yesterday morning as well."
"more_vert open_in_new Link to statmt.org warning Request revision När det gäller nationella strategidokument inbegriper detta samråd både i Afrika och i EU.", "expand_more For national policy documents, this involves consultation over there and over here."
"more_vert open_in_new Link to TED warning Request revision Eftersom i ballongen, liksom i livet, rör vi oss lätt i oförutsedda riktningar.", "expand_more Because in the balloon, like in life, we go very well in unforeseen directions."
"more_vert open_in_new Link to TED warning Request revision I stort sett vartenda grundämne i den periodiska tabellen finns i havsvatten.", "expand_more And there's just about every element of the periodic table in seawater."
"I am satisfied that we are finally taking the initiative and discussing Moldova.", "Det gläder mig att vi äntligen har tagit initiativ till att diskutera Moldavien."
"I am pleased to say that my colleague Mrs Estrela’s report is along these lines.", "Det gläder mig att betänkandet av min kollega Edite Estrela följer dessa idéer."
"I am pleased that those points were also made clear in the report by Mrs Gurmai.", "Det gläder mig att de punkterna också framgår klart av Zita Gurmais betänkande."
"That is why I think it is right that we should take stronger economic sanctions.", "Därför är det enligt min mening rätt att vi skärper de ekonomiska sanktionerna."
"I have received a request from the representatives of the two groups concerned.", "Det finns en begäran som lagts fram av företrädare för de två berörda grupperna."
"As a result, I hope that the directive will be adopted and implemented very soon.", "Resultat blir förhoppningsvis att vi snabbt kan anta och förverkliga direktivet."
"Therefore I think there are two basic matters which need to be tackled urgently.", "Därför är det, enligt min mening bråttom att ta itu med två grundläggande frågor:"
"I am going to ask you, President Sarkozy: what kind of European Union do you want?", "Låt mig ställa en fråga till er, president Sarkozy. Vilken typ av EU vill ni ha?"
"I need to check whether there is indeed one Member State that has not responded.", "Låt mig kontrollera om det verkligen är så att en medlemsstat inte har svarat."
"I should say, however, that when it comes to Russia the situation is different.", "Låt mig emellertid få säga att när det gäller Ryssland är situationen annorlunda."
"I just want to rehearse the arguments again so that we are all absolutely clear.", "Låt mig bara upprepa argumenten igen, så att det inte blir några missförstånd."
"I enjoyed working with him and it is a pity that he is not here to hear me say so.", "Det var angenämt att samarbeta med honom, och det är synd att det inte blir han."
"I put to the vote the request from the Group of the Party of European Socialists", "Omröstning skall ske om Europeiska socialdemokratiska partiets grupps förslag."
"I will quote some figures to illustrate the importance of the sector as a whole.", "Hur betydelsefull den totala branschen är kan helt kort belysas med några siffror."
"I am pleased to say that my colleague Mrs Estrela’ s report is along these lines.", "Det gläder mig att betänkandet av min kollega Edite Estrela följer dessa idéer."
"The Council Presidency will support this, and so, I am sure will the Commission.", "President Pervez Musharrafs löfte att bekämpa terrorism måste också välkomnas."
"I would say that the divisions now also extend to the various political groups.", "Man kan säga att splittringen just nu även omfattar de olika politiska grupperna."
"Mr Lomas, now that I have explained that point, you have a maximum of 60 seconds.", "Med detta svar, herr Lomas, har ni nu, med denna förklaring, högst 60 sekunder."
"This is our role, confirmed yet again, I might say, by the Treaty of Amsterdam.", "Det är vår roll, vilket för övrigt på nytt har bekräftas av Amsterdamfördraget."
"I have been asked if we already have proof that these processes are effective.", "Man har frågat mig om vi redan har belägg för att dessa förfaranden är effektiva."
"I have no doubt about its ability to start again.", "Jag hyser inga tvivel om att vi kan göra om det."
"I have no doubt about that at all.", "Det råder ingen tvekan om det."
"I have no doubt about that.", "Jag tvivlar inte på detta."
"I have no doubt about that.", "Det betvivlar jag inte."
"Hey, listen, I-I-I-I think we both know that Officer Krystal and me have this...", "Jag tror att vi båda vet att Officer Krystal och jag har den här..."
"Well, not instantly, but I -- I -- I got away with it.", "Inte till en början, men jag räddade situationen."
"I-I-I was just trying to get him off, Dad.", "Jag försöker bara att få bort honom!"
"I-I-I don't even know who they are.", "Jag vet inte ens vilka de är."
"I-I-I'm a haemophiliac.", "Jag är hemofil."
"I-I-I was married.", "Jag har varit gift."
"I-I-I'm an attorney.", "Jag är advokat..."
"I know, sweetie.", "Jag vet, äIskling."
"I can accept a majority of your proposals either in their entirety or in spirit.", "Jag kan godkänna de flesta av era förslag antingen i sin helhet eller andemening."
"So I do not accept this kind of easy criticism that is populist and demagogical.", "Så jag accepterar inte den här typen av låg kritik som är populistisk och osaklig."
"There is no way that I can accept this request for the removal of aid to tobacco.", "Jag kan under inga omständigheter acceptera kravet på att tobaksstödet dras in."
"I accept, as you said, that the role of Member States in this matter is crucial.", "Jag accepterar, som ni sade, att medlemsstaternas roll i denna fråga är avgörande."
"As regards the question about universities, I shall accept that as a suggestion.", "Vad gäller frågan om universiteten skall jag ta med mig den som ett initiativ."
"You raised some legal objections to this, which I understand, and which I accept.", "Ni har framfört juridiska invändningar som jag förstår och jag böjer mig för dem."
"I fully accept what the Commissioner says about the changing circumstances.", "– Jag accepterar helt vad kommissionären säger om de ändrade omständigheterna."
"I do not accept that you could suppose for one moment that I support alcoholism.", "Jag tolererar inte att ni för ett ögonblick antar att jag kan acceptera alkoholism."
"I also accept that people have fears and criticisms regarding this Constitution.", "Jag accepterar också att många är rädda och kritiska när det gäller konstitutionen."
"I accept your explanation, Mr President; I accept the explanation of the President.", "Herr talman! Jag godkänner er förklaring och jag godkänner talmannens förklaring."
"I can also accept the idea in the second proposed paragraph of Amendment No 47.", "Jag kan också godta idén i den andra föreslagna punkten i ändringsförslag 47."
"I accept political responsibility for that; I was committed to the Treaty of Lisbon.", "Jag tar politiskt ansvar för detta. Jag hade ett åtagande till Lissabonfördraget."
"That is why I cannot accept the Green amendments that have been referred to.", "Därför kan jag inte godta de nämnda ändringsförslag som De gröna har lagt fram."
"I cannot therefore accept any amendments that would jeopardise this objective.", "Därför kan jag inte godta några ändringar som på nytt skulle ifrågasätta detta mål."
"If this word 'comprehensive ' is incorporated, then I will accept the amendment.", "Om detta ord " omfattande " tas med, då kommer jag att rösta för förslaget."
"I did not bring an apple for Mr Sacconi, but I ask him to accept my congratulations.", "Jag har inte med mig något äpple till Guido Sacconi, men jag gratulerar honom."
"Mr Verhofstadt, I am happy to accept your call for more work on Europe 2020.", "Herr Verhofstadt! Jag stöder gärna er uppmaning till att mer görs för Europa 2020."
"On behalf of the Commission, I therefore accept your amendments, Mr Grosch.", "På kommissionens vägnar godtar jag följaktligen era ändringsförslag, herr Grosch."
"I cannot, however, accept the attempt to confer evaluation tasks on the EMCDDA.", "Jag kan dock inte acceptera försöket att ålägga ECNN utvärderingsuppgifter."
"That is why I cannot accept amendments seeking to raise the beef premiums either.", "Därför kan jag inte heller godkänna ändringsförslagen om höjning av nötboskapsbidrag."
"As the Commissioner has just reminded us, this is very good - I acknowledge that.", "Som kommissionsledamoten just påmint oss om är det mycket positivt - det tillstår jag."
"I totally acknowledge the right of any country to protect and maintain its security.", "Jag erkänner fullt ut varje lands rättighet att skydda och upprätthålla sin säkerhet."
"I should like to acknowledge the work done by Parliament's various rapporteurs.", "Jag skall begränsa mig till några allmänna anmärkningar om Agenda 2000."
"At the same time I acknowledge the work the Commissioner has played in it too.", "Samtidigt erkänner jag att kommissionärens arbete också har spelat in."
"(PL) Mr President, I would like to acknowledge the work of Mr Piecyk.", "(PL) Herr talman! Jag vill uttrycka min uppskattning för Willi Piecyks arbete."
"I have to acknowledge the other, before I can truly understand myself.", "Jag måste erkänna min medmänniska innan jag verkligen kan förstå mig själv."
"I have to acknowledge that these Members have fought very hard in this respect.", "Jag medger att ledamöterna har kämpat stenhårt för den här frågan."
"I acknowledge all that commitment, work and effort and must applaud you for it.", "Jag erkänner allt ert engagemang och arbete och alla era insatser och måste berömma er för dem."
"I must acknowledge that what you say, Mr Bolkestein, is indeed how the law stands.", "Ty det som ni, herr Bolkestein, har sagt måste jag erkänna - det är den rättsliga situationen."
"First of all, I acknowledge that there is difficulty in the Midlands with the Rover Group.", "Först och främst går jag med på att det finns svårigheter i Midlands med Roverkoncernen."
"I acknowledge receipt of representations from the Bahraini authorities against this resolution.", "Jag förväntar mig synpunkter från de bahrainska myndigheterna mot denna resolution."
"I should like to acknowledge the significance of this debate, which encourages us to be bold.", "Jag vill betona hur viktig denna debatt är. Den manar oss att vara djärva."
"I acknowledge, however, that these are merely commitments in principle.", "Jag är emellertid medveten om att detta endast är principinriktningar."
"I acknowledge that the European sugar sector is in need of reform.", ". Jag erkänner att den europeiska sockersektorn behöver förändras."
"I acknowledge, however, that this is a question that we must ask ourselves when the time arises.", "Men jag erkänner att det är en fråga man så småningom måste ställa till oss."
"I acknowledge Parliament's strong wish to reinforce Article 12 of the Seveso II Directive.", "Jag konstaterar parlamentets starka önskan att förstärka artikel 12 i Seveso II-direktivet."
"I acknowledge your concerns about the lack of experience with the Lamfalussy approach hitherto.", "Jag noterar era farhågor om bristen på erfarenhet med Lamfalussy-strategin än så länge."
"I acknowledge, therefore, that the Commission' s initiative has a valid basis.", "Jag anser därför att kommissionens initiativ är välgrundat."
"I acknowledge, therefore, that the Commission's initiative has a valid basis.", "Jag anser därför att kommissionens initiativ är välgrundat."
"I must acknowledge the generous nature of the general rapporteur, who was himself of another opinion.", "Jag värdesätter föredragandens generösa sätt, då denne var av en annan uppfattning."
