//Sentences
"I hope that this will now be the case to a larger extent.", "Jag hoppas att detta nu kommer att bli fallet i större utsträckning."
"more_vert open_in_new Link to European Parliament warning Request revision Per-hectare aid for hemp is more than twice as high as that for cereals.", "expand_more Stödet per hektar är mer än dubbelt så högt som stödet per hektar till spannmål."
"more_vert open_in_new Link to statmt.org warning Request revision At a time of globalisation, toys are not just another type of goods.", "expand_more I globaliseringens tidevarv är inte leksaker bara en vara, vilken som helst."
"The rapporteur has clearly identified the new manifestation of this age-old dilemma.", "Föredraganden har tydligt identifierat den nya yttringen av det urgamla dilemmat."
"I think that this is the practical manifestation of those major advances which Europe offers us.", "Jag tror att detta är det stora steg som Europa också visar oss i praktisk form."
"These were examples of the most blatant and horrific manifestation of racism and xenophobia.", "De är exempel på de grövsta och värsta uttrycken för rasism och främlingsfientlighet."
"I should like to ask the Commissioner how he is handling this manifestation of the internal market?", "Jag skulle vilja fråga kommissionären hur han nu hanterar denna företeelse på den inre marknaden?"
"The European Union should support this manifestation of civil society.", "EU bör stödja detta uttryck för civilsamhället."
"It seems she has left the Chamber, but she indicated that the Ombudsman is a manifestation of an undemocratic process.", "Antyder hon att de skandinaviska länderna, där man har ombudsmannen inskriven i grundlagen, är odemokratiska?"
"The most painful manifestation of transatlantic, and at the same time European, discord was the public controversy over Iraq.", "Den pinsammaste manifestationen av transatlantisk och samtidigt europeisk splittring var den offentliga Irakkontroversen."
"It is a manifestation of the national bureaucracies ’ lack of political ability to face up to the challenges of the real economic and political world.", "Det är synd att deklarationerna om Lissabonmålen ännu inte har följts upp med konkreta åtgärder."
"God himself was utterly familiar from his earlier manifestation as Yahweh -- jealously insisting on no other gods.", "Gud själv var väldigt lätt att känna igen från hans tidigare manifestation som Jahve - avundsjukt insisterande på att inga andra gudar hava."
"The Charter of Fundamental Rights is the latest manifestation of the drift of Community legislation towards a constitution.", "Stadgan om grundläggande rättigheter är det senaste missödet i den beklagliga konstituerande utvecklingen av gemenskapslagstiftningen."
"There is a total ban on using the Kurdish language, as there is on any manifestation of Kurdish culture.", "Kurderna har inte syriska medborgarskap och därmed har de inga pass, ingen tillgång till utbildning eller till hälso- och sjukvård och ingen rätt att äga mark."
"This is why any manifestation that denies other people's religious or cultural identity must be immediately and unfailingly condemned.", "Därför måste alla former av uttryck som förnekar andra människors religiösa eller kulturella identitet alltid fördömas omedelbart."
"- (FR) The Charter of Fundamental Rights is the latest manifestation of the drift of Community legislation towards a constitution.", ". (FR) Stadgan om grundläggande rättigheter är det senaste missödet i den beklagliga konstituerande utvecklingen av gemenskapslagstiftningen."
"And what about that manifestation of respect for human rights that took the form, for several weeks, of bombing Kosovo and Serbia?", "Och vad skall man säga om den yttring för respekten av de mänskliga rättigheterna som under flera veckor har bestått av bombningar av Kosovo och Serbien?"
"Every day we add new taxes, and the European tax proposed by the Commission during the preparation of the next financial perspective is the latest manifestation of this trend.", "Även nu håller man på att samtycka till att europeiska vinbeteckningar används av tillverkare utanför gemenskapen."
"Lastly, I should like to point out that phobias, as the manifestation of behavioural problems, cannot be combated in legislation nor at parliamentary level.", "Till sist vill jag påpeka att fobier, liksom beteendemässiga problem, inte kan bekämpas i lagstiftningen och inte heller på parlamentarisk nivå."
"I think its current manifestation aims to subvert the humanitarian values of equality, whether it be between gender, religion or nationality.", "Jag anser att de uttryck som den nu tar sig syftar till att urholka de humanitära värderingarna om jämställdhet, antingen det gäller kön, religion eller nationalitet."
"I only hope that ordinary citizens will understand that it is their governments, not this Parliament, which are responsible for this manifestation of impotence.", "Jag hoppas bara att medborgarna kommer att inse att det är deras regeringar och inte deras parlament som bär ansvaret för detta exempel på vanmakt."
"Lastly, I should like to point out that phobias, as the manifestation of behavioural problems, cannot be combated in legislation nor at parliamentary level.", "Rätten till respekt för privatlivet och familjelivet samt åsiktsfrihet och religionsfrihet är grundläggande rättigheter som skyddas i internationella avtal."
"This amendment prescribes that 'advertising and audiovisual commercial communication [...] must not contain manifestation or promotion of sexual orientation'.", "Enligt denna ändring föreskrivs att ”reklam och audiovisuella kommersiella meddelanden [...] inte får innehålla manifestering eller främjande av sexuell läggning”."
"That is the big difference between Europe and that melting pot, the United States.", "Det är den stora skillnaden jämfört med den melting pot Förenta staterna är."
"The whole place is a highly unstable melting pot and could easily explode.", "Hela denna plats är en oerhört instabil smältdegel som lätt kan explodera."
"The whole place is a highly unstable melting pot and could easily explode.", "Det är i sak felaktigt att beskriva detta som något som endast islamiska fundamentalister ligger bakom."
"The attacks on London in particular showed that the idea of the ‘melting-pot society’ has failed.", "Särskilt attackerna i London visade att tanken på samhället som ”smältdegel” har misslyckats."
"Today, the two peoples are dissolving in the American melting pot.", "I dag löses de två folken upp i den amerikanska smältdegeln."
"Everything and more has been chucked into one big melting pot and our citizens are expected to digest this gunge.", "Allt och mer därtill har slängts i en stor gryta, och medborgarna förväntas smälta denna sörja."
"All these causes combine to form a melting pot where lives are shattered by the greed of some parties and the deviance of others.", "Alla dessa orsaker är en smältdegel för liv som krossas av någras lystenhet och andras avvikande beteende."
"The attacks on London in particular showed that the idea of the ‘ melting-pot society’ has failed.", "Därför måste medlemsstaterna och EU som helhet svara på detta hot, inte bara med lagstiftning utan med hela brottsbekämpningsmaskineriet."
"Our Europe, that melting pot of cultures, languages and people, is possible thanks to free movement and study programmes.", "Vårt EU, som är en blandning av kulturer, språk och personer, främjar vi tack vare fri rörlighet och studieprogram."
"I will end with ISPA, which would appear to be the reason my report has been slipped into the enlargement melting pot.", "Jag skall avsluta med ISPA, som tydligen måste vara skälet till att mitt betänkande har buntats ihop med betänkanden om utvidgningen."
"The acquis is a melting-pot of guidelines, measures and decisions through which few people can find their way, let alone their rights.", "Regelverket är en melting pot av handböcker, åtgärder och beslut där få lyckas finna någon rätsida, för att inte tala om en gällande rätt."
"The farmers' contributions go into the general melting pot of the EU budget on the revenue side, and if export refunds are cut then these contributions will decline too.", "Jordbrukarnas avgifter redovisas helt allmänt på intäktssidan i EU:s budget, och även dessa avgifter reduceras, när exportbidragen skärs ned."
"The farmers ' contributions go into the general melting pot of the EU budget on the revenue side, and if export refunds are cut then these contributions will decline too.", "Jordbrukarnas avgifter redovisas helt allmänt på intäktssidan i EU: s budget, och även dessa avgifter reduceras, när exportbidragen skärs ned."
"For many years, Europe has promoted itself as a melting pot of many different cultures, whose constant intermeshing has had an impact throughout the world.", ". – I många år har vi i Europa framhållit oss själva som en smältdegel för många olika kulturer, vilkas ständiga sammanvävning har haft inflytande i hela världen."
"In the past the European Union has been criticized on the grounds that it is going to be a great melting pot in which small communities and minorities will all be lost.", "I det förgångna har Europeiska unionen kritiserats för att den skulle komma att bli en stor smältdegel i vilken små samhällen och minoriteter försvinner."
"For many years, Europe has promoted itself as a melting pot of many different cultures, whose constant intermeshing has had an impact throughout the world.", ".– I många år har vi i Europa framhållit oss själva som en smältdegel för många olika kulturer, vilkas ständiga sammanvävning har haft inflytande i hela världen."
"I have personally come to realise that where the United States might be a melting pot, the European Union is a very rich, colourful and beautiful mosaic of diversity.", "Medan Förenta staterna kanske är en smältdegel så har jag personligen insett att Europeiska unionen är en väldigt rik, färgstark och vacker mosaik av mångfald."
"The different backgrounds of the staff members will make the EEAS a melting pot of corporate cultures, and it will gradually have to establish a culture of its own.", "Personalens olika bakgrunder kommer att göra den europeiska avdelningen för yttre åtgärder till en smältdegel för olika företagskulturer och den måste gradvis upprätta en egen sådan."
"The Council has always been fully committed to tackling the menace of drugs on our streets.", "Rådet har alltid varit helt engagerat i att bekämpa narkotikahotet på våra gator."
". - Cybercrime is indeed a growing menace.", "ledamot av kommissionen. - (EN) IT-brottslighet är onekligen ett växande problem."
"A court with a mission is a menace; a supreme court with a mission is a tyranny.", "En domstol med ett uppdrag är ett hot, en högsta domstol med ett uppdrag är en form av förtryck."
"They did not know the source of the bubonic menace and were unable to halt it in its deadly tracks.", "De kände inte till böldpestens orsaker och kunde inte hejda dess dödliga framfart."
"We have consistently opposed this brutal menace and will continue to do so together.", "Vi har konsekvent motsatt oss detta brutala hot och kommer tillsammans att fortsätta att göra det."
"Finally, we cannot follow those who refuse to consider seriously the roots of the menace we are fighting.", "Vi fick ett nytt bevis för denna risk efter den tragedi som inträffade i London."
"Our Parliament should have a debate on the global menace of drugs.", "Vårt parlament bör ha en debatt om det globala hotet från droger."
"Faced with the Soviet menace, trans-Atlantic unity was a necessity in terms of mere survival.", "Europeisk enighet är en av förutsättningarna för starka och balanserade transatlantiska förbindelser."
"Insects are not only a menace to plants, but are also transmitters of very serious human illnesses.", "Insekterna utgör inte bara ett hot för växterna utan överför även allvarliga mänskliga sjukdomar."
"The sense of menace to the individual is today no longer slight.", "Hoten mot enskilda personer är i dag inte längre försumbara."
"In the meantime, let us not be deterred from confronting a dangerous menace when we can.", "Låt oss fram till dess inte avhålla oss ifrån att ta itu med detta farliga hot medan det fortfarande är möjligt."
"Lisbon provides them with a new opportunity and an instrument to combat the menace of nationalism.", "Lissabonfördraget ger dem en ny möjlighet och ett instrument att bekämpa det hot som nationalismen utgör."
"The consumer can be conned by counterfeiting in all circumstances very easily but it is always a menace.", "Konsumenten kan mycket lätt luras av förfalskningen under alla omständigheter, men den är alltid en fara."
"In this area, though, nonsense is a public menace.", "Men det är samhällsfarligt att begå dumheter på detta område."
"Moonlighting is a menace to the European economy, all the more so within the context of the current economic crisis.", "Svartarbete utgör ett hot mot den europeiska ekonomin, särskilt med den nuvarande ekonomiska krisen."
"Finally, we cannot follow those who refuse to consider seriously the roots of the menace we are fighting.", "Vi kan slutligen heller inte göra som de som vägrar att på allvar fundera över orsakerna till det hot vi bekämpar."
"In the face of the 'brown' menace, all democratic forces on the right and left must join together in Europe.", "Ställda inför det ”bruna” hotet måste alla demokratiska krafter till höger och vänster sluta sig samman i Europa."
"As a result, they would become a menace on the roads.", "De skulle därmed bli en fara på vägarna."
"Mr President, a court with a mission is a menace.", "En domstol med ett uppdrag utgör ett hot."
"We should spell it out to the North Koreans that their activities are a menace to the whole security setting in the Far East.", "Vi bör göra klart för nordkoreanerna att deras aktiviteter är ett hot mot hela säkerheten i Fjärran Östern."
"The rapporteur had to beat a retreat and contented herself with 20 recitals.", "Föredraganden blev tvungen att slå till reträtt och lät sig nöja med 20 skäl."
"The Obama government was forced to retreat by the scale of the disaster.", "Obamaadministrationen tvingades till reträtt på grund av katastrofens omfattning."
"These twin dangers carry the threat of a retreat into a Fortress Europe.", "Dessa dubbla risker innebär att vi riskerar att återgå till Fästning Europa."
"There should be no retreat in Europe, but instead a decisive campaign.", "Vi vill inte se något återtåg i Europa utan i stället en kraftfull kampanj."
"Meanwhile, Turkey opposes NATO, and the US is the power in retreat and acts like a spectator.", "Under tiden går Turkiet emot Nato och USA backar och agerar som en åskådare."
"The current financial and economic crisis is a reason to move forward and not to retreat.", "Den nuvarande finansiella och ekonomiska krisen är ett skäl att gå framåt, inte att backa."
"It is a retreat via the negation of a principle, but it masquerades as progress all the same.", "Man tar ett steg tillbaka genom att förneka en princip som trots allt är ett framsteg."
"To do otherwise is to invite the disintegration of Europe and a retreat into protectionism.", "Att göra någonting annat vore att välkomna Europas sönderfall och återfalla i protektionism."
"That was a mistake and it is to be hoped that there will now be a retreat from that position.", "Det var ett misstag, och man får hoppas att dessa personer nu viker från den ståndpunkten."
"This is bringing about a retreat from the principles and requirements of the EU neighbourhood policy.", "Detta medför en reträtt från principerna och kraven i EU:s grannskapspolitik."
"There must be no retreat from the constitutional treaty in 2009.", "Det får inte finnas någon väg tillbaka från konstitutionsfördraget 2009."
"The authorities have a duty not to give in to extremism in any way and not to retreat.", "Myndigheterna är skyldiga att inte ge sig inför extremism på något sätt, och att inte backa undan."
"We would like to see some aspects of that retreat again reversed.", "Vi skulle önska att vissa delar av den reträtten vänds i sin motsats."
"The god of Moses is a poor general... to leave him no retreat.", "Moses gud är en usel general... som inte ger honom en reträttväg."
"That will put those wishing to retreat to a veto in a very bad position.", "Det innebär att de som vill luta sig tillbaka på sin vetorätt i det här fallet kommer att ligga illa till."
"There should be no retreat from that position whatsoever.", "Denna får inte förekomma någon som helst reträtt från denna hållning."
"It is a battle in which we are bound to have to beat retreat.", "Detta är en strid där vi är tvungna att slå till reträtt."
"First they sounded retreat, and now the call to man the oars.", "Först signalerar de reträtt, och nu " män till årorna "."
"So he went on this retreat. ~~~ And he meditated for three years and he did not see the future Buddha Maitreya.", "Så han drog sig undan och han mediterade i tre år men han såg inte framtidens Buddha Maitreya."
"I am firmly convinced that Parliament will not retreat from the position it has already adopted.", "Jag är alldeles övertygad om att parlamentet inte kommer att backa på de ståndpunkter som man redan har intagit."
"I think we should take an X ray then stitch him up and put him in a walking cast.", "Jag tycker att vi borde ta en röntgenbild, och sedan sy ihop honom."
"He was right to say, 'a stitch in time saves nine'.", "Han hade rätt när han påpekade att det är ”bättre att stämma i bäcken än i ån”."
"There was no stitch-up at all: it was just good negotiations.", "Det förekom ingen kohandel alls: det vara bara goda förhandlingar."
"Or was it simply an attempt to stitch up the outcome of the Council without consulting the remaining Member States?", "Eller var det helt enkelt ett försök att lappa ihop rådets resultat utan att rådfråga de övriga medlemsstaterna?"
"Hence the comment of Action Aid that EU support for Mr Wolfowitz is a stitch-up, and similar remarks from other NGOs.", "Handel, inte allmosor, ger fattiga länder hjälp till självhjälp, som indonesierna mycket riktigt framhöll efter flodvågskatastrofen."
"What is going on here is a stitch-up.", "Det som görs här är ett lappverk."
"This inadequate and inoperable stitch-up of an agreement is so full of holes that a pack of polar bears could rampage through it.", "Denna otillräckliga och ineffektiva, ihoplappade överenskommelse är så full av hål, att en skock isbjörnar kan storma igenom den."
"a stitch in time saves nine", "bättre att stämma i bäcken än i ån"
"Hence the comment of Action Aid that EU support for Mr Wolfowitz is a stitch-up, and similar remarks from other NGOs.", "Detta är förklaringen till Action Aids uttalande och liknande kommentarer från andra icke-statliga organisationer att EU:s stöd för Paul Wolfowitz är en omvändelse under galgen."
"We take ideas from other people, from people we've learned from, from people we run into in the coffee shop, and we stitch them together into new forms and we create something new.", "Vi stjäl idéer från andra människor, folk som vi lärt oss av, folk som vi sprungit in i på caféer, och häftar ihop dem till nya former, och skapar något nytt."
"If this Parliament were a proper Parliament, it would actually select Members to sit in the chair on ability and not have the usual big group stitch-ups.", "Om Europaparlamentet vore ett riktigt parlament skulle det välja ledamöter som talmän på grund av deras kompetens och inte köra med de gamla vanliga uppgörelserna mellan de stora grupperna."
"What is this idea that it is a stitch-up, that groups come together to reach a compromise that ill serves the civil liberties of ordinary men and women?", "Vad är det för en idé om att detta skulle vara en uppgörelse, att grupper träffas för att komma överens om en kompromiss som inte skyddar medborgerliga rättigheter för vanliga män och kvinnor?"
"I also wish to say very clearly to Mr Macartney - in case he is worried - that there was no stitch-up between the British Government and the Ulster Unionists before the Council meeting!", "Jag vill också till Macartney säga mycket tydligt - om han är oroad - att det inte förelåg någon kohandel mellan den brittiska regeringen och ulsterunionisterna före rådsmötet!"
"I should like to know where the fish came from that went to Northern Ireland as part of a political deal which the Conservative Government had to stitch up with the Ulster Unionists.", "Jag skulle vilja veta var den fisk kom ifrån, som skickades till Nordirland som en del av en politisk uppgörelse som den konservativa regeringen fick lov att snickra ihop med ulsterunionisterna."
"We want a comprehensive and transversal approach to immigration problems.", "Vi vill ha ett brett och övergripande synsätt på invandringsproblemen."
"A transversal group of Commissioners has been set up, but can this group be more proactive?", "En tvärgrupp med kommissionsledamöter har inrättats, men kan denna grupp vara mer pådrivande?"
"We must incentivise transversal policies for helping women.", "Det är nödvändigt att stimulera tvärgående politik för stöd till kvinnorna."
"More and more issues are transversal or horizontal by nature.", "Fler och fler frågor är tvärgående eller horisontella av naturen."
"Transversal Community objectives - what kind of newspeak is that, ladies and gentlemen?", "Övergripande gemenskapsmål - vad är det för nyspråk?"
"As always in this type of programme, we should consider the transversal actions and technical assistance.", "Sedan finns det som alltid för dylika program övergripande åtgärder och teknisk assistans."
"The report acknowledges the transversal nature of the sector.", "I betänkandet uppmärksammar man områdets tvärgående karaktär."
"For the first time also, a transversal action will support multilateral projects and networks in that field.", "Det är också första gången som en tväråtgärd stöder multilaterala projekt och nätverk på detta område."
"I propose therefore to merge Amendment Nos 61 and 81 into a single, transversal amendment, Amendment No 109.", "Jag föreslår därför att ändringsförslag 61 och 81 sammanförs genom ett enda tvärgående ändringsförslag, nr 109."
"At most, there might be a need for editorial adjustments to the transversal articles, but not substantial alterations.", "För de tvärgående artiklarna kan det på sin höjd röra sig om redaktionella anpassningar men inte om reella förändringar."
"Finally, if you will permit me, I would like to address a transversal subject that you also mentioned: the European Constitution.", "Slutligen vill jag, om ni tillåter, ta upp en tvärgående fråga som ni också nämnde: konstitutionen för Europa."
"The institutions are taking the required steps towards transversal action in the process of concluding the constitutional foundation.", "Institutionerna tar de steg som krävs mot tvärgående åtgärder i processen för att avsluta den konstitutionella grunden."
"We are also grateful for her insistence on actively promoting equal opportunities between men and women as a transversal condition.", "Vi är också tacksamma för att hon betonar behovet av att aktivt främja jämställdhet mellan kvinnor och män som ett genomgående krav."
"Finally, if you will permit me, I would like to address a transversal subject that you also mentioned: the European Constitution.", "Jag är glad att ni sade att Europaparlamentet måste förändras till en verklig församling genom att inleda en öppen och pluralistisk debatt."
"Amongst the transversal support policies we should promote access to IT systems and bring the wealth of the urban system closer to the countryside.", "Den tvärgående stödpolitiken bör bl.a. främja tillgång till ny teknik och utjämning av skillnaderna mellan städernas välstånd och landsbygden."
"In theory, its transversal character should make for greater interservice cooperation and hence for greater account being taken of PCD.", "I teorin skulle alltså avdelningens övergripande karaktär kunna bidra till ett utökat samarbete mellan olika organ och följaktligen ett bättre beaktande av en konsekvent politik för utveckling."
"Crossing borders is more typical of reproduction, or as she writes, “the transspecies, transversal, transducing, transgressive transmission of genetic material”.", "Gränsöverskridandet är mera typiskt för reproduktionen, eller som hon skriver ”the transspecies, transversal, transducing, transgressive transmission of genetic material”."
"This new strategic approach to culture sets common objectives and aims to propel the economic, social and political value of culture by strengthening its transversal role.", "I denna nya kulturstrategi fastställs gemensamma mål och den syftar till att framhäva kulturens ekonomiska, sociala och politiska värde genom att stärka dess genomgripande roll."
"to take a transversal approach to the sector in Community policies and funding, through the creation of a specific Community programme to complement Member States' initiatives.", "Tillämpa en övergripande strategi för sektorn i EU:s politik och finansiering genom att inrätta ett särskilt gemenskapsprogram som ska komplettera medlemsstaternas initiativ."
"While we have managed to incorporate sustainability and the environment into a transversal policy, the latter, the environment, must also open the door to social and economic criteria.", "Om vi har lyckas uppnå att hållbarhet och miljö skall vara ett tvärgående projekt, är det även nödvändigt att de sociala och ekonomiska kriterierna innefattas i miljöfrågorna."
"In a week or two it will be time to go back and see if they can find the sensors.", "Om en vecka eller högst två är det dags att åka dit och kontrollera om de kan hitta sensorerna."
"In the legislative area, we will come next week with two proposals.", "Inom lagstiftningsområdet kommer vi att lägga fram två förslag nästa vecka."
"Wrap it in an ACE bandage, take some ibuprofen for a week or two, and that's the end of the story.", "Vira in det i bandage, ta lite ibuprofen i en vecka eller två, och sen är det inget mer med det."
"This week alone, two more small vessels were shipwrecked off the Portuguese town of Caminha.", "Bara denna vecka har ytterligare två mindre fiskefartyg förlist utanför den portugisiska staden Caminha."
"The guidelines that were voted on last week and two days ago will really help us in this respect.", "De riktlinjer som var uppe till omröstning i förra veckan kommer verkligen att hjälpa oss i detta avseende."
"Be at least a week, maybe two.", "Tar minst en vecka, kanske två."
"So I'm like, "OK, I can't stop the stroke from happening, so I'll do this for a week or two, and then I'll get back to my routine.", "Så jag tänker "OK, jag kan inte förhindra det från att hända, så jag gör det här i en vecka eller två, sedan går jag tillbaka till min vanliga rutin."
"I have said this on several occasions in the last week or two: the difficulties that exist today will be more difficult in the future.", "Jag har sagt detta vid flera tillfällen under den senaste veckan eller två: de svårigheter som finns i dag kommer att bli ännu större i framtiden."
"In our Finnish newspapers, we could read a week or two ago about an eighteen year-old girl who had been compulsorily recruited, had suffered an amputation and had been raped.", "I våra finländska tidningar kunde vi för någon vecka sedan läsa om en artonårig flicka som hade tvångsrekryterats, amputerats och våldtagits."
"Next, Georgia failed to obey - suddenly some scoundrel blew up the gas pipeline near Georgia's border, and Georgia had no gas supply for a week or two.", "Därefter var det Georgien som inte lydde, och plötsligt var det någon skurk som sprängde gasledningen nära Georgiens gräns och Georgien fick inga gasleveranser på en vecka eller två."
"We do not need them in one week or two weeks; we need them today, tomorrow and certainly on Friday when the European Council will make its first political statement on this issue.", "Inte om en eller två veckor, utan i dag, i morgon och sannerligen på fredag, när Europeiska rådet kommer att göra sitt första politiska yttrande om denna fråga."
"Madam President, I would like to bring to your attention an incident last week where two football fans were tragically murdered on their way to watch their team play in the UEFA Cup.", "Fru talman! Jag skulle vilja fästa er uppmärksamhet på en händelse i förra veckan, då två fotbollssupportrar tragiskt blev mördade när de skulle se sitt lag spela i Uefa-cupen."
"Last week, with two of my fellow MEPs, I was privileged to meet in Rome, the former King of Afghanistan, who has lived in the European Union for much of his life.", "Förra veckan hade jag, tillsammans med två av mina kolleger i parlamentet, privilegiet att i Rom få träffa Afghanistans förre kung, som har levt i Europeiska unionen under en stor del av sitt liv."
"Mr President, it became known this week that two prominent Cambodian opposition papers have been threatened with closure because they are reported to have insulted the king and prime minister.", "Herr talman! Den här veckan blev det känt att två framstående kambodjanska oppositionstidningar hotas av stängning för att de skulle ha förolämpat kungen och premiärministern."
"It lessens the burden placed upon SMEs, facilitates access to basic services and protects jobs.", "Det minskar bördan på de små och medelstora företagen, underlättar tillgång till grundläggande tjänster och skyddar jobben."
"More effective state institutions, better governance, access to basic services, justice and the rule of law are just as important as hard security.", "Effektivare statliga institutioner, bättre styrning, tillgång till grundläggande sociala tjänster, rättvisa och rättsstatsprincipen är precis lika viktiga som hård säkerhet."
"As regards the problem of access to basic services, a detailed analysis of the situation indicates that there are many different causes and that the impact differs from one place to another.", "När det gäller tillgången på bastjänster, visar en noggrann analys av situationen på ett flertal olika samverkande faktorer och tillämpningarnas lokala karaktär."
"Secondly, it is worrying that we are seeing a constant process of retraction in the Portuguese State in terms of guaranteeing equal access to basic services throughout its territory.", "För det andra är det oroande att vi ser en ständig tillbakadragandeprocess i Portugal när det gäller att garantera lika tillgång till grundläggande tjänster inom hela territoriet."
"We will achieve equality simply because justice and goodness are on our side.", "Vi ska uppnå jämlikhet helt enkelt för att vi har rätten och godheten på vår sida."
"We must do everything that we possibly can to achieve gender equality.", "Vi måste göra allt som står i vår makt för att uppnå jämställdhet mellan könen."
"Unfortunately we are still backward, and much needs to be done to achieve equality.", "Tyvärr släpar vi fortfarande efter och mycket måste göras för att vi skall uppnå jämställdhet."
"Madam President, there is still a long way to go to achieve equality in a Europe of women.", "Fru ordförande! I kvinnornas Europa är det långt kvar till jämställdhet."
"In none of these areas has it yet been possible to achieve full equality of opportunities.", "Ännu har det inte varit möjligt att uppnå helt lika möjligheter på något av dessa områden."
"We should look at the record in the Member States if we want to achieve our equality objectives.", "Vi bör ta en titt på vad som sker i medlemsstaterna om vi vill uppnå vårt jämlikhetsmål."
"Economic independence for women is a necessity if it is to be possible to achieve true equality.", "Ekonomiskt oberoende för kvinnor är en nödvändighet om verklig jämställdhet skall kunna uppnås."
"The rapporteur lists different measures which need to be taken in order to achieve equality between women and men.", "Föredraganden tar upp olika åtgärder som behöver vidtas för jämställdheten."
"We are all aware that we should be striving to achieve equality between citizens, which is quite another matter.", "På det hela taget anser jag att prioriteringarna i kommissionens handling är förnuftiga."
"We do not accept, however, that the imposition of legal quotas is the way to achieve equality of treatment.", "Vi anser dock inte att ett införande av lagenliga kvoter är ett sätt att uppnå likabehandling."
"More radical action is needed in order to achieve wage equality and to eliminate labour segregation.", "Jag hävdar att det krävs mer radikala åtgärder för att utjämna lönerna och eliminera yrkessegregationen."
"On the contrary, I believe that the disability programme can help to achieve the goal of equality of opportunity.", "Tvärtom tror jag, att handikapprogrammet kan bidra till att målet med lika möjligheter uppnås."
"By all of us persisting, men and women, we should achieve genuine equality between men and women.", "Om vi alla män och kvinnor fortsätter att kämpa bör vi kunna uppnå verklig jämställdhet mellan män och kvinnor."
"Our objective is to achieve full equality where this is possible and where this is essential, in other words - everywhere.", "Vårt mål är att nå fullständig jämlikhet där detta är möjligt och viktigt, det vill säga överallt."
"How can we achieve equality without laws?", "Hur skall man göra för att skapa jämställdhet utan lagar?"
"How are we going to achieve gender equality?", "Hur skall vi göra för att få jämlikhet mellan könen?"
"We are all aware that we should be striving to achieve equality between citizens, which is quite another matter.", "Vi är alla medvetna om att vi bör eftersträva att uppnå jämlikhet mellan medborgarna, vilket är något helt annat."
"Hence work to achieve equality is just as important for all women, in all the different environments and situations of life.", "Därför är jämställdhetsarbetet lika viktigt för alla kvinnor i alla olika miljöer och livssituationer."
"Let us stay on track so that it does not take another 100 years to achieve true gender equality.", "Vi måste fortsätta på samma sätt, så att det inte tar ytterligare hundra år att uppnå verklig jämställdhet mellan kvinnor och män."
