//Sentences
"However, it also seems to be about widening the scope for genetic manipulation.", "Det visar sig dock också handla om en förstärkning av möjligheterna till genetisk modifiering."
"The preparatory work needs to be done to move quickly once that five years has expired.", "Man måste vara förberedd och klar för att kunna agera snabbt när de fem åren har gått."
"Therefore, much work needs to be done in order to further simplify the rules.", "Därför behövs det göras mycket för att ytterligare förenkla reglerna."
"A great deal of costly work needs to be done; more to the point, a long-term strategy is needed.", "Det krävs mycket arbete och mycket möda - och framför allt en långsiktig strategi."
"The work needs to be done by the Commission, the Council and Parliament.", "Detta arbete måste utföras av kommissionen, rådet och parlamentet."
"We recognise, of course, that further work needs to be done on this question.", "Vi inser givetvis att det krävs ytterligare arbete i frågan."
"In this sector also more work needs to be done, because there is a blatant lack of coordination.", "På detta område återstår också mycket att göra, för bristen på samordning är påfallande."
"More work needs to be done before we have a coherent European approach to narcotics policy.", "Således återstår åtskilligt arbete för att nå fram till en sammanhållen europeisk drogpolitik."
"More work needs to be done regarding the twin evils of long-term unemployment and social deprivation.", "Mera arbete måste göras åt de två onda tingen långtidsarbetslöshet och social misär."
"I therefore believe that some serious legal work needs to be done.", "Jag anser därför att allvarliga rättsliga åtgärder måste vidtas när det gäller den här frågan."
"This an important step along the way, but more work needs to be done.", "Det är ett viktigt steg på vägen, men vi behöver göra mer."
"In that connection, more work needs to be done on Mr Zappalà's report.", "Därmed krävs mer arbete med Stefano Zappalàs betänkande."
"So I welcome the Commission initiative and Mr Ehler's report but further work needs to be done.", "Jag välkomnar alltså kommissionens initiativ och Christian Ehlers betänkande, men arbetet måste fortsätta."
"If any further work needs to be done, I am sure the Commission is very willing to cooperate.", "Om eventuellt ytterligare arbete måste göras, är jag säker på att kommissionen är mycket villig att samarbeta."
"It has already been modified, but more work needs to be done.", "De har redan ändrats, men det återstår arbete att göra."
"A lot of work needs to be done before we can aspire to earning the headline of being a development round.", "Mycket återstår att göra innan vi kan aspirera på att vinna rubriker för att utgöra en utvecklingsrunda."
"More work needs to be done on the consolidation of democracy.", "Mer arbete krävs för att konsolidera demokratin."
"New work patterns were introduced abruptly, and the group became over-centralised.", "Nya arbetssätt infördes plötsligt och koncernen blev övercentraliserad."
"We have to look at employability in relation to work patterns.", "Vi måste betrakta anställningsbarheten i relation till arbetsmönster."
"I use that phrase because you, Mr President, used the phrase 'work patterns' rather than 'a shorter working week' .", "Jag använder det uttrycket eftersom ni, herr ordförande, använde uttrycket "arbetsmönster" snarare än "en kortare arbetsvecka" ."
"I use that phrase because you, Mr President, used the phrase 'work patterns ' rather than 'a shorter working week '.", "Jag använder det uttrycket eftersom ni, herr ordförande, använde uttrycket " arbetsmönster " snarare än " en kortare arbetsvecka "."
"Currently it is women who have the low paid jobs, who work within the public sector, who have part time jobs and atypical work patterns.", "Det är i dag kvinnorna som har låglönejobb, arbeten inom den offentliga sektorn, deltidsarbeten och atypiska arbeten."
"It is also sensible to demand that these services adapt to more flexible work patterns and better adapt to new requirements and changing conditions.", "Det är också förnuftigt att kräva att dessa tjänster anpassas till mer flexibla arbetsmönster och bättre anpassas till nya krav och föränderliga villkor."
". - The European Globalisation Adjustment Fund is instrumental in alleviating the strains on workers that result as a consequence of changes in global work trade patterns.", "skriftlig. - (EN) Europeiska fonden för justering för globaliseringseffekter bidrar till att lindra de påfrestningar för arbetstagarna som är en följd av förändringarna inom världshandeln."
"The task now is to capitalise on this, to make the other world powers join us.", "Uppgiften är nu att utnyttja detta för att få de andra världsmakterna att ansluta sig."
"Europe has many aces up its sleeve, particularly as one of the world's leading trading powers.", "EU har många ess i rockärmen, framför allt som en av världens ledande handelsmakter."
"Furthermore, international cooperation is not an exercise in competition between possible world powers.", "Vidare är internationellt samarbete inte en övning i konkurrens mellan möjliga världsmakter."
"Europe is still behind in the technology race with the USA, Japan and other new world powers.", "Europa ligger fortfarande efter i den tekniska kapplöpningen med USA, Japan och andra nya världsmakter."
"The social dimension is what most distinguishes Europe from other world powers such as the United States or China.", "Den sociala dimensionen är det som främst skiljer EU från andra världsmakter som USA eller Kina."
"The EU, the US and other world powers need to act.", "EU, USA och andra världsmakter måste agera."
"Economic and trade policy determine more than ever the political actions of the two world powers.", "Den ekonomiska politiken och handelspolitiken påverkar det politiska skeendet i de båda världsmakterna mer i dag än det gjorde förr."
"Europe is not a world power, but it does have a world power’s responsibility, and that responsibility we have to be able to live up to.", "EU är ingen stormakt, men det har en stormakts ansvar, och detta ansvar måste vi kunna leva upp till."
"Research and development accounts for an increasingly lower share of the Union's GNP than in the other world economic powers.", "Forskning och utveckling svarar för en allt mindre andel av unionens BNP än i de andra ekonomiska stormakterna i världen."
"There is no question, however, of the world powers spending even a fraction of these sums on improving the life of the people.", "Men för stormakterna är det inte tal om att lägga ned ens en del av dessa pengar på att göra befolkningens liv lite lättare."
"At the end of the day, the dispute at your summit was about the division of power in Europe, which the world powers have long disregarded.", "Till slut gällde diskussionen vid ert toppmöte uppdelningen av makten i Europa, som världsmakterna länge har satt sig över."
"The nations of Central Asia have attracted attention from the world's economic powers primarily on account of their natural resources.", "Länderna i Centralasien har tilldragit sig uppmärksamhet från världens ekonomiska världsmakter främst på grund av sina naturresurser."
"We are now dealing with major world powers: China, India, too, in other areas with its software industry, Brazil when it comes to sugar.", "Nu har vi att göra med stormakter som Kina, och även Indien inom andra områden med deras mjukvaruindustri, och Brasilien när det gäller socker."
"Today, we are well placed to pursue European interests in the partnerships and in the relations with our allies and the world's other great powers.", "I dag ligger vi väl till för att främja europeiska intressen i partnerskap och förbindelser med våra allierade och världens andra stormakter."
"The blame also lies with the major world powers and their leaders, who are trying to lay the blame for supplying weapons or profiteering on each other.", "De stora världsmakterna och deras ledare, som försöker lägga skulden för vapenleveranser och exploatering på varandra, är också skyldiga."
"Secondly, the European Union must start discussions again with the United States, as part of a transatlantic leadership, and with other leading world powers.", "För det andra måste EU återuppta samtalen med USA, som en del av ett transatlantiskt ledarskap, och med andra ledande världsmakter."
"There is stiff competition between the world's great powers over who is to have the lion's share in managing and exploiting these resources.", "Det finns en hård konkurrens mellan världens stormakter när det gäller vem som ska ha lejonparten i förvaltningen och utnyttjandet av dessa resurser."
"The most fundamental of these is the long-term and wide-ranging exploitation of developing countries by a number of world powers, including European countries.", "De svagaste bland oss skall dock inte förses med bistånd som bara är hyckleri i form av moraliskt förfall, preventivmedel och abort."
"The share of the EU's GNP accounted for by investment in research and development is still significantly lower than that of the other world economic powers.", "Den andel av EU:s BNP som investeras i forskning och utveckling är fortfarande betydligt lägre än de i de andra ekonomiska världsmakterna."
"Former world powers, in particular, obviously find their nuclear weapons much more attractive than an ambitious European policy for nuclear disarmament.", "Tidigare världsmakter anser uppenbarligen att deras kärnvapen är mycket attraktivare än en ambitiös europeisk politik för nedrustning av kärnvapen."
"She notes that the audiovisual media have an edge over the written press.", "Hon konstaterar att de audiovisuella medierna har ett försprång före den skrivande pressen."
"In my country the written press is controlled by four large concerns.", "I mitt land är den skrivna pressen i händerna på fyra stora koncerner."
"Concerning the written press, the competences of the EU are substantially more limited.", "När det gäller pressen är EU:s behörighet avsevärt mer begränsad."
"This kind of reporting is not really of much use at all to the written press.", "Detta gör att den skrivna pressen inte bryr sig om att ägna sig åt denna typ av nyhetsrapportering."
"With consultation and forethought new technologies can offer opportunities for the written press as well.", "Genom att tänka med och framåt kan ny teknologi ge nya möjligheter, även för den skrivande pressen."
"The existence of an independent and competitive audiovisual and written press sector is fundamental.", "Förekomsten av en oberoende och konkurrenskraftig sektor för audiovisuell och skriftlig press är grundläggande."
"We could also consider including the press, particularly the written press which should be supported and encouraged.", "Man kan också tänka sig pressen, i synnerhet den skriftliga pressen, som bör stödjas och uppmuntras."
"The government is in danger of interfering in the new technologies, which was much less likely with the written press.", "Myndigheterna hotar att gripa in vid nya tekniker, vilket tidigare skedde mycket mindre vid den tryckta pressen."
"I cannot account for the press; the days when I could account for what was written in the press have long since passed behind me.", "Jag kan inte svara för pressen; det är mycket länge sedan som jag kunde svara för vad som skrivs i pressen."
"Europe's media companies, including the written press, must be strong enough to withstand competition at global, international level.", "EU:s medieföretag, inklusive den tryckta pressen, måste vara starka nog att stå emot konkurrensen på en global, internationell nivå."
"After this incident alone, how can any reasonable person believe for one moment anything that is written in a press release by BNFL?", "Hur kan någon vettig människa efter denna incident ens för ett ögonblick tro på någonting som står skrivet i ett pressmeddelande från BNFL?"
"Nevertheless, the Commission is worried about the consequences of development of new information technologies for the equilibrium of the written press.", "Kommissionen är inte desto mindre oroad för den nya informationsteknikens konsekvenser för den skrivna pressens stabilitet."
"I think particularly of the specific initiatives which you envisage to guarantee the originality, the role and the permanence of the written press.", "Jag tänker särskilt på de konkreta initiativ ni föreslår för att trygga den skrivna pressens originalitet, roll och beständighet."
"There is an interesting conclusion in the Daskalaki report, namely that the regional written press has managed to hold its own very well.", "I Daskalakis betänkande görs ett intressant fastställande, nämligen att den skrivna regionala pressen kan hålla sig flytande alldeles utmärkt."
"Nevertheless, in the EU institutions and, in particular, the European Commission, we have always flanked the development of the written press across the EU.", "Men inom EU-institutionerna, och i synnerhet inom Europeiska kommissionen, har vi alltid understött pressens utveckling inom EU."
"There is thus no EU legislation specifically on the written press, nor can there be legislation under the treaties as they stand.", "Det finns alltså ingen EU-lagstiftning som specifikt avser pressen, och inte heller går det att ha någon sådan lagstiftning inom ramen för fördragen i deras nuvarande utformning."
"Such a programme would, in difficult times for the written press, allow journalists to work for a limited time with editorial staff in other Member States.", "Ett sådant program skulle, när det är svåra tider för pressen, göra det möjligt för journalister att under en begränsad tid arbeta med redaktionspersonal i andra medlemsstater."
"We financed five components of the media: TV, radio, the internet, support for the independent written press and the training of journalists over the next 24 months.", "Vi har finansierat fem områden inom media: tv, radio, Internet, stöd till den oberoende tryckta pressen och utbildning av journalister under de kommande 24 månaderna."
"On the one hand, the essential role of the written press for the functioning of democracy, for pluralism, for human rights, as Mrs Soltwedel-Schäfer very rightly commented just now.", "Å ena sidan den skrivna pressens avgörande roll för demokratin, för pluralismen och för mänskliga rättigheter, vilket fru Soltwedel-Schäfer alldeles nyss påpekade."
"This Parliament's reputation with the press is excellent, because for the past twenty years, Parliament has managed to issue press releases for the written press twice a day.", "Parlamentet har ett mycket gott rykte hos pressen, eftersom parlamentet under tjugo år har lyckats med att två gånger om dagen gå ut med pressmeddelanden till den skrivna pressen."
"Surely not another lost decade focusing on the wrong kind of reforms?", "Låt oss slippa ännu ett förlorat årtionde då vi inriktar oss på fel reformer."
"But we must not fall into the trap of a wrong kind of belief in progress.", "Dock får vi inte trampa i fällan och göra oss en falsk bild av framtiden."
"I do not know whether they are right or wrong, but this kind of leak must not be allowed to happen.", "Jag vet inte om de är rätt eller fel, men sådana här läckor får inte förekomma."
"If they found a paper which had the wrong kind of thought, they could track down who created that thought.", "Om de hittade ett papper som hade fel idéer så kunde de spåra vem som hade skrivit ner de idéerna."
"Those who lived in them were of the 'wrong kind' .", "De som bodde i dem var ju av " fel sort" ."
"Those who lived in them were of the 'wrong kind '.", "De som bodde i dem var ju av " fel sort "."
"The wrong kind of intervention at EU level can compromise an otherwise noble objective, as in all areas where subsidiarity should be upheld.", "Slutsatsen är att EU inte har någon allmän behörighet i fråga om vilda djurs välbefinnande."
"What is it about the wrong kind of man?", "Varför faller jag alltid för fel män?"
"By failing to produce a budget, the Union is sending out the wrong kind of message to its future members and its external partners.", "Genom att inte lyckas få fram en budget sänder unionen ut fel budskap till sina framtida medlemmar och externa partner."
"The wrong kind of intervention at EU level can compromise an otherwise noble objective, as in all areas where subsidiarity should be upheld.", "Fel sorts ingripande på EU-nivå kan äventyra ett i övrigt vällovligt mål, precis som inom alla områden där subsidiariteten bör upprätthållas."
"We're the wrong kind.", "Vi är av fel sort."
"They arise as a result of the wrong kind of command structures, but also when the necessary equipment is not available for specific operations.", "De uppkommer till följd av fel typ av kommandostrukturer men även när den utrustning som behövs inte finns tillgänglig för vissa operationer."
"Commissioner, in your career, you frequently chose the wrong fight but, kind soul that I am, I will not ultimately hold this against you too much.", "I er karriär, herr kommissionsledamot, har ni ofta valt fel strid, men som den hederliga människa jag är vill jag inte alltför mycket lägga er det till last så här i slutskedet."
"I objected to Mr Bolkestein because he is an ideologist of the wrong kind of Europe, although I have always taken his qualities as politician completely seriously.", "Jag hade invändningar mot Frits Bolkestein eftersom han är en ideolog för fel slags EU, även om jag alltid har tagit hans kompetens som politiker på fullaste allvar."
"We must be careful, however, not to send out the wrong kind of message to our allies: human rights must be defended whether or not there is any oil in the picture.", "Vi måste dock vara noggranna med att inte skicka fel budskap till våra allierade: mänskliga rättigheter måste försvaras oavsett om det finns olja med i bilden eller ej."
"At all events, our amendments are aimed at reducing the risk of this export of boats destroying sea beds and the local economy and damaging fish stocks with the wrong kind of equipment.", "Med våra ändringsförslag försöker vi i alla fall minska risken för att denna export av båtar skall förstöra havsbottnar och den lokala ekonomin och skada fiskebestånden med fel utrustning."
"The market, however, needs to stimulate the growth of electronic commerce, and too much regulation or the wrong kind of regulation might nip the potential of electronic commerce in the bud.", "Marknaden bör dock stimulera tillväxten för den elektroniska handeln, men överflödig lagstiftning eller felaktig lagstiftning kan kväva den elektroniska handelns potential i sin linda."
"The 'Swiss Life'sentiment, where pensions are concerned, awakens a feeling of unease in me, typified by the call for a wrong kind of solidarity and a lack of cooperation between the Member States.", "Känslan av att " leva i Schweiz " ger mig en obehagskänsla när det gäller pensioner, en känsla som kännetecknas av ropen på fel sorts solidaritet och en brist på samarbete mellan medlemsstaterna."
"I would ask the Commission to watch this space very carefully.", "Jag vill uppmana kommissionen att noga bevaka detta område."
"So you've got to watch your space for that.", "Så ni vet vad som väntar."
"Watch this space.", "Följ den vidare utvecklingen."
"When the question of form is raised, we are told we need to talk about policy.", "När en formfråga tas upp, får vi höra att vi måste tala om politik i stället."
"We need to talk to teachers and parents and school board members and politicians.", "Vi behöver prata med lärare och föräldrar och skolans styrelseledamöter och politiker."
"We need to talk, too, very openly about the whole issue of the mixing of animal feeds.", "Vi behöver också vara mycket öppna när det gäller hela frågan om blandning av foder."
"This subject is so important that we need to talk about it at other times as well.", "Den här frågan är så viktig och vi måste ta upp den vid fler tillfällen."
"We need to talk about the merits and closely monitor the implementation of the reforms.", "Vi måste lyfta fram de positiva resultaten och noga övervaka genomförandet av reformerna."
"We need to talk ' cause this book is making a lot of sense to me and I want --", "Vi måste prata för den här boken är riktigt vettig och jag vill.."
"When the question of form is raised, we are told we need to talk about policy.", "Ett av de största problemen just nu är att Ekofin i sin helhet inte har någon gemenskapskultur."
"It is precisely because it is difficult that we need to talk about it.", "Det är just för att den är så svår att tala om som vi måste tala om den."
"For this reason, we need to talk about this - and talk about it meaningfully - with all the stakeholders.", "Av detta skäl måste vi ha ett ingående samtal om detta med alla intressenter."
"At EU level we need to talk primarily about coordinating and gathering knowledge for our strategic policy.", "På EU-nivå måste vi främst tala om att samordna och samla kunskap för vår strategiska politik."
"I believe that we need to talk and to support dialogue.", "Jag tror att man måste prata och att man måste stödja dialogen."
"Most of all, however, before we talk about resources, we need to talk about the use of these resources.", "Innan vi börjar tala om resurser är det ännu viktigare att vi diskuterar hur dessa resurser ska användas."
"I should tell Manfred we need to talk about you.", "Jag kan gå till Manfred och säga att vi måste snacka om dig."
"Against this background, then, we need to talk about costs, since that is what our debate is focusing on today.", "I detta sammanhang måste vi även tala om kostnaderna, eftersom det är vad vår debatt handlar om i dag."
"We need to talk about the facts, the political extremism we are witnessing at the present time in the European Union.", "Vi måste tala om fakta, om den politiska extremism som vi bevittnar just nu i Europeiska unionen."
"However, we need to talk about more than the substance.", "Men vi behöver tala om mer än innehållet."
"Perhaps we need to talk to them again about this.", "Kanske behöver vi tala med dem igen om detta."
"In other words, we need to talk with each other.", "Det innebär att vi måste tala med varandra."
"We need to talk to the government as a whole.", "Vi måste tala till regeringen som en enhet."
". - (PL) Mr President, growing extremism in Europe is a fact, and we need to talk about it.", "för UEN-gruppen. - (PL) Herr talman! Den växande extremismen i Europa är ett faktum och något som vi måste diskutera."
"The concerns expressed by the European Parliament about Tibet are widely shared.", ". (EN) Den oro Europaparlamentet uttrycker för Tibet delas av många."
"The wish to be and to stay healthy is probably the most widely shared one.", "Att vara frisk och förbli frisk är förmodligen den önskan som delas av flest människor."
"I am delighted that this indignation is widely shared in this House as well.", "Det gläder mig att denna indignation är utbredd här i kammaren också."
"The concerns expressed by the European Parliament about Tibet are widely shared.", "Den oro Europaparlamentet uttrycker för Tibet delas av många."
"Much more needs to be done, especially to ensure that this cultural heritage is shared as widely as possible.", "Mycket mer återstår att göra särskilt för att se till att detta kulturarv delas av så många som möjligt."
"This view is also widely shared within the Council.", "Denna synpunkt delas också av många inom rådet."
"It now therefore looks like a widely shared political aspiration is set to wind up in the cogs of Parliament's budget machinery.", "En politisk önskan som har brett stöd inom parlamentet riskerar nu att hamna i parlamentets budgetmaskineri."
"The belief that the multilateral system must now, more than ever, be an essential part of growth and prosperity is widely shared.", "Många delar övertygelsen att det multilaterala systemet mer än någonsin måste utgöra en central beståndsdel för tillväxt och välstånd."
"Indeed, this is a subject for which, in the end, the major, widely shared preoccupation must be the effective implementation of the text, in addition to the text itself.", "Det viktigaste när det gäller denna fråga måste naturligtvis vara att texten genomförs effektivt."
"The Commission's communication recommends that experience should be more widely shared, a high-level group formed and benchmarking introduced.", "Kommissionens meddelande förordar ett ökat erfarenhetsutbyte samt att en högnivågrupp bildas och att benchmarking skall ske."
"The Commission' s communication recommends that experience should be more widely shared, a high-level group formed and benchmarking introduced.", "Kommissionens meddelande förordar ett ökat erfarenhetsutbyte samt att en högnivågrupp bildas och att benchmarking skall ske."
"I am obviously expressing my personal opinion, but I believe that it is widely shared in Parliament, something which we will be able to verify tomorrow in the vote.", "På samma sätt som aids-mediciner symboliserar genombrottet i Doha, symboliserar bomull misslyckandet i Cancún."
"Based on the consultations I have had with stakeholders in recent months, it is my clear impression that this view is widely shared.", "Utifrån de samråd jag har haft med olika aktörer under de senaste månaderna har jag ett klart intryck av att denna uppfattning delas av många."
"Your paper talks about an initiative - and I quote - 'to ensure that the benefits of growth and jobs are widely shared'.", "I ert dokument talas det om ett initiativ som ska garantera - och jag citerar - ”att fördelarna av ökad tillväxt och sysselsättning kommer många till del”."
"We have to admit that our Swiss neighbours have expressed concern for environment, which is now widely shared in all the Alpine areas involved.", "Låt oss erkänna att våra schweiziska vänner har gett uttryck för en miljömedvetenhet, som i dag är mycket utbredd i alla berörda alpinska regioner."
"This is an expectation widely shared by developing country parties to the convention, many of which see it as their top priority.", "Detta är någonting som de utvecklingsländer som är parter till konventionen till stor del förväntar sig. För många av dem är det en fråga som har högsta prioritet."
"The own-initiative report offers useful and widely shared suggestions for achieving the aim of an agricultural sector that combines quality and competitiveness.", "Initiativbetänkandet innehåller användbara förslag till hur man kan skapa en jordbrukssektor som kombinerar kvalitet och konkurrenskraft."
"We were not convinced about the necessity to have a specific directive on sports foods and I am glad to see that view is widely shared here today.", "Vi är inte övertygade om behovet att införa ett särdirektiv för livsmedel för idrottsmän och det gläder mig att denna åsikt till stor del delas här i dag."
"But most of our proposals concern the Commission and take into account the diagnosis I have just offered, which I believe to be widely shared.", "I huvudsak avser våra förslag kommissionen. De tar hänsyn till den diagnostik som jag just har beskrivit och som jag tror att de allra flesta kan skriva under på."
"I share what I suspect is his concern that this prosperity is not always as widely shared as we would wish to see it within the European Union and its Member States.", "Jag delar vad jag tror är hans åsikter om att välståndet inte alltid är så brett fördelat som vi skulle vilja se inom Europeiska unionen och dess medlemsstater."
