//Sentences
"Turkey is in a position to make it clear that integration within the European Union is possible.", "Turkiet är i en ställning som tydligt visar att en integration med EU är möjlig."
"At the end of 1998, the Commission proposed a Community action programme with a view to promoting the integration of refugees within the Union.", "I slutet av 1998 föreslog kommissionen ett handlingsprogram för gemenskapen med syftet att integrera flyktingarna i unionen."
"At the end of 1998, the Commission proposed a Community action programme with a view to promoting the integration of refugees within the Union.", ". (FR) I slutet av 1998 föreslog kommissionen ett handlingsprogram för gemenskapen med syftet att integrera flyktingarna i unionen."
"The Commission's communication on strengthening environmental integration within Community energy policy is very welcome in view of its realistic approach to the question.", "Låt mig börja med att gratulera herr Chichester till utarbetandet och framläggandet av detta betänkande."
"One group is devoting itself to integration within the Union work and the other to the matter of what form the cooperation with Norway and Iceland is to take.", "En grupp ägnar sig åt integrering i unionsarbetet, den andra åt frågan hur samarbetet med Norge och Island skall se ut."
"In my opinion, if we are to exit the crisis then we need greater economic integration within Europe, not additional sanctions or restrictions.", "Jag anser att vi, om vi ska ta oss ur krisen, behöver mer ekonomisk integration i Europa, inte ytterligare sanktioner eller begränsningar."
"Those who talk about broader political integration within the Union take for granted that the ratification of the Treaty of Nice is a done deal.", "De som talar om en bredare politisk integration inom unionen tar för givet att ratificeringen av Nicefördraget redan är klappad och klar."
"A region-to-region agreement with Mercosur would also serve as an instrument to support an integration effort within Mercosur and Latin America.", "Ett interregionalt avtal med Mercosur skulle också fungera som ett verktyg för att stödja integrationsarbetet inom Mercosur och Latinamerika."
"As the European Community Treaty acknowledges, political parties at European level are an important factor for integration within the Union.", "Liksom medges i fördraget om upprättande av Europeiska gemenskapen är politiska partier på EU-nivå en viktig faktor för integrationen inom unionen."
"The Commission intends to maintain its support to the Colombian people through ECHO.", "Kommissionen har för avsikt att fortsätta ge stöd till det colombianska folket genom ECHO."
"I welcome the Commission's proposal, which intends to maintain the 2010 Employment Guidelines in 2011.", "Jag välkomnar kommissionens förslag, vars syfte är att låta 2010 års sysselsättningsriktlinjer gälla även under 2011."
"Taking this success into account, the Commission intends to maintain the fundamental principles of this liberalised market.", "Med hänsyn till denna framgång avser kommissionen att behålla de grundläggande principerna för denna avreglerade marknad."
"The Commission intends to maintain its leadership role in driving towards an integrated EU financial services market.", "Kommissionen har för avsikt att upprätthålla sin roll som ledande drivkraft mot en integrerad EU-marknad för finansiella tjänster."
"The Commission intends to maintain this objective, and we are also convinced, as the proposed regulation to the Commission suggests, that the 108 % clause should be eliminated.", "Kommissionen tänker behålla detta mål och vi är likaså övertygade om att bestämmelsen om 108 procent bör avskaffas, enligt förslaget till förordning till kommissionen."
"These are good figures, but of course they can only ever be an interim stage.", "Detta är bra siffror, men de är naturligtvis bara tillfälliga."
"This directive is, of course, an interim stage, but I believe that it is a step in the right direction.", "Detta direktiv är naturligtvis ett mellansteg, men jag tror att det är ett riktigt mellansteg."
"So we have introduced an interim stage this year.", "Därför har vi infört ett mellansteg för i år."
"The others are not there yet, we are at the stage of interim agreements while the fundamental approach has been regional integration.", "De övriga är inte på plats ännu, det vi har är interimsavtal samtidigt som den grundläggande strategin har varit regional integration."
"The committee recognises that this is an interim stage and looks forward to reports from the Commission on environmental impact, traceability and pasturing techniques.", "Utskottet inser att det här är ett övergångsskede och ser fram emot rapporter från kommissionen om miljökonsekvenser, spårbarhet och betestekniker."
"After all, the fight against drug use is, by definition, an international phenomenon.", "Kampen mot dopning är när allt kommer omkring per definition ett internationellt fenomen."
". – Mr President, migration is an international phenomenon.", ". – Herr talman! Migration är ett internationellt fenomen."
"Organized crime has adopted increasingly sophisticated methods and has increasingly become an international phenomenon.", "Organiserad brottslighet har tagit till sig alltmer sofistikerade metoder och har i allt högre grad blivit ett internationellt fenomen."
"We must realise that terrorism is becoming an international phenomenon and that greater political commitment is needed to oppose this unwelcome development.", "Vi måste inse att terrorismen håller på att bli internationell och att det fordras ett starkt politiskt engagemang för att stå emot denna negativa utveckling."
"First, we need to work towards a genuine single market for investment products.", "För det första behöver vi arbeta mot en genuin inre marknad för investeringsprodukter."
"We can only accept investment in products which are profitable under market conditions.", "Vi kan endast godkänna investeringar i produkter som är lönsamma på marknadens villkor."
"We are well aware of the gradual slippage of investment products.", "Vi är väl medvetna om investeringsprodukternas successiva glidning."
"Harmonised yet competitive listings guarantee a diversity of investment products.", "De harmoniserade och ändå konkurrensutsatta börsnoteringssystemen garanterar mångfald av investeringsprodukter."
"Turning first to retail investment products.", "Jag börjar med investeringsprodukter som riktar sig till privatpersoner och mindre företag."
"Another theme that features strongly in the report is regulatory arbitrage between different families of investment products.", "Ett annat ämne som är starkt framträdande i betänkandet handlar om tillsynsarbitrage mellan olika typer av investeringsprodukter."
"I am convinced that competition between retail investment products can deliver real benefits for consumers.", "Jag är övertygad om att konkurrensen mellan investeringsprodukter som riktar sig till privatpersoner och mindre företag kan skapa verkliga fördelar för konsumenterna."
"Is it really fair to see European banks offer their customers investment products that speculate on the rise in commodity and food prices?", "Är det verkligen rätt att Europeiska banker erbjuder sina kunder investeringsprodukter som spekulerar i ris som vara och livsmedelspriser?"
"I would also like to see investment in new products in innovative manufacturing sectors as a means of promoting regional development.", "För att främja den regionala utvecklingen pläderar jag för investeringar i samma utsträckning i nya produkter på det innovativa producerande området."
"The obligation to seek out the best deals for clients, as well as low transaction costs and investment products suitable for the client fades into the background.", "Skyldigheten att söka den bästa lösningen för kunden, liksom låga transaktionskostnader och investeringsprodukter som passar kunden får träda åt sidan."
"Another good thing is that the report refers to hedge funds and private equity, because more and more asset managers are investing in alternative investment products.", "Positivt är också att man i betänkandet tar upp hedgefonder och riskkapitalfonder, eftersom allt fler förvaltare investerar i alternativa investeringsprodukter."
"However, we need to be confident that the sale of all investment products is accompanied by a high level of product disclosure and a point-of-sale discipline.", "Vi måste emellertid vara säkra på att försäljningen av alla investeringsprodukter åtföljs av ett offentliggörande av produktinformation och regler för försäljningsstället."
"Mr Klinz has incorporated much of what I consider to be vitally important, such as diversification into new investment products and techniques with reasonable security at a common-sense level.", "Wolf Klinz har införlivat mycket av det som jag anser är avgörande, och som exempel kan nämnas en mångfald av nya investeringsprodukter och skäligt säker teknik på en förnuftig nivå."
"It should be remembered that we are speaking about innovative investment products offering highly attractive benefits, which means that they will be welcomed and encouraged by the market.", "Man bör komma ihåg att vi diskuterar mycket innovativa investmentprodukter som erbjuder mycket attraktiva fördelar, vilket betyder att de kommer att välkomnas och uppmuntras av marknaden."
"ProViking invites you to a day in which research results from ProViking activities are presented.", "Proviking inbjuder till en dag där forskningsresultat från Provikings verksamhet presenteras."
"This is what the treaty invites you to do, and this is the matter on which we expect positive signs from you.", "Det är vad ni enligt fördraget uppmanas till, det är beträffande detta som vi förväntar oss positiva signaler från er."
"But it can make a contribution, and this is what the Treaty invites you to do, and what we invite you to do.", "Det kan så vara, men den kan bidra till detta och det är vad ni enligt fördraget uppmanas att göra och det är också vad vi uppmanar er att göra."
"You are a courteous, tolerant, nice person when one meets you in private, when one invites you to lunch: you understand the other person's arguments.", "Ni är en artig, tolerant, trevlig person när man träffar er privat, när man bjuder er på lunch. Ni förstår den andra personens argument."
"Luleå University of Technology invites you to the 3rd International Tribology Symposium of IFToMM in Luleå, Sweden March 19-21, 2013 Read more »", "Luleå University of Technology invites you to the 3rd International Tribology Symposium of IFToMM in Luleå, Sweden March 19-21, 2013 Läs mer »"
"Now, the new management of the circus invites you to forget...... this good, wholesome fun...... and join us in a celebration of absolute chaos...... and true jesters!", "Cirkusens nya ledning ber er glömma... alla dessa sunda lustigheter... och vara med och fira absolut kaos... och äkta skoj!"
"Given the many irritated Dutch reactions, this remark really hit home.", "Med tanke på de många irriterade reaktionerna i Nederländerna träffade det mitt i prick."
"Madam President, I was rather irritated by two remarks that the President-in-Office of the Council made.", ". Fru talman! Jag blev ganska irriterad över två saker som rådets ordförande sade."
"That is presumably why some Members were a little irritated.", "Det är antagligen därför några ledamöter var lite irriterade."
"But we are somewhat irritated with last minute action.", "Men vi är något irriterade över insatser som görs i sista minuten."
"He is not always against it and it is safe to make minor observations like that without getting irritated!", "Han försvarar den inte alltid: man kan väl få göra små kommentarer utan att man hetsar upp sig!"
"All that achieves is an irritated sneer in Moscow.", "Allt det leder till är ett irriterat hånleende i Moskva."
"Mr President, I am beginning to get irritated.", "Herr ordförande! Nu blir jag snart irriterad."
"I was somewhat irritated about this, because no buses operate without drivers.", "Jag tycker att vi har missat ett strålande tillfälle att främja hållbar utveckling och en förbättrad livskvalitet för denna och kommande generationer."
"Mr President, I find myself particularly irritated by the sections about Kosovo in Mr Lagendijk's substantial report.", "Herr talman! Vad som framför allt har stimulerat mig i Lagendijks grundliga betänkande är de avsnitt som handlar om Kosovo."
"And it was such a good trompe l'oeil that people got irritated when they tried to talk to the woman and she wouldn't respond.", "Och det var en sån skicklig trompe l´oil att folk blev irriterade när de försökte prata med kvinnan och hon inte svarade."
"I believe, once again, that they deserve such tribute, even though there is good reason to be irritated by the behaviour of the press.", "Även om det finns goda skäl att irriteras över hur pressen beter sig anser jag än en gång att de förtjänar att hyllas."
"I believe, once again, that they deserve such tribute, even though there is good reason to be irritated by the behaviour of the press.", "Låt mig nämna ett annat namn här i kammaren, ett som jag tror förekommer i nyheterna: namnet på den senast dödade journalisten."
"Now I am slightly irritated.", "Nu är jag lätt irriterad!"
"I can understand how the Commission might be rather irritated by the way the Council sometimes approaches the issue of enlargement.", "Jag kan förstå att man inom kommissionen kanske är lite irriterad över det sätt på vilket rådet emellanåt förhåller sig till utvidgningen."
"The roads are not going to become safer and better if those who drive heavy goods vehicles are not alert and wide awake but tired and irritated.", "Inte blir trafikmiljöerna säkrare och bättre om de som kör de tunga fordonen inte är pigga och vakna utan trötta och irriterade."
"A mass influx of this sort would simply create new tensions between the Serbs, who are understandably irritated at present, and these minorities.", "En massinströmning av det slaget skulle bara skapa nya spänningar mellan dessa minoriteter och serberna, som fullt förståeligt är irriterade just nu."
"It is therefore essential, in my opinion, that the Community should adhere to a long-term strategy and not let itself be irritated by short-term problems.", "Jag anser därför att det är absolut nödvändigt att gemenskapen följer ett långfristigt perspektiv och inte låter sig irriteras av kortfristiga problem."
"We were all irritated that the Commissioner was not here but, by the same token, we all welcome the fact that he has come straight from the Commission meeting.", "Vi var alla irriterade över att kommissionären inte fanns här, men välkomnade ändå det faktum att han kom hit direkt från kommissionens sammanträde."
"Even yesterday, I found myself considerably irritated when I listened to Russian and Ukrainian counterparts declaring here that they were certainly not at fault.", "Så sent som i går blev jag mycket irriterad när jag lyssnade till de ryska och ukrainska parter som förklarade att detta minsann inte är deras fel."
"On the place of meeting, there are irritated nationalists in every country, but there are also reasonable Europeans, more than one would think.", "En hänvisning till arbetsordningen, artkel 11, plats för sammanträden. Det finns upphettade nationalister i alla länder, men också förnuftiga européer och fler än man tror."
"Roma were already present in Europe when the European nation states were established.", "Romerna fanns redan i Europa när de europeiska nationalstaterna grundades."
"It is already present in Italy and along the French-Italian border, in the Roya valley.", "Den finns redan i Italien och vid den fransk-italienska gränsen i Royadalen."
"Since Mr Prodi is already present, I shall give him the floor first, if he is in agreement.", "Eftersom Prodi är närvarande ger jag honom ordet först, om han accepterar det."
"Your child’s laughter, the colour of its skin and eyes, all were already present in the embryo.", "Ert barns skratt, färgen på dess hud och ögon, allt fanns redan i embryot."
"Besides, further immigration hinders the integration of the immigrants already present in Europe.", "Dessutom förhindrar en ökad invandring integreringen av de invandrare som redan finns i Europa."
"Two or four French observers have already been sent under the aegis of the OSCE which was already present.", "Två eller fyra franska observatörer har redan skickats i regi av OSSE, som redan var på plats."
"If the inland shipping capacity is already present in European cities, this should be utilised and promoted.", "Om kapacitet för inlandssjöfart redan finns i europeiska städer bör den användas och främjas."
"Nor can we ignore the fact that the 1992 reform exacerbated all the imbalances already present in the CAP.", "Man kan inte heller undkomma att 1992 års reform har fördjupat obalansen som fanns i den gemensamma jordbrukspolitiken."
"Digital tachographs are already present in all heavy goods vehicles and the equivalent vehicles that we are talking about here.", "Digitala färdskrivare finns redan i alla tunga lastbilar och motsvarande fordon som vi talar om här."
"Sometimes the fault was already present at the time of purchase, or occurred shortly afterwards through no fault of the consumer.", "Ibland handlar det verkligen om en defekt vid inköpet eller kort därefter som konsumenten inte kan göra något åt."
"EU membership and the associated massive streams of funding have further embedded the corruption that was already present.", "EU-medlemskapet och de påföljande enorma flödena av ekonomiskt stöd har ytterligare förvärrat den korruption som redan fanns."
"The principle of four fifths of Member States was already present in the original proposals that were presented by the Prodi Commission.", "Principen om fyra femtedelar av medlemsstaterna fanns redan i de ursprungliga förslag som lades fram av Prodikommissionen."
"Mr President, ladies and gentlemen, I shall keep this very brief as I only wish to reaffirm some of the ideas already present in the resolution.", "Vid början av 1980-talet höll detta parlament – en annan torsdagseftermiddag – en brådskande debatt om Nordafrika."
"The misuse of such a legal vacuum is an almost inevitable consequence of the police state factors that are already present and that have been approved.", "I överväldigande utsträckning avser de personuppgifter som är lagrade i dagens SIS människor som vägrats inresa i EU."
"Also, while the flashpoint of the epidemic occurred between 1994 and 1996, it was already present in Great Britain in 1986.", "Även om man har lyckats lokalisera utbrottet av epidemin till någon gång mellan 1994 och 1996 så existerade sjukdomen redan 1986 i Storbritannien."
"The misuse of such a legal vacuum is an almost inevitable consequence of the police state factors that are already present and that have been approved.", "Missbruket av sådana luckor i lagstiftningen är en nästan ofrånkomlig följd av polisstatsfaktorer som redan föreligger och som har godkänts."
"Perhaps we could have included a few more items that way, but I consider that the main points of our general approach are already present.", "Det är möjligt att vi hade kunnat få med ytterligare några saker på det sättet, men jag anser att de viktigaste punkterna i vår allmänna inriktning redan är med."
"So we must go in search of energy that is already present in nature, but which has remained unused because no one has developed the technology to tap into it.", "Vi måste därför söka efter energi som redan finns naturligt, men som har varit oförbrukad då ingen har utvecklat en teknik för att utvinna den."
"It is already present there, far more so than in the past, thanks to the commitment of its High Representative.", "Och unionen är redan närvarande där, mycket mer än tidigare, tack vare den höge representantens engagemang, Unionen måste nu delta ännu mer aktivt."
"Mr President, ladies and gentlemen, I shall keep this very brief as I only wish to reaffirm some of the ideas already present in the resolution.", "– Herr talman, mina damer och herrar! Jag skall hålla detta mycket kort, eftersom jag bara än en gång vill bekräfta de idéer som redan finns i resolutionen."
"It should be recalled that the Lisbon Strategy mainly relates to industrial activity.", "Man bör påminna om att Lissabonstrategin främst handlar om industriell verksamhet."
"Further, it should be recalled that the Union has almost 4 000 kilometres of external borders.", "Vidare bör man komma ihåg att unionen har yttre gränser på närmare 4 000 kilometer."
"It should be recalled that 36% of Tanzania's population lives below the poverty threshold.", "Det bör påminnas om att 36 procent av Tanzanias befolkning lever under fattigdomsgränsen."
"Madam President, it is indisputably right that Mattel should have recalled these dangerous toys.", "(EN) Fru talman! Det stämmer obestridligen att Mattel skulle ha återkallat dessa farliga leksaker."
"It should be recalled that there the European Union has 50 million citizens with disabilities.", "Man bör hålla i minnet att det finns 50 miljoner medborgare med funktionshinder i Europeiska unionen."
"It should be recalled that such simplified procedures constitute derogations from the normal procedures.", "Man skall dock komma ihåg att sådana förenklade förfaranden utgör undantag från normala förfaranden."
"It should be recalled that the crisis started out as a financial one, becoming an economic one, too, later on.", "Vi bör komma ihåg att krisen började som en finansiell kris och senare även blev en ekonomisk kris."
"It should be recalled that there the European Union has 50 million citizens with disabilities.", "Emellertid strävar vi framför allt efter en demokratisk och enad union, en union i vilken alla stater och medborgare är lika."
"It should be recalled that Abkhazia and Ossetia are nations that have occupied their respective homelands for centuries.", "Det bör erinras om att Abchazien och Ossetien är nationer som har förfogat över sina respektive territorier i århundraden."
"It should be recalled in this respect that the complainants have indeed addressed the national courts but without success.", "I detta avseende bör det erinras om att de klagande faktiskt har vänt sig till de nationella domstolarna men utan framgång."
"And, in this regard, it should be recalled that the Community was founded on the basis of a typically European socio-economic doctrine.", "I detta avseende måste vi dra oss till minnes att när gemenskapen skapades fanns en typisk europeisk socioekonomisk doktrin."
"It should be recalled that these fisheries range between high-technology industrial fishing and non-industrial traditional fishing.", "Det är viktigt att komma ihåg att detta fiske sträcker sig från högteknologiskt industrifiske till småskaligt traditionellt fiske."
"On Amendment Nos 17, I accept the principle that the use of dangerous products shall be prohibited and that they should be recalled.", "I ändringsförslag 17 godkänner jag principen att användning av riskabla produkter skall förbjudas och att de måste dras tillbaka."
"It should be recalled that for 1997 payment credits stood at around 1.17 % compared with the authorized ceiling of 1.23 % of GDP.", "Man bör påminna om att betalningarna för 1997 befinner sig på en nivå av 1, 17 %, att jämföra med den tillåtna gränsen på 1, 27 % av BNP."
"It should be recalled that a few years ago, the United States was not really participating in the process but they are now committed to the negotiations.", "Vi får inte glömma att Förenta staterna för några år sedan inte riktigt var delaktiga i processen och att de nu engagerar sig i förhandlingarna."
"It should be recalled that the objective of the Fund is to repair infrastructure and act as a refinancing tool, and not to compensate private damages.", "Det bör påpekas att målet för fonden är att reparera infrastruktur och fungera som återfinansieringsinstrument, inte att ersätta privata förluster."
"It should be recalled that the European Union transposes the international accounting standards developed by the IASB into EU law through comitology.", "Vi bör komma ihåg att Europeiska unionen genom kommittésystemet omvandlar de internationella redovisningsstandarder som IASB tagit fram till lag i EU."
"It should be recalled that, although Parliament rejected this proposal for a directive on 18 December 2003, the Commission has insisted on retaining the proposal.", "Det bör erinras om att kommissionen har insisterat på att behålla förslaget, trots att parlamentet förkastade förslaget till direktiv den 18 december 2003."
"Before outlining the I-EDN Group's position, it should be recalled that the production of durum wheat was badly handled by the 1992 CAP.", "För att tydliggöra den ståndpunkt som har antagits av I-EDNgruppen är det nödvändigt att påminna om att vi inom den gemensamma jordbrukspolitiken har misskött 1992 års produktion av durumvete."
"It should be recalled that visa regimes - and any consular or private law regimes - do not prejudice any position on the status of territories under public international law.", "Det bör erinras om att territoriets status enligt den allmänna folkrätten rubbas vare sig av viseringsregler eller konsulära eller privaträttsliga ordningar."
"In Copenhagen, the eyes of the international public will be glued on its ruling class.", "I Köpenhamn kommer den internationella allmänhetens ögon att vara klistrade på den styrande klassen."
"If the Court finds that the country has not followed its ruling, it can issue a fine.", "Ett land som inte följer domen kan tvingas betala böter."
"The ECJ underlines this latter point in its ruling C-153/08.", "Det sistnämnda understryker EG-domstolen i sin dom i mål C-153/08."
"As you know, the validity of Article 31 of the Euratom Treaty was confirmed by the Court in its ruling C-70/88.", "Som ni vet bekräftades giltigheten hos artikel 31 i Euratomfördraget av domstolen i mål C-70/88."
"The Court of Justice shall give its ruling in camera.", "Domstolen skall meddela sitt avgörande inom stängda dörrar."
"We believe that the court will give its ruling very shortly afterwards, but we still do not have a date for this.", "Vi tror att domstolen kommer att ge sitt utslag mycket kort därefter, men vi har ännu inget datum."
"We have always taken a critical view of Guantanamo, and did so even before the US Supreme Court handed down its ruling.", "Vi har alltid varit kritiska till Guantánamo, och var det redan innan USA:s högsta domstol fällde sitt utslag."
"The European Court of Justice also clearly rejected enforced retirement as of retirement age in its ruling in October.", "I sin dom i oktober avvisade Europeiska unionens domstol också tydligt påtvingad pensionering på grund av uppnådd pensionsålder."
"The matter is now before the Brazilian courts, the Supreme Court has yet to issue its ruling, this issue does not come under ...", "Frågan är nu uppe i de brasilianska domstolarna och högsta domstolen ska fortfarande avge sin dom. Den här frågan faller inte inom ..."
"We would point out that the Court of Justice has not yet given a ruling, and we hope that in the near future, when it gives its ruling, it will help to consolidate this theory.", "Domstolen har ännu inte uttalat sig i frågan och vi hoppas att när den snart yttrar sig kommer att bidra till att konsolidera denna tes."
"Mr De Rossa, in its discussion on the case, the Commission held to the view that was stated before the court and on which the court gave its ruling.", ". – Herr De Rossa! I kommissionens diskussioner om detta mål har den hållit fast vid den ståndpunkt som framfördes inför domstolen och som domstolen beslutat om."
"In its ruling, the European Court of Justice stated that regulation of gambling law is a matter for Member States, and that they are tightening up regulations in this area.", "EG-domstolen fastslog i sin dom att lagstiftningen om spelande är en fråga för medlemsstaterna, och att det pågår en skärpning av regelverket på detta område."
"We are here to ensure that the right to justice is observed, I fully agree with that, but then let us give the Brazilian Supreme Court time to issue its ruling.", "Vi är här för att se till att rätten till rättvisa iakttas, det håller jag fullständigt med om, men låt oss sedan ge den brasilianska högsta domstolen tid att avge sin dom."
"I trust that this positive trend, which is demonstrated both by our country as a whole and its ruling party, will continue today, especially on the question of Iraq.", "Jag vill gärna tro att denna positiva tradition, som är både vårt lands och regeringspartiets, om ni så vill, kommer att följas också i dag, och i synnerhet då i Irakfrågan."
