//Sentences
"I myself saw the TV programme and I am able to say that she did not do so.", "Jag har själv sett TV-programmet och jag kan säga att hon inte gjorde det."
"Some of these were next to impossible only a few years ago: think of the Kurdish-language TV programmes, which are now broadcast by private and public broadcasters.", "En del av dessa var nästan omöjliga för bara några år sedan: tänk på de TV-program på kurdiska, som nu sänds av privata och offentliga TV-bolag."
"The cost of relaying such TV programmes from a neighbouring country is minimal, incidentally, and there are not said to be any capacity problems on digital cable networks.", "Kostnaden för att sända ut sådana tv-program från grannarna är för övrigt minimal, och det ska inte heller finnas några kapacitetsproblem i den digitala kabeln."
"It reminds me of a similar situation in the PRC - China - where the Communist regime tried to stop a European company from broadcasting anti-Communist TV programmes.", "Det påminner mig om en liknande situation i Folkrepubliken Kina där kommunistregimen försökte stoppa ett europeiskt bolag från att sända anti-kommunistiska tv-program."
"Allow me finally to emphasise that the Group of the European Liberal, Democrat and Reform Party is also concerned about the increase in the number of TV programmes containing sex and violence.", "Låt mig avslutningsvis understryka att den liberala gruppen också är bekymrad över det ökande utbudet av TV-program som innehåller våld och sex."
"On TV programmes in both countries, former Commissioner Anita Gradin and her former chef de cabinet have voiced criticism of the Commission's handling of the affair.", "I samband med TV-program i dessa båda länder har såväl förra kommissionären Anita Gradin, som hennes kabinettschef, yttrat sig kritiskt om hur detta har hanterats i kommissionen."
"TV programmes, newspapers and magazines over the last years have highlighted the perils of multiple credit card ownership by people who have trouble paying off even one of these cards.", "I tv-program, tidningar och tidskrifter har man de senaste åren belyst farorna med att människor som har svårt att betala för ett enda kreditkort äger flera stycken."
"Moreover, pirate firms are pushing up the cost of encrypted TV and radio programmes, so that consumers who receive these programmes legally are having to pay higher prices.", "Härtill kommer att piratverksamheten höjer priset på bl.a. krypterade TV- och radioprogram så att de konsumenter som lagligt mottar dessa program kommer att få betala ett högre pris."
"As a result of this, people outside a certain country cannot subscribe to television services from another Member State, whether this relates to free or pay-TV programmes.", "Härigenom kan personer som bor utanför ett visst område inte prenumerera på televisionstjänster från en annan medlemsstat, vare sig det nu gäller kostnadsfria sändningar eller betal-TV."
"The current TV and radio programmes supported by the EC make an important contribution to democratisation, but also to the EU’s visibility in Belarus, which we have discussed today.", "De nuvarande tv- och radioprogram som stöds av EU utgör ett viktigt bidrag till demokratiseringen, men bidrar också till EU:s synlighet i Vitryssland, vilket har diskuterats i dag."
"The current TV and radio programmes supported by the EC make an important contribution to democratisation, but also to the EU’ s visibility in Belarus, which we have discussed today.", "De nuvarande tv- och radioprogram som stöds av EU utgör ett viktigt bidrag till demokratiseringen, men bidrar också till EU: s synlighet i Vitryssland, vilket har diskuterats i dag."
"As an MEP, I have the duty to express my democratic rights, according to law, by informing my constituents about my Parliamentary work through the media, including TV programmes.", "Som parlamentsledamot har jag en lagstadgad skyldighet att utöva mina demokratiska rättigheter genom att informera mina väljare om mitt parlamentariska arbete genom medierna, inklusive tv."
"However, the penniless directors at TV-6 have little to smile about these days.", "De brödlösa direktörerna vid TV6 har dock i dag inte någon anledning att skratta."
"The analysis of Europarl TV, to see if it is effective or not, is also welcome.", "En utvärdering av Europarl-TV, med avseende på dess effektivitet, välkomnas också."
"He also said that if he were here with me... he wouldn't be concerned with TV.", "Han sa också att om du var här med mig... skulle jag inte bry mig om den där TVn."
"His response to a TV station critical of his rule was simply to take it off the air.", "Hans svar till en tv-station som kritiserade hans styre var att stänga ner den."
"Such a requirement should, I believe, be included in TV companies' licence agreements.", "Jag tycker att detta borde inkluderas i de olika kanalernas sändningstillstånd."
"We all saw on our TV screens the scenes before the massacre, before the flight to Tulsa.", "Vi såg alla på våra tv-skärmar scenerna före massakern, före flykten till Tulsa."
"On May 16, lifted Tv4 Norrbotten populatiteten at LTU&amp;#39;s occupational programs.", "Den 16 maj lyfte TV4 Norrbotten populatiteten hos LTU:s arbetsterapeutprogram."
"Wide-screen and flat-screen TV sets and DVDs set the pace for home entertainment.", "I hemmen är det en bredbilds- eller plattskärms-TV med DVD som ska stå i vardagsrummet."
"Requesting assistance, possible 211 at the TV repair shop on 1st and Santee.", "Begär förstärkning, möjlig 211 vid TV-reparations affären på 1st och Santee."
"Such a requirement should, I believe, be included in TV companies ' licence agreements.", "Jag tycker att detta borde inkluderas i de olika kanalernas sändningstillstånd."
"There are TV and cinema advertisements, posters at the airports and large placards.", "Det blir TV- och bioreklam, affischer på flygplatserna och stora annonser."
"As the rapporteur has stressed, parental control must not end with TV.", "Såsom föredraganden betonade får inte föräldrakontrollen sluta vid televisionen."
"More than half of the Russian population were able to receive the TV-6 programmes.", "Drygt hälften av den ryska befolkningen kunde få in programmen från TV6."
"I voted to keep tobacco off TV screens and to limit alcohol advertising.", "Jag röstade för att hålla tobaken borta från tv-rutorna och begränsa alkoholreklam."
"I myself saw the TV programme and I am able to say that she did not do so.", "Jag har själv sett TV-programmet och jag kan säga att hon inte gjorde det."
"Big American firms can afford TV advertising, press, billboard and so on.", "Stora amerikanska företag har råd med TV-reklam, press, affischtavlor osv."
"There are more and more TV channels, and advertising is taking greater and greater liberties.", "Det blir fler och fler TV-kanaler, reklamen tar sig större och större friheter."
"The MEDIA programme provides financial support for quality European films and TV programmes.", "Mediaprogrammet ger ekonomiskt stöd till europeiska kvalitetsfilmer och tv-program."
"You know, I see on TV they given away some of them new robots in the lottery?", "Jag har sett på TV att de lottar bort några av de där nya robotarna."
"TV is an important industry, with turnover estimated at EUR 62 billion per annum.", "Tv är en viktig industri, med en omsättning som beräknas uppgå till 62 miljarder euro årligen."
"We all saw on our TV screens the scenes before the massacre, before the flight to Tulsa.", "Vi såg alla på våra tv-skärmar scenerna före massakern, före flykten till Tulsa."
"I voted to keep tobacco off TV screens and to limit alcohol advertising.", "Jag röstade för att hålla tobaken borta från tv-rutorna och begränsa alkoholreklam."
"What will remain with us is the sight on our TV screens of the burning pyres.", "Det som vi kommer att minnas är TV-bilderna på de brinnande bålen."
"In recent years we have seen many examples of this on our TV screens.", "De senaste åren har vi fått se många exempel på detta via TV-rutan."
"We must never see the funeral pyres which remain so vivid in the memories of all who witnessed them both in person and on our TV screens.", "Vi vill aldrig mer se de kadaverbål som lever kvar så starkt i minnet för alla som sett dem, både personligen och på TV-skärmarna."
"That tragedy was not played out on our TV screens as happens with today's atrocities, so there is all the more reason for us to remember those people.", "Den tragedin utspelades inte på TV-rutorna som dagens hemskheter. Därför är anledningen desto större att påminna om dem."
"While we all sit at home, replete after a good supper, our TV screens show us depressing new evidence of the sufferings of a people plagued by drought and hunger.", "Under några veckors tid har vi dagligen i alla medier kunnat se de förskräckliga bilderna av hungersnöden i Etiopien."
"Once again, we see the scenes on our TV screens of starving children in Ethiopia and we remember the horrors of the last famine in the Horn of Africa.", "Återigen får vi på TV se scenerna med svältande barn i Etiopien och vi minns hemskheterna vid den förra svältkatastrofen på Afrikas horn."
"We also have to be aware of what might be called the CNN factor, i.e. once we stop seeing this on our TV screens we think the problem has been resolved.", "Vi måste också vara medvetna om vad som kan kallas CNN-faktorn, dvs. att när man inte längre se något på TV från området, så tror man att problemet har lösts."
"We also have to be aware of what might be called the CNN factor, i. e. once we stop seeing this on our TV screens we think the problem has been resolved.", "Vi måste också vara medvetna om vad som kan kallas CNN-faktorn, dvs. att när man inte längre se något på TV från området, så tror man att problemet har lösts."
"While we all sit at home, replete after a good supper, our TV screens show us depressing new evidence of the sufferings of a people plagued by drought and hunger.", "Medan vi alla mätta och med välbehag sitter vid middagsbordet, flimrar i nyheterna de plågsamma nyheterna förbi om ett folk som pinats av torka och hunger."
"Wide-screen and flat-screen TV sets and DVDs set the pace for home entertainment.", "I hemmen är det en bredbilds- eller plattskärms-TV med DVD som ska stå i vardagsrummet."
"The second was about the eco-design measure for fridges and TV sets.", "Den andra punkten gäller ekodesign-åtgärden för kylskåp och tv-apparater."
"It turns out, of course, that boys have more TV sets, more PCs in their rooms etc.", "Det visar sig naturligtvis att pojkarna har flera TV-apparater, de har flera datorer på sina rum osv."
"What is new is that a majority of young people in Sweden have their own computers in their rooms and that TV sets have been thrown out.", "Det nya är att en majoritet av unga i Sverige har en egen dator på rummet och att man har kastat ut TV:n."
"When the Commission introduced customs duties on TV sets, consumers had to pay SEK 2.00 for every krona earned by the industry.", "När kommissionen introducerade tullar på tv-apparater fick konsumenterna betala två kronor för varje krona som industrin tjänade."
"When the Commission introduced customs duties on TV sets, consumers had to pay SEK 2.00 for every krona earned by the industry.", "I fallet med den norska laxen var det ännu värre: där kostade varje krona som laxproducenterna tjänade konsumenterna hela 70 kronor."
"It turns out, of course, that boys have more TV sets, more PCs in their rooms etc.", "Det visar sig naturligtvis att pojkarna har flera TV-apparater, de har flera datorer på sina rum osv. Vi kanske borde börja med oss själva."
"Different makes of hairdryers, electrical toothbrushes, hand blenders, kettles, TV sets etc., hardly differ in terms of recyclability.", "Diverse hårtorkar, elektriska tandborstar, mixrar, vattenkokare, tv-apparater o.s.v., skiljer sig knappast vad gäller möjligheten till återvinning."
"But different makes of TV sets, hairdryers, electric toothbrushes or hand blenders hardly differ in terms of recyclability.", "Men när det gäller TV-apparater, hårtorkar, elektriska tandborstar eller stavmixrar finns det knappt några skillnader mellan de olika märkena i fråga om återvinningsbarhet."
"We know, you see, that these flame retardants have been used quite freely since the beginning of the seventies in electronic equipment, TV sets, computers etc, and they have just proliferated.", "Vi vet nämligen att dessa flamskyddsmedel har använts ganska flitigt sedan början av 70-talet, i elektronisk utrustning, TV-apparater, datorer m.m., och de har bara ökat och ökat."
"Mr President, this is like a TV quiz show - I am getting different advice from each side.", "Herr ordförande! Detta liknar en frågesport på TV - jag får olika råd från de olika sidorna."
"Powrie primary school in Dundee asked that alcohol should be made 'uncool' ; TV ads should show vomiting and hang-overs.", "I primärskolan Powrie i Dundee tyckte man att alkohol bör göras "ohäftigt"; TV-reklamen bör visa spyor och baksmälla."
"Powrie primary school in Dundee asked that alcohol should be made 'uncool '; TV ads should show vomiting and hang-overs.", "I primärskolan Powrie i Dundee tyckte man att alkohol bör göras " ohäftigt "; TV-reklamen bör visa spyor och baksmälla."
"I watch that TV show 'Lie To Me.' I know you're lying."", "Jag ver att du ljuger.""
"Host of the TV show " Talk of the Town. "", "Programvärden för " Snack på Stan. ""
"Not me, brother, the TV show.", "Inte jag, broder, TV showen."
"It came as a shock that more people cast their votes in a recent Big Brother reality TV show than during the elections to the European Parliament.", "Det kom som en chock att fler människor röstade i dokusåpan Big Brother, som visades nyligen, än i valet till Europaparlamentet."
"Now, what if my roommate knew about my friend Fumi Onda, a fearless woman who hosts a TV show in Lagos, and is determined to tell the stories that we prefer to forget?", "Jag blev inte bara förtjust, utan också väldigt rörd."
"While we all sit at home, replete after a good supper, our TV screens show us depressing new evidence of the sufferings of a people plagued by drought and hunger.", "Under några veckors tid har vi dagligen i alla medier kunnat se de förskräckliga bilderna av hungersnöden i Etiopien."
"While we all sit at home, replete after a good supper, our TV screens show us depressing new evidence of the sufferings of a people plagued by drought and hunger.", "Medan vi alla mätta och med välbehag sitter vid middagsbordet, flimrar i nyheterna de plågsamma nyheterna förbi om ett folk som pinats av torka och hunger."
"His response to a TV station critical of his rule was simply to take it off the air.", "Hans svar till en tv-station som kritiserade hans styre var att stänga ner den."
"There is a similar problem at the commercial TV station Channel 5.", "Liknande problem uppges förekomma vid den kommersiella TV-stationen kanal 5."
"The ARD TV station in Germany said that, after four months, nothing happened – absolutely nothing.", "Den tyska TV-stationen ARD sa att ingenting hade hänt efter fyra månader – ingenting alls."
"An independent TV station has had its licence extension refused.", "En oberoende tv-station har inte fått sitt tillstånd förlängt."
". - Mr President, RCTV is a privately-owned TV station, which has been operating in Venezuela for more than half a century.", "författare. - (EN) Herr talman! RCTV är en privatägd tv-kanal som har drivits i Venezuela i över 50 år."
"For safety reasons Mrs Baleva is now staying in Germany; the TV station has offered a reward for information on her whereabouts.", "Av säkerhetsskäl vistas Baleva nu i Tyskland, och tv-stationen har utfäst en belöning för information om var hon befinner sig."
"This TV station broadcasts 24/7 in Chinese and English via satellites over Asia, Europe, Australia and North America.", "Denna tv-station sänder dygnet runt sju dagar i veckan på kinesiska och engelska via satellit över Asien, Europa, Australien och Nordamerika."
"They do the TV station.", "Dom gör tv stationen."
"The ban on the TV news station GEO News needs to be lifted and the government television channel PTV needs to be more balanced in its news and the information it conveys to the public.", "Förbudet mot nyhets-tv-stationen GEO News måste hävas och den statliga tv-kanalen PTV måste vara mer balanserad i sin nyhetsrapportering och sin information till tittarna."
"What is the Commission's assessment of the increasing amount of 'product placement' on various TV stations?", "Hur ser kommissionen på den ökande produktplaceringen i TV-program?"
"The Indian government owned and operated all the TV stations.", "Indiska staten ägde och drev alla TV-kanaler."
"This means that the Commission does not support radio and TV stations as such, but specific programmes instead.", "Det innebär att kommissionen inte stöder radio- och tv-kanaler som sådana, utan i stället specifika program."
"The few independent TV and radio stations in Serbia are being harassed and persecuted in order finally to be closed down entirely.", "De få fria TV- och radiomedier som finns i Serbien trakasseras och förföljs, för att slutligen stängas helt."
"I take the liberty of interpreting this as meaning that TV stations will be allowed to broadcast the relevant sections of Council meetings.", "Jag tillåter mig att tolka det så att TV-stationerna kommer att få tillstånd att sända de relevanta delarna av rådets möten."
"State radio stations and TV companies now often provide services which are outside the scope of what we call services in the public interest.", "Ett statligt radio- och TV-bolag tillhandahåller i dag ofta tjänster som faller utanför vad vi kallar tjänster i allmänhetens intresse."
"The small routes - the regional TV stations and the regional newspapers, the regional newsmen and - women are also of paramount importance.", "De mindre aktörerna - de regionala TV-stationerna och de regionala tidningarna, de regionala journalisterna - även de kvinnliga - har också mycket stor betydelse."
"The number of TV stations in EU countries has multiplied over the last decade and is expected to increase still further with the switch from analogue to digital broadcasting.", "Antalet tv‑stationer i EU-länderna har mångdubblats under det senaste årtiondet och väntas öka ytterligare i och med övergången från analoga till digitala sändningar."
"In Taba, the parties negotiated directly with each other and without any third party present.", "I Taba förhandlade parterna direkt med varandra och utan någon tredje part närvarande."
"During the negotiations in Taba, the parties came closer than ever before to a negotiated solution.", "Parterna kom under förhandlingarna i Taba närmare en förhandlingslösning än de någonsin varit."
"The fundamentals of peace are well-known: they have already been identified at Taba, Camp David and Annapolis.", "Fredsfundamentalisterna är välkända. De har redan identifierats vid Taba, Camp David och Annapolis."
"The situation was complicated even further by the terrorist attack on Thursday night in Taba, which was also dreadful.", "Situationen komplicerades ytterligare genom terrorattacken i Taba i torsdags natt, som också var fruktansvärd."
"Through its Special Envoy, Mr Moratinos, who has been present the whole time, the EU has of course been able to follow the negotiations in Taba.", "EU har ju genom sin specielle representant Moratinos, som varit närvarande hela tiden, haft möjlighet att följa förhandlingarna i Taba."
"We had Camp David, Taba and the understandings reached there, and excellent reports from Mitchell, Tennet and Zinni, all of which were to no avail.", "Vi hade Camp David, Taba och de överenskommelser som nåddes där samt de utmärkta rapporterna av Mitchell, Tennet och Zinni, men inget av detta var till någon nytta."
"There was a vicious circle of terrible violence but at the same time the recent knowledge that the ingredients for a solution had been on the table at Camp David and Taba.", "Det var en ond cirkel av brutalt våld samtidigt som man visste att det som behövdes för en lösning hade varit på bordet i Camp David och Taba."
"In Taba, both sides acknowledged that they have never been so close to a final agreement, but we must be aware that the apparent euphoria must not make us blind to the real situation.", "Parterna har tillstått att de aldrig har varit så nära en slutuppgörelse som i Taba, men vi får inte låta den skenbara euforin förblinda vår realism."
"– Mr President, I believe it is only right and proper that this Parliament should formally express its shock and outrage at the number of victims of the terrorist attack in Taba last week.", "– Herr talman! Jag anser att det inte är mer än rätt och riktigt att parlamentet formellt uttrycker sin chock och harm över antalet offer för terroristattacken i Taba i förra veckan."
