//Sentences
"Define the grid points spacing in the desired unit of measurement on the X-axis.", "Här definierar du avståndet mellan rasterpunkter på X-axeln i önskad måttenhet."
"However, we have moved from '3x20' to the legitimacy of the '4x4' economy.", "Men nu har vi emellertid rört oss bort från ”3 × 20” till den legitima ”4 × 4”-ekonomin."
"I think we should take an X ray then stitch him up and put him in a walking cast.", "Jag tycker att vi borde ta en röntgenbild, och sedan sy ihop honom."
"The report is in accordance with the thrust of the Commission&#x02BC;s report.", "Betänkandet är i sina huvuddrag enigt med kommissionens meddelande."
"Define the grid points spacing in the desired unit of measurement on the X-axis.", "Här definierar du avståndet mellan rasterpunkter på X-axeln i önskad måttenhet."
"Now the problem is there's an X-axis for that, which is the practical axis.", "Problemet är att det finns en X-axel för det, vilket är den praktiska axeln."
"Check this box and enter the desired X axis title in the respective text field.", "Om du aktiverar den här rutan, kan du skriva in den önskade rubriken för X-axeln i textfältet."
"Check this box if you want to display the X axis with subdivisions.", "Markera den här rutan om X-axeln ska visas som linje med indelningsmärken."
"If you want to display gridlines extending from the x axis, click here.", "Om Du vill att gitterlinjerna ska utgå från x-axeln klickar Du här."
"Specify the number of intervals between two grid points on the X-axis.", "Här anger Du antalet mellansteg mellan rasterpunkterna på X-axeln."
"Click the respective buttons to define the texture for the object X axis.", "Med de tillhörande kommandoknapparna bestämmer Du för Ditt objekts X-axel hur texturen ska placeras."
"On the Y-axis is the cumulative instances of contagion, and on the X-axis is the time.", "På Y-axeln är kumulerade smittan, och på X-axeln är tiden."
"Check this box to graduate the X axis with gridlines.", "Markera det här fältet om Du vill att x-axeln ska grovindelas med gitterlinjer."
"If you select this field, there will be a second X axis in your chart.", "Om du markerar den här rutan får diagrammet en andra X-axel."
"Check this box to subdivide the X axis with grids.", "Markera det här fältet om Du vill att x-axeln ska finindelas med gitterlinjer."
"Here you can define the alignment of the number labels on the X or Y axis.", "Här väljer Du hur axelns sifferetiketter ska placeras."
"Enter the rotation angle for the x axis here.", "Här anger du rotationsvinkeln runt X-axeln från vilken du vill titta på diagrammet."
"Specify 0.10 inches for the x-axis shadow distance.", "Ställ in värdet " 2,00mm " i fältet med rotationsknapparna för att öka skuggan på X-axeln."
"The Horizontal Grid On/Off icon on the main toolbar switches the grid display for the X axis on or off.", "Med ikonen Horisontellt gitter på / av på verktygslisten visar resp. döljer du gittret för x-axeln."
"So here on the Y-axis, we have the percent of the people affected, and on the X-axis, we have time.", "adoption curve). ~~~ Så här på Y-axeln, har vi procent av folk som är berörda, och på X-axeln, har vi tid."
"Here you can assign a title for the x (horizontal) axis.", "Här tilldelar du X-axeln (den vågräta axeln) en rubrik."
"Choose a suitable placement setting in the X or Y axis fields to make it easier to generate the next box.", "Då är det ännu enklare att generera nästa namnskylt."
"Scaling the X axis is only possible in the X-Y chart type.", "X-axeln kan bara skalas i diagramtypen XY."
"X axis main grid...", "X-axelhuvudgitter..."
"more_vert open_in_new Link to Linköpings Universitet warning Request revision These had periodic or aperiodic modulation and could be investigated using x-ray diffraction and transmission electron microscopy.", "röntgendiffraktion och transmissionselektronmikroskopi."
"My services, working together with DG XI, have now drawn up an improved testing document.", "Mina kontor har nu utvecklat ett förbättrat kontrollblad i samarbete med GD XI."
"DG XI has started its work on the environment and security.", "I generaldirektorat XI har arbetet rörande miljö och säkerhet kommit igång."
"Having regard to: Title IX, Article 145, and Title XI, Articles 162 and 166 of the TEC;", "På industriområdet Anagni ligger det före detta företaget Videocolors anläggning, som i dag har 1 400 anställda."
"Coordination of social security systems: Annex XI (", "Samordning av socialförsäkringssystemen: bilaga XI ("
"Because of what you did, XiXi ain't speakin ' to me.", "XiXi pratar inte med mig på grund av det du gjorde."
"XiXi Ling Yoon Dung Quon Puck Washington.", "XiXi Ling Yoon Dung Quon Puck Washington."
"We thought it was worthy and DG XI and Mrs Bjerregaard came up with a proposal that met with the approval of all of us.", "Vi ansåg att det var värdigt och GD XI och fru Bjerregaard lade fram ett förslag som vann allas vårt godkännande."
"For example, Annex XI contains a special provision that takes into account the specifics of national legislation.", "I bilaga XI finns det till exempel en särskild bestämmelse för att beakta det specifika i den nationella lagstiftningen."
"No Good, this is XiXi's father, Cha Ching.", "No Good, det är XiXis far, Cha Ching."
"Met XiXi's moms up at the club.", "Träffade XiXi mamma på nattklubben."
"And Sing Sing, XiXi's mother.", "Och Sing Sing, XiXis mamma."
"And XiXi's mama, sexy thing.", "Och XiXis mamma, sexig sak."
"I want XiXi to touch me.", "Jag vill få kontakt med XiXi."
"With regard to specific proposals, DG XI has already begun studying the potential for introducing EU-wide levies on pesticides.", "Med hänsyn till de konkreta förslagen har GD XI redan börjat undersöka möjligheterna för att införa EU-täckande avgifter på bekämpningsmedel."
"Dang Ling, where's XiXi?", "Dang Ling, var är XiXi?"
"Cha Ching, where's XiXi?", "Cha Ching, var är XiXi?"
"This is also the case for the European Social Fund, which will continue to pursue its objectives as defined by Title XI of the new treaty.", "Detta gäller alltså även Europeiska socialfonden, som kommer att fortsätta att fullfölja sina mål enligt definitionen i avsnitt XI i det nya fördraget."
"The individual attributes of the national social security systems will be taken into account in the particular provisions for the implementation of national legislation in Annex XI.", "De nationella socialförsäkringssystemens särdrag kommer att beaktas i de särskilda bestämmelserna för tillämpning av nationell lagstiftning i bilaga XI."
"As far as I am aware, Directorate General XI is preparing a document that will also enable the Union to introduce an earlier end to the use of HCFCs.", "Såvitt jag vet förbereds för närvarande ett dokument i generaldirektorat XI som även skall göra det möjligt för unionen att snabbare avveckla de delhalogenerade klorfluorkolväteämnena."
"I therefore welcome the fact that from time to time the Council Presidents consult with Parliament, for instance on Annexes XI and VI to Regulation No 883, on which I myself am rapporteur.", "Jag välkomnar därför att rådets ordförande rådfrågar parlamentet, till exempel när det gäller bilagorna XI och VI till förordning nr 883, för vilken jag själv är föredragande."
"She has set up a special unit at DG XII, and should be congratulated and supported.", "Hon har satt upp en speciell enhet på GD XII, och bör gratuleras och stödjas."
"The Commission's proposed revisions and additions to Annex XII appear to be reasonable.", "Granskningarna och tilläggen till bilaga XII som föreslagits av kommissionen verkar förnuftiga."
"The Commission' s proposed revisions and additions to Annex XII appear to be reasonable.", "Granskningarna och tilläggen till bilaga XII som föreslagits av kommissionen verkar förnuftiga."
"Last month I had the privilege of attending, on behalf of Parliament, the UNCTAD XII Conference in Accra.", "Förra månaden fick jag förmånen att för parlamentets räkning delta i FN:s tolfte konferens för handel och utveckling (UNCTAD XII) i Accra."
"I know it is sacrilege to invite DG III and DG XII to the same table, but I do not think it is such a bad idea.", "Jag vet att det är ett helgerån att bjuda in generaldirektoraten III och XII till samma bord, men jag tror inte att det är en dum idé."
"There should be a common fund, in addition to the fund already set up in Directorate XII, a special fund to deal with this sort of emergency.", "Det borde finnas en gemensam fond, förutom den som redan finns inom GD XII, som är särskilt avsedd för sådana beredskapsåtgärder."
"The Commission must undertake to coordinate the work on rare diseases currently being conducted by three Directorates-General: DG V, DG III and DG XII.", "Kommissionen måste absolut göra ansträngningar för att samordna arbetet med ovanliga sjukdomar som för närvarande bedrivs inom ramen för tre olika generaldirektorat, GD V, GD III och GD XII."
"There was no time to negotiate more than this because the Commission - Directorate-General XII - would not have had time to prepare these resources and make proper use of them.", "Det fanns inte heller tid att förhandla om mer därför att kommissionen, generaldirektorat XII, faktiskt inte hade haft tid att disponera och använda dessa resurser väl."
"Information about the socio-economic aspects of the fifth framework programme, which the Commission's DG XII presented in January 1997, reveals disturbing traits in the European Union.", "Uppgifter om de socioekonomiska aspekterna på det femte ramprogrammet, som kommissionens GD XII presenterade i januari 1997, avslöjar oroande drag vad beträffar Europeiska unionen."
"It is absolutely essential that radiation protection research should be conducted by those without vested interests and should therefore come under the environment and health section of DG XII.", "Det är alldeles nödvändigt att forskning till förmån för skydd mot strålning sköts av dem som inte har eget intresse i det hela och bör därför falla inom hälsoavsnittet i GD XII."
"At the same time I expect the Commission to clarify the situation with regard to the division of roles between the Foundation and the relevant Commission services, in particular DG XII and DG IA.", "Samtidigt förväntar jag mig av kommissionen att den förbättrar den oklara situationen i fråga om rollfördelningen mellan stiftelsen och kommissionens berörda enheter, i synnerhet GD XII och GD I a."
