//Sentences
"URBAN and RESTRUCT were combined to form the new URBAN.", "Urban och Restruct har sammanfogats till det nya Urban."
"Proper backing and proper financial support must be made available for this training - and also to fund research and development to continue the good work of the RETEX and EXPROM programmes.", "Därför krävs ett tillräckligt, långsiktigt ekonomiskt stöd även när det gäller forskning och utveckling, i likhet med det som hittills har funnits inom ramen för programmen Retex och Exprom."
"Moreover, it is high time for the EU to also take care of radio frequency identification (RFID).", "Dessutom är det nu dags att man inom EU tar itu med frågan om identifiering av radiofrekvenser (RFID)."
"Perhaps in future, however, people will simply need to delete their RFID number from Google Street View.", "Men kanske kan man i framtiden helt enkelt radera sig själv från Google Street View genom att ange sitt RFID-nummer."
"Has it started negotiating with the US on CAPPS II and on the introduction of the non-encrypted RFID chip in passports?", "Har kommissionen börjat förhandla med USA om CAPPS II och om införandet av ett icke-krypterat RFID-chip i pass?"
"If pedestrians are to be made visible by means of RFID clothing, it will be possible to monitor people's every step.", "Om man vill att fotgängare ska synas med hjälp av RFID-märkning så kommer man att kunna övervaka varje steg en individ tar."
"If pedestrians are to be made visible by means of RFID clothing, it will be possible to monitor people's every step.", "Om enskilda fotgängare går att identifiera genom klädernas RFID-märkning blir det möjligt att övervaka varje steg som människor tar."
"What about RFID networks?", "Och RFID-nät?"
"The Internet of Things is an IT architecture comprising a network of objects connected to each other using RFID technology and the Internet.", "Sakernas Internet är en it-struktur som omfattar ett nätverk av föremål som är sammankopplade med varandra med hjälp av RFID-teknik och Internet."
"We also ask for new labelling technologies, such as microchips and Radio-Frequency Identification (RFID), to be used in order to combat product counterfeiting.", "Vi frågar också efter märkningstekniker, som mikrochips och identifiering av radiofrekvenser (RFID), som kan användas för att bekämpa varuförfalskning."
"In view of the pressure to conform to political correctness, people would soon have to be extremely careful as to the institutions they visited when wearing RFID clothing.", "Mot bakgrund av den politiska korrekthetens åsiktsterror ska den som använder RFID-märkta kläder nog snart vara mycket försiktig med vilka evenemang vederbörande deltar i."
"On every item of packaging, consumers should learn where the passive and active RFID tags are located, what their reading range is and what sort of data is received and transmitted.", "Konsumenterna bör lära sig var de passiva och aktiva RFID-etiketterna finns på varje förpackning, avläsningsavstånd, vilken typ av data som utrustningen mottar eller vidarebefordrar."
"Choose a light source and set the RGB values as well as the ambient light here.", "I detta område väljer Du ljuskällorna och ställer in RGB-värdena samt omgivningsljuset."
"The color models RGB and CMYK are just two of the models most used to define colors.", "Färgmodellerna RGB och CMYK hör till de mest använda modellerna för att definiera färger."
"Select the Green color value in the RGB color model.", "Här väljer du färgvärdet grönt i RGB-färgmodellen."
"Select the Blue color value in the RGB color model.", "Här väljer du färgvärdet blått i RGB-färgmodellen."
"Select the Red color value in the RGB color model.", "Här väljer du färgvärdet rött i RGB-färgmodellen."
"The list box recognizes the two settings RGB and CMYK.", "I listrutan finns alternativen RGB och CMYK."
"In the Blue spin box you can raise or lower the amount of blue RGB color components for the selected graphic.", "I rotationsfältet Andel blått ökar eller minskar du andelen blå RGB-färgkomponent i visningen av det markerade grafikobjektet."
"In the Red spin box you can raise or lower the amount of red RGB color components for the selected graphic object.", "I rotationsfältet Andel rött ökar eller minskar du andelen röd RGB-färgkomponent i visningen av det markerade grafikobjektet."
"In the Green spin box you can raise or lower the amount of green RGB color components for the selected graphic object.", "I rotationsfältet Andel grönt ökar eller minskar du andelen grön RGB-färgkomponent i visningen av det markerade grafikobjektet."
"d-bit RGB true color.", "d-bitars RGB True Color."
"more_vert open_in_new Link to TED warning Request revision He went to New York; he went to Chicago; he went to Jacksonville; he went to Los Angeles.", "expand_more Han åkte till New York, till Chicago, han åkte till Jacksonville, till Los Angeles."
"more_vert open_in_new Link to European Parliament warning Request revision This has led to the deregulation and liberalisation of one sector after another.", "expand_more På område efter område drivs därför kraven på avreglering och på liberalisering."
"more_vert open_in_new Link to European Parliament warning Request revision Special attention must be paid to lifelong learning and adult education.", "expand_more Särskild uppmärksamhet måste ges åt livslångt lärande och åt vuxenutbildning."
"more_vert open_in_new Link to TED warning Request revision So is that possible, to change our way of being, to transform one's mind?", "expand_more Är det möjligt, att ändra vårt sätt att vara, att förändra vårt sätt att tänka?"
"more_vert open_in_new Link to statmt.org warning Request revision A knife may be used to slice our daily bread but it may also be used to kill.", "expand_more En kniv kan användas för att skära upp vårt dagliga bröd men också för att döda."
"The influenza virus is an RNA virus containing eight genes.", "Influensaviruset är ett RNA-virus som innehåller åtta gener."
"We take that tissue, we purify the RNA out of it using some basic technology, and then we put a florescent tag on it.", "Vi tar den vävnaden, vi extraherar RNA från den, med enkel teknik och sen sätter vi en fluorescerande markör på den."
"Of special interest is the flow of genetic information from DNA via RNA to protein synthesis, and how these processes are regulated.", "Av särskilt intresse är flödet av genetisk information från DNA via RNA till proteinsyntes, och hur dessa processer regleras."
"Because what we're trying to measure, the RNA -- which is the readout from our genes -- is very labile, and so we have to move very quickly.", "Eftersom det vi försöker mäta, RNA:t – vilket är transkriptionen av våra gener – är väldigt instabilt så måste vi agera väldigt snabbt."
"Like most RNA viruses, it reproduces sloppily, its genes readily fall apart, and it can absorb different genetic material which recombines in a process called reassortment.", "Som de flesta RNA-virus faller generna lätt isär då de reproduceras löst, och det kan också absorbera olika genetiska material som rekombineras i en process som kallas för genvariation."
"more_vert open_in_new Link to Google warning Request revision ROI is the ratio of your profits to your costs, and the exact method you use to calculate it depends upon the goals of your campaign.", "expand_more Avkastning på investering är förhållandet mellan dina vinster och kostnader."
"The ROI argument Headsets represent a significant portion of a contact centre’s expenditure.", "ROI-argumentet Headset utgör en betydande del av utgifterna i ett contact center."
"You can use ROI to help you decide how to spend your budget.", "Resultatet kan vara till hjälp när du ska bestämma hur du ska spendera din budget."
"Once you've started to measure conversions, you can begin to evaluate your ROI.", "När du har satt igång med att mäta omvandlingar kan du börja utvärdera avkastningen på din investering."
"Sometimes your ROI may require a different formula.", "I vissa fall kan du behöva räkna ut avkastningen på investeringen på ett annat sätt."
"See how the high quality and usability of Jabra handsfree audio solutions can help increase your solution's ROI.", "Se hur Jabras användbara och högkvalitativa handsfree-lösningar kan hjälpa dig öka din lösnings ROI."
"By calculating your ROI, you'll learn how much money you've made by advertising with AdWords.", "Genom att räkna ut avkastningen på investeringen får du reda på hur mycket pengar du har tjänat genom att annonsera med AdWords."
"You can calculate return-on-investment (ROI) by associating this data with goals or e-commerce conversions.", "Du kan beräkna avkastningen på investeringen genom att koppla dessa uppgifter till mål eller omvandlingar för e-handel."
"Determining your AdWords ROI can be a very straightforward process if your business goal is web-based sales.", "Om ditt företagsmål är webbaserad försäljning är det relativt enkelt att räkna ut avkastningen på investeringen i AdWords."
"You can then calculate your ROI as (1200-1000)/1000), or 20%.", "Exempel: Vi säger att du gör en investering på 10 000 kronor som ger en intäkt på 12 000 kronor och därmed en vinst på 2 000 kronor."
"Divide your net profit by the advertising costs to get your AdWords ROI for that time period.", "Dividera din nettovinst med annonseringskostnaden för att få fram avkastningen på din investering i AdWords för den aktuella tidsperioden."
"The best way to confirm the assist value of a keyword is by testing it to see if increased investment yields improved ROI.", "På de här flikarna visas senaste klick, indirekta klick och indirekta visningar som är knutna till särskilda omvandlingar."
"This results in better performance and ROI for advertisers on Search and Display Network sites.", "Måste jag uppge information om intäkter?Nej, det är inte nödvändigt att ange information om intäkter i omvandlingsspårningen i AdWords."
"(RO)I would like to congratulate the rapporteur Mr. Costa and all colleagues that took part in the negotiations relating to the third reading.", "(RO) Jag vill gratulera föredraganden Paolo Costa och de kolleger som deltog i förhandlingarna i anslutning till tredjebehandlingen."
"Knowing your ROI, you'll be sure that the money you're spending on AdWords advertising is going to a good cause: healthy profits for your business!", "Om du har koll på avkastningen på investeringen kan du vara säker på att de pengar du lägger på AdWords-annonsering omvandlas till vinst för ditt företag!"
"When you use AdWords to increase conversions such as sales, leads, and downloads, it's a good idea to measure your return on investment (ROI).", "När du använder AdWords för att öka antalet omvandlingar, som försäljning, potentiella kunder och hämtningar, kan det vara bra att mäta avkastningen på investeringen."
"For example, if you're interested in calculating the ROI for a page view or lead, you'll have to estimate the values of each of these actions.", "Om du till exempel vill räkna ut avkastningen på investeringen för en sidvisning eller potentiella kunder måste du uppskatta värdena för var och en av dessa åtgärder."
"Once you have opted in, your bids are automatically optimized based on your AdWords Conversion Tracking data, with the goal of improving your overall ROI.", "Sammanställningar av omvandlingsuppgifterna ingår exempelvis i vår funktion för smart prissättning för att förbättra annonsörernas avkastning på investeringen."
"You'll be able to track the behavior of visitors coming from your AdWords ads, making iteasier to gauge the ROI of your AdWords budget and make changes as necessary.", "Du kan spåra beteendet hos de besökare som kommer från dina AdWords-annonser vilket gör att du enklare kan uppskatta AdWord-budgetens avkastning och göra ändringar vid behov."
"It is Jean-Louis le Roi-Soleil down there, and I hope that in accepting that title he will share a little bit of it with our rapporteur on this dossier, Avril Doyle.", "Det är Jean-Louis ”Kung Sol” som sitter där nere, och jag hoppas att han, om han godtar den titeln, kommer att dela med sig lite av den till föredraganden för detta dokument, Avril Doyle."
"more_vert open_in_new Link to EU Constitution warning Request revision Udfærdiget i Rom den niogtyvende oktober to tusind og fire.", "expand_more Geschehen zu Rom am neunundzwanzigsten Oktober zweitausendundvier."
"more_vert open_in_new Link to European Parliament warning Request revision En flaska rom måste det finnas, så därför röstade jag för.", "expand_more The bottle of rum is essential, and so I voted for the motion."
"more_vert open_in_new Link to statmt.org warning Request revision Låt dem höra detta i Rom: Padania är emot det tjuvaktiga Rom, det är för frihet.", "expand_more Let them hear it in Rome: Padania is against thieving Rome, it is in favour of freedom."
"more_vert open_in_new Link to statmt.org warning Request revision Alla vet att varje gång man fångar en enda torsk som är full av rom (dvs. fiskägg) fångar vi alla framtida torskgenerationer.", "roe (in other words, fish eggs), we are catching all of the future generations of cod."
"more_vert open_in_new Link to EU Constitution warning Request revision Geschehen zu Rom am neunundzwanzigsten Oktober zweitausendundvier.", "expand_more Udfærdiget i Rom den niogtyvende oktober to tusind og fire."
"Geschehen zu Rom am neunundzwanzigsten Oktober zweitausendundvier.", "Kahe tuhande neljanda aasta oktoobrikuu kahekümne üheksandal päeval Roomas"
"We need European computer programs for education: CD-ROM or Internet-based.", "Vi behöver europeiska dataprogram för undervisning, t.ex."
"New audio books in DAISY format can fit on a single CD-ROM.", "Nya talböcker i DAISY-format ryms på en enda cd-romskiva."
"Insofar as the Parliament budget is concerned, we support those colleagues who have criticised the Administration for trying to suppress the EP-rom study.", "Vad beträffar parlamentets budget stöder vi de kolleger som kritiserat administrationen för att försöka undertrycka EP-romstudien."
"The Dutch police have drawn up a file of several hundred children from a CD-ROM containing 10 000 images or sequences of child pornography available on the Internet.", "Utifrån en CD-romskiva med 10 000 barnpornografiska bilder eller sekvenser för Internet upprättade den holländska polisen ett register med flera hundra barn."
"I hope that when he publishes the macroeconometric model he will do so in a form which makes it available and easily usable by outside researchers, perhaps on CD-ROM.", "Jag hoppas att när han offentliggör den makroekonomiska modellen kommer detta att ske i en form som gör den tillgänglig och lätt att använda för externa forskare, kanske på en CD-skiva."
"The delivery of his speech at 33 r.p.m. was quite exquisite.", "Framförandet av hans tal i ultrarapid var alldeles utsökt."
"Rpm's all over the shop.", "Helt tokiga varvtal."
