//Sentences
"The 'NO TAV' campaign has clearly shown that there is no justification for TAV.", "Kampanjen ”NO TAV” har tydligt visat att byggandet av TAV inte är försvarbart."
"Preparation of the TEC meeting and the EU/USA Summit (2 and 3 November 2009) (vote)", "Förberedelser för CET-mötet och toppmötet mellan EU och Förenta staterna (2-3 november 2009) (omröstning)"
"The next TEC meeting will take place on 17 December in Washington.", "TEC:s nästa möte kommer att äga rum den 17 december i Washington."
"Mr De Gucht, fortunately you are also responsible for the Transatlantic Economic Council (TEC).", "Karel De Gucht, ni är lyckligtvis också ansvarig for det transatlantiska ekonomiska rådet (TEC)."
"Now it is a question of agreeing on a specific agenda for the TEC which reflects these priorities.", "Nu handlar det om att enas om en specifik dagordning för TEC som speglar dessa prioriteringar."
"Let me also say, because this was mentioned, that the Energy Council will not overlap with the TEC.", "Eftersom det har tagits upp, låt mig också säga att energirådet inte kommer att överlappa TEC."
"Now there is also a new Transatlantic Economic Council (TEC).", "Nu finns det också ett nytt transatlantiskt ekonomiskt råd (TEC)."
"It would be important in guiding future work for the TEC.", "En sådan skulle vara viktig för att vägleda TEC:s framtida arbete."
"Having regard to: Title IX, Article 145, and Title XI, Articles 162 and 166 of the TEC;", "På industriområdet Anagni ligger det före detta företaget Videocolors anläggning, som i dag har 1 400 anställda."
"Even then, unfortunately, it's not possible to summarize each TEDTalk individually.", "Trots det, tyvärr, så är det inte möjligt att summera varje TEDTalk individuellt."
"The obvious question here is, does a TEDTalk really need 2,300 words?", "Den uppenbara frågan är, behöver verkligen ett TEDTalk 2300 ord?"
"So I started asking all my friends, please take your favorite TEDTalk and put that into six words.", "Så jag bad alla mina vänner, ta den TEDTalk du gillar mest, och sammanfatta den med sex ord."
"What's the minimum amount of words you would need to do a TEDTalk?", "Vad är det minsta antal ord du skulle behöva för en TEDTalk?"
"I last did a TEDTalk I think about seven years ago or so.", "Sist jag höll ett TEDTalk Jag tror det var sju år sedan eller så."
"I don't know any TEDTalk that contains this.", "Jag känner inte till några TEDTalks som handlar om detta."
"Two children watch a TEDTalk.", "Två barn tittar på ett TEDTalk."
"So if a novel can be put into six words and a whole memoir can be put into six words, you don't need more than six words for a TEDTalk.", "Så om en historia kan berättas med sex ord och en hel memoar kan förmedlas med sex ord, då behöver du inte mer än sex ord för en TEDTalk."
"In the end, however, and this is really amazing, for each of those 10 TEDTalk clusters that I submitted, I actually received meaningful summaries.", "Slutligen -- och det här är fantastiskt, för varje av dessa 10 TEDTalk-kluster som jag lade upp, tog jag faktiskt emot några värdefulla sammanfattningar."
"You find some interesting content, say a TEDTalk, submit it to Reddit, and the community of your peers will vote it up if they like it, vote it down if they don't.", "Du hittar lite intressant innehåll, som ett TEDTalk, du skickar in det till Reddit, och dina kompisar på nätet ger tummen upp om de gillar det, och tummen ner om de inte gillar det."
"The TEP is a slimmed-down version of the MAI, Mr Kreissl-Dörfler said, and he is right.", "TEP är en rensad version av MAI, konstaterade Kreissl-Dörfler, och han har rätt."
"Here I am thinking in particular of the TEP and the preparations for the millennium round.", "Jag tänker här i synnerhet på TEP och förberedelserna för millenium round ."
"Here I am thinking in particular of the TEP and the preparations for the millennium round.", "Jag tänker här i synnerhet på TEP och förberedelserna för millenium round."
"The negotiating mandate for the TEP was given long ago.", "Förhandlingsmandatet för TEP har givits för länge sedan."
"In a new combination of letters of the alphabet, TEP, the Transatlantic Economic Partnership, poses the same problems as the MAI.", "Den nya bokstavskombinationen TEP, Transatlantic Economic Partnership, innehåller samma problem som MAI."
"In a new combination of letters of the alphabet, TEP, the Transatlantic Economic Partnership, poses the same problems as the MAI.", "Den nya bokstavskombinationen TEP, Transatlantic Economic Partnership , innehåller samma problem som MAI."
"Firstly, the TEP is going to give us a possibility of finding a framework to discuss multilateral issues with the United States.", "För det första kommer TEP att ge oss en möjlighet att finna ramar för diskussioner kring multilaterala frågor med Förenta staterna."
"The TEU also represented a modest preliminary step towards political union.", "FEU utgjorde också ett blygsamt preliminärt steg mot en politisk union."
"Will the Commission ensure respect for Article 6 of the TEU?", "Kommer kommissionen att tillse att artikel 6 i EU-fördraget respekteras?"
"Is it ready to activate the procedure provided for in Article 7 TEU if necessary?", "Är rådet berett att om nödvändigt inleda det förfarande som avses i artikel 7 i fördraget om Europeiska unionen?"
"Is it ready to activate the procedure provided for in Article 7 TEU if necessary?", "Är kommissionen beredd att om nödvändigt inleda det förfarande som avses i artikel 7 i fördraget om Europeiska unionen?"
"Is it ready to activate the procedure provided for in Article 7 TEU if necessary?", "Är kommissionen beredd att om nödvändigt inleda det förfarande som avses i artikel 7 i fördraget om Europeiska unionen?"
"Will the Council ensure respect of Article 6 TEU?", "Kommer rådet att tillse att artikel 6 i EU-fördraget respekteras?"
"Is the UK Presidency exploring positively the potential to use Article 42 TEU for this purpose?", "Därför kan varken rådet eller ordförandeskapet ge någon information om sådant samarbete till Europaparlamentet."
"Freedom, security and justice (annual debate) (Articles 2 and 39 TEU) (debate)", "Årlig debatt om framsteg som gjorts på området för frihet, säkerhet och rättvisa (artiklarna 2 och 39 i EU-fördraget) (debatt)"
"Is the UK Presidency exploring positively the potential to use Article 42 TEU for this purpose?", "Har det brittiska ordförandeskapet övervägt möjligheten att tillämpa artikel 42 i EU-fördraget för detta ändamål?"
"Is the Commission ready if necessary to activate the procedure provided for in Article 7 TEU of the EU Treaty?", "Är kommissionen beredd att om nödvändigt inleda det förfarande som avses i artikel 7 i EU-fördraget?"
"Fundamental Rights Agency - activities under Title VI TEU (vote)", "Byrån för grundläggande rättigheter - verksamheter under avdelning VI i fördraget om Europeiska unionen (omröstning)"
"Under the terms of the TEU, the exchange of customs information must be set within the framework of the EC Treaty.", "Tullinformationsutbytet ska enligt Fördraget om Europeiska unionen beredas plats inom ramen för EG-fördraget."
"Article K.6 of the TEU provides for Parliament to be informed and/or consulted by the Council Presidency in the framework of Chapter 6.", "Artikel K6 anger att ordförandeskapet informerar och/eller samråder med parlamentet inom ramen för kapitel 6."
"Article K.6 of the TEU provides for Parliament to be informed and/ or consulted by the Council Presidency in the framework of Chapter 6.", "Artikel K6 anger att ordförandeskapet informerar och / eller samråder med parlamentet inom ramen för kapitel 6."
"The procedures and conditions relating to a European citizens' initiative under Article 11(4) TEU have not yet been laid down.", "Förfarandena och villkoren för ett medborgarinitiativ i enlighet med artikel 11.4 i fördraget om Europeiska unionen är ännu inte fastställda."
"Can the Commission clarify, as a matter of urgency, whether the actions of the Slovakian Government constitute an infringement of Article 6 of the TEU?", "Skulle kommissionen omgående kunna klargöra om den slovakiska regeringens åtgärder strider mot artikel 6 i EU-fördraget?"
"Under Article 19 TEU, the Court of Justice of the European Union includes the Court of Justice, the General Court and specialised courts.", "I enlighet med artikel 19 i fördraget om Europeiska unionen omfattar Europeiska unionens domstol domstolen, tribunalen och specialinstanser."
"The Commission and the Parliament propose activation of the 'bridging clauses' provided for in Articles 42 TEU and 67 TEC.", "Kommissionen och parlamentet föreslår att de ”övergångsklausuler” som föreskrivs i artikel 42 i EU-fördraget och artikel 67 i EG-fördraget tas i bruk."
"The Danish Social Democrats are aware, that the proposal concerns an issue within section IV in the TEU, on which Denmark has an opt-out.", "De danska socialdemokraterna är medvetna om att förslaget gäller en fråga inom avsnitt IV i Fördraget om Europeiska unionen för vilken Danmark har ett undantag."
"Could the Commission please tell Parliament the circumstances and the groups within Article 13 (TEU) likely to be effected by such an exemption?", "Kan kommissionen informera parlamentet om vilka situationer och grupper inom ramen för artikel 13 (EU-fördraget) som kan påverkas av ett sådant undantag?"
