//Sentences
"Not too long ago I was in Moscow where we will be getting another system in the form of GLONASS.", "Jag var för inte alltför länge sedan i Moskva, där vi skulle få ett tilläggssystem med Glonass."
"The UK Government proposes to allow GM crops to be grown alongside conventional and organic crops.", "Den brittiska regeringen har för avsikt att tillåta att genmodifierade grödor odlas jämsides med traditionella och organiska grödor."
"Regarding the suggested lifting of the Moratorium on GM crops, gene transfer is now a proven fact.", "Beträffande föreslaget att lyfta moratoriet för genetiskt modifierade grödor, har överförandet av gener nu bevisats vara ett faktum."
"With the necessary expertise in research and cultivation of GM crops, the results are expected next spring.", "Undersökningen genomförs tillsammans med sakkunniga inom forskning om och odling av GM-grödor, och resultaten väntas till våren."
"It is possible to separate GM crops both in the fields at harvest time, in the course of transportation and during processing.", "Det är möjligt att åtskilja genetiskt modifierade växter både i jorden, vid skörd, transport och bearbetning."
"In my own country of Ireland what hope is there of protected non-GM crops from contamination of this kind?", "Vad finns det för hopp om att skydda icke-genetiskt modifierade grödor från den här typen av nedsmittning i mitt eget land, Irland?"
"However, consumers are entitled to information about whether or not they are eating GM food.", "Men konsumenterna har rätt till information angående om de äter genmat eller inte."
"Obviously, I would also like to increase consumer confidence in GM food.", "Naturligtvis vill även jag öka konsumentens förtroende för GMO-livsmedel."
"There was a question regarding enzymes and the GM Food and Feed Regulation.", "Det var en fråga som gällde enzymer och förordningen om genetiskt modifierade livsmedel och foder."
"This is why GM food and feed products are subject to pre-market approval.", "Därför måste genetiskt modifierade livsmedels- och foderprodukter godkännas innan de släpps ut på marknaden."
"Never will it dawn on him that he has eaten GM food.", "Han har ingen aning om att han har konsumerat genmodifierat livsmedel."
"Demand for GM food is not driven by consumers.", "Efterfrågan på genetiskt modifierade livsmedel styrs inte av konsumenterna."
"Mr President, 70% of European people do not want to eat GM food, but we are all eating it unwittingly.", "Herr talman! 70 procent av de europeiska medborgarna vill inte äta någon genmat. Men vi äter alla omärkt genmat."
"Mr President, these reports are about allowing people the choice whether or not to eat GM food.", "Herr talman! Dessa betänkanden handlar om att ge folk möjlighet att välja om de vill äta genetiskt modifierat livsmedel eller inte."
"It is quite sickening to think that Christian Democrats and right-wing Liberals should want to feed our citizens GM food unwittingly.", "Kristdemokraterna och liberalerna vill låta våra medborgare äta omärkt genmat. Usch, så äckligt!"
"To say to consumers that we can guarantee food is GM-free would amount to deception.", "Att säga till konsumenten att man kan garantera livsmedel utan några som helst genetiskt modifierade organismer skulle vara detsamma som att ljuga."
"This approach is defined not only by general food law but also by the Regulation on GM food and feed.", "Denna uppläggning definieras inte bara i den allmänna livsmedelslagstiftningen utan även i förordningen om genmodifierade livsmedel och foder."
"The SME's of Agriculture do not appear to have been protected or supported in the world of GM food production.", "Små och medelstora företag inom jordbruket verkar inte skyddas eller stödjas i en värld av med genetiskt modifierad livsmedelsproduktion."
"The Commission considers that these requirements are fully provided for by the proposed GM food and feed regulation.", "Kommissionen bedömer att man i den föreslagna förordningen om genmodifierat livsmedel och djurfoder tar fullständig hänsyn till dessa krav."
"This is the age of non-GM food and organic products, and the proposals before us represent a major step backwards.", "Det som gäller nu är icke genetiskt modifierad mat och organiska produkter, och de förslag vi har framför oss innebär ett stort steg tillbaka."
"Under the legislation, GM food and feed can be legally put on the market only if it is safe and appropriately labelled.", "Enligt lagstiftningen får genmodifierade livsmedel och foder lagligt föras ut på marknaden endast om de är säkra och vederbörligen märkta."
"The consumers do not want GM food, so why are we being forced into it just for the benefit of multinational companies?", "Konsumenterna vill inte ha genetiskt modifierade livsmedel, så varför tvingas vi då till det för att de multinationella företagen skall kunna tjäna pengar?"
"The EU legislative framework on GM food and feed aims primarily at ensuring the safety of the products placed on the market.", "EU:s regelverk om genetiskt modifiderade livsmedel och foder syftar framför allt till att garantera att de produkter som förs ut på marknaden är säkra."
"Acceptance of these amendments would undermine the political agreement reached on the proposal on GM food and feed.", "Om vi skulle godta dessa ändringsförslag skulle vi undergräva den politiska överenskommelse som uppnåtts angående förslaget om genetiskt modifierade livsmedel och foder."
"We have listened to the concerns of people across Europe calling for the right to make an informed choice about GM food.", "Vi har lyssnat till de farhågor som Europas medborgare har framfört när de kräver rätten att göra ett välunderbyggt val när det gäller genetiskt modifierade livsmedel."
"I also welcome the change that clarifies further the interplay between the regulation on enzymes and the GM food and feed legislation.", "Jag välkomnar också ändringen som ytterligare klargör samspelet mellan förordningen om livsmedelsenzymer och lagstiftningen om genmodifierade livsmedel och foder."
"Consumers want to be able to decide freely between GM products and conventional products.", "Konsumenterna vill fritt kunna välja mellan GMO-produkter och konventionella produkter."
"However, I see no certain gains from growing GM products in Europe.", "Jag ser emellertid inga uppenbara fördelar med att odla genetiskt modifierade produkter i Europa."
"This is why GM food and feed products are subject to pre-market approval.", "Därför måste genetiskt modifierade livsmedels- och foderprodukter godkännas innan de släpps ut på marknaden."
"We have labels on meat, wine, GM products, chocolate.", "Man sätter etiketter på köttet, vinet, de genetiskt modifierade organismerna, chokladen."
"Since 2005 a series of genetically-modified (GM) products have been authorised for import into the European Union.", "Sedan 2005 har en rad genetiskt modifierade produkter godkänts för import till EU."
"A tolerance threshold of 1% for the adventitious presence of GMOs in non-GM products is realistic.", "En toleransgräns på 1 procent för slumpartad förekomst av GMO i icke GMO-produkter vore realistisk."
"A tolerance threshold of 1 % for the adventitious presence of GMOs in non-GM products is realistic.", "En toleransgräns på 1 procent för slumpartad förekomst av GMO i icke GMO-produkter vore realistisk."
"Mr President, Mr Schnellhardt has stated that I am organising a campaign for a moratorium on buying GM products.", "Herr talman! Schnellhardt sade att jag skulle organisera en kampanj rörande ett köpmoratorium."
"This will provide consumers with the freedom to choose between GM and non-GM products.", "Därigenom kommer konsumenterna att kunna välja mellan produkter som är genetiskt modifierade och produkter som inte är det."
"Subject: EU policy on GM products", "Angående: EU:s politik för produkter som innehåller genetiskt modifierade organismer"
"Consumers are making it clear - and saying so in every survey - that they do not want GM products.", "Konsumenterna visar - och det beläggs i alla enkäter - att de inte vill ha några genetiskt modifierade produkter."
"I am satisfied with the rules on GM products.", "Jag är nöjd med reglerna om genetiskt modifierade produkter."
"The proposal of the Commission maintains the ban on the deliberate use of GMOs or GM-derived products.", "I kommissionens förslag upprätthålls förbudet mot avsiktlig användning av GMO och genetiskt modifierade produkter."
"With our vote today, we are trying to give people the right to make a genuine choice about GM products.", "I och med vår omröstning i dag försöker vi ge människor rätten att göra ett genuint val beträffande genmodifierade produkter."
"With our vote today, we are trying to give people the right to make a genuine choice about GM products.", "(EN) I och med vår omröstning i dag försöker vi ge människor rätten att göra ett genuint val beträffande genmodifierade produkter."
"This is the age of non-GM food and organic products, and the proposals before us represent a major step backwards.", "Det som gäller nu är icke genetiskt modifierad mat och organiska produkter, och de förslag vi har framför oss innebär ett stort steg tillbaka."
"Extending traceability to livestock products, where GM feed has been used in feeding the animals, is not a realistic idea.", "Tanken att utvidga spårbarheten för en produkt till att omfatta även GM-foder ifall det använts till utfodring av djur är inte realistisk."
"Europe has large volumes of trade with major GM producers - although trade in GM products has mainly concerned products for animal feed.", "Europa har stora handelsvolymer med större GM-producenter - även om handel av genetiskt modifierade produkter huvudsakligen har avsett djurfoderprodukter."
"What is abundantly clear to me is that the GM origin of products is something that really matters to a large number of consumers.", "Något som framstår som mycket tydligt för mig är att det är viktigt för ett stort antal konsumenter att få veta om det finns genetiskt modifierat material i produkterna."
"Basically, Europe lags behind only in certain high-tech sectors: ICT, biotechnology, pharmaceuticals and GM products.", "På det hela taget är det endast inom vissa högteknologiska sektorer som EU ligger efter, nämligen informations- och kommunikationsteknik, bioteknik, läkemedel och genmodifierade produkter."
"I believe the model that the GMB and IG BCE have developed will be a good model for the future.", "Jag anser att den modell som utvecklats av GMB och IG BCE blir en lyckad modell för framtiden."
"Co KG and a company called Psi Transcom GmbH.", "Co KG och Psi Transcom GmbH i projektet, med den officiella målsättningen att ”öka säkerheten”."
"Altmark Trans GmbH (C-280/00, ruling of 24.7.", "Altmark Trans GmbH (C-280/00, dom av den 24.7."
"The Fiat company is planning to close one of its operations in Berlin (CNH Baumaschinen GmbH) in order to strengthen its own production capacities.", "Fiat-koncernen planerar att lägga ned ett av sina företag i Berlin (CNH Baumaschinen GmbH) för att stärka den egna produktionskapaciteten."
"As one example of that, the union of which I am a member, the GMB has reached an agreement with IG BCE, the chemical union in Germany.", "Som ett exempel på detta, har den fackliga organisation som jag tillhör, GMB, uppnått en överenskommelse med IG BCE, kemibranschens fackliga organ i Tyskland."
"One European car maker, Adam Opel GmbH in Germany, a 100% subsidiary of General Motors, is currently in very worrying financial waters.", "En europeisk biltillverkare, Adam Opel GmbH i Tyskland, ett helägt dotterbolag till General Motors, befinner sig just nu i en mycket bekymmersam ekonomisk situation."
"I believe that the case of the workers from Nokia GmbH, in the German region of Bochum, justifies European aid, as was previously given in Portugal.", "Jag anser att fallet med arbetstagare från Nokia GmbH i den tyska regionen Bochum är berättigat till EU-stöd, på samma sätt som tidigare skett i Portugal."
"One firm involved in such trade is the German company, Warendienst OCC GmbH, which arranges deliveries from Germany to individuals in Sweden via the Internet.", "Ett exempel på detta är det tyska företaget Warendienst OCC GmbH som via Internet förmedlar leveranser från Tyskland till privatpersoner i Sverige."
"I believe that the case of the Nokia GmbH employees and of the German region of Bochum warrants mobilisation of European aid, just as it has already been mobilised previously for Portugal.", "Jag anser att Nokia GmbH:s anställda och den tyska regionen Bochum är berättigade till EU-stöd, på samma sätt som tidigare skett när det gäller Portugal."
"The only GMO crop currently cultivated in the European Union is Bt-maize MON 810.", "Den enda genmodifierade gröda som för närvarande odlas i EU är Bt-majsen MON 810."
"In other words, the cost of remedying the damage must be borne by GMO farming.", "Med andra ord, kostnaden för ersättning av skador måste uppbäras av GMO-jordbruket."
"Foods which come from animals that have been fed GMO feedstuffs must be labelled.", "Livsmedel som kommer från djur som har fötts upp på GMO-foder måste märkas."
"On the one hand, I want to reject GMO technology, which is far from being problem-free.", "Jag vill å ena sidan säga nej till GMO-tekniken, som är långt ifrån problemfri."
"Today the European Council is deciding whether to write the public out of the GMO process.", "I dag avgör Europeiska rådet om allmänheten skall utestängas från GMO-processen."
"In addition to GMO-related issues, general issues of food safety were also discussed.", "Utöver GMO-relaterade frågor behandlades även frågor om livsmedelssäkerhet."
"Consumers must be able to choose whether or not to buy GMO products.", "Konsumenterna måste kunna göra ett val om de vill köpa GMO-produkter eller inte."
"The question of GMO and organic farming has generated a lot of debate.", "Frågan om GMO och ekologiskt jordbruk har gett upphov till en hel del debatt."
"Today my colleagues Mr Byrne and Mrs Wallström talked about the GMO area.", "Mina kolleger Byrne och Wallström har i dag talat om genetiskt modifierade organismer."
"I can assure you all that GMO are significantly more alarming than chemical contamination.", "Jag kan försäkra er alla om att GMO är betydligt mer alarmerande än kemisk förorening."
"The rapporteur proposes the rigorous separation of traditional and GMO crops.", ".– Föredraganden föreslår att traditionella och genmodifierade grödor noggrant hålls i sär."
"So it is worth trying hard to reverse majorities in plenary on GMO issues.", "Så det är värt att försöka vända majoriteten i kammaren om GMO-frågor."
"Moreover, I take the view that GMO-free products should not be more expensive than GMO products.", "Dessutom anser jag att GMO-fria produkter inte skall vara dyrare än GMO-produkter."
"Firstly, I wish to reply to your question on GMO research in general.", "Först och främst vill jag besvara er fråga om GMO-forskning i allmänhet."
"On a global scale, GMO cultivation has increased dramatically in recent years.", "Globalt sett har odling av genetiskt modifierade organismer ökat dramatiskt under de senaste åren."
"They explained to us that the Romanian authorities had lost all control over GMO crops.", "De förklarade för oss att de rumänska myndigheterna hade förlorat all kontroll över GMO-grödor."
"As expected, the issue of GMO involvement has been an area of some controversy.", "Precis som förväntat har frågan om iblandning av genmodifierade produkter varit något kontroversiell."
"In addition, nearly 100% of the processed and packaged foodstuffs would receive a GMO label.", "Och nästan 100 procent av de bearbetade och av de förpackade livsmedlen får en GMO-etikett."
"Anything which involves GMO legislation should not be included in the regulation on novel foods.", "Inget som rör GMO-lagstiftning ska ingå i förordningen om nya livsmedel."
"In addition, nearly 100 % of the processed and packaged foodstuffs would receive a GMO label.", "Och nästan 100 procent av de bearbetade och av de förpackade livsmedlen får en GMO-etikett."
"Consumers must be able to choose whether or not to buy GMO products.", "Konsumenterna måste kunna göra ett val om de vill köpa GMO-produkter eller inte."
"Moreover, I take the view that GMO-free products should not be more expensive than GMO products.", "Dessutom anser jag att GMO-fria produkter inte skall vara dyrare än GMO-produkter."
"We consider that the producers of GMO products must be ultimately responsible for their products.", "Vi anser att producenterna av GMO-produkter i slutändan måste bära ansvaret för sina produkter."
"For that reason we are proposing that it should be compulsory to label GMO products as such.", "Därför föreslås ett krav på märkning av GMO-produkter."
"Have any studies been made of whether textiles made with GMO products have any effects on the wearer?", "Finns det studier som undersöker om människor påverkas av att bära textilier som har tillverkats av GMO?"
"They are making it virtually impossible to set up sectors capable of offering consumers GMO-free products.", "Det gör det praktiskt taget omöjligt att erbjuda konsumenterna produkter utan genetiskt modifierade organismer."
"So, whether some of us agree or disagree with the concept of GMO products, we are all bound by the European legislation.", "Så oavsett om somliga av oss är för eller emot GMO-produkter som företeelse är vi alla bundna av EU-rätten."
"In view of this, we should consider whether a special label should be introduced for GMO-free products.", "Mot den bakgrunden borde vi överväga att införa en särskild märkning för produkter som är fria från genmodifierade organismer."
"To read our proposal as ‘to allow 0.9% of GMO content in products labelled organic’ is a clear misinterpretation.", "Att läsa vårt förslag som att vi vill tillåta 0,9 procent GMO i produkter som märks som ekologiska är att misstolka det."
"To read our proposal as ‘ to allow 0.9 % of GMO content in products labelled organic ’ is a clear misinterpretation.", "Att läsa vårt förslag som att vi vill tillåta 0,9 procent GMO i produkter som märks som ekologiska är att misstolka det."
"It is essential to ensure the safe and proper use of GMO products within the European Union.", "Den är nödvändig för att säkerställa en säker och lämplig användning av produkter som innehåller genetiskt modifierade organismer i Europeiska unionen."
"This could lead to GMO products evading the thorough controls, time limits and evaluation proposed in this directive.", "Detta kan resultera i att GMO-produkter undgår den grundliga kontroll, tidsbegränsning och bedömning som föreslås i detta direktiv."
"I also have to insist that in the European Union we have the highest standards and the strictest legislation when it comes to GMO products.", "Jag måste också insistera på att vi i EU har de högsta normerna och den striktaste lagstiftningen för GMO-produkter."
"Fortunately there are proposals from the rapporteur which give people with ethical objections the freedom to choose GMO-free products.", "Lyckligtvis föreligger förslag från föredraganden som ger människor med etiska betänkligheter friheten att välja GMO-fria produkter."
"In my view, the best combination is a non-GMO label along with a label which features a GMO for products in which these are present.", "Enligt min åsikt är den bästa lösningen att kombinera en icke-GMO-etikett med en etikett med GMO på för produkter som också innehåller GMO."
"To tolerate the 0.9% of GMO contamination proposed by the report would mean accepting GMO contamination of organic products.", "Att tillåta en GMO-kontaminering på 0,9 procent som föreslås i betänkandet skulle innebära att man godtar GMO-kontaminering av ekologiska produkter."
"That is at odds with the Cartagena Protocol, under which countries may reject new GMO products if they have doubts about their safety.", "Detta strider mot Cartagenaprotokollet, som innebär att länder får avvisa nya genetiskt modifierade produkter om de tvivlar på att de är säkra."
"Biotechnological agriculture there announced that it can no longer guarantee that its products are GMO-free because of cross-pollination.", "Det biologiska jordbruket där har låtit veta att det inte längre kan garantera att dess produkter är GMO-fria på grund av korsbefruktningen."
"Many constituents have written to me about the Commission's proposal to allow 0.9% of GMO content in products labelled organic.", "Många väljare har skrivit till mig om kommissionens förslag att tillåta ett 0,9-procentigt innehåll av genmodifierade organismer i ekologiskt märkta produkter."
"Many constituents have written to me about the Commission's proposal to allow 0.9 % of GMO content in products labelled organic.", "Många väljare har skrivit till mig om kommissionens förslag att tillåta ett 0,9-procentigt innehåll av genmodifierade organismer i ekologiskt märkta produkter."
"The moratorium on GMOs will therefore be lifted, as desired by the Member States.", "Moratoriet för GMO kommer därmed att hävas, precis som medlemsstaterna vill."
"In this form of agriculture, seeds may not contain any GMOs or pesticides.", "I den här sortens jordbruk får utsädet inte innehålla GMO eller växtskyddsmedel."
"What we have as a result is the unnecessary fragmentation of legislation on GMOs.", "Det föreligger med andra ord en onödig uppdelning av lagstiftningen om GMO."
"We are still in discussion about products from animals that were fed GMOs at some stage.", "Vi diskuterar fortfarande produkter från djur som någon gång har matats med GMO."
"At the moment they are being denied that choice by prejudice against GMOs.", "För närvarande förvägras de det valet på grund av fördomar mot GMO-produkter."
"What effects does the toxicity of GMOs have on public health and the environment?", "Vilka effekter har genetiskt modifierade organismers toxicitet på folkhälsan och miljön?"
"Those problems, namely corruption and GMOs, must be resolved by the beginning of next year.", "Dessa problem, dvs. korruption och GMO, måste lösas senast i början av nästa år."
"Just who is going to benefit from this amended regulation which includes GMOs?", "Vem skall gynnas av denna ändrade förordning där genetiskt modifierade organismer införs?"
"Coexistence cannot be a reason to further delay the authorisation of new GMOs.", "Samexistens får inte vara en orsak till att ytterligare fördröja godkännandet av nya GMO."
"We must very clearly refuse to allow non-authorised GMOs onto the market.", "Vi måste tydligt vägra att icke-tillåtna genmodifierade organismer saluförs."
"We have rightly refused to allow GMOs in chocolate, but only by three votes.", "Med tre röster när har vi just sagt nej till att förbjuda GMO i choklad."
"We must therefore be able to label GMOs and provide proper information about them.", "Jag tycker det är mycket välbalanserat, men jag har några kommentarer."
"However, the legal framework governing the approval of GMOs has not yet been changed.", "Det rättsliga ramverket för godkännanden av GMO har ännu inte förändrats."
"For how can we protect the environment while excluding nuclear activities and GMOs?", "För hur kan man skydda miljön genom att utesluta atomenergi och genmodifierade organismer?"
"Once again, the European Parliament is saying a categorical NO to the use of GMOs.", "Återigen säger parlamentet kategoriskt NEJ till användningen av GMO."
"Why, then, is there all this fuss, all these vague fears about GMOs?", "Varför då detta rabalder och denna dunkla fruktan inför genmodifierade organismer?"
"The rapporteur places the emphasis on the testing and labelling of GMOs in feed additives.", "Föredraganden har betonat prövning och märkning av GMO i fodertillsatsen."
"Furthermore, we are not in favour of the increased use of GMOs in food production.", "Vi stöder inte heller en ökad användning av genmodifierade organismer i livsmedelsproduktionen."
"Finally, the use of GMOs must be prohibited in organic farming.", "Avslutningsvis måste användningen av GMO förbjudas i det ekologiska jordbruket."
"These rules date from a period when GMOs were not generally cultivated or imported.", "Dessa bestämmelser går tillbaka till en tid då GMO i allmänhet inte odlades eller importerades."
