//Sentences
"The natural logarithm to the base e of the value 3 will return 1.1 as the result.", "Den naturliga logaritmen för basen e för värdet 3 ger som resultat 1,1."
"Just earlier in your statement, you said that just as third countries cannot impose standards in the EU, so the EU cannot impose standards on other countries.", "Tidigare under ert uttalande sade ni att tredjeländer inte kan tvinga EU att följa deras normer och att EU därför inte kan tvinga andra länder att följa våra normer."
". - Mr President, I would like to thank everybody for contributing to the debate and, as I said in my earlier statement, I wholeheartedly welcome Parliament's report.", "ledamot av kommissionen. - (EN) Herr talman! Jag vill tacka alla för att ha bidragit till debatten, och som jag sade i mitt tidigare uttalande välkomnar jag helhjärtat parlamentets betänkande."
"Please do not tell people that the economic stimulus package corresponds to 1.5% of GDP.", "Säg inte till folk att det ekonomiska stimulanspaketet motsvarar 1,5 procent av BNP."
"Therefore, the proposed economic stimulus instruments should certainly receive our support.", "Därför bör de föreslagna ekonomiska stimulansinstrumenten utan tvekan få vårt stöd."
"Now, once again, we have the debate about the economic stimulus package.", "Nu diskuterar vi åter det ekonomiska stimulanspaketet."
"There should be economic stimulus in the form of grants, tax allowances, contributions or cofinancing.", "Det bör finnas ekonomiska incitament i form av bidrag, skattelättnader eller samfinansiering."
"With this in mind, we are putting forward our thoughts on implementing the economic stimulus plan.", "Med detta i åtanke presenterar vi våra åsikter om genomförande av den ekonomiska stimulansplanen."
"The Commission also gave its first assessment of the results of the European economic stimulus package.", "Kommissionen presenterade också sin första analys av resultatet för EU:s ekonomiska stimulanspaketet."
"Parliament should not delay this money, which would give the region a much-needed economic stimulus.", "Parlamentet får inte förhala dessa utbetalningar, som skulle ge regionen en välbehövlig ekonomisk stimulans."
". - Mr President, the current economic downturn requires a stimulus also at EU level.", "ledamot av kommissionen. - (EN) Herr talman! Den rådande ekonomiska nedgången kräver stimulans på EU-nivå."
"It should be noted that for small businesses the Structural Funds are a crucial tool for economic stimulus.", "Det bör noteras att strukturfonderna för småföretagen är ett mycket viktigt redskap för ekonomisk stimulans."
"We all know that conventional economic stimulus packages fizzle out, increase state indebtedness and have no long-term impact.", "Vi vet alla att konventionella ekonomiska stimulanspaket rinner ut i sanden, ökar statsskulden och inte har någon långsiktig inverkan."
"In April 2009, Parliament and the Council agreed on the funding for the first part of the economic stimulus proposed by the Commission.", "I april 2009 enades parlamentet och rådet om finansieringen av den första delen av den ekonomiska stimulans som kommissionen föreslagit."
"This new project is part of the EUR 3.5 billion economic stimulus package which was announced by the European Commission last week in Brussels.", "Detta nya projekt är en del av det stimulanspaket på 3,5 miljarder euro som tillkännagavs av kommissionen förra veckan i Bryssel."
"I hope that the Commission will find time to examine this problem more closely in the overall context of the European economic stimulus plan.", "Jag hoppas att kommissionen får tid att granska detta problem närmare inom den övergripande ramen för EU:s ekonomiska stimulansplan."
"Therefore, it is a welcome development that the European economic stimulus plan should set aside resources for the construction of the gas pipeline.", "Det är därför en välkommen utveckling att det i EU:s plan för ekonomisk stimulans anslås resurser för byggandet av gasledningen."
"We must recognise that the success of the economic stimulus packages launched by the Member States is closely related to the attainment of EU goals.", "Vi måste inse att framgången för de ekonomiska stimulanspaket som lanserats av medlemsstaterna är att vi uppnår gemensamma EU-mål."
"The purpose of this proposal is to provide additional economic stimulus to certain Member States, which had seriously suffered from the economic crises.", "Syftet med detta förslag är att ge ytterligare ekonomisk stimulans till de medlemsstater som drabbades värst av den ekonomiska krisen."
"Secondly, in proportion to the entire economic stimulus package, relatively little funding will be devoted to strengthening alternative supply routes.", "För det andra utgör anslagen till utveckling av alternativa försörjningsvägar en ganska liten andel av hela det ekonomiska stimulanspaketet."
"Its impact assessments need to be adjusted to take full account of the huge economic benefits that this stimulus can give to our economy.", "Konsekvensbedömningarna behöver justeras så att de tar full hänsyn till de enorma ekonomiska fördelarna som denna stimulans kan innebära för vår ekonomi."
"These are measures that involve changes, but they are also a genuine, decisive stimulus for economic growth through job creation.", "Dessa åtgärder kommer att inbegripa förändringar, men de stimulerar också på ett genuint och avgörande sätt till ekonomisk tillväxt genom skapande av arbetstillfällen."
"The EUR 200 billion economic stimulus plan, the simplification of regulations and the streamlining of the institutional system are effective changes.", "Den ekonomiska stimulansplanen för 200 miljarder euro, förenklingen av reglerna och effektiviseringen av det institutionella systemet är verkliga förändringar."
"For this reason, access to educational and professional guidance services is essential.", "Därför måste det finnas tillgång till handledningstjänster för utbildning och yrkesverksamhet."
"We would like to add educational services to that.", "Vi skulle även vilja lägga till utbildningstjänster."
"We often cite telephone, transport, financial, medical, and educational services.", "Vi hänvisar ofta till telefon-, utbildnings- och transporttjänster samt finansiella och medicinska tjänster."
"I very much hope that in every country in the region we will find that educational services promote tolerance rather than intolerance.", "Jag hoppas verkligen att vi i varje land i regionen kommer att få se utbildningstjänster som främjar tolerans och inte intolerans."
"You can have a poster for a family event in front of the house, or a rave underneath the house or a weekly program, as well as educational services.", "Du kan göra en plansch för ett familjearrangemang framför huset, eller en ravefest under huset, eller ett veckoprogram liksom utbildningstjänster."
"I have in mind the reference to sending an electoral observation mission to Lebanon.", "Jag tänker på hänvisningen till att det skulle sändas valobservatörer till Libanon."
"In the electoral observation guidelines there is a specific section on women.", "I riktlinjerna för valobservatörsuppdragen finns det ett särskilt avsnitt om kvinnor."
"My duties as head of the electoral observation mission have not finished.", "Min uppgift som ansvarig för valobservatörsuppdraget är inte över."
"It made the operation a reference point for electoral observation in countries in crisis.", "Det gjorde operationen till en referenspunkt för valövervakning i länder som befinner sig i kris."
"Otherwise, our electoral observation missions would be pointless.", "I annat fall skulle våra valövervakningsuppdrag vara meningslösa."
"We should not take it for granted that we will be able to carry out effective electoral observation.", "Vi får inte ta det för givet att vi kommer att kunna genomföra effektiva valobservationer."
". – I took part in Parliament’s Electoral Observation Mission in the Democratic Republic of Congo.", ". – Jag deltog i parlamentets valobservationsuppdrag i Kongo."
"To the Commissioner, I say I am very proud of the work that we do on electoral observation.", "Till kommissionsledamoten säger jag att jag är mycket stolt över det arbete vi gör när det gäller valövervakning."
"A European electoral observation mission was sent to the country headed by Mr Cristian Preda, MEP.", "Ett europeiskt valobservationsuppdrag skickades till landet under ledning av parlamentsledamot Cristian Dan Preda."
"In addition, the foreseen electoral observation mission for the general elections on 29 November was cancelled.", "Dessutom har det planerade valobservationsuppdraget för det allmänna valet den 29 november ställts in."
"The involvement of members of this House in electoral observation missions plainly makes considerable sense.", "Det är helt enkelt väldigt förnuftigt att ledamöter från denna kammare deltar i valövervakningsuppdragen."
"Mr President, I would like to start by echoing the congratulations to the EU electoral observation mission.", "(EN) Herr talman! Jag vill börja med att stämma in i gratulationerna till EU:s delegation för valövervakning."
"In general we have, over the years, managed to build up a global position as a quality electoral observation party.", "Rent allmänt har vi, under årens lopp, lyckats bygga upp en global ställning som en valobservatör av hög kvalitet."
"We need to continue this cause, and I welcome the fact that the Commissioner is sending a strong electoral observation mission.", "Vi måste fortsätta hennes kamp och jag välkomnar att kommissionsledamoten skickar en stor valobservatörsstyrka."
"I also remind you of the need to integrate the findings of the electoral observation missions into follow-up in the country.", "Jag vill också påminna er om behovet av att integrera resultaten från valobservatörsuppdragen i uppföljningen i landet."
"I should like to underline that 300 000 Ukrainians were also involved in this electoral observation, which is quite a gigantic effort.", "Jag vill betona att 300 000 ukrainare också deltog i valobservationen, vilket verkligen är en enastående insats."
"With regard to the elections, you surely remember how hopeful I was in July that we could also dispatch an electoral observation mission.", "När det gäller valen minns ni säkert hur hoppfull jag var i juli om att vi också skulle kunna skicka en valobservatörsgrupp."
"The EU should respond to UN requests through use of its political, humanitarian, electoral observation and development assistance tools.", "EU borde svara på FN:s begäran genom att använda sina politiska och humanitära verktyg, såsom valobservatörer och utvecklingsbistånd."
"One final point I would like to make is that the value of an electoral observation exercise is seriously diminished if there is no follow-up.", "En sista fråga jag vill ta upp är att värdet av ett valövervakningsuppdrag minskar väsentligt om det inte sker någon uppföljning."
"After all, we approved the elections in Cambodia, in what was one of the biggest fiascos on the electoral observation front.", "När allt kommer omkring var det vi som godkände valet i Kambodja, vilket måste betecknas som ett av de största fiaskona på området valobservation."
"I wonder if that same understanding would have been forthcoming had it been the opposite party that had emerged victorious!", "Vem vet om motsvarande förståelse hade visats om motståndarsidan hade vunnit!"
"(HU) Mr President, two of Hungary's neighbours, Austria and Slovenia, have held elections and in both countries the Social Democrats have emerged victorious.", "(HU) Herr talman! Två av Ungerns grannländer, Österrike och Slovenien, har hållit val, och i båda länderna har socialdemokraterna segrat."
"The central panel of the European economic horizon is still, however, the Stability and Growth Pact, which has emerged victorious from the economic storm of recent months.", "Det centrala i det europeiska ekonomiska panoramat förblir emellertid stabilitets- och tillväxtpakten, som klarat sig bra undan de senaste månadernas ekonomiska stormar."
"It has already done battle and emerged victorious: Kyoto is the battle that it won, a battle for its signature, initially, and a battle for ratification later on.", "Den har redan fört en kamp och utgått som segrare: Kyoto är den kamp som har vunnits, en kamp som inledningsvis gällde undertecknandet och därefter ratificeringen av Kyotoavtalet."
"Perhaps we should discuss whether we need to strengthen employee organisations, for example by strengthening union rights.", "Vi borde kanske diskutera om vi behöver stärka arbetstagarparten, t.ex. stärka fackföreningarnas rättigheter."
"Representatives of the profession, and in particular of employee organisations, will be on the board of directors of the agency.", "Företrädare för branschen, och i synnerhet arbetstagarorganisationer, kommer att sitta med i styrelsen för byrån."
"In Finland, action to maintain the capacity to work is taken jointly by the employer, the employee and the cooperation organisations.", "Hos oss arbetar arbetsgivaren, arbetstagaren och samarbetsorganisationerna tillsammans för att bibehålla arbetsförmågan."
"However, achieving reform means reforming personnel regulations, which would require good cooperation with employee organisations, among others.", "Genomdrivandet av reformen innebär dock förnyande av tjänsteföreskrifterna, vilket i sin tur förutsätter ett gott samarbete med bland annat arbetstagarorganisationerna."
"Legislative and non-legislative methods work where there are employee organisations able to use the laws, recommendations and guidelines which we draw up.", "Både lagstiftande och icke-lagstiftande metoder fungerar i den utsträckning det finns starka arbetstagarorganisationer som kan utnyttja de lagar, rekommendationer och riktlinjer som vi utfärdar."
"This dialogue will enable us to examine all questions of interest to the two parties.", "Denna dialog gör det möjligt att granska alla frågor som berör parterna."
"This would enable full consultation of all economic actors and stakeholders.", "Detta skulle möjliggöra ett fullständigt samråd med alla ekonomiska aktörer och intressenter."
"They must be accommodated in special institutions that enable all this.", "De ska tas emot i särskilda institutioner som gör allt detta möjligt."
"Scholarships that are awarded must enable all categories of candidates to participate in these exchanges.", "Beviljade anslag bör tillåta alla kategorier av kandidater att delta i dessa utbyten."
"The level of aid must be maintained to enable all students to participate in the exchange programme.", "Vi måste kunna hålla stödet på en nivå som ger alla studerande möjlighet att delta i utbytesprogrammet."
"This would enable all citizens to feel safe.", "Detta skulle göra det möjligt för alla medborgare att känna sig trygga."
"The unification of Europe must enable us to overcome all the tragedies of the twentieth century.", "Det tillhör det tjugonde århundradets tragedier, som enandet av Europa i dag måste ge oss en möjlighet att övervinna."
"Finally, I urge the Member States to enable referenda in all Member States on proposals for Treaty change.", "Avslutningsvis uppmanar jag samtliga medlemsstater att hålla folkomröstningar om förslag om fördragsändringar."
"Finally, we urge the Member States to enable referenda in all Member States on proposals for Treaty change.", "Avslutningsvis uppmanar vi samtliga medlemsstater att hålla folkomröstningar om förslag om fördragsändringar."
"This will enable all third-country nationals living legally in the Schengen area to be identified in the same way.", "Detta gör det möjligt för alla tredjelandsmedborgare som bor lagligt i Schengenområdet att identifieras på samma sätt."
"Finally, I urge the Member States to enable referenda in all Member States on proposals for Treaty change.", "Slutligen uppmanar jag medlemsstaterna att möjliggöra folkomröstningar i alla medlemsstater om förslag till ändring av fördraget."
"Only this mutual respect will enable all of us to live as ordinary, honorary citizens in God's city on Earth.", "Bara denna ömsesidiga respekt kan göra det möjligt för oss alla att leva som vanliga, rättskaffens medborgare i Guds stad på jorden."
"Likewise, the Commission's report on monitoring carried out in that area should finally enable us all to draw conclusions.", "Likaledes skulle kommissionens rapport om de där genomförda kontrollerna äntligen få oss i stånd att kunna dra slutsatser."
"The Commission is currently increasing its personnel seconded to the Office to enable all its duties to be conducted.", "Kommissionen håller för närvarande på med att öka antalet anställda på byrån för att den skall kunna utföra alla sina uppgifter."
"We have a comprehensive package which will probably enable us to cover all the points which are important to this Parliament.", "Vi har ett fullständigt paket, och därigenom är vi kanske i stånd att ta med alla punkter som är viktiga för parlamentet."
"This review will enable us to examine all the possible improvements and to implement them for the period post-2012.", "Med hjälp av denna översyn kommer vi att kunna undersöka alla förbättringar som kan göras och genomföra dem för perioden efter 2012."
"The guarantee of cofinancing the Natura 2000 network via the structural funds will not enable it to meet all of its needs.", "Garantin om att samfinansiera Natura 2000-nätverket via strukturfonderna kommer inte att göra det möjligt att möta alla dess behov."
"It would enable the citizens in all Member States to follow our work in the committees in an effective, inexpensive and democratic manner.", "På så vis skulle medborgarna i alla medlemsstater kunna följa vårt arbete i utskotten på ett effektivt, billigt och demokratiskt sätt."
"We really did try to enable all the parties to contribute to our obtaining cars that are as safe as possible for unprotected road users.", "Vi försökte verkligen göra det möjligt för alla parter att bidra till att vi får bilar som är så säkra som möjligt för oskyddade trafikanter."
"It would be very good of you, Mr Danielsson, to make a proposal next time for a better arrangement that would enable all of us to be present.", "Det vore förtjusande om ni nästa gång kunde komma med ett förslag, för att hitta ett bättre förfarande, så vi alla verkligen kan närvara."
"In the end, it is all about us working together to serve the citizens of Europe.", "I slutändan handlar allt om att arbeta tillsammans för att tjäna EU:s medborgare."
"However, I will be making a statement at the end, when you will all still be here.", "Jag kommer dock att uttala mig om detta i slutet när ni fortfarande är kvar allihop."
"Anonymous international forces are quick to call an end to all the old certainties.", "Anonyma internationella krafter är snabba att sätta stopp för alla gamla tryggheter."
"Mr President, can I end up by thanking all the interpreters and thanking you all.", "(EN) Herr talman! Får jag avsluta med att tacka alla tolkar och er alla?"
"Secondly, actions to end all those terrorist acts and the decisions that they provoke.", "För det andra, åtgärder i syfte att utplåna alla provokativa handlingar och beslut."
"In the end, all the Member States except Italy and Spain decided to participate.", "Till slut beslöt alla medlemsstater utom Italien och Spanien att delta."
"By the way, let us bring an end to all of these extraordinary targeted rebates.", "Låt oss förresten få ett slut på alla dessa särskilda, riktade rabatter."
"Sooner or later the EU will have to end all this sweet talk and face facts.", "Förr eller senare måste EU sluta med detta gulliga prat och ta tag i fakta."
"One of our recommendations was to put an end to all oil transport on the Baltic Sea.", "En av våra rekommendationer var att sätta stopp för alla oljetransporter på Östersjön."
"When you get to the end ofthat field, eliminate all strongpoints on those ridges.", "När ni kommer till slutet av fältet eliminerar ni alla starka punkter."
"– Mr President, a start may be half the battle, but it is not the be all and end all.", "Detta är emellertid bara halva historien; denna konstitution måste godkännas."
"The European Union must support change and a complete end to all repression.", "Europeiska unionen måste stödja förändringar och ett fullständigt slut på all repression."
"In the end we must use all possible means to continue to develop these.", "Det måste vi sätta in alla krafter på, så att vi kan vidareutveckla dessa."
"I would like to end by thanking all the groups and their spokespersons for their efforts.", "Avslutningsvis tackar jag kommissionen, alla grupper och företrädarna för deras arbete."
"I too would like to end by thanking all those who have played their part in this.", "Även jag vill avsluta med att tacka alla som bidragit till detta."
"Secondly, permits should not be the be-all and end-all of the operation.", "För det andra bör certifikat inte vara början och slutet på operationen."
"Reiterates its call for an immediate end to all acts of violence;'", "Europaparlamentet upprepar sin begäran om att alla våldshandlingar genast ska upphöra.”"
"The end result of all this can only be that we all lose this race.", "Slutresultatet av allt detta kan bara bli att vi förlorar det här loppet."
"To this end we will exploit all the room for negotiation at the disposal of the Commission.", "Här kommer vi åtminstone att utnyttja hela det spelrum som kommissionen har för att agera."
"This behavior can be modified by adding the following to the end of all of your tagged links:", "Detta går att ändra på genom att lägga till följande i slutet på alla dina märkta länkar:"
