//Sentences
"Mr Nassauer rightly points to Europol's lack of accountability.", "Kollega Nassauer påpekar mycket riktigt bristen på kontroll över Europol."
"In this case, among other things, the supposed lack of information should not be put forward as an excuse for the lack of action.", "I det här fallet får inte den påstådda bristen på information och annat anföras som ursäkt för bristen på handling."
"Article 13 is not a call for lack of action or for uncoordinated action, but an invitation to act.", "Innebörden av artikel 13 är inte att vi ska underlåta att vidta åtgärder eller vidta spridda åtgärder. Tvärtom innebär artikeln en inbjudan till handling."
"Similarly, the Commission has emphasised the lack of action on the part of the World Bank in terms of environmental and social supervision.", "På liknande sätt har kommissionen betonat Världsbankens brist på åtgärder vad gäller miljömässig och social övervakning."
"The root of the problem lies in the lack of familiarity with the guidelines, and not in any potential unwillingness on the part of the web designers.", "Problemets kärna är okunnigheten om riktlinjerna, inte webbkonstruktörernas eventuella ovilja."
"Despite appearing different, both have the same root cause, which is the national judges' lack of familiarity with Community law.", "Dessa två problem har, trots den skenbara olikheten, gemensamma orsaker, som beror på att de nationella domarna inte är tillräckligt förtrogna med gemenskapsrätten."
"Despite appearing different, both have the same root cause, which is the national judges ' lack of familiarity with Community law.", "Dessa två problem har, trots den skenbara olikheten, gemensamma orsaker, som beror på att de nationella domarna inte är tillräckligt förtrogna med gemenskapsrätten."
"These new instruments are exciting, but we have to be sure that many people are not prevented from taking part in the programmes because of their lack of familiarity.", "De här nya instrumenten är spännande, men vi måste vara säkra på att många människor inte hindras från att delta i programmen på grund av brist på kännedom om dem."
"Some people are behaving as if this were an innovation, thereby revealing a lack of familiarity with the terms of the Maastricht Treaty, which introduced this provision back in 1992.", "Vissa personer beter sig som om detta vore en nyhet och avslöjar därmed sin bristande kunskap om villkoren i Maastrichtfördraget, genom vilket denna regel infördes 1992."
"There is a lack of seriousness, transparency and honesty in this area.", "Det brister i allvar, öppenhet och ärlighet på detta område."
"There was no lack of seriousness and toughness.", "Stramhet och allvar saknades inte."
"We in this Parliament should be ashamed that the signal sent out to those few who are listening at this time of night is one of a lack of seriousness on our part.", "Vi i parlamentet bör skämmas över att den signal som skickas ut till de få som lyssnar så här sent på dygnet visar en brist på allvar från vår sida."
"If we consider the Porsche case, for example, then the limits of the Ombudsman's powers and the lack of seriousness with which some institutions regard his recommendations become quite evident.", "Om vi t.ex. ser på Porscheaffären, blir det uppenbart att ombudsmannens befogenheter är begränsade och att vissa institutioner helt enkelt inte tar hans rekommendationer på allvar."
"Parliament will receive an official invitation to this seminar in late March.", "Parlamentet kommer att få en officiell inbjudan till detta seminarium i slutet av mars."
"The arrival of the specialist barge Big Foot 1 in late March suggests that further attempts are being planned.", "Expertpråmen Big Foot 1 anlände i slutet av mars, vilket tyder på att ytterligare försök planeras."
"This may create the conditions for Parliament to approve the budget at its plenary session in late March.", "Detta kan skapa förutsättningar för parlamentet att godkänna budgeten vid sitt plenarsammanträde i slutet av mars."
"We are planning various activities this spring, inter alia to dedicate the Gymnich meeting in late March to the Western Balkans.", "Vi planerar olika aktiviteter i vår, däribland mötet i Gymnich i slutet av mars, som kommer att handla om västra Balkan."
"Pia Sandvik Wiklund, visited Monash in late March 2007 and signed, together with Monash VC Richard Larkins, a new strategic CAREA agreement.", "LTU’s VC, Dr. Pia Sandvik Wiklund, visited Monash in late March 2007 and signed, together with Monash VC Richard Larkins, a new strategic CAREA agreement."
"I know that he only took over as rapporteur late in March, so I should like to commend his efficiency and indeed urge the Council to follow his example.", "Jag vet att han tog över som föredragande så sent som i slutet av mars, och jag vill därför lovorda hans effektivitet och faktiskt uppmana rådet att följa hans exempel."
"Then a proposal was submitted at a very late stage and in March 1999 we had the first reading, which is when we should really have discussed the review of the TEN.", "Då kom mycket sent ett förslag, och i mars 1999 hade vi den första behandlingen. Där skulle vi egentligen redan ha diskuterat revideringen av transeuropeiska nät."
"It is completely in line with the Council's 1999 decision concerning efforts to combat child sex tourism and with the resolution adopted by Parliament as late as March of this year.", "Det ligger helt i linje med rådets beslut från 1999 om insatser mot barnsexturism och med den resolution som parlamentet antog så sent som mars i år."
"This directive must give laws and policies on equal treatment a chance to flourish and be applied.", "Direktivet måste utgöra ett tillfälle att lyfta fram och genomföra lagar och program om likabehandling."
"Applying the 'Think Small First' principle when preparing laws and policies is a cornerstone of the new framework we are trying to establish.", "En hörnsten i det nya ramverk vi försöker inrätta är att principen ”tänk småskaligt först” ska användas när vi utarbetar lagar och politik."
"National laws and policies should be improved through the development of comprehensive national action plans to prevent, protect and prosecute.", "De nationella lagarna och politiken bör förbättras genom att heltäckande nationella handlingsplaner tas fram för att förebygga, skydda och lagföra."
"I consider it impossible that Article 129 be used as a basis for harmonizing laws and policies on drugs, and so obviously does the Commission, too.", "Jag anser, liksom uppenbarligen också kommissionen, att artikel 129 inte kan användas som en grund för en harmonisering av lagar och politik på narkotikaområdet."
"In conclusion, it is my firm belief that if the Union wishes to remain relevant, then modernisation of its laws and policies must always be voted in favour of.", "Jag anser sammanfattningsvis även bestämt att om unionen vill fortsätta att vara relevant måste vi alltid rösta för en modernisering av dess lagar och politik."
"Let us hope that in the future we will at least be able to achieve those guarantees.", "Låt oss hoppas att vi åtminstone i framtiden lyckas uppnå dessa garantier."
"Children should at least be able to enjoy the same opportunity as we had to bond with our mothers.", "Barnen bör åtminstone ges samma möjlighet som vi hade att knyta an till sina mödrar."
"Then it will at least be able to start fulfilling its function.", "Då skulle den åtminstone på initiativstadiet kunna uppfylla sin funktion."
"This will have the effect of sending retail prices soaring, affecting worst those least able to pay.", "Detta kommer att orsaka en explosion i butikspriserna, som drabbar de fattigaste värst."
"Surely we in Europe ought to be able at least to equal, if not to surpass, what the Americans are doing.", "Säkerligen kan vi på europeisk nivå motsvara amerikanerna, om inte t.o.m. överträffa."
"If he were at least able to attend to it, this would help.", "Om han åtminstone kunde ägna sig åt detta arbete skulle det hjälpa."
"If faced with no other choice, however, she must at least be able to have it done safely and legally.", "Om hon inte har något annat val måste hon emellertid åtminstone kunna göra det säkert och lagligt."
"Kyoto was at least able to formulate an objective.", "På toppmötet i Kyoto lyckades man åtminstone formulera en målsättning."
"The only thing we can hope for is at least to be able to work as little as possible during the working day.’", "Det enda som vi kan hoppas på är att vi åtminstone skall kunna arbeta så lite som möjligt under arbetsdagen”."
"That, at least, we were able to prevent, but we did not achieve our aim.", "Men så långt har det inte gått."
"It is absolutely vital that lawyers at least should be able to understand the legislation we produce.", "Det är av utomordentligt stor vikt att åtminstone juristerna begriper att det här är en lagstiftning som läggs fram."
"We would then, at least, be able to support his report.", "Då kan vi åtminstone stödja hans betänkande."
"Children should at least be able to enjoy the same opportunity as we had to bond with our mothers.", "Barnen får inte skiljas från sina mödrar strax efter födseln genom att modern skickas iväg till arbetet och barnen till daghem."
"The only thing we can hope for is at least to be able to work as little as possible during the working day.’", "För närvarande kan en enskild person eller en grupp som sluter avtal med arbetsgivaren undantas från 48-timmarsveckan."
"It has been exceptionally long, but at least we have been able to allow a significant number of Members to speak.", "Den har varit ovanligt lång men vi har åtminstone haft möjlighet att låta ett stort antal ledamöter komma till tals."
"I am not an expert who can go into the details, but I think that we should at least be able to agree on the basic lines.", "Jag är ingen expert som kan gå in på detaljerna, men jag menar att vi åtminstone bör kunna enas om grundlinjerna."
"At the very least, consumers must be able to identify eggs and egg products produced in compliance with European standards.", "Konsumenterna måste åtminstone kunna identifiera ägg och äggprodukter som producerats i enlighet med europeiska normer."
"Where this might not be possible, then this should at least be able to continue with Copernicus which has been extremely successful.", "Där det inte är möjligt skall man i varje fall kunna fortsätta med Kopernikus, för det har varit mycket framgångsrikt."
"Even in the old chamber when we did not have places allocated, we were at least able to continue to sit in the same places.", "Till och med i den gamla kammaren, när vi inte hade bestämda platser, kunde vi åtminstone fortsätta att sitta på samma platser."
"The weakest in society, and by this I mean whole social classes, have been the least able to find their bearings in the new set-up.", "De svagaste i samhället, och då menar jag hela samhällsklasser, har haft svårast att orientera sig i den nya strukturen."
"What is more, this initiative is seeking Community-level legal arrangements.", "Dessutom söker man genom detta initiativ rättsliga arrangemang på gemenskapsnivå."
"Firstly, this leads to more transparent legal arrangements for consumer protection in European legislation.", "För det första leder det till tydligare bestämmelser om konsumentskydd i EU-lagstiftningen."
"The Commission will soon be launching a study to gain an overview of existing legal arrangements and practice across the Member States.", "Kommissionen kommer snart att lansera en studie för att skaffa sig en överblick över befintliga juridiska arrangemang och praxis inom hela EU."
"It was really necessary to simplify the plethora of legal and administrative arrangements applying to clinical trials in the Member States.", "Det var nödvändigt att finna en lösning på mångfalden juridiska och administrativa situationer som tillämpas på kliniska försök i medlemsstaterna."
"– Mr President-in-Office, the European Parliament considered, in a resolution passed just today, that the specific legal arrangements are inadequate.", "– Herr ordförande! Europaparlamentet ansåg, i en resolution som antogs just idag, att de berörda rättsliga föreskrifterna är otillfredsställande."
"I share the view that the Union should set about developing more cohesive and effective legal arrangements now in order to mitigate the risk of future crises.", "Jag håller med om att EU bör inleda arbetet med att utveckla mer sammanhängande och effektiva rättsliga system för att minska risken för kommande kriser."
"These points 10 and 11 really have very little to do in my opinion with the aims of the SLIM programme to improve and simplify the existing legal arrangements.", "Enligt min mening har punkt 10 och 11 mycket lite att göra med SLIM-programmets målsättning om förbättring och förenkling av de existerande rättsliga reglerna."
"Information is being circulated that there would be an amendment to the Treaty of Lisbon with the accession treaty of Croatia, or are there other appropriate legal arrangements?", "Det ryktas att en ändring av Lissabonfördraget ska införas i Kroatiens anslutningsfördrag, eller finns det några andra lämpliga rättsliga arrangemang?"
"The new directive will clearly contribute towards the clarification and better understanding of the extensive current legal arrangements in this area.", "Det nya direktivet kommer på ett tydligt sätt att bidra till tydliggörande av och bättre förståelse för de omfattande rättsliga arrangemang som för närvarande gäller på detta område."
"From the perspective of Czech law, the proposal for a directive will not have a major impact on the legal arrangements for consumer protection, except for these new developments.", "Från tjeckisk rättssynpunkt kommer direktivförslaget inte att ha någon stor inverkan på lagbestämmelserna om konsumentskydd utom just i fråga om dessa nyheter."
"It seems obvious to me, however, that this may lead to interference by one State in the legal arrangements of another State, unjustly restricting its sovereignty.", "Då tycker jag att det är uppenbart att det på så sätt kan uppstå en inblandning från en stats sida i en annan stats rättsväsende, vilket otillbörligen begränsar dess suveränitet."
"These conclusions must be incorporated fully, bearing in mind Parliament’s repeated formal calls for a codecisional legal framework, and the arrangements and decisions on compensation.", "Hänsyn bör i detta sammanhang tas till parlamentets formella och upprepade krav på medbeslutanderätt och till villkoren och besluten när det gäller ersättningarna."
"Since the fundamental aspects of this regulation relate to the linguistic arrangements, legal certainty and the role of the national offices do not meet the expectations of users.", "Då de grundläggande punkterna i denna förordning gäller språkregler motsvarar de nationella kontorens och den juridiska säkerhetens roll inte användarnas förväntningar."
"It is enormously important to have such a debate, as it would clarify the legal position and finally enable the Member States to introduce adequate legal arrangements.", "Det är oerhört viktigt att föra en sådan debatt, eftersom det skulle klargöra rättsläget och äntligen göra det möjligt för medlemsstaterna att införa adekvata rättsliga arrangemang."
"For example, these security measures lend themselves very well to the concealment of what would be less than entirely legal funding arrangements for the various national airlines.", "Säkerhetsåtgärderna lämpar sig exempelvis mycket väl för att dölja finansieringsåtgärder som kanske inte kan betecknas som helt igenom lagliga för de olika nationella flygbolagen."
"Some Member States have proper legal arrangements regulating the position of agency workers, but the arrangements for accrediting newly-established agencies are woefully inadequate.", "Vissa medlemsstater har ordentliga rättsregler om ställningen för inhyrda arbetstagare, men bestämmelserna om ackreditering av nystartade bemanningsföretag är sorgligt otillräckliga."
"However, we should not neglect legal arrangements for tackling serious problems lingering as a consequence of demographic trends, racism, poverty and social exclusion, for example.", "Vi får dock inte glömma den rättsliga ramen för de svåra problem som fortfarande kvarstår till följd av de demografiska tendenserna, rasismen, fattigdomen och den sociala utslagningen bland annat."
"We need fair access to legal migration that gives migrants proper social rights.", "Vi behöver tillgång till laglig migration som ger migranterna sociala rättigheter."
"The response must involve legal migration, as an alternative to illegal immigration.", "Svaret måste omfatta laglig invandring som ett alternativ till illegal invandring."
"I should now like to say a few words on the policy plan on legal migration.", "Jag skulle nu vilja säga några ord om den strategiska planen för laglig migration."
"We stress the importance of a global approach to legal migration policies.", "Vi betonar vikten av en övergripande strategi för politik för laglig migration."
"Such an example is the legislative package on legal and illegal migration.", "Ett sådant exempel är lagstiftningspaketet om laglig och olaglig invandring."
"That is why Union policy on legal migration is such an important issue.", "Det är därför som unionens politik för laglig invandring är en sådan viktig fråga."
"As regards legal migration, we need specific initiatives in this area too.", "När det gäller laglig invandring behöver vi specifika initiativ också på detta område."
"It requires coherence between our policies on legal and illegal migration.", "Det krävs konsekvens mellan vår politik om laglig och olaglig invandring."
"Also, on the issue of legal migration, we need to demonstrate a spirit of openness.", "När det gäller den lagliga migrationen måste vi visa prov på öppenhet."
"The cultural and geographic factors involved in legal migration are also significant.", "De kulturella och geografiska faktorer som omfattas av laglig migration är också betydande."
"This is the first time that we are opening a window, so to speak, on legal migration policy.", "Detta är första gången som vi så att säga öppnar ett fönster mot laglig migrationspolitik."
"Attention is paid both to legal and illegal migration and to the socio-economic dimension.", "Såväl laglig och olaglig invandring som den socioekonomiska dimensionen ägnas uppmärksamhet."
"The Commission sensibly suggested looking at ways of allowing legal routes for migration.", "Kommissionen föreslog klokt nog att söka efter möjligheter att tillåta lagliga migrationsvägar."
"Indeed, the debate on legal migration is being held elsewhere.", "Debatten om laglig invandring hålls i själva verket någon annanstans."
"I share Mr Watson’s view that it is time we looked for a legal migration channel.", "Jag delar Graham Watsons åsikt att det är dags att vi undersöker möjligheten till en laglig migrationskanal."
"I share Mr Watson’ s view that it is time we looked for a legal migration channel.", "Jag delar Graham Watsons åsikt att det är dags att vi undersöker möjligheten till en laglig migrationskanal."
"Very little legal economic migration is truly voluntary.", "En väldigt liten andel laglig ekonomisk invandring är verkligen frivillig."
"We all need to set down to develop a legal migration channel.", "Vi behöver alla ta itu med att utveckla en laglig migrationskanal."
"We are opening legal migration pathways to help both developing and developed economies.", "Vi öppnar lagliga invandringsmöjligheter för att hjälpa såväl utvecklingsekonomier som utvecklade ekonomier."
"But that is only part of the issue concerning legal migration.", "Det är dock bara en del av frågan avseende laglig migration."
"There are two humiliating situations in particular which we should like to avoid.", "Det finns särskilt två förödmjukande situationer som vi gärna skulle vilja slippa."
"We would, however, very much like to avoid becoming entrapped in legal matters.", "Vi skulle helst vilja undvika att hamna i en diskussion om rättsliga detaljer."
"Madam President, I should like to avoid giving the wrong impression here.", "Fru ordförande! Jag vill bara undvika att det här uppstår ett felaktigt intryck."
"The Commission would like to avoid this and has therefore rejected this amendment.", "Kommissionen skulle vilja undvika detta och förkastar därför detta yrkande."
"For my part, I am in agreement with proceeding with the debate, but I should like to avoid arguments.", "För min del håller jag med om att vi ska fortsätta med debatten, men jag skulle vilja undvika diskussioner."
"We will be forced to file a complaint, although I would very much like to avoid this course of action.", "Vi kommer att tvingas att inkomma med klagomål, även om jag allra helst vill undvika att vidta sådana åtgärder."
"I should like to avoid being drawn into domestic affairs.", "Jag vill undvika att dras in i inhemska frågor."
"I too would like to avoid an identity crisis.", "Även jag skulle vilja undvika en identitetskris."
"That said, we would like to avoid certain regions unexpectedly finding themselves in a state of wealth for purely statistical reasons.", "Vi vill undvika att några regioner plötsligt skall betraktas som välmående av rent statistiska skäl."
"I would really like to avoid a debate.", "Jag skulle verkligen vilja undvika en debatt."
"I was going to make a statement about that at the end of the sitting, because I would like to avoid having a debate about it now.", "Jag tänkte uttala mig om det i slutet av sammanträdet, eftersom jag vill undvika att få en debatt om det nu."
"I use a moped more than a car, but I would like to avoid dying when I am on my moped too, not just when I am in my car. .", "Jag kör moped oftare än bil, men jag skulle vilja slippa dö även när jag kör moped, inte bara när jag sitter i min bil."
"We would like to avoid having such restrictive and off-putting rules for participation - these have no place in the Sixth Framework Programme.", "Vi vill undvika alltför tvingande och avvärjande regler för deltagande i det sjätte ramprogrammet."
"As this is a highly sensitive issue, I would like to avoid saying things which are not absolutely clear and accurate.", "Eftersom det rör sig om ett mycket känsligt ärende vill jag undvika att säga saker som inte är fullständigt tydliga och exakta."
"We would like to avoid that.", "Det skulle vi vilja undvika."
"If not, our efforts will remain just a tiny drop in the proverbial ocean, and that is what I should like to avoid.", "Om detta inte är fallet kommer våra ansträngningar att förbli endast en droppe i havet - som ordspråket säger - och detta är vad jag skulle vilja undvika."
"The presentation of a report to Parliament prior to the final reform seems a thoroughly sensible idea to me; but I would like to avoid having to present numerous reports.", "Dessa anser jag att man inte behöver fästa något avseende vid."
"This is a very sensitive topic, and I would like to avoid the same thing happening as with the subject of alcohol, on which Parliament did not give an opinion.", "Detta är ett mycket känsligt ämne, och jag vill inte att samma sak ska hända som med ämnet alkohol, som parlamentet inte avgav något yttrande om."
"Nevertheless, I would like to avoid a situation where the revision of Directive 92/85/EEC is used as an opportunity to introduce topics that should be addressed in another context.", "Jag hoppas ändå att vi slipper en situation där omarbetningen av direktiv 92/85/EEG används för att införa olika punkter som hör hemma i andra sammanhang."
"I say that because I would like to avoid wasting time on praise and instead make a few critical observations, having made my position clear on the main point.", "Detta säger jag därför att jag inte vill spilla tid på lovord, utan istället göra ett flertal kritiska påpekanden, och jag har förtydligat min ståndpunkt för att komma till den grundläggande frågan."
