//Sentences
"HD voice, Noise Blackout 3.0 and Wind Noise Reduction technology are all included as standard.", "HD Voice, Noise Blackout 3.0 och vindbrusreducerande teknik ingår som standard."
"Such experience is provided, for example, by the tragic crash of the Helios airline jet in Greece last summer in which 121 people died.", "Sådan erfarenhet kan exempelvis hämtas från den tragiska olyckan med Helios jetflygplan i Grekland förra sommaren, då 121 människor dog."
"– Commissioner, the report on the Helios aircraft which crashed in Grammatiko is now out: both pilots had heart conditions.", "– Herr kommissionsledamot! Rapporten om flygbolagets Helios flygplan som störtade i Grammatiko har nu kommit ut: båda piloterna hade hjärtproblem."
"Until the beginning of this year, we had the HELIOS II programme, which provided disabled people with opportunities for exchanges of information and experience.", "Fram till början av detta år hade vi HELIOS II-programmet med möjligheter till informations- och erfarenhetsutbyte för handikappade."
"In fact the Commission communication does not indicate whether there will be other programmes once HELIOS II is developed - the current programme for the disabled.", "I meddelandet anges faktiskt inte om det kommer att finnas någon fortsättning till utvecklingen av Helios II, vilket är det program som nu gäller till förmån för funktionshindrade personer."
"In the 1990s, today ’ s much maligned HFC gases replaced CFC gases, which were destroying the ozone layer.", "Detta visar att principen om att byta ut skadliga ämnen mot säkrare redan är verklighet."
"We also have the fact that HFC152a is flammable, which may cause some problems with regard to safety.", "Sedan har vi också det faktum att HFC152a är lättantändligt, vilket kan orsaka vissa säkerhetsproblem."
"You may have already heard about the HFC-23 scandal announced at yesterday's press conference held by the PPE Group.", "Ni kanske redan har hört talas om skandalen HFC-23 som togs upp vid gårdagens presskonferens för PPE-gruppen."
"In the 1990s, today’s much maligned HFC gases replaced CFC gases, which were destroying the ozone layer.", "På 1990-talet ersattes klorfluorkarbonerna, som förstörde ozonlagret, av de fluorkolväten som vi i dag ondgör oss så mycket över."
".The three fluorinated gases concerned here – HFC, PFC and sulphur hexafluoride – contribute to the phenomenon of global warming.", ". – De tre fluorerade gaser som vi talar om – fluorkolväten, perfluorkarboner och svavelhexafluorid – bidrar till den globala uppvärmningen."
"The latter would effectively exclude the use of fluorinated gas mixtures or HFC152a and favour CO2 mobile air conditioning systems.", "Den senare skulle effektivt utesluta användningen av fluorerade gasblandningar eller HFC-152 och gynna mobila luftkonditioneringssystem med koldioxid."
"This is generating massive unwarranted profits for a few companies worldwide, for no environmental benefit, given that HFC-23 in the atmosphere has increased over recent years.", "Det här ger upphov till enorma omotiverade vinster för några företag runtom i världen, utan någon miljövinst eftersom mängden HFC-23 i atmosfären har ökat de senaste åren."
"As the alternatives to this gas are still at the development stage, the permission to use HFC-152a is appropriate, on the proviso that this is part of a gradual elimination.", "Eftersom alternativen till denna gas fortfarande är på utvecklingsstadiet är det lämpligt att tillåta användning av HFC-152a, förutsatt att detta ingår i ett gradvist avskaffande."
"To reiterate, what is important is that, by adopting this directive, we are blocking the use of HFC-134a, which has a global warming potential 10 times higher than HFC 152a.", "Jag upprepar att det viktiga är att vi genom att anta detta direktiv blockerar användningen av HFC-134a, som har en global uppvärmningspotential som är 10 gånger högre än HFC-152a."
"Replacement products used in this sector are hydrocarbons, HCFCs, and to a lesser extent, HFCs.", "Ersättningsprodukterna som används på området är kolväten, HCFC och, i mindre omfattning, HFC."
"This monstrous waste of taxpayers' money is cooled using HFCs!", "Detta monstruösa slöseri med skattebetalarnas pengar luftkonditioneras med hjälp av fluorkolväten!"
"Accordingly, the danger of climate change means there is also an obligation to restrict the use of HFCs.", "Risken för klimatförändringar innebär alltså att det också är vår skyldighet att minska användningen av HFC."
"HFCs are a drop in the ocean in relation to CO2.", "Fluorkolväten är en droppe i havet jämfört med koldioxider."
"The report before us is necessary because HFCs are not entirely harmless either: they are powerful greenhouse gases.", "Betänkandet är nödvändigt eftersom HFCinte heller är fullständigt oskadliga: de är kraftiga växthusgaser."
"The report before us is necessary because HFCs are not entirely harmless either: they are powerful greenhouse gases.", "Min egen åsikt är att den bästa lösningen med tanke på totala utsläpp är att gå över till system där man använder sig av koldioxid."
"The solution is to move to a different kind of gas that does not present the problems that HFCs clearly do in that sector.", "Lösningen är att byta till en annan typ av gas som inte leder till samma problem som fluorkolväten uppenbart gör på detta område."
"The solution is to move to a different kind of gas that does not present the problems that HFCs clearly do in that sector.", "Vi kommer inte att vilja avskaffa förbudet beträffande kylskåp, där det finns vissa medicinska användningsområden som är nödvändiga."
"We will not immediately be looking to remove HFCs from fire-fighting uses, where they are clearly very useful and the alternatives are, in my opinion, not yet proven.", "Betänkandet är nödvändigt eftersom HFCinte heller är fullständigt oskadliga: de är kraftiga växthusgaser."
"Our biggest step forward and our biggest technological push is unquestionably the replacement of HFCs in car air conditioning systems.", "Vårt största framsteg och vår största tekniska framryckning är utan tvekan att byta ut fluorkolväten i luftkonditioneringssystemen i bilar."
"As we know, CFCs are much more environmentally damaging than HFCs, being ozone-depleting gases which we have very successfully grappled with under the auspices of the Montreal Protocol.", "Om vi skulle använda artikel 175 skulle det bli nästan omöjligt att saluföra produkter som innehåller dessa gaser i hela Europeiska unionen."
"Carbon dioxide is, moreover, user-friendly, because it reacts faster than HFCs to the desired temperature and is also cheaper in terms of fuel costs than the alternative gases available.", "För stationära system är det viktigt att se till att de som ansluter utrustningen har god utbildning och att dessa yrkesmän rapporterar om läckor."
"In many ways the use of fluorinated gases has already exhibited the principle of substitution, given that many applications that were previously used with CFCs have been substituted with HFCs.", "Det har förts många diskussioner om detta, men det är min bestämda uppfattning att artikel 95 om den inre marknaden är den korrekta rättsliga grunden."
"As we know, CFCs are much more environmentally damaging than HFCs, being ozone-depleting gases which we have very successfully grappled with under the auspices of the Montreal Protocol.", "Freoner är som vi vet mycket miljöfarligare än fluorkolväten eftersom de utgör ozonuttunnande gaser som vi mycket framgångsrikt har hanterat genom Montrealprotokollet."
"HFCs are greenhouse gases like CO2 and, as the Commissioner said, whatever action we take on control of fluorinated gases, it cannot be at the expense of the action we need to take to control CO2.", "Även om jag är medveten om situationen i till exempel Österrike, där man har gått längre, bör vi av hänsyn till den inre marknaden behålla den rättsliga grunden."
"There are a number of applications of HFCs, from air conditioning to air-sole trainers and to aerosol fake snow, for example, which we had a little bit of fun about in the press at Christmas.", "Fluorkolväten har flera användningsområden, allt ifrån luftkonditionering och träningsskor med luftkuddar till konstgjord spraysnö, som vi skojade lite om i pressen i julas."
"Amendment 26, which requires the use of HFCs only where safe, technically feasible, cost-effective and more environmentally sound alternatives do not exist, is also unacceptable.", "Ändringsförslag 26, enligt vilket HFC endast ska användas i de fall det inte finns några andra säkra, tekniskt genomförbara och miljömässigt godtagbara alternativ, kan inte heller godtas."
"In many ways the use of fluorinated gases has already exhibited the principle of substitution, given that many applications that were previously used with CFCs have been substituted with HFCs.", "Användningen av fluorerade gaser har på många sätt redan varit ett exempel på substitutionsprincipen, eftersom fluorkolväten på många områden ersatte de freoner som tidigare användes."
"The second is the more vigorous action to reduce working and driving time for HGV drivers.", "För det andra en kraftfullare insats för en sänkning av arbetstid och körtid för förarna."
"Only 11 % of HGV traffic in Austria is liable to ecopoints.", "Bara 11 procent av lastfordonstransporterna i Österrike är miljöpoängspliktiga."
"In fact, we are asking for a daily ceiling on HGV numbers - a genuinely effective serious limit.", "Det vi kräver är dagliga lastbilskvoter, en seriös begränsning."
"Mr President, international HGV traffic is characterised by sharply contrasting interests.", "Herr talman! Den internationella trafiken med tunga lastfordon på vägarna är förknippad med motstridiga intressen."
"Mr President, HGV haulage is integral to the supply process essential to a good economy.", "(EN) Herr talman! Transporter med tunga lastbilar är avgörande för de leveranser som är nödvändiga för en god ekonomi."
"The UK Government is looking into HGV charges to bring us in line with Europe by 2015.", "Den brittiska regeringen funderar på att införa avgifter för tunga lastbilar för att komma i fatt resten av EU till 2015."
"However, the Westminster Government is looking into rolling out HGV charges in accordance with European law by 2015.", "Westminsterregeringen tittar emellertid på att införa avgifter för tunga godsfordon i enlighet med europeisk lag före 2015."
"Does the Commission agree that there ought to be a set of binding, EU‑wide minimum standards for HGV drivers in the EU?", "Håller kommissionen med om att det borde finnas ett antal bindande EU-omfattande minimistandarder för lastbilsförare i EU?"
"The Chamonix valley is a notorious HGV corridor with traffic growing exponentially, along with the nuisance and the risks this entails.", "Chamonixdalen, det är allmänt känt, är en korridor för den tunga trafiken med en märkbar ökning, av skador och risker."
"For that reason it is high time we finally managed to factor the external cost of HGV operations into the European toll disc.", "Därför är det hög tid att vi slutligen lyckas införliva den externa kostnaden för operationer med tunga lastfordon i Eurovinjetten."
"I think that the European Union would benefit if the people responsible for this situation were made to spend the night in an HGV.", "Jag tror att Europeiska unionen skulle tjäna på att de ansvariga för den här situationen fick tillbringa en natt i ett tungt godsfordon."
"Charging of HGV", "Avgifter på tunga transporter"
"On the other hand, it has to be recognised that HGV traffic ensures that, in our complex society, products and foodstuffs arrive on time.", "Å andra sidan måste det erkännas att trafiken med tunga lastfordon gör att produkter och livsmedel levereras i tid i vårt komplexa samhälle."
"Only 11% of HGV traffic in Austria is liable to ecopoints.", "Det får inte vara så att det sker trafik på omvägar, att transporter omdirigeras etc. Bara 11 procent av lastfordonstransporterna i Österrike är miljöpoängspliktiga."
"HGV drivers who are employees are pleased about driving-time restrictions, which aim to protect their own health, but not about compulsory waiting at uncomfortable locations.", "Anställda lastbilschaufförer gläder sig åt körtidsbegränsningar som är till för deras egen hälsa, men inte åt att behöva göra uppehåll på obekväma ställen."
"In order to end the busy HGV traffic through these mountains and the long deviations which passenger trains have to negotiate, these tunnels must be granted priority.", "För att få ett slut på den intensiva lastbilstrafiken genom dessa berg och på de långa omvägar som passagerartåg tvingas att köra där måste dessa tunnlar prioriteras."
"The directive on the introduction of Euro 3 and Euro 4 made provision for this, for using tax incentives to encourage modernisation of the HGV fleet.", "Direktivet om införande av Euro 3- och Euro 4-lastbilar fastställde detta och tog initiativ till att använda skattelättnader för att uppmuntra till modernisering av den tunga lastbilsparken."
"The requirements to successfully obtain an HGV licence differ across Member States, meaning that, in practice, the driving standards of HGV drivers across the EU vary considerably.", "Kraven för att få ett lastbilskörkort skiljer sig åt mellan medlemsstaterna, vilket i praktiken innebär att lastbilsförarnas körstandard varierar betydligt i EU."
"In the light of positive experiences in Switzerland since the introduction of the performance-based HGV levy in 2001, there are no objections to the new directive.", "Mot bakgrund av de positiva erfarenheterna från Schweiz ända sedan införandet av prestandabaserade avgifter för tunga godsfordon 2001 finns det inga invändningar mot det nya direktivet."
"Despite there being a variety of different standard licences and qualifications, there is nonetheless a requirement for EU HGV licence-holders to be recognised across the Union.", "Trots att det finns många olika standardkörkort och kvalifikationer finns det samtidigt ett krav på att lastbilskörkort som innehas av EU-medborgare ska erkännas i hela EU."
"Sixteen countries, each with its own HICP and its own policy for promoting employment.", "Sexton länder, vart och ett med sitt eget HIKP och sin egen politik för att öka sysselsättningen."
"As regards consumer prices, oil-market developments have had a direct impact on the euro area HICP.", "När det gäller konsumentpriserna har utvecklingen på oljemarknaderna haft en direkt påverkan på HIKP i euroområdet."
"Overall, the annual HICP inflation was 2.1 %, unchanged from the previous year.", "Sammantaget uppgick den årliga inflationen enligt det harmoniserade indexet för konsumentpriser (HIKP) till 2,1 procent, oförändrat jämfört med året innan."
"Regarding price developments, average annual HICP inflation in 2006 was 2.2%, unchanged compared with the previous year.", "När det gäller prisutvecklingen var den årliga genomsnittliga HIKP-inflationen för 2006 2,2 procent, oförändrat jämfört med året innan."
"Annual HICP inflation slowed down slightly in 2003 to 2.1% on average from 2.3% on average in both 2001 and 2002.", "Den årliga inflationstakten enligt HIKP saktade ned något under 2003, till 2,1 procent i genomsnitt från 2,3 procent i genomsnitt för både 2001 och 2002."
"Annual HICP inflation slowed down slightly in 2003 to 2.1 % on average from 2.3 % on average in both 2001 and 2002.", "Den årliga inflationstakten enligt HIKP saktade ned något under 2003, till 2,1 procent i genomsnitt från 2,3 procent i genomsnitt för både 2001 och 2002."
"As regards price developments, annual HICP inflation averaged 2.2% in 2005, compared to 2.1% in each of the two preceding years.", "När det gäller prisutvecklingen uppgick den årliga HIKP-inflationen till 2,2 procent i genomsnitt under 2005, jämfört med 2,1 procent under vart och ett av de föregående två åren."
"Looking ahead, the annual HICP inflation rate is likely to remain well above the level consistent with price stability for some time, moderating only gradually in 2009.", "Ser vi framåt kommer troligen HIKP-inflationen att för en tid ligga kvar långt över den nivå som innebär prisstabilitet, och endast gradvis förändas under 2009."
"With regard to consumer prices, annual HICP inflation rates, notwithstanding their decline in most recent months, will remain elevated, at levels above 2% on average in 2006.", "I fråga om konsumentpriserna, den årliga HIKP-inflationstakten, kommer de trots nedgången de senaste månaderna att förbli höga, på nivåer över 2 procent i genomsnitt under 2006."
"The persistence of inflation above 2% was mainly caused by increases in a number of volatile components of the HICP, in particular oil prices, and, in the second half of 2003, food prices.", "Att inflationen låg kvar över 2 procent berodde huvudsakligen på ökningar i ett antal volatila komponenter i HIKP, i synnerhet oljepriser, och under andra halvåret 2003 livsmedelspriser."
"The persistence of inflation above 2 % was mainly caused by increases in a number of volatile components of the HICP, in particular oil prices, and, in the second half of 2003, food prices.", "Att inflationen låg kvar över 2 procent berodde huvudsakligen på ökningar i ett antal volatila komponenter i HIKP, i synnerhet oljepriser, och under andra halvåret 2003 livsmedelspriser."
"Around 60% of the HIPC initiative’s funding was provided by the European Union.", "Cirka 60 procent av HIPC-initiativets finansiering kom från Europeiska unionen."
"The Commission's contribution to debt relief can be seen in the HIPC initiative.", ". (EN) Kommissionens bidrag till skuldlättnad kan ses i HIPC-initiativet."
"The Commission and the Member States have gone beyond the HIPC requirements.", "Kommissionen och medlemsstaterna har sträckt sig längre än HIPC-kraven."
"The Commission's contribution to debt relief can be seen in the HIPC initiative.", "Kommissionens bidrag till skuldlättnad kan ses i HIPC-initiativet."
"The Community has since decided to considerably enhance support for the HIPC II Initiative.", "Gemenskapen har senare beslutat att i hög grad stärka stödet till HIPC II-initiativet."
"The EU is also looking into the possibility of taking the present HIPC initiative one step further.", "EU undersöker också möjligheten att ta det nuvarande HIPC-initiativet ett steg längre."
"The Commission and the Member States have gone beyond the HIPC requirements.", "Förslaget om en fullständig avskrivning kan förefalla lockande men medför risker för biståndsfördelningen."
"It is clear that more needs to be done for the poor countries that benefit from the HIPC Initiative.", "Det står klart att mer behöver göras för de fattiga länder som omfattas av HIPC-initiativet."
"The HIPC Initiative encompassed 42 of the world's poorest countries.", "HIPC-initiativet omfattade 42 av världens fattigaste länder."
"The Paris Club of creditor governments has developed the so-called Evian approach to deal with non-HIPC countries.", "Ytterligare skuldlättnader kan leda till ytterligare snedvridningar i biståndsfördelningen."
"The reason for this was that, as a consequence of Hurricane Mitch, Honduras was included in the HIPC initiative.", "Anledningen till detta var att Honduras, till följd av orkanen Mitch, omfattades i HIPC-initiativet."
"It is clear that more needs to be done for the poor countries that benefit from the HIPC Initiative.", "Det land som vinner mest per capita på skuldlättnaden inom ramen för HIPC är Guyana, som får 769 US-dollar per capita."
"As the President-in-Office has said, the HIPC initiative is yielding very slow results and coming in too late.", "Som den tjänstgörande ordföranden har sagt ger HIPC-initiativet mycket långsamma resultat och kommer för sent."
"The Council wholeheartedly supports the HIPC initiative.", "Rådet stöder helhjärtat HIPC-initiativet."
"I would say to Mrs Schörling that almost all money for HIPC is found from the existing development budgets.", "Jag skulle vilja säga till fru Schörling att nästan alla pengar till HIPC har kommit från befintliga utvecklingsbudgetar."
"Indeed, the HIPC initiative has not provided a permanent solution to the problem of the indebtedness of poor countries.", "HIPC-initiativet har inte inneburit någon permanent lösning på problemet med de fattiga ländernas skuldsättning."
"The country benefiting most on a per capita basis from HIPC debt relief is Guyana, with USD 769 per capita received.", "Det land som vinner mest per capita på skuldlättnaden inom ramen för HIPC är Guyana, som får 769 US-dollar per capita."
"That is the object of the Council resolution and the Commission communication on the implementation of the HIPC Initiative.", "Det är detta som rådets beslut om användning av HIPC-initiativet och kommissionens meddelande i denna fråga gäller."
"We want, in other words, to make sure that the EU participation in HIPC is global and in accordance with the figures in HIPC.", "Vi vill med andra ord se till att EU:s deltagande i HIPC är fullständigt och i överensstämmelse med beloppen i HIPC."
"The Commission has done the same for all special loans in least developed countries eligible for HIPC debt relief.", "De länder som har störst nytta av initiativet är inte alls de som uppvisat bäst resultat eller tillhör de fattigaste i gruppen."
"more_vert open_in_new Link to European Parliament warning Request revision This group is focusing in particular on the diseases of malaria, HIV and tuberculosis.", "expand_more Denna grupp fokuserar framför allt på sjukdomarna malaria, hiv och tuberkulos."
"more_vert open_in_new Link to European Parliament warning Request revision Denna grupp fokuserar framför allt på sjukdomarna malaria, hiv och tuberkulos.", "expand_more This group is focusing in particular on the diseases of malaria, HIV and tuberculosis."
"Africa is the most severely affected, with 33 million already infected with HIV.", "Afrika är den mest drabbade världsdelen med 33 miljoner smittade redan."
"This year, the UN body, UNAIDS has therefore selected its theme, ‘ Women, Girls, HIV and AIDS’.", "Låt mig dock kommentera några av de frågor som de ärade ledamöterna har tagit upp."
"More resources are being earmarked for the work on reducing the spread of HIV, malaria and TB.", "Låt mig börja med att tacka parlamentsledamöterna för deras intressanta kommentarer."
"I very much welcome what the Commission has brought forward on HIV/ AIDS, malaria and TB.", "Vi vet att det uppstod fler nya infektioner med aids under 2004 än under något tidigare år."
"In 1999, a complete antiviral HIV treatment cost USD 10 000.", "Så sent som 1999 kostade en fullständig antiviral hivbehandling 10 000 US-dollar."
"In 1999, a complete antiviral HIV treatment cost USD 10 000.", "Så sent som 1999 kostade en fullständig antiviral hivbehandling 10 000 US-dollar."
"Just 1 % of those infected with HIV/ AIDS benefit from antiretroviral treatment.", "Det handlar om vårt stöd till demokratiska val i Afrika."
"Every minute, though, ten people are infected with the HIV virus, half of them being under 24 years of age.", "Varje minut dör en kvinna till följd av komplikationer i samband med graviditeten."
"They also lack access to health care, which exacerbates the problems faced by the many people infected with HIV.", "Merparten av allt ekonomiskt bistånd som ges går rakt ned i regimens fickor."
"Madam President, when I wrote my report on HIV/ AIDS two years ago, I was not sure what the outcome would be.", "Antalet dödsfall till följd av aids raserar de måttliga framsteg som tidigare uppnåtts."
"Due to the nature of their work they are at risk of contracting blood-borne viruses such as HIV and hepatitis.", "Jag skulle vilja nämna Europaparlamentets anställda, som underlättar vårt jobb här så väl."
"The interminable spread of HIV/ AIDS is a cause of major alarm to all of us.", "Statistiken ser illa ut: i Afrika har bara en av hundra afrikaner råd att betala kostnaderna för läkemedelsbehandling."
"What is their contribution to the fight against HIV/AIDS, TB and malaria?", "Resultatet är sänkt utbildningsstandard."
"A new carelessness has crept into their dealings with HIV and Aids.", "Aids är en av 2000-talets globala utmaningar."
"This will require us to set aside considerably more resources, both for our own HIV programme and for the global fund.", "Det handlar om liv eller död och vi är inte säkra på att biskopskonferensen har förstått det."
"We also know that the rate of HIV among male prisoners is 15 times higher than among the general population.", "Dessutom vet vi att antalet hivsmittade bland manliga interner är 15 gånger högre än bland befolkningen i övrigt."
"Belarus, Ukraine and Moldova, as well as Russia, have serious problems with HIV-AIDS, tuberculosis and other diseases.", "Det finns till och med varningar för att vissa sjukdomar som malaria skulle kunna drabba vår kontinent."
"In developing countries, medicines intended to treat diseases such as malaria, tuberculosis and HIV/ Aids are being counterfeited.", "Enligt WHO avled 30 personer i Kambodja 1999 efter att ha tagit förfalskade malarialäkemedel."
"This Friday is the International Day of Action on HIV and AIDS.", "På fredag är det världsaidsdagen."
"Who cares that women ’ s sexual and economic subordination operates as an engine for the spread of the HIV and AIDS epidemic?", "Vem bryr sig om att en kvinna varje minut dör av orsaker relaterade till graviditet och förlossning?"
"It is very important that a woman can be tested to see whether she is HIV positive.", "Det är mycket viktigt att en kvinna får möjlighet att testa sig för att kontrollera om hon är hiv-positiv."
"Our own citizens who are HIV positive are able to access long-term treatment with effective medication.", "Hos oss kan hiv-smittade människor få en långvarig behandling med effektiva mediciner."
"For example a transplant could be allowed from one HIV-positive patient to other.", "Man kan till exempel tillåta transplantationer från en hiv-positiv patient till en annan hiv-positiv patient."
"Those who are HIV-positive today have a good chance of a long life, in western Europe at least.", "De som är hiv-positiva idag har en stor chans att få leva ett långt liv, åtminstone i Västeuropa."
"Only 5% of HIV-positive children receive medical help.", "Endast 5 procent av alla hiv-positiva barn får medicinsk hjälp."
"The resolution also protects the sexual health and reproductive rights of those who are HIV positive.", "I förslaget skyddas också rättigheterna till sexuell hälsa och reproduktion för dem som är hiv-positiva."
"We also have 1 in every 360 pregnant women HIV positive.", "En av 360 gravida kvinnor är också hiv-positiva."
"Or, even worse, that taking care of patients who are HIV-positive could actually infect the healthcare worker.", "Eller, ännu värre, att omvårdnaden av patienter som är hiv-positiva faktiskt skulle kunna smitta vårdpersonalen."
"Treating HIV-positive persons may mean that many of them can continue functioning, as schoolteachers or whatever.", "Att behandla hiv-positiva personer kan innebära att många av dem kan fortsätta att fungera, som lärare eller vad som helst."
"It goes as far as to sentence to death homosexuals suspected of being HIV positive or of having relations with minors.", "I lagförslaget går man så långt som att utmäta dödsstraff för homosexuella som misstänks vara hiv-positiva eller ha förbindelser med minderåriga."
"There are fears that the number of HIV-positive cases will rise in the next few years to close on 600 000, and the disease is also beginning to hit young people hard.", "Antalet hiv-positiva befaras öka till nästan 600 000 individer och epidemin håller på att drabba också ungdomen."
"The struggle against HIV/AIDS must not result in any discriminatory effect on HIV-positive citizens, including restrictions that impact on their freedom of movement.", "Bekämpningen av hiv/aids får inte leda till att hiv-positiva medborgare diskrimineras, t.ex. genom att deras rörelsefrihet begränsas."
"I naturally hope that the free movement of people who have the misfortune to be HIV-positive is not restricted in any way on grounds of public health.", "Jag hoppas naturligtvis att den fria rörligheten för människor som har otur att vara hiv-positiva inte begränsas på något sätt på grund av folkhälsa."
"They cannot in fact be compared to HIV/AIDS, for which there is no cure, only treatment in the mortality rate of HIV-positive persons in the world.", "De kan faktiskt inte jämföras med hiv och aids, som det inte finns något botemedel för, utan enbart behandling inom dödstalet med hiv-positiva personer i världen."
"They cannot in fact be compared to HIV/ AIDS, for which there is no cure, only treatment in the mortality rate of HIV-positive persons in the world.", "De kan faktiskt inte jämföras med hiv och aids, som det inte finns något botemedel för, utan enbart behandling inom dödstalet med hiv-positiva personer i världen."
"This means that today, we have a greater risk of coming into contact with people with the HIV virus than in the past, because the number of HIV-positive survivors is increasing.", "Vi löper alltså större risk idag att komma i kontakt med människor med hiv än tidigare, eftersom antalet hiv-positiva överlevare ökar."
"Or the case of a dental nurse working in a prison who was pricked by a needle that was used on an inmate who had hepatitis A, B, and C and was HIV positive.", "Eller fallet med en tandsköterska som arbetade vid ett fängelse och stacks av en nål som användes på en intagen som hade hepatit A, B, och C och var hivpositiv."
"As the Commissioner said, women account for some 57 % of those who are HIV positive in sub-Saharan Africa, and over 60 % of those with HIV aged between 15 and 24.", "Jag vill framför allt tacka Human Aids för att organisationen under årets Världsdag mot aids främst kommer att inrikta sig på kvinnor, flickor, hiv och aids."
"Worldwide there are 33 million people who have full-blown AIDS or are HIV-positive, and a total of 25 million people worldwide have died of the disease.", "I hela världen finns det 33 miljoner människor som har fullt utvecklad aids eller är hiv-positiva, och totalt har 25 miljoner människor över hela världen dött i sjukdomen."
"Commissioner, you said that a few thousand Africans were receiving treatment, but, in Africa, 30 million people are HIV-positive, 6.5 million of whom require treatment.", "Herr kommissionsledamot! Ni sa att några tusen afrikaner får behandling, men i Afrika finns det 30 miljoner hiv-positiva, av vilka 6,5 miljoner är i behov av behandling."
"Special attention is paid to HIV prevention in relation to mothers and children.", "Särskilt uppmärksammas förebyggande av hiv när det gäller mödrar och barn."
"The whole area of HIV prevention has been surrounded by too much silence.", "Hela området rörande hiv-förebyggande åtgärder har omgärdats av för mycket tystnad."
"We ought to allocate a gradually bigger share of that budget in support of HIV prevention.", "Vi borde tilldela en gradvis större andel av denna budget till hiv-förebyggande åtgärder."
"- (LT) Madam President, Commissioner, I have a question concerning HIV/AIDS prevention.", "- (LT) Fru talman, herr kommissionsledamot! Jag har en fråga angående förebyggande av hiv/aids."
"Regarding HIV and Aids, prevention is also a priority.", "När det gäller hiv och aids måste förebyggande åtgärder dessutom prioriteras."
"Subject: HIV/AIDS prevention and treatment in South Africa", "Angående: Förebyggande och behandling av hiv/aids i Sydafrika"
"School education programmes on sexual and reproductive rights are crucial for HIV/AIDS prevention.", "Utbildningsprogram om sexuella och reproduktiva rättigheter är av högsta vikt för att förebygga hiv/aids."
"Can the Commission give details of the work done by the EU in HIV/AIDS prevention and treatment in South Africa?", "Kan kommissionen redogöra för det arbete som EU utför för att förebygga och behandla hiv/aids i Sydafrika?"
"Reproductive health services, including family planning, are in the front line of HIV/AIDS prevention and maternal health.", "Reproduktiv hälsovård, inklusive familjeplanering, ligger i frontlinjen för förebyggande av hiv/aids och mödravård."
"Madam President, HIV prevention and treatment capacity varies across different socio-economic and geopolitical settings.", "(EN) Fru talman! Förmågan att förebygga och behandla hiv skiftar mellan olika socioekonomiska och geopolitiska miljöer."
"We support country efforts that use sport as an entry point to Community education on better health and HIV prevention.", "Vi stöder nationella insatser där idrotten banar väg för gemenskapens utbildning om bättre hälsa och förebyggande av hiv."
"Interesting examples can also be found, for example, in the area of education and health care and also in the prevention of HIV/AIDS.", "Intressanta exempel finns också exempelvis på utbildnings- och hälsovårdsområdet och även när det gäller förebyggande av hiv/aids."
"Interesting examples can also be found, for example, in the area of education and health care and also in the prevention of HIV/ AIDS.", "Intressanta exempel finns också exempelvis på utbildnings- och hälsovårdsområdet och även när det gäller förebyggande av hiv / aids."
"We have also seen the closure and the arrest of lesbian, gay and bisexual people engaged in HIV prevention and advice.", "Vi har även sett avstängningen och arresteringen av lesbiska, homosexuella och bisexuella personer som har arbetat med rådgivning om och förebyggande av hiv."
